Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
CPCT02230056T	2556	335	2208	1802	0	419
CPCT02040169T	7955	3143	733	1212	0	17
CPCT02080152T	7509	13266	623	483	0	0
CPCT02010986T	982	772	0	1381	0	1592
DRUP01010047T	84514	53478	0	3271	0	0
CPCT02080273T	34560	53254	6128	3121	0	0
CPCT02080157T	14080	15912	7471	1539	0	0
DRUP01010108T	1523	824	1886	1014	0	168
CPCT02030392T	0	17822	6613	1948	0	0
CPCT02050279T	73762	61987	4492	1160	0	0
CPCT02160034T	2296	667	1098	692	0	0
CPCT02040280TII	0	299	280	424	0	5519
CPCT02190020T	0	301	73	1340	303	5521
CPCT02100120T	1397	778	1732	1365	0	0
DRUP01010051T	65413	57915	6465	1552	0	0
CPCT02020622T	1178	240	1450	1387	0	61
CPCT02020630T	30	711	0	2266	130	3073
CPCT02340029T	873	519	1278	996	0	439
CPCT02080162T	1434	4000	4996	804	0	314
DRUP01010044T	1961	737	936	1114	0	0
CPCT02050252T	1111	267	1496	1462	0	0
CPCT02210016T	108146	87021	0	3418	0	0
CPCT02050170T	7457	9339	1956	1011	0	0
CPCT02010569T	1286	686	1116	746	0	42
CPCT02100019T	57653	37701	11804	4488	0	0
CPCT02020514T	15574	18704	42	1473	0	0
CPCT02070140T	15646	20775	4156	1387	0	381
CPCT02030347T	114920	44435	6210	1753	0	0
CPCT02180033T	6131	7479	1496	696	0	88
CPCT02070164T	14319	9905	4663	1381	0	0
DRUP01070015T	30905	32397	5141	526	0	362
DRUP01010022T	24857	27400	877	275	0	0
CPCT02030349T	23207	29574	2587	319	0	277
CPCT02120032T	6838	2673	2045	239	0	107
DRUP01010025T	85745	56064	6300	907	0	0
CPCT02220023T	57	0	8	606	168	5522
CPCT02100101T	566	2994	10787	782	0	0
CPCT02030357T	86461	116930	1320	3872	0	0
CPCT02070192T	24475	19199	5572	473	0	162
CPCT02050211T	54084	44147	7114	1488	0	0
CPCT02380016T	3385	2388	315	1634	0	0
DRUP01090003T	49606	72324	1892	2351	0	0
CPCT02230039T	1532	0	711	1320	515	205
DRUP01010037T	10202	26120	0	2576	0	0
CPCT02120042T	110823	80842	0	3195	0	0
DRUP01070020T	14092	10214	4528	2916	0	0
CPCT02340022T	497	489	4840	2404	2139	0
CPCT02070041T	5791	6308	1287	935	0	0
DRUP01140001T	5179	4685	3458	1159	0	98
CPCT02210004T	9743	29471	100	329	5325	959
CPCT02050089T	2088	499	1386	421	0	26
CPCT02050104T	0	0	437	4728	0	0
CPCT02050041T	1417	349	1358	1704	0	110
DRUP01050001T	59922	64013	3173	1540	0	0
DRUP01050003T	0	2289	102652	0	0	0
DRUP01070008T	50558	51205	10511	2133	0	968
CPCT02370001T	1336	725	999	1629	0	0
CPCT02020491T	0	145	744	264	623	5226
CPCT02020486T	1598	346	1229	763	0	113
DRUP01010018T	70308	89938	4304	3169	0	0
DRUP01050002T	92049	81013	7492	4422	0	0
CPCT02040104T	0	556	215	2660	0	3511
CPCT02070131T	9010	7911	2629	259	0	228
DRUP01070026T	25337	23608	6383	455	0	242
CPCT02380029T	54531	30782	0	979	0	0
CPCT02360007T	17500	19900	3580	1240	0	260
CPCT02340041T	1545	442	959	1250	0	65
CPCT02040196T	1144	464	1162	1107	0	19
DRUP01110002T	29425	46413	5102	2556	0	0
CPCT02220030T	35211	48212	14436	2385	0	261
DRUP01050017T	37228	27586	2670	2801	0	0
CPCT02030430T	3583	6275	3867	1336	0	0
CPCT02070023TII	62748	60451	10669	3471	0	751
WIDE01010443T	529	628	2373	588	0	12
WIDE01010470T	7464	0	5669	3812	12110	0
DRUP01010167T	17917	21987	1423	73	913	371
CPCT02080048T	10462	9367	4948	4011	0	653
DRUP01070119T	4266	2996	1022	616	0	0
WIDE01010539T	1116	429	1756	775	0	29
WIDE01010557T	213	0	535	767	0	6796
WIDE01010578T	11089	10790	1375	894	0	0
WIDE01010648T	294	46	760	579	130	3526
