Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP99325	2.38E+03	2.55E+03	5.35E+02	5.11E+00	7.36E+02	2.15E+01
SP18310	3.38E+03	3.69E+03	2.35E+02	2.10E-01	5.60E+02	7.76E+00
SP17172	1.08E+03	1.26E+03	6.55E+01	4.81E+00	2.48E+02	3.08E+00
SP96133	1.73E+03	1.99E+03	1.57E+02	4.09E+00	4.23E+02	5.15E+00
SP110242	2.70E+03	3.02E+03	2.27E+02	5.85E+00	5.58E+02	7.56E+00
SP21017	2.66E+03	3.00E+03	2.22E+02	0.00E+00	5.66E+02	5.90E+00
SP22383	1.79E+03	2.11E+03	2.05E+02	3.70E-01	5.40E+02	7.45E+00
SP81312	1.18E+02	6.53E+01	2.39E+02	8.79E+00	3.82E+02	3.79E+00
SP19215	1.58E+03	1.91E+03	1.74E+02	0.00E+00	5.07E+02	7.61E+00
SP16886	5.37E+01	2.17E+01	1.44E+02	1.08E+01	2.08E+02	3.05E+00
SP17905	4.66E+02	1.76E+02	5.20E+02	1.84E+01	1.01E+03	1.42E+01
SP18121	1.70E+03	2.16E+03	6.51E+02	0.00E+00	1.15E+03	5.39E+00
SP96118	9.20E+01	1.35E+02	5.32E+01	1.71E+00	1.06E+02	2.21E+00
SP21400	1.17E+02	4.44E+01	2.47E+02	7.41E+00	3.71E+02	3.20E+00
SP18946	2.05E+02	1.15E+02	2.92E+02	8.30E+00	5.03E+02	4.04E+00
SP80615	2.00E+02	7.69E+01	3.99E+02	3.08E+01	6.29E+02	8.26E+00
SP102897	1.40E+02	1.29E+02	8.65E+01	2.40E+01	9.19E+01	3.92E+00
SP98845	1.63E+02	1.93E+02	2.35E+01	2.94E+00	5.38E+01	3.48E+00
SP107012	4.96E+02	5.87E+02	1.46E+02	1.30E+00	2.46E+02	5.98E+00
SP55142	1.14E+01	5.01E+00	1.22E+01	1.38E+01	2.87E+01	1.60E+01
SP53810	3.19E+00	3.23E+00	2.53E+00	4.99E+00	7.13E+00	7.10E+00
SP116697	5.35E+01	4.53E+01	9.58E+01	1.44E+01	1.59E+02	4.17E+00
SP102133	8.23E+01	5.94E+01	1.13E+02	5.69E+00	1.36E+02	3.06E+00
SP125732	1.11E+02	1.58E+02	3.00E+01	2.11E+00	7.80E+01	1.97E+00
SP125746	1.03E+03	1.08E+03	1.31E+02	8.15E+00	1.91E+02	4.34E+00
SP125770	1.65E+02	2.02E+02	4.82E+01	1.09E+01	3.34E+01	2.28E+00
SP77956	3.06E+00	1.97E+00	9.39E+00	0.00E+00	8.16E+00	5.69E+00
SP124384	3.97E+02	4.34E+02	6.18E+01	7.93E+00	1.06E+02	6.27E+00
SP135287	1.56E+03	1.78E+03	1.05E+02	0.00E+00	3.28E+02	4.39E+00
SP85122	2.62E+03	2.83E+03	5.76E+01	2.92E+00	2.24E+02	5.12E+00
SP84384	2.49E+03	2.69E+03	1.15E+02	0.00E+00	3.16E+02	8.07E+00
SP84982	1.34E+03	1.53E+03	7.33E+01	4.39E+00	2.69E+02	4.72E+00
SP84392	2.51E+03	2.75E+03	1.35E+02	0.00E+00	3.80E+02	6.26E+00
SP84439	1.87E+03	2.26E+03	2.94E+02	2.65E+00	6.95E+02	1.10E+01
SP95454	5.33E+02	5.60E+02	9.37E+01	1.59E+00	1.21E+02	3.59E+00
SP94741	1.18E+03	1.23E+03	1.32E+02	4.58E+00	1.87E+02	5.19E+00
