Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
CPCT02120118T	9.57E-01	9.10E-01	1.10E+00	1.69E+00	1.60E+00	7.14E-01
WIDE01010301T	3.34E+00	1.08E+00	2.04E+00	3.04E+00	1.79E+00	1.03E+00
CPCT02220045T	3.32E+01	1.71E+00	7.95E+00	3.61E+01	2.37E+00	2.18E+00
CPCT02130093T	1.13E+00	1.30E+00	1.87E+00	1.73E+00	1.86E+00	4.68E-01
CPCT02030482T	1.60E+00	1.54E+00	5.50E+00	6.51E+00	2.71E+00	2.28E+00
CPCT02030477T	6.66E-01	6.30E-01	1.33E+00	9.63E-01	1.25E+00	8.12E-01
CPCT02370026T	7.17E-01	6.12E-01	1.56E+00	1.20E+00	5.57E-01	6.97E-01
WIDE01010385T	1.78E+00	1.22E+00	2.39E+00	1.84E+00	1.58E+00	1.05E+00
WIDE01010397T	1.06E+00	1.15E+00	2.66E+00	3.07E+00	1.95E+00	6.79E-01
WIDE01010414T	8.12E+00	9.57E-01	2.98E+00	7.63E+00	1.37E+00	1.53E+00
WIDE01010420T	3.76E+01	1.98E+00	7.01E+00	4.01E+01	2.17E+00	3.05E+00
CPCT02270031T	8.55E-01	9.31E-01	1.70E+00	1.62E+00	2.08E+00	2.57E-01
CPCT02120132T	9.73E-01	1.19E+00	1.80E+00	1.79E+00	1.90E+00	2.66E-01
DRUP01010084T	2.77E+00	1.52E+00	5.95E+00	5.82E+00	2.62E+00	1.66E+00
CPCT02020741T	1.37E+00	1.27E+00	2.80E+00	2.65E+00	2.08E+00	1.36E+00
CPCT02020740T	1.70E+01	1.68E+00	1.55E+00	1.73E+01	2.74E+00	1.85E+00
CPCT02030492T	2.07E+00	2.86E+00	4.87E+00	4.06E+00	2.39E+00	3.24E+00
CPCT02070349T	1.93E+00	1.95E+00	4.47E+00	4.30E+00	2.50E+00	1.46E+00
CPCT02070348T	1.14E+00	1.74E+00	3.22E+00	3.26E+00	2.65E+00	1.04E+00
CPCT02060226T	1.90E+00	1.82E+00	4.25E+00	3.44E+00	2.29E+00	3.07E+00
CPCT02230111T	1.31E+00	1.31E+00	3.20E+00	3.16E+00	2.04E+00	1.09E+00
CPCT02080236T	9.58E-01	1.36E+00	2.88E+00	2.52E+00	1.62E+00	1.43E+00
CPCT02030498T	5.32E-01	7.72E-01	2.00E+00	1.54E+00	1.57E+00	1.40E+00
DRUP01050029T	8.73E-01	1.23E+00	1.42E+00	9.38E-01	1.31E+00	1.39E+00
CPCT02030505T	7.31E+00	9.45E-01	2.39E+00	7.73E+00	1.87E+00	1.07E+00
CPCT02120149T	7.63E-01	1.27E+00	3.77E+00	3.77E+00	1.73E+00	1.43E+00
CPCT02070358T	8.71E-01	1.20E+00	1.99E+00	1.47E+00	1.74E+00	9.01E-01
CPCT02060168T	8.24E-01	1.04E+00	1.87E+00	1.63E+00	1.40E+00	2.86E-01
CPCT02030509T	7.60E+00	8.73E-01	2.14E+00	7.55E+00	1.47E+00	6.82E-01
CPCT02210066T	1.29E+01	1.01E+00	2.92E+00	1.44E+01	2.27E+00	1.12E+00
CPCT02030495T	9.54E-01	1.08E+00	2.17E+00	2.19E+00	1.72E+00	7.62E-01
CPCT02060251T	1.33E-01	3.34E-01	1.01E+00	7.54E-01	9.49E-01	5.74E-01
CPCT02380049T	9.03E-01	1.10E+00	2.51E+00	3.05E+00	1.79E+00	6.49E-01
CPCT02300049T	9.31E-01	9.44E-01	1.25E+00	1.55E+00	1.29E+00	7.23E-01
CPCT02140079T	3.34E-01	9.69E-01	1.53E+00	1.59E+00	1.73E+00	4.80E-01
CPCT02110074T	1.38E+00	1.49E+00	4.79E+00	5.52E+00	1.97E+00	1.60E+00
CPCT02210065T	1.70E+00	2.35E+00	3.05E+00	1.16E+00	1.55E+00	3.85E+00
CPCT02120153T	1.59E+00	1.40E+00	4.74E+00	4.51E+00	1.86E+00	1.51E+00
CPCT02110078T	1.71E+00	1.49E+00	2.97E+00	2.22E+00	2.01E+00	2.14E+00
CPCT02030517T	1.94E+00	1.76E+00	2.96E+00	4.04E+00	3.14E+00	2.00E+00
CPCT02020466T	9.92E+00	1.40E+00	3.02E+00	9.18E+00	2.02E+00	1.39E+00
CPCT02070397T	4.77E-01	9.35E-01	1.62E+00	1.46E+00	1.68E+00	5.27E-01
CPCT02050203T	1.97E+01	1.50E+00	4.90E+00	2.11E+01	1.94E+00	1.34E+00
CPCT02020572T	1.20E+01	2.00E+00	3.07E+00	1.12E+01	3.82E+00	8.07E-01
CPCT02060142T	1.00E+01	9.55E-01	2.55E+00	1.00E+01	2.43E+00	1.11E+00
CPCT02230050T	1.77E+01	1.50E+00	4.23E+00	1.98E+01	2.10E+00	2.91E+00
CPCT02070222T	1.10E+00	6.79E-01	1.36E+00	1.46E+00	1.58E+00	5.29E-01
CPCT02010646T	5.30E-01	1.94E+00	1.82E+00	1.80E+00	1.79E+00	2.18E+00
CPCT02070418T	1.21E+00	1.30E+00	2.92E+00	3.43E+00	1.47E+00	1.03E+00
CPCT02080160T	1.92E+01	2.34E+00	3.15E+00	1.96E+01	3.27E+00	1.68E+00
CPCT02100112T	1.53E+00	1.28E+00	3.08E+00	3.18E+00	2.92E+00	1.04E+00
