Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.84,0.81,NO,N/A,542600.0%,50.52%,166.13%,37.16%,124.73,0.3104,2.2843,0.087,0.811,0.901,0.035
3,0.97,0.92,YES,2.95e-23,89300.0%,29.67%,163.45%,15.89%,125.3,0.256,2.4495,0.06,0.756,0.929,0.127
4,0.83,0.38,NO,N/A,50700.0%,31.08%,161.1%,16.22%,109.91,0.2728,2.478,0.059,0.732,0.929,0.11
5,0.8,0.27,NO,N/A,42600.0%,24.48%,159.66%,10.78%,98.55,0.1843,1.9907,0.031,0.664,0.961,0.128
6*,0.92,0.6,YES,Most Stab Sigs,43500.0%,21.78%,142.56%,9.1%,94.6,0.1678,2.0491,0.027,0.532,0.966,0.346
7,0.78,-0.2,NO,N/A,30300.0%,20.74%,138.96%,8.65%,87.62,0.1595,1.9179,0.027,0.481,0.967,0.396
8,0.66,-0.46,NO,N/A,28100.0%,20.1%,137.66%,8.4%,83.73,0.1567,1.8798,0.026,0.446,0.967,0.455
9,0.58,-0.58,NO,N/A,26000.0%,19.81%,131.88%,8.24%,80.69,0.1539,1.6351,0.025,0.404,0.968,0.537
10,0.55,-0.39,NO,N/A,23700.0%,19.32%,130.93%,7.85%,80.64,0.1475,1.7717,0.024,0.399,0.97,0.544
11,0.57,-0.64,NO,N/A,32400.0%,19.67%,131.46%,7.98%,82.97,0.147,1.6003,0.023,0.442,0.971,0.488
12,0.6,-0.74,NO,N/A,23900.0%,19.04%,133.34%,7.65%,79.45,0.1424,1.5649,0.021,0.392,0.973,0.549
13,0.59,-0.68,NO,N/A,20000.0%,17.98%,131.06%,7.3%,78.91,0.1379,1.646,0.021,0.385,0.974,0.558
14,0.54,-0.59,NO,N/A,22100.0%,17.36%,130.07%,7.07%,78.0,0.1343,1.5908,0.02,0.372,0.975,0.575
15,0.52,-0.65,NO,N/A,17900.0%,17.35%,125.56%,6.96%,71.34,0.1328,1.4018,0.019,0.297,0.976,0.65
16,0.5,-0.67,NO,N/A,14600.0%,16.89%,120.64%,6.72%,68.78,0.13,1.4208,0.018,0.272,0.978,0.68
17,0.46,-0.6,NO,N/A,17600.0%,16.58%,121.87%,6.57%,67.1,0.1289,1.339,0.018,0.257,0.978,0.683
18,0.45,-0.57,NO,N/A,12200.0%,16.19%,119.29%,6.47%,68.18,0.1257,1.3073,0.017,0.267,0.978,0.67
19,0.43,-0.55,NO,N/A,11200.0%,16.01%,114.66%,6.5%,66.98,0.1247,1.3571,0.017,0.257,0.979,0.683
20,0.41,-0.6,NO,N/A,10300.0%,16.22%,113.09%,6.58%,65.97,0.1233,1.1372,0.016,0.247,0.98,0.697
