Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CPCT02010469T	537	0.994	89.787	16.72%	13.621	10.838%	0.05765	0.993
CPCT02180012T	262	0.977	82.25	31.393%	13.549	23.223%	0.15092	0.971
CPCT02020445T	383	0.99	85.722	22.382%	14.082	14.239%	0.11152	0.988
CPCT02050105T	1343	0.995	168.532	12.549%	28.525	9.771%	0.03536	0.994
CPCT02050055TII	1108	0.993	199.597	18.014%	30.822	11.521%	0.05208	0.992
CPCT02010493T	458	0.991	97.441	21.275%	15.072	13.7%	0.08756	0.989
CPCT02010503T	928	0.995	135.918	14.646%	21.632	10.464%	0.04248	0.993
CPCT02010501T	1277	0.998	133.295	10.438%	21.958	6.275%	0.03213	0.998
CPCT02020464T	253	0.966	76.277	30.149%	13.15	25.965%	0.12305	0.951
CPCT02090009T	871	0.993	153.943	17.674%	23.038	12.051%	0.05315	0.991
CPCT02020468T	110	0.932	66.623	60.566%	11.691	45.785%	0.4421	0.921
CPCT02340001T	291	0.966	93.357	32.081%	15.992	26.373%	0.1494	0.952
CPCT02080079T	204	0.973	65.38	32.049%	9.986	22.934%	0.15494	0.964
CPCT02010526T	98	0.959	47.196	48.159%	8.452	32.037%	0.3307	0.953
CPCT02010532T	1053	0.997	137.201	13.03%	22.435	8.221%	0.04187	0.996
CPCT02060051T	273	0.978	80.311	29.418%	13.199	21.03%	0.15828	0.971
CPCT02050141T	547	0.982	135.774	24.822%	22.995	19.38%	0.07364	0.977
CPCT02110024T	1571	0.992	277.285	17.65%	50.403	12.78%	0.04336	0.99
CPCT02120013T	711	0.987	153.262	21.556%	27.606	16.619%	0.06579	0.983
CPCT02050158T	611	0.993	118.684	19.425%	18.918	11.977%	0.06542	0.991
CPCT02050149T	440	0.98	143.679	32.654%	25.003	20.044%	0.15917	0.976
CPCT02010557T	608	0.997	88.103	14.491%	14.164	8.087%	0.05038	0.996
CPCT02220014T	546	0.986	149.712	27.42%	22.852	16.636%	0.09329	0.983
CPCT02050052TII	699	0.995	98.31	14.064%	15.02	10.349%	0.04933	0.993
CPCT02020506T	1212	0.994	216.721	17.881%	40.574	12.125%	0.0467	0.993
CPCT02030339T	638	0.994	119.167	18.678%	19.272	11.233%	0.05108	0.993
CPCT02080163T	210	0.986	67.345	32.069%	10.122	16.708%	0.19685	0.984
CPCT02050281T	546	0.989	103.863	19.023%	18.326	14.728%	0.06167	0.986
CPCT02070243T	726	0.996	102.036	14.055%	16.351	8.53%	0.04517	0.996
CPCT02340040T	218	0.981	80.687	37.012%	12.341	19.962%	0.19258	0.978
CPCT02120077T	471	0.99	99.876	21.205%	15.486	14.168%	0.08695	0.987
CPCT02030437T	429	0.996	69.547	16.211%	10.371	9.043%	0.06555	0.995
CPCT02010641TII	514	0.996	92.425	17.982%	13.186	9.217%	0.06553	0.995
CPCT02050291T	351	0.98	93.603	26.668%	14.879	20.175%	0.10389	0.972
CPCT02020643T	828	0.993	119.186	14.394%	20.383	11.41%	0.04491	0.991
CPCT02150006T	1834	0.999	140.956	7.686%	23.198	5.227%	0.0204	0.998
WIDE01010503T	523	0.993	84.313	16.121%	15.092	11.837%	0.05223	0.991
WIDE01010567T	2894	0.994	413.134	14.276%	72.411	10.776%	0.03335	0.993
WIDE01010459T	1174	0.996	158.127	13.469%	25.509	9.365%	0.03528	0.994
CPCT02060041T	1841	0.994	308.192	16.74%	54.292	10.657%	0.04483	0.993
WIDE01010561T	1407	0.994	236.717	16.824%	36.865	10.973%	0.03637	0.993
WIDE01010651T	343	0.983	105.968	30.894%	17.606	20.679%	0.14114	0.979
