Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP116788	4	1	2	8	1	0
SP116789	1	0	0	4	0	1
SP116919	0	0	0	0	0	1
SP109002	1	22	0	0	30	0
SP109001	0	3	6	0	2	0
SP109006	16	35	2	0	12	0
SP108998	43	88	0	0	7	0
SP127706	4	32	89	12	18	0
SP108999	40	16	28	0	10	17
SP109007	0	32	16	0	10	18
SP109003	9	0	0	5	34	4
SP116868	0	23	6	5	6	15
SP116794	5	0	10	0	0	0
SP116791	3	0	10	0	0	0
SP116866	9	0	2	5	6	26
SP116815	8	0	0	0	39	0
SP116853	3	5	0	30	4	0
SP116901	4	0	5	15	0	0
SP116830	6	0	70	16	0	0
SP116802	0	0	1	0	10	4
SP116885	24	0	0	21	45	0
SP116834	8	0	0	0	2	21
SP116913	0	0	14	0	0	11
SP116799	0	0	21	3	11	0
SP116920	0	0	1	0	17	0
SP116835	19	0	0	0	9	60
SP116852	5	2	0	28	3	0
SP116902	2	0	2	27	0	0
SP116871	0	0	0	1	0	9
SP116820	19	0	19	0	13	0
SP116889	5	0	5	32	0	21
SP116923	16	0	41	0	3	2
SP116829	10	0	64	0	0	0
SP116872	0	0	0	0	0	8
SP116904	0	0	0	0	2	3
SP116806	16	0	0	36	0	0
SP116857	7	0	41	28	5	0
SP116888	0	0	1	18	0	8
SP116818	3	0	2	0	17	0
SP116837	5	0	37	0	28	3
SP116905	0	0	0	0	0	4
SP116804	21	0	0	35	0	3
SP116819	9	0	5	2	15	0
SP116856	0	0	27	21	1	2
SP116839	11	13	31	0	23	0
SP116925	4	2	0	11	11	0
SP116878	0	0	3	3	4	12
SP116893	0	0	0	52	0	0
SP116876	0	0	0	0	1	0
SP116927	5	11	0	16	11	0
SP116909	7	0	0	21	0	0
SP116795	2	0	0	2	2	1
SP116826	17	0	0	31	0	0
SP116891	1	0	0	17	0	13
SP116860	5	6	20	3	0	2
SP116848	0	7	45	0	0	4
SP116910	32	0	19	11	0	10
SP116797	0	11	0	0	0	0
SP116862	13	5	32	0	14	2
SP116823	8	0	0	27	0	0
SP116897	1	0	0	0	0	14
SP116846	0	0	0	0	0	19
SP116784	0	0	0	0	1	0
SP116896	0	0	0	0	0	14
SP116824	9	0	0	26	0	0
SP116881	0	0	0	0	5	4
SP116812	7	0	2	0	31	3
SP116915	12	0	11	6	0	49
SP116786	13	0	0	7	40	6
SP116851	1	0	0	5	9	0
CPCT02220038T	981	177	1	0	59	55
CPCT02290013T	171	672	0	3	0	0
