Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP135192	2.00E-02	0.00E+00	7.46E-02	2.00E-02	3.43E-02	2.43E-02	0.00E+00	0.00E+00	2.00E-02	4.77E-02	4.47E-02	8.58E-02	9.29E-02	2.23E-02	0.00E+00
SP135335	4.72E-01	0.00E+00	1.92E-01	5.32E-01	3.58E-01	4.59E-01	0.00E+00	1.84E-01	1.66E-01	1.04E+00	2.73E-01	8.79E-01	7.14E-01	6.71E-01	8.58E-01
SP135278	2.26E-01	8.36E-02	9.82E-02	1.66E-01	3.07E-01	3.87E-01	0.00E+00	0.00E+00	2.64E-01	2.98E-01	4.66E-01	3.68E-01	3.51E-01	3.63E-01	2.00E-02
SP135287	1.33E+03	2.08E+01	4.07E+02	1.71E+02	9.03E+02	3.21E+02	5.19E-01	1.10E-01	4.71E-01	9.45E+01	2.04E+01	8.61E+00	1.40E+01	1.28E+03	2.47E+00
SP135345	2.38E+00	5.72E-01	1.49E+00	1.36E+00	2.82E+00	2.87E+00	4.01E-01	2.31E-01	7.07E-01	2.80E+00	1.90E+00	3.50E+00	1.95E+00	3.88E+00	1.75E+00
SP85122	1.99E+03	3.15E+01	7.13E+02	2.41E+02	1.58E+03	4.47E+02	2.42E+00	1.62E+00	2.22E+00	1.51E+02	3.15E+01	1.02E+01	2.41E+01	1.93E+03	4.69E+00
SP84384	2.24E+03	2.62E+01	1.20E+03	1.32E+02	1.88E+03	3.21E+02	1.05E+00	1.55E+00	1.73E+00	9.40E+01	5.02E+01	1.21E+01	3.24E+01	2.21E+03	4.31E+00
SP135184	0.00E+00	0.00E+00	0.00E+00	1.00E-02	0.00E+00	6.00E-02	0.00E+00	0.00E+00	1.37E-01	1.06E-01	9.85E-02	2.68E-01	1.96E-01	0.00E+00	1.17E-01
SP135226	2.00E+00	1.00E-02	1.36E+00	2.74E+00	1.43E+00	3.12E+00	0.00E+00	3.11E-01	3.80E-01	2.84E+00	1.82E+00	1.21E+00	1.94E+00	2.47E+00	1.65E+00
SP135436	1.57E+01	1.88E+00	1.13E+01	1.24E+01	1.07E+01	1.50E+01	7.63E-01	0.00E+00	1.14E+00	1.09E+01	4.98E+00	3.71E+00	4.84E+00	1.68E+01	3.02E+00
SP135262	7.97E-01	2.75E-01	7.98E-01	1.35E+00	1.02E+00	1.73E+00	4.36E-01	1.14E-01	2.60E-01	2.07E+00	1.86E+00	1.02E+00	1.52E+00	1.51E+00	1.13E+00
SP135431	1.83E+01	1.49E+00	1.45E+01	1.89E+01	1.01E+01	2.24E+01	2.04E+00	8.34E-01	1.13E+00	1.43E+01	4.76E+00	4.19E+00	4.15E+00	2.04E+01	2.61E+00
SP135425	7.28E+00	7.90E-01	5.82E+00	7.66E+00	5.48E+00	7.78E+00	1.18E+00	3.91E-01	1.32E+00	8.15E+00	4.02E+00	6.24E+00	3.87E+00	8.56E+00	3.18E+00
SP135222	4.60E+00	1.26E+00	4.00E+00	6.04E+00	3.67E+00	7.02E+00	4.28E-01	0.00E+00	7.86E-01	5.52E+00	2.71E+00	1.26E+00	2.12E+00	5.27E+00	2.15E+00
SP135230	3.94E+00	9.44E-01	2.22E+00	2.33E+00	2.77E+00	3.76E+00	3.40E-01	0.00E+00	3.58E-01	2.52E+00	1.61E+00	2.23E+00	1.89E+00	4.05E+00	9.61E-01
SP135205	1.37E+00	4.67E-01	1.01E+00	8.70E-01	1.16E+00	1.35E+00	0.00E+00	0.00E+00	1.93E-01	1.10E+00	8.20E-01	8.21E-01	8.33E-01	1.69E+00	4.21E-01
SP135180	0.00E+00	8.82E-02	2.97E-02	0.00E+00	3.59E-02	1.00E-02	5.37E-02	7.12E-02	0.00E+00	7.78E-02	7.70E-02	1.37E-01	1.29E-01	0.00E+00	1.82E-01
SP135213	3.35E+00	5.46E-01	1.49E+00	1.79E+00	2.76E+00	2.85E+00	3.29E-01	0.00E+00	1.28E+00	2.35E+00	2.65E+00	1.09E+00	2.76E+00	3.49E+00	1.57E+00
SP135217	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.86E-02	4.94E-02	2.88E-02	1.97E-02	1.00E-02	3.59E-02	0.00E+00	3.27E-02
SP135405	6.17E+00	1.25E+00	2.86E+00	7.27E+00	6.53E+00	1.08E+01	5.18E-01	0.00E+00	1.41E+00	6.98E+00	5.79E+00	4.17E+00	4.66E+00	8.98E+00	2.66E+00
SP135238	1.35E-01	1.59E-01	6.67E-02	1.41E-02	1.77E-01	3.30E-02	8.68E-02	0.00E+00	0.00E+00	6.74E-02	1.53E-01	1.59E-01	9.25E-02	1.43E-01	1.81E-01
