Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP95454	2.79E+02	1.12E+02	1.31E+02	1.58E+02	1.49E+02	2.53E+02	4.14E+00	4.28E-01	1.54E+00	1.04E+00
SP94741	5.05E+02	1.89E+02	2.21E+02	2.63E+02	2.46E+02	4.53E+02	6.13E+00	5.61E-01	4.15E+00	1.67E+00
SP90209	1.11E+03	9.72E+02	5.16E+02	4.55E+02	3.24E+02	7.75E+02	0.00E+00	1.44E+00	7.70E-01	4.46E-01
SP90989	3.91E+02	1.44E+02	1.13E+02	1.93E+02	9.24E+01	3.33E+02	1.10E+01	1.44E+00	3.82E+00	1.58E+00
SP93540	1.03E+03	3.69E+02	1.74E+02	5.53E+02	1.46E+02	9.36E+02	1.31E+01	1.41E+00	8.06E-01	1.24E+00
SP93227	1.47E+03	1.45E+03	3.08E+02	5.75E+02	1.27E+02	1.02E+03	1.51E+01	1.18E+00	1.28E+01	3.39E-01
SP94348	5.07E+02	1.97E+02	1.42E+02	2.77E+02	1.48E+02	4.65E+02	8.67E+00	9.93E-01	2.79E+00	1.19E+00
SP94588	8.87E-01	2.17E+00	3.33E+00	1.65E+00	3.42E+00	8.62E-01	3.49E+00	6.91E-01	3.46E+00	1.09E+00
SP90725	1.29E+00	1.52E+00	3.62E+00	2.21E+00	3.81E+00	9.56E-01	2.44E+00	3.83E-01	2.41E+00	8.19E-01
SP94236	1.49E+00	1.26E+00	2.13E+00	1.63E+00	2.42E+00	1.31E+00	4.23E+00	6.99E-01	3.84E+00	1.22E+00
SP93772	1.04E+00	1.68E+00	2.02E+00	2.05E+00	2.27E+00	6.39E-01	3.58E+00	5.36E-01	3.55E+00	1.08E+00
SP92195	9.28E-01	2.72E+00	3.14E+00	2.07E+00	2.70E+00	1.06E+00	3.39E+00	6.25E-01	3.30E+00	1.21E+00
SP89957	1.85E+00	2.22E+00	2.65E+00	1.55E+00	2.41E+00	6.83E-01	3.33E+00	4.69E-01	3.35E+00	7.90E-01
SP92268	1.88E+00	1.63E+00	3.63E+00	2.02E+00	4.04E+00	1.33E+00	2.38E+00	4.57E-01	2.34E+00	9.18E-01
SP92707	1.09E+00	1.16E+00	1.87E+00	8.70E-01	2.38E+00	4.98E-01	2.93E+00	3.79E-01	2.44E+00	8.15E-01
