Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP77443	41	305	0	38	68	37	13	77	43	0	10	1	76	0	9
SP72118	133	309	0	23	0	42	29	36	10	31	3	0	41	0	6
SP76891	132	187	0	0	78	40	1	0	10	20	0	11	60	1	7
SP125732	5577	624	0	0	0	0	206	1336	0	0	0	0	0	0	0
SP125716	90	325	27	31	0	43	21	0	30	16	47	11	38	76	9
SP125746	30541	5358	8634	0	0	0	1143	1781	0	0	0	0	0	0	0
SP125797	245	149	0	10	148	49	14	0	0	36	13	8	0	59	9
SP76057	66	271	0	13	7	29	38	13	31	14	1	0	78	0	12
SP69565	316	329	0	430	44	163	48	46	52	45	3	1	0	7	4
SP75202	60	131	0	3	0	74	4	4	31	51	4	6	2	2	0
SP110736	155	108	0	8	159	19	24	0	6	22	1	8	0	0	23
SP107774	0	359	17	17	0	32	22	0	18	18	0	5	40	0	14
SP110779	67	85	0	10	248	43	13	72	5	9	3	3	48	0	22
SP107805	74	199	0	18	0	28	5	68	25	12	3	2	74	3	21
SP110789	61	168	0	627	0	90	2	58	22	7	2	13	0	2	117
SP71846	119	210	0	25	48	123	19	28	4	29	0	7	12	0	7
SP70122	140	311	18	5	0	19	23	25	16	15	2	3	23	0	23
SP71404	410	519	0	2	19	76	27	78	55	31	1	1	25	0	37
SP76955	38	310	0	5	0	30	70	0	20	10	1	0	51	0	2
SP107781	68	7	1	10	110	47	1	9	31	28	0	4	0	0	4
SP70202	29	58	0	418	180	34	12	14	76	0	16	10	8	4	0
SP70677	13	47	4	9	8	5	1	30	33	27	0	7	23	0	3
SP70082	28	67	0	6	0	30	8	13	17	34	2	6	0	5	0
SP70288	306	321	0	12	0	21	30	0	17	31	4	15	66	0	12
SP70266	30	152	0	12	0	15	18	18	26	49	6	16	58	0	1
SP107956	191	367	0	27	0	60	18	45	29	47	3	12	0	0	44
SP70956	86	90	0	10	59	59	10	0	24	19	4	8	0	0	11
SP108017	62	103	0	4	0	49	10	0	9	21	1	4	14	4	8
SP71536	53	150	0	34	0	32	19	0	15	18	0	10	21	0	7
SP70756	119	128	0	9	37	34	1	35	24	39	1	9	22	0	5
SP76675	139	419	0	459	20	110	35	68	50	25	7	4	34	0	0
SP71480	94	278	0	14	27	3	23	27	3	36	4	0	49	0	11
SP70313	61	36	0	10	131	51	4	3	32	48	0	6	4	0	5
SP73319	46	169	6	26	0	18	17	21	32	15	6	3	9	0	0
SP107813	153	207	0	13	78	68	32	24	8	13	4	6	0	0	27
SP77339	39	256	15	16	0	49	14	24	14	35	1	7	14	0	0
SP76017	83	98	20	16	42	41	0	0	9	28	0	1	42	0	9
SP76915	103	107	0	28	0	59	21	57	20	11	2	6	54	0	19
SP71974	319	648	0	727	0	0	72	101	120	0	17	1	18	0	66
SP70178	177	310	0	23	106	38	12	60	23	45	2	4	3	0	13
SP107920	101	203	0	20	0	27	34	28	13	0	4	16	63	2	12
SP110798	51	207	0	7	0	40	26	22	18	31	0	0	4	0	11
SP107952	74	150	3	19	185	13	3	29	26	25	0	24	55	0	27
SP70465	22	151	0	13	0	74	5	26	27	39	3	10	32	0	10
SP70780	166	302	0	17	14	26	37	0	16	24	3	8	54	0	16
SP110803	20	33	9	42	68	45	0	9	128	8	0	13	0	0	6
SP107915	79	184	0	5	0	50	35	3	21	24	8	7	8	3	4
SP71132	194	363	0	8	66	36	37	39	12	29	0	3	37	3	5
SP71552	99	300	3	35	0	55	30	21	50	34	6	14	38	0	33
SP69573	49	141	0	12	2	29	14	4	25	6	0	6	14	0	7
SP75681	30	224	0	3	0	0	34	25	21	0	0	7	113	0	19
SP107874	140	330	0	19	139	53	32	23	18	25	0	2	0	2	30
SP110816	28	77	8	12	81	23	26	0	18	28	2	3	0	0	2
SP77203	775	349	0	967	0	63	46	13	99	47	5	2	0	7	47
SP76515	40	171	48	20	99	34	23	53	39	23	2	11	0	0	3
SP110770	171	148	0	2	81	23	26	65	37	18	0	5	20	0	18
SP69812	45	65	0	6	48	44	0	0	16	33	0	0	0	1	6
SP76136	162	40	0	44	429	70	2	43	186	32	0	9	0	0	41
SP70106	47	15	0	233	0	43	223	6	26	4	5	5	8	0	52
SP108059	66	142	0	20	0	23	13	9	17	29	5	13	45	0	2
SP108020	103	216	0	48	0	11	17	11	15	50	3	3	53	0	3
SP76867	138	225	9	16	0	48	14	21	19	17	5	11	13	0	7
SP108088	90	177	15	12	15	56	12	3	39	52	5	3	0	4	11
SP71734	88	174	0	8	26	19	15	19	26	31	4	6	28	0	12
SP76001	30	96	0	11	0	44	6	0	19	21	3	0	34	0	0
SP108033	120	253	14	11	0	33	3	14	44	24	3	6	0	0	17
SP110822	129	262	0	35	0	73	16	19	11	32	8	10	7	0	53
SP69762	107	21	4	14	214	30	14	14	7	20	7	1	0	0	10
SP107945	97	215	7	29	65	47	29	12	16	58	1	6	3	0	9
SP107770	54	144	0	19	0	30	16	10	23	19	8	6	43	0	10
SP73263	157	289	0	10	0	28	16	0	14	20	0	14	35	3	18
SP77131	102	341	0	4	84	30	39	32	23	24	2	5	22	1	21
SP75322	579	576	0	19	0	116	116	30	49	0	9	13	62	9	185
SP70046	10	23	0	0	170	23	12	18	4	0	5	9	15	0	14
SP70932	68	219	0	12	73	32	18	8	43	18	0	1	32	0	0
SP71758	2	45	0	31	63	18	8	13	126	8	1	5	9	0	1
SP71228	295	101	0	20	341	42	27	74	39	70	3	7	4	0	26
SP76353	4	30	49	2	63	40	10	6	4	25	4	3	0	0	17
SP69587	27	96	0	1	38	2	8	8	2	6	0	0	18	0	2
SP69898	323	429	0	17	291	44	46	10	5	89	9	0	0	7	12
SP75977	52	127	0	1	10	39	11	8	31	29	0	8	25	0	9
SP70226	38	127	10	2	53	22	15	58	0	2	2	5	37	0	28
SP108068	103	179	0	21	0	37	26	22	33	42	0	10	40	0	20
SP107784	103	620	0	13	368	17	59	74	12	0	7	5	28	0	15
SP110824	44	180	0	0	0	14	12	8	30	29	0	7	46	0	9
SP76843	137	398	24	12	83	65	40	15	8	18	0	8	0	7	16
SP71456	115	162	0	42	148	68	19	6	34	52	0	16	25	0	12
SP108065	138	78	0	0	109	29	26	28	14	24	0	8	20	0	11
SP70860	204	220	0	26	0	54	20	35	21	56	2	9	11	2	0
