Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CPCT02070171T	1692	0.998	284.805	16.832%	55.473	7.052%	0.05053	0.998
CPCT02220024T	3318	0.997	443.967	13.381%	79.912	7.272%	0.02994	0.997
CPCT02160028T	2205	0.999	231.269	10.488%	46.305	4.728%	0.02231	0.999
CPCT02370005T	1800	0.994	406.29	22.572%	75.198	11.438%	0.07678	0.994
CPCT02230024T	1917	0.997	313.308	16.344%	50.092	7.62%	0.04119	0.997
CPCT02230032T	2014	0.999	213.235	10.588%	35.407	3.841%	0.0313	0.999
CPCT02070185T	1967	0.998	252.084	12.816%	47.973	5.783%	0.03514	0.998
CPCT02230027T	2656	0.998	348.504	13.121%	65.097	5.825%	0.02679	0.998
CPCT02030357T	208583	1.0	16702.418	8.008%	6039.343	4.476%	0.01131	1.0
CPCT02080062T	2085	0.998	332.903	15.967%	57.138	6.311%	0.04642	0.998
CPCT02330045T	1950	0.997	367.755	18.859%	67.158	9.074%	0.0493	0.996
CPCT02010614T	980	0.989	243.993	24.897%	50.432	14.792%	0.08654	0.988
CPCT02380015T	1109	0.997	193.291	17.429%	36.662	7.992%	0.05811	0.997
CPCT02050187T	2015	0.997	291.752	14.479%	57.053	7.177%	0.03318	0.997
CPCT02050211T	106833	1.0	3188.215	2.984%	777.301	1.102%	0.00346	1.0
CPCT02020554T	3057	0.997	466.816	15.27%	97.784	8.151%	0.04217	0.997
CPCT02030361T	2846	0.997	383.101	13.461%	76.976	8.091%	0.03353	0.996
CPCT02080131T	1060	0.996	194.917	18.388%	39.128	8.929%	0.0725	0.996
CPCT02380016T	7722	1.0	596.614	7.726%	132.782	2.917%	0.0151	1.0
CPCT02340017T	2085	0.984	484.064	23.216%	109.099	19.28%	0.0573	0.982
CPCT02010623T	3523	0.999	399.903	11.351%	65.746	4.412%	0.02703	0.999
CPCT02010624T	2418	0.999	288.738	11.941%	57.517	5.119%	0.02716	0.999
DRUP01090003T	126173	1.0	7642.791	6.057%	2250.492	2.708%	0.00781	1.0
CPCT02210023T	1980	0.993	452.407	22.849%	85.44	13.576%	0.05686	0.992
CPCT02210024T	1533	0.991	331.792	21.643%	70.674	13.867%	0.06826	0.989
CPCT02050227T	731	0.996	151.565	20.734%	27.194	9.241%	0.07609	0.995
CPCT02070198T	1373	0.993	273.601	19.927%	60.753	12.243%	0.05758	0.992
CPCT02030371T	2176	0.998	259.623	11.931%	45.619	6.367%	0.02335	0.998
CPCT02040140T	913	0.984	250.824	27.473%	56.75	18.704%	0.09338	0.982
CPCT02060124T	1059	0.978	288.63	27.255%	57.038	20.905%	0.09688	0.973
CPCT02220025T	2678	1.0	234.167	8.744%	37.401	3.272%	0.01797	0.999
CPCT02120042T	194860	1.0	7354.57	3.774%	2154.822	1.592%	0.00386	1.0
CPCT02120048T	990	0.998	180.557	18.238%	30.852	7.563%	0.06491	0.997
CPCT02120044T	968	0.994	199.703	20.63%	39.063	11.21%	0.06452	0.994
CPCT02120041T	1076	0.997	188.6	17.528%	38.176	8.228%	0.05983	0.996
CPCT02050234T	2273	0.999	366.298	16.115%	77.52	6.914%	0.04148	0.998
CPCT02050241T	1525	0.995	266.76	17.492%	45.529	10.286%	0.04758	0.994
CPCT02100106T	1359	0.994	286.363	21.072%	61.933	10.812%	0.07281	0.994
CPCT02210029T	1905	0.996	352.256	18.491%	63.592	9.453%	0.05494	0.995
CPCT02340022T	10369	0.998	1866.203	17.998%	443.228	7.49%	0.07362	0.998
CPCT02040148T	3272	0.999	329.642	10.075%	68.329	4.347%	0.02275	0.999
CPCT02040152T	1674	0.999	221.252	13.217%	36.166	4.815%	0.03632	0.999
CPCT02040151T	1395	0.998	220.635	15.816%	39.479	7.407%	0.04018	0.997
CPCT02180008T	2697	0.999	291.448	10.806%	61.572	4.323%	0.02519	0.999
CPCT02110012T	423	0.996	95.075	22.476%	15.412	8.752%	0.10257	0.996
CPCT02050093T	2621	0.994	548.201	20.916%	116.488	12.004%	0.05366	0.993
CPCT02040068T	1238	0.997	233.844	18.889%	40.009	8.427%	0.06126	0.997
CPCT02050085T	2500	0.999	313.063	12.523%	53.87	5.366%	0.02619	0.999
CPCT02110013T	3634	0.998	578.699	15.925%	118.717	8.228%	0.03331	0.998
CPCT02100042T	2160	0.997	312.768	14.48%	57.164	7.378%	0.04072	0.997
CPCT02040067T	1675	0.999	234.048	13.973%	40.155	5.798%	0.03813	0.998
CPCT02030306T	2286	0.998	343.952	15.046%	66.772	7.396%	0.03427	0.997
CPCT02050097T	1732	0.997	287.703	16.611%	59.668	8.157%	0.0516	0.996
CPCT02040062T	1649	0.999	213.941	12.974%	45.368	5.929%	0.02795	0.999
CPCT02190004T	843	0.995	190.635	22.614%	31.256	11.169%	0.0808	0.994
CPCT02070066T	3031	0.999	350.016	11.548%	58.436	5.314%	0.02204	0.999
CPCT02230003T	2681	0.95	1069.976	39.91%	286.962	31.336%	0.2138	0.944
CPCT02210008T	2084	0.999	232.743	11.168%	38.466	4.603%	0.02998	0.999
CPCT02050095T	1628	0.999	188.092	11.554%	33.888	5.103%	0.03121	0.999
CPCT02210009T	1947	0.99	441.238	22.662%	94.063	14.966%	0.06458	0.989
