Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
CPCT02020633T	115	108	219	29	109	88	66
CPCT02010663T	161	96	186	279	156	156	109
CPCT02020614T	360	381	295	56	200	139	62
CPCT02290020T	93	302	67	45	105	10	115
CPCT02020632T	428	480	44	96	342	48	201
CPCT02050103T	32	343	99	47	115	28	34
CPCT02100072T	50	253	72	31	132	19	27
CPCT02100076T	92	62	692	209	151	191	75
CPCT02100077T	86	115	88	72	43	22	38
CPCT02070154T	98	332	253	592	0	162	138
CPCT02330034T	37	143	88	91	980	409	42
CPCT02070156T	435	237	69	76	197	51	57
CPCT02070162T	162	245	57	35	112	43	74
CPCT02070172T	38	45	129	194	97	72	42
CPCT02070188T	161	330	58	158	241	113	72
CPCT02270003T	35	250	75	25	86	34	51
CPCT02160026T	92	83	382	191	109	80	56
CPCT02070149T	189	105	7	257	309	99	31
CPCT02080119T	408	253	140	115	275	61	54
CPCT02110041T	582	734	98	92	530	93	102
CPCT02050216T	65	285	30	30	59	49	106
CPCT02070194T	71	110	130	41	73	25	103
CPCT02330046T	37	100	152	123	157	10	149
CPCT02070204T	241	305	346	827	25	201	191
CPCT02120020T	272	473	123	97	250	107	156
CPCT02260007T	0	171	44	34	0	45	94
CPCT02020583T	366	1062	287	48	345	73	147
CPCT02070041T	11218	2725	0	0	111	0	267
CPCT02070043T	118	411	277	325	109	180	40
CPCT02050086T	69	158	18	23	106	7	52
CPCT02070044T	33	97	59	40	84	0	64
CPCT02220005T	178	146	146	18	194	48	47
CPCT02070057T	641	433	273	71	582	106	55
CPCT02330015T	343	362	178	155	152	166	88
CPCT02140037T	39	220	260	62	30	55	65
CPCT02070096T	73	303	309	82	63	69	64
CPCT02040064T	24	59	24	21	146	61	57
CPCT02070094T	122	211	428	87	157	66	78
CPCT02070102T	145	94	100	37	166	84	39
CPCT02050124T	79	473	62	86	197	76	68
CPCT02060073T	16	34	0	29	46	10	57
CPCT02060082T	244	469	23	0	617	155	113
CPCT02040105T	87	172	391	36	11	83	63
CPCT02010665T	19	0	0	794	481	57	104
CPCT02020629T	160	325	16	187	159	6	85
CPCT02080164T	16	166	0	979	522	0	238
CPCT02120080T	231	212	32	28	86	42	33
CPCT02050289T	141	112	93	296	90	56	152
CPCT02050297T	90	268	190	5	54	41	88
WIDE01010621T	74	56	466	63	8	140	76
WIDE01010461T	49	257	333	35	0	82	54
CPCT02120204T	160	541	367	36	127	22	52
CPCT02120206T	28	352	55	24	41	77	51
WIDE01010518T	147	515	217	344	178	210	78
CPCT02020991T	435	381	6	0	598	4	128
WIDE01010609T	166	95	542	297	76	135	49
CPCT02020993T	81	304	44	33	64	13	18
WIDE01010723T	169	244	171	129	436	45	94
