Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP123975	1894	0	33	0	2	44	0	5	0	0	0	4	0	29	28	48	0	70	54
SP124044	0	0	0	5	6	6	0	0	15	0	11	0	2	0	0	4	0	13	5
SP123972	44	0	33	0	27	56	0	0	65	9	5	2	26	83	0	0	0	28	35
SP123850	5	0	0	0	0	3	25	15	2	2	0	4	0	15	19	6	0	45	0
SP123902	6	0	0	0	25	8	15	21	0	0	0	1	16	12	4	17	1	31	2
SP123884	5	0	2	0	0	5	0	65	43	1	0	3	0	0	49	10	0	34	2
SP123964	4	0	0	0	0	3	4	38	33	0	0	0	0	0	0	9	6	40	0
SP123995	3	0	0	0	0	3	0	0	0	0	60	0	0	15	0	11	3	41	2
SP123846	3	0	0	4	0	5	7	19	0	0	7	1	10	1	1	33	23	58	4
SP124003	6	0	0	4	0	7	17	19	0	0	0	4	0	8	0	2	0	26	0
SP123876	4	29	0	0	0	7	17	0	0	0	8	0	34	0	0	0	0	34	0
SP123878	5	0	3	0	31	6	0	11	4	0	5	4	4	0	0	5	2	7	4
SP123842	2	0	22	0	0	1	0	28	23	0	0	1	0	5	4	0	0	13	0
SP123900	3	0	4	0	11	2	5	0	12	0	63	2	0	6	21	3	5	6	0
SP123978	3	7	2	0	7	1	0	0	9	3	0	0	4	6	0	3	14	4	2
SP123897	3	0	20	0	2	12	6	2	2	0	0	0	9	4	3	14	0	15	0
SP124013	2	0	25	0	14	4	2	1	0	3	16	3	0	11	0	1	0	43	0
SP124021	2	4	0	0	19	5	8	0	7	0	8	1	5	0	0	5	0	24	1
SP123852	9	0	25	11	0	5	3	0	0	2	0	3	0	2	32	9	0	18	2
SP123998	1	0	0	0	12	21	0	7	7	0	0	7	13	17	53	8	6	7	11
SP123967	4	0	0	0	0	0	11	0	7	0	32	0	22	9	0	5	0	6	0
SP123988	11	41	0	4	0	5	45	16	22	0	60	0	0	32	9	18	14	14	0
SP123984	6	15	0	6	0	3	8	0	20	0	0	2	3	10	0	3	0	26	1
SP123858	0	0	0	5	0	9	0	0	0	0	4	1	0	13	10	11	6	23	6
SP123890	0	0	16	6	4	5	13	11	0	0	0	0	0	15	3	0	0	25	0
SP123950	5	0	0	0	4	4	7	0	32	0	11	0	17	11	2	19	4	22	3
SP123886	4	0	0	0	0	5	0	14	0	2	0	1	23	0	3	3	0	7	0
SP124033	2	0	0	5	0	1	0	15	0	12	0	4	5	0	1	5	0	32	5
SP123892	8	32	0	0	0	12	11	40	20	0	0	0	0	9	0	3	0	45	0
SP123840	0	0	0	4	0	6	16	1	0	0	0	6	26	5	23	10	0	24	1
SP123969	3	13	6	0	46	9	0	0	0	0	0	1	0	17	0	6	19	23	0
SP123953	9	0	13	0	0	5	11	9	0	6	0	3	0	7	26	0	20	8	0
SP123955	2	0	21	0	0	2	5	7	0	0	0	2	3	28	5	6	8	6	0
SP123882	4	28	0	0	3	6	14	0	31	0	0	3	0	11	4	22	9	74	3
SP123894	11	0	0	0	57	7	0	6	0	0	0	3	13	0	11	6	0	76	8
SP124017	3	0	0	0	1	5	0	5	0	0	9	2	6	0	7	2	0	7	0
SP123856	0	13	0	0	0	5	9	2	0	0	0	0	5	9	0	6	8	13	3
SP123854	6	0	0	27	0	4	0	0	0	0	0	0	41	4	14	1	0	19	1
SP123888	0	0	0	0	4	5	0	19	1	0	0	4	6	4	12	4	20	28	1
SP123870	3	7	0	0	0	2	6	0	0	0	3	4	13	1	0	13	1	38	0
SP123958	0	0	0	12	0	2	3	0	0	0	0	0	0	4	21	0	11	11	0
SP123844	1	9	0	0	0	4	9	0	0	0	30	2	7	2	0	2	31	19	0
SP123872	3	6	0	0	0	19	2	20	0	4	14	0	22	1	22	25	0	20	0
SP123874	5	0	5	0	0	10	22	8	27	0	0	1	0	7	0	4	0	21	5
SP123836	4	0	6	0	6	16	8	0	0	0	3	0	0	11	51	11	0	62	0
SP43633	5	5	9	0	0	4	3	0	14	0	0	0	9	3	0	3	19	3	0
SP36498	15	105	0	117	137	3	98	25	0	0	144	4	1	40	0	0	0	0	0
SP37516	7	41	169	115	21	8	0	18	88	4	0	4	40	23	12	1	0	0	5
SP39997	17	180	0	93	0	16	87	67	68	0	138	12	8	9	3	6	0	27	7
SP35617	11	72	0	0	102	25	93	62	128	0	138	1	0	13	0	13	9	1	3
SP37636	10	0	0	26	24	27	33	55	41	0	0	4	21	15	32	8	8	3	6
SP39907	17	0	0	56	115	7	94	0	91	5	0	2	53	27	0	16	0	5	1
SP40736	25	214	0	58	255	18	135	57	0	0	0	16	0	32	0	21	0	5	13
SP42154	12	84	0	77	0	41	77	0	83	0	118	1	15	50	79	22	15	6	0
SP39594	19	161	0	94	0	0	90	89	114	16	0	18	22	27	27	16	17	9	5
SP41453	9	99	43	68	0	29	68	64	17	8	68	1	55	17	10	4	12	2	0
SP34452	19	51	298	305	0	11	37	186	266	0	0	6	45	62	0	2	0	3	11
SP42829	23	48	198	113	0	50	24	0	116	1	117	7	51	19	0	15	0	4	3
SP37970	26	38	66	144	135	13	91	60	0	0	201	10	0	80	115	7	3	16	11
SP34186	19	332	0	98	31	50	150	110	0	12	63	10	74	24	35	0	0	15	7
SP37903	18	345	141	105	289	26	128	60	0	0	0	12	0	15	43	0	0	0	3
SP35849	2	53	0	0	22	27	48	47	0	2	12	3	14	7	16	0	8	18	0
SP36586	53	0	37	15	0	106	0	46	0	17	0	2	0	11	40	4	0	4	9
SP34431	8	52	69	46	81	0	23	0	108	0	0	4	0	12	58	9	0	1	0
SP37432	8	164	51	5	19	13	69	0	0	5	0	1	57	28	42	0	0	15	0
SP35989	14	19	0	89	0	7	49	93	36	0	0	5	35	12	14	15	0	7	7
SP39102	9	0	54	83	101	18	27	0	74	2	18	6	0	20	0	2	4	23	11
SP34493	10	0	0	0	71	29	72	34	0	0	46	1	48	19	10	1	0	9	0
SP36036	11	15	68	0	29	19	7	48	10	0	98	1	80	28	0	2	0	6	0
SP35951	39	0	100	63	27	11	0	62	213	0	191	12	0	18	52	15	12	0	9
SP39248	5	19	54	48	0	12	22	46	119	14	0	3	34	1	24	0	6	16	1
SP34246	6	124	15	71	0	4	137	109	0	10	113	0	125	7	5	9	24	0	6
SP35412	4	151	16	68	0	15	59	67	74	0	119	0	37	64	0	12	0	16	7
SP39298	34	215	288	109	171	10	70	156	347	0	119	18	0	25	50	22	0	2	11
SP38044	20	0	251	77	72	20	30	223	70	2	0	8	45	0	11	53	0	8	1
SP38271	27	138	91	107	46	15	47	140	0	5	0	5	0	30	85	3	11	28	8
SP43201	7	146	0	2	0	9	67	137	81	0	31	4	4	28	17	0	14	7	6
SP34191	8	0	0	23	182	9	38	49	81	11	47	7	3	0	6	4	0	10	0
