MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	1.84E-03	1.30E-03	8.30E-04	2.66E-03	1.30E-03	1.33E-03	4.58E-03	2.82E-03	4.93E-03	8.07E-03	4.98E-03	6.04E-03	4.43E-03	5.07E-03	8.04E-03	3.58E-03
1:Del:C:1	1.23E-03	7.73E-04	9.48E-04	3.12E-03	7.50E-04	1.35E-03	4.39E-03	4.30E-03	7.51E-03	3.90E-03	3.79E-03	4.64E-03	3.47E-03	5.78E-03	2.45E-03	3.75E-03
1:Del:C:2	6.50E-04	3.89E-04	1.15E-03	2.22E-03	5.58E-04	1.19E-03	2.78E-03	3.39E-03	5.17E-03	2.85E-03	1.81E-03	2.84E-03	2.92E-03	5.33E-03	1.79E-03	2.94E-03
1:Del:C:3	3.48E-04	3.68E-04	5.11E-04	1.35E-03	3.94E-04	1.52E-03	1.73E-03	2.39E-03	2.36E-03	2.03E-03	1.54E-03	1.72E-03	1.26E-03	2.71E-03	8.37E-04	2.08E-03
1:Del:C:4	1.43E-04	1.15E-04	2.27E-04	1.29E-03	2.27E-04	4.99E-04	1.29E-03	1.50E-03	1.71E-03	1.60E-03	1.04E-03	1.68E-03	6.33E-04	1.60E-03	1.57E-03	2.17E-03
1:Del:C:5	1.15E-03	4.54E-04	6.02E-04	1.19E-03	1.02E-03	8.39E-04	7.89E-04	1.20E-03	4.33E-04	9.24E-04	6.69E-04	6.86E-04	1.12E-03	6.91E-04	9.81E-04	1.17E-03
1:Del:T:0	1.72E-03	9.54E-04	1.56E-03	2.35E-03	8.93E-04	1.91E-03	3.53E-03	2.21E-03	2.64E-03	5.20E-03	5.43E-03	4.50E-03	6.89E-03	4.22E-03	2.52E-03	3.66E-03
1:Del:T:1	8.20E-04	6.81E-04	1.20E-03	2.61E-03	9.74E-04	1.43E-03	3.14E-03	3.09E-03	2.36E-03	4.29E-03	4.06E-03	4.11E-03	4.67E-03	3.26E-03	1.28E-03	2.86E-03
1:Del:T:2	1.10E-03	6.17E-04	9.46E-04	1.72E-03	8.78E-04	1.60E-03	3.78E-03	2.39E-03	4.34E-03	6.80E-03	2.73E-03	3.39E-03	4.37E-03	3.50E-03	4.09E-03	4.22E-03
1:Del:T:3	1.49E-03	2.51E-04	7.99E-04	1.38E-03	7.97E-04	1.29E-03	2.30E-03	1.67E-03	4.13E-03	6.34E-03	2.71E-03	2.85E-03	2.30E-03	2.95E-03	3.40E-03	2.69E-03
1:Del:T:4	1.98E-03	5.18E-04	7.61E-04	1.23E-03	1.10E-03	1.22E-03	3.46E-03	2.09E-03	3.88E-03	4.32E-03	3.43E-03	3.45E-03	2.46E-03	2.35E-03	3.10E-03	2.61E-03
1:Del:T:5	1.25E-02	4.41E-03	2.47E-03	3.46E-03	1.04E-02	4.71E-03	5.31E-03	3.22E-03	3.60E-03	3.21E-03	1.74E-03	3.91E-03	2.64E-03	2.41E-03	8.76E-04	3.04E-03
1:Ins:C:0	7.39E-03	1.60E-03	6.98E-04	3.05E-03	5.47E-03	2.80E-03	2.43E-03	8.35E-04	1.74E-04	4.58E-04	3.73E-04	1.56E-04	2.17E-04	1.90E-05	5.83E-04	1.79E-03
1:Ins:C:1	3.80E-04	3.79E-04	4.97E-04	8.27E-04	3.67E-04	7.20E-04	9.31E-04	1.24E-03	8.08E-04	4.91E-04	1.10E-03	6.99E-04	9.37E-04	9.77E-04	2.00E-04	7.84E-04
1:Ins:C:2	1.44E-04	9.70E-05	1.46E-04	5.29E-04	1.52E-04	3.70E-04	6.36E-04	3.94E-04	8.42E-04	1.26E-03	8.83E-04	6.64E-04	1.35E-03	1.69E-03	3.55E-04	8.77E-04
1:Ins:C:3	1.56E-04	3.10E-04	1.44E-04	6.45E-04	1.53E-04	4.84E-04	4.78E-04	4.49E-04	2.43E-04	3.30E-04	4.69E-04	2.66E-04	3.81E-04	5.23E-04	1.41E-04	5.47E-04
1:Ins:C:4	4.87E-04	1.63E-04	1.41E-04	4.30E-04	4.72E-04	3.68E-04	3.76E-04	5.00E-04	2.05E-04	4.41E-04	2.78E-05	3.67E-04	1.16E-04	3.17E-04	1.06E-04	1.61E-04
1:Ins:C:5	8.09E-04	8.86E-04	9.57E-04	1.22E-03	6.37E-04	1.35E-03	8.02E-04	1.02E-03	1.09E-03	1.43E-03	1.30E-03	1.40E-03	1.27E-03	1.26E-03	1.39E-03	1.59E-03
1:Ins:T:0	1.10E-03	9.44E-04	1.02E-03	1.94E-03	9.29E-04	1.57E-03	2.05E-03	1.45E-03	8.63E-04	2.38E-03	3.32E-03	2.02E-03	1.80E-03	1.87E-03	1.07E-03	3.55E-03
1:Ins:T:1	1.41E-03	6.50E-04	7.69E-04	2.95E-03	1.33E-03	1.14E-03	2.97E-03	2.61E-03	2.68E-03	3.42E-03	2.72E-03	4.38E-03	3.42E-03	2.43E-03	3.31E-03	4.07E-03
1:Ins:T:2	9.02E-04	5.70E-04	6.16E-04	1.17E-03	7.69E-04	1.14E-03	1.42E-03	1.49E-03	1.92E-03	1.13E-03	1.75E-03	1.71E-03	2.16E-03	1.52E-03	8.30E-04	2.50E-03
1:Ins:T:3	4.51E-04	3.65E-04	5.24E-04	2.03E-03	3.92E-04	7.01E-04	1.69E-03	1.01E-03	1.34E-03	1.76E-03	1.27E-03	2.69E-03	1.88E-03	2.12E-03	6.83E-04	2.54E-03
