Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP53460	493	13	7	153	219	71	0	49	0	33	28	3	6	26	21	25	7	12	24
SP50827	621	41	117	229	194	337	0	84	20	45	17	0	6	40	68	27	47	5	28
SP50263	19	34	154	0	24	20	13	46	0	20	34	5	0	30	15	62	30	0	14
SP50317	43	112	56	17	58	0	0	97	3	26	25	0	0	0	30	10	41	5	7
SP54113	1930	48	66	278	431	269	62	162	0	106	97	0	9	197	48	71	0	67	32
SP50406	3	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	5	0	0
SP51824	308	19	87	76	46	0	38	72	0	29	55	0	0	41	8	98	10	6	17
SP55387	122	0	8	36	26	19	7	14	1	0	10	5	0	18	0	0	0	0	0
SP52779	550	19	62	185	184	112	84	64	0	0	62	0	5	129	32	85	14	21	0
SP55235	1342	48	84	451	321	304	146	91	0	75	141	0	0	137	56	0	36	1	1
SP50713	164	2	13	42	35	13	0	24	0	21	55	3	0	11	6	33	16	4	0
SP50611	862	14	76	282	269	15	9	80	0	13	37	0	0	95	76	41	24	0	0
SP50485	0	7	23	11	6	43	1	6	12	11	2	0	1	0	3	6	21	0	2
SP51037	13	18	88	3	1	0	2	23	11	4	23	0	1	6	7	12	15	2	2
SP55142	1955	161	289	340	851	280	286	479	0	451	62	0	9	188	176	175	53	22	51
SP53387	401	13	17	135	144	156	16	81	0	13	48	0	5	108	35	47	32	31	21
SP54745	109	64	156	51	95	324	0	48	0	23	29	0	4	1	14	60	63	32	27
SP52284	26	22	141	16	10	0	8	33	20	17	34	0	2	6	19	25	26	4	26
SP53618	891	6	63	363	305	177	71	69	0	32	89	0	4	127	63	58	0	10	0
SP52232	441	0	0	124	125	0	28	46	0	15	21	0	5	36	27	43	8	12	3
SP50412	1	3	16	6	4	42	0	0	9	5	7	0	1	0	2	0	14	0	9
SP50321	135	0	48	76	71	22	21	44	3	0	87	0	4	12	14	36	6	4	14
SP53548	0	8	63	4	2	19	0	51	16	9	28	5	1	2	22	0	10	11	8
SP55004	0	0	3	1	3	0	1	2	0	1	7	0	0	0	0	1	2	0	0
SP56079	704	1	31	154	151	207	33	0	0	18	25	0	0	73	46	29	13	18	0
SP56168	37	21	95	12	64	66	11	28	13	21	60	9	1	0	25	29	60	9	36
SP54363	431	43	210	146	169	258	31	4	5	21	52	0	5	10	19	65	6	18	18
SP53810	2365	6	62	633	910	1126	0	0	0	0	0	0	0	249	69	0	0	22	0
SP50518	0	7	116	5	14	50	13	46	0	23	44	0	8	6	3	1	45	3	18
SP56303	23	29	135	7	85	0	0	80	8	126	151	0	10	0	21	33	44	7	45
SP55711	12	9	104	2	50	0	0	13	0	10	40	0	0	0	0	130	39	2	15
SP55509	943	10	94	319	343	80	8	96	0	8	40	0	0	84	45	88	12	7	0
SP55309	5	1	0	6	3	0	0	6	8	5	1	0	1	0	0	12	19	0	2
SP52607	10	0	21	12	12	0	0	27	0	6	7	2	0	1	3	0	15	7	1
SP52667	464	13	18	94	206	108	0	0	0	32	57	0	3	37	49	65	18	0	16
SP51446	47	0	125	0	35	0	6	31	0	0	58	7	2	6	16	43	23	4	6
SP50592	0	3	92	5	8	44	13	20	19	9	27	2	4	1	16	27	40	0	11
SP53073	284	20	45	34	51	169	11	23	0	16	64	0	0	56	19	68	17	12	0
SP56638	529	21	150	167	99	31	33	152	36	45	69	6	4	54	52	0	19	40	2
SP56537	596	99	193	100	162	44	48	229	0	16	69	1	0	80	36	11	5	28	16
SP57586	369	60	147	90	84	38	68	130	28	24	73	0	8	58	57	0	28	20	27
SP56541	597	16	1	124	132	31	51	77	0	73	71	0	5	92	38	117	16	29	8
SP56553	895	134	244	101	346	506	159	42	6	58	10	0	12	197	14	0	52	14	34
SP56771	96	28	189	26	51	0	53	75	81	27	74	0	6	13	15	11	17	0	26
SP57941	963	44	115	348	471	0	67	411	0	28	41	0	7	68	115	85	28	13	27
SP57818	656	46	74	228	285	303	50	15	0	77	145	0	8	23	19	59	26	20	15
SP56460	179	71	407	16	95	25	59	112	84	114	109	0	12	19	16	0	18	18	33
SP56474	29	133	191	24	77	0	36	77	19	47	36	0	1	2	21	23	22	16	15
SP56704	982	51	78	192	21	204	202	110	0	22	26	0	8	136	15	110	1	17	5
SP56533	292	47	113	49	96	0	80	153	42	30	67	0	2	9	48	0	31	10	36
SP56730	582	85	219	93	133	73	31	182	9	19	100	28	1	41	33	0	14	42	11
