Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP116536	26	15	16	21	0	0	3	17	2
SP116539	2	0	4	5	0	4	1	7	0
SP116542	1	4	2	8	0	0	4	3	8
SP116545	0	0	7	21	0	0	0	0	1
SP116548	3	7	5	7	0	0	0	11	7
SP116550	1	1	0	2	0	0	0	0	2
SP116553	4	14	1	8	0	1	5	0	2
SP116557	0	0	0	1	2	3	2	0	1
SP116559	2	6	4	13	0	0	4	7	4
SP116562	12	18	1	2	2	0	0	7	4
SP116564	3	4	10	2	2	6	3	4	12
SP116571	2	0	12	4	0	1	0	3	4
SP116393	0	0	0	0	0	1	1	0	0
SP116442	0	0	0	3	0	0	0	0	1
SP116446	0	1	2	0	0	0	6	0	1
SP116419	14	1	12	55	0	4	3	30	12
SP116383	176	34	138	30	4	47	12	23	39
SP116385	35	61	19	17	0	23	35	4	32
SP116440	28	32	20	10	0	8	27	28	26
SP116450	172	103	61	38	4	0	6	25	35
SP116493	2	30	3	21	0	3	9	7	8
SP116391	8	13	24	17	0	2	8	1	1
SP116401	28	13	2	8	0	0	0	6	9
SP116409	13	38	17	16	0	5	5	13	37
SP116416	2	1	4	11	0	2	5	3	3
SP116424	4	3	1	5	0	3	0	8	10
SP116515	26	0	10	28	2	12	3	11	2
SP116499	9	2	50	60	7	22	0	8	0
SP116505	2	145	85	28	3	9	0	1	5
SP116509	27	10	52	45	2	18	12	9	7
SP116437	16	7	3	21	0	0	0	17	1
SP116512	27	31	26	63	0	4	0	0	235
SP116465	0	0	55	3	1	16	6	1	110
SP116496	234	48	52	82	0	46	35	20	35
SP116525	71	17	44	70	0	4	19	12	17
SP116481	1	11	6	15	2	5	0	0	1
SP116586	8	3	5	30	0	10	8	5	6
SP116528	47	206	24	32	0	9	24	10	23
SP116589	94	72	58	92	9	51	0	13	6
SP116406	14	4	33	41	1	6	0	0	18
SP116484	0	3	6	22	3	2	0	1	6
SP116453	17	11	11	33	0	0	16	1	10
SP116469	221	24	15	71	0	35	9	24	33
SP116578	481	20	33	3	0	128	25	10	19
SP116531	2	39	7	23	0	3	0	10	14
SP116593	0	3	6	40	2	1	0	8	2
SP116487	4	7	2	5	0	7	0	0	5
SP116456	1	2	3	8	0	0	24	9	2
SP116472	24	35	69	27	3	42	21	4	14
SP116518	28	119	191	140	4	16	34	1	34
SP116412	5	20	32	36	0	0	0	6	4
SP116534	17	8	22	15	0	16	4	7	0
SP116596	122	25	10	111	0	26	24	51	29
SP116490	0	17	59	43	0	22	0	8	8
