Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP116536	8.13E-01	6.49E-01	7.30E-01	7.88E-01	0.00E+00	9.57E-02	7.25E-01	6.76E-01	6.86E-01
SP116539	5.13E-01	9.03E-02	2.23E-01	4.19E-01	0.00E+00	2.41E-01	1.42E-01	3.83E-01	0.00E+00
SP116542	1.62E-01	2.52E-01	2.41E-01	4.10E-01	0.00E+00	0.00E+00	4.66E-01	2.79E-01	4.35E-01
SP116545	0.00E+00	1.97E-01	3.59E-01	3.78E-01	0.00E+00	1.24E-01	1.48E-01	6.37E-02	1.71E-01
SP116548	4.00E-01	3.77E-01	3.92E-01	4.43E-01	0.00E+00	7.01E-02	1.95E-01	4.29E-01	3.20E-01
SP116550	1.51E-01	8.28E-02	0.00E+00	1.36E-01	3.00E-02	0.00E+00	3.71E-02	0.00E+00	1.50E-01
SP116553	2.39E-01	4.05E-01	1.66E-01	3.86E-01	1.35E-01	2.67E-01	3.94E-01	1.82E-01	3.80E-01
SP116557	0.00E+00	0.00E+00	0.00E+00	1.93E-01	1.59E-01	2.13E-01	2.03E-01	0.00E+00	1.98E-01
SP116559	1.77E-01	3.82E-01	3.24E-01	5.32E-01	0.00E+00	0.00E+00	3.49E-01	4.46E-01	3.64E-01
SP116562	4.16E-01	4.39E-01	1.87E-01	2.49E-01	1.88E-01	1.58E-01	3.78E-01	3.87E-01	4.64E-01
SP116564	3.16E-01	3.29E-01	3.78E-01	4.04E-01	1.66E-01	3.91E-01	4.77E-01	3.57E-01	4.84E-01
SP116571	2.38E-01	1.49E-01	3.42E-01	3.14E-01	0.00E+00	1.52E-01	1.96E-01	2.59E-01	3.04E-01
SP116393	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.61E-02	7.40E-02	7.95E-02	2.43E-02	3.26E-02
SP116442	0.00E+00	0.00E+00	0.00E+00	1.08E-01	0.00E+00	0.00E+00	6.64E-02	0.00E+00	1.05E-01
SP116446	2.00E-02	1.02E-01	1.28E-01	1.12E-01	1.00E-02	9.63E-02	2.43E-01	1.47E-01	1.88E-01
SP116419	8.14E-01	3.24E-01	6.61E-01	1.17E+00	0.00E+00	4.40E-01	1.20E+00	1.09E+00	8.32E-01
SP116383	2.35E+00	1.60E+00	2.27E+00	1.48E+00	1.81E-01	1.35E+00	1.88E+00	2.05E+00	1.90E+00
SP116385	1.13E+00	8.46E-01	6.08E-01	8.10E-01	0.00E+00	9.32E-01	1.74E+00	5.90E-01	1.74E+00
SP116440	1.08E+00	7.37E-01	6.73E-01	9.86E-01	0.00E+00	5.27E-01	1.99E+00	9.01E-01	1.80E+00
SP116450	1.96E+00	1.59E+00	1.41E+00	1.70E+00	1.81E-01	4.72E-01	2.08E+00	1.53E+00	1.78E+00
SP116493	3.00E-01	5.89E-01	3.13E-01	6.62E-01	0.00E+00	2.39E-01	6.47E-01	6.48E-01	5.89E-01
SP116391	4.74E-01	5.35E-01	6.33E-01	5.57E-01	0.00E+00	2.65E-01	3.96E-01	2.40E-01	2.91E-01
SP116401	6.45E-01	4.66E-01	3.42E-01	4.78E-01	0.00E+00	8.94E-02	5.18E-01	4.44E-01	5.65E-01
SP116409	7.23E-01	7.99E-01	7.65E-01	8.09E-01	0.00E+00	3.34E-01	1.04E+00	7.84E-01	1.06E+00
SP116416	3.60E-01	1.75E-01	3.14E-01	4.43E-01	0.00E+00	2.45E-01	3.97E-01	4.79E-01	3.62E-01
SP116424	4.75E-01	2.13E-01	1.81E-01	3.38E-01	0.00E+00	2.47E-01	4.33E-01	3.64E-01	5.57E-01
SP116515	9.80E-01	1.14E-01	5.14E-01	9.41E-01	2.20E-01	6.10E-01	4.47E-01	4.93E-01	3.85E-01
SP116499	9.08E-01	4.03E-01	9.20E-01	9.37E-01	4.13E-01	6.73E-01	5.98E-01	5.96E-01	4.45E-01
SP116505	5.56E-01	1.67E+00	1.79E+00	1.01E+00	2.58E-01	5.42E-01	4.65E-01	4.15E-01	5.13E-01
SP116509	9.39E-01	7.76E-01	1.21E+00	1.01E+00	2.17E-01	7.92E-01	7.51E-01	6.97E-01	5.25E-01
SP116437	6.88E-01	3.46E-01	3.48E-01	6.57E-01	0.00E+00	1.06E-01	6.33E-01	5.23E-01	5.44E-01
