Samples	ID1	ID2	ID4	ID6	ID8	ID9	ID18	ID19	ID23
SP95454	6920	21402	0	0	0	0	0	0	0
SP94741	11700	43432	0	0	0	0	0	0	0
SP90209	50984	76228	0	0	0	0	0	0	0
SP90989	6311	44317	0	0	0	0	0	0	0
SP93540	14702	81338	0	0	0	0	0	0	0
SP93227	43500	85839	0	0	0	0	0	0	0
SP94348	9149	41217	0	0	0	0	0	0	0
SP94588	310	93	0	0	0	130	0	0	0
SP90725	302	105	0	0	0	0	0	0	0
SP94236	143	64	89	0	82	133	0	0	0
SP93772	116	67	0	0	66	0	0	0	136
SP92195	210	72	0	0	85	147	0	0	0
SP89957	161	207	0	0	0	0	0	0	111
SP92268	246	192	0	0	0	0	0	0	0
SP92707	151	65	0	0	0	0	0	0	117
SP89687	127	156	0	0	82	135	0	0	0
SP90269	329	0	0	0	0	0	0	0	159
SP94933	34873	29413	0	0	0	0	0	0	0
SP95126	106	254	135	114	0	207	0	0	0
SP95646	221	96	0	0	0	188	0	0	0
SP89443	135	60	0	0	73	103	0	0	0
SP89651	86	49	0	0	63	85	0	0	0
SP94060	184	53	0	0	0	0	0	0	140
SP92787	72	30	0	0	61	45	0	0	84
SP92723	317	117	0	0	0	0	0	0	0
SP92364	15489	44195	0	0	0	0	0	0	0
SP95406	109	55	0	0	0	0	0	0	140
SP91746	147	57	0	0	0	0	0	0	119
SP92332	167	120	0	161	0	272	0	0	0
SP91730	122	74	0	436	183	174	0	0	0
SP92947	360	147	0	0	0	0	0	0	0
SP91666	268	153	0	0	0	125	0	0	0
SP90245	141	61	0	0	88	122	0	0	118
SP90893	120	43	0	0	61	111	0	0	106
SP89519	204	106	98	0	0	0	0	0	0
SP94917	5028	12845	0	0	0	0	0	0	0
SP92659	2970	732	0	0	0	0	0	0	0
SP94332	42	95	0	494	445	0	0	0	0
SP94661	233	125	0	0	0	120	0	0	0
SP93652	203	56	0	0	75	0	0	0	107
SP90125	187	85	0	0	0	180	0	0	0
SP94540	473	94	0	0	0	0	0	0	0
SP95222	179	295	0	0	0	268	0	0	0
SP89389	123	150	112	0	69	93	0	0	0
SP90503	107	56	0	0	66	0	0	0	114
SP92460	3870	10316	0	0	0	0	0	0	0
SP92931	157	123	88	0	0	0	0	0	147
SP91265	185	212	105	0	88	168	0	0	0
SP89909	2405	10257	0	0	0	0	0	0	0
SP90629	118	205	129	0	113	367	0	0	0
SP95550	135	191	109	99	0	107	0	0	0
CPCT02020389T	228	253	0	0	0	0	0	0	0
CPCT02080033T	797	145	0	0	0	0	0	0	0
CPCT02060156T	343	419	0	0	174	0	0	214	0
DRUP01340014T	441	0	0	0	0	0	0	0	0
DRUP01010121T	336	729	0	0	0	0	0	0	0
CPCT02130034T	232	163	0	0	123	152	0	189	0
CPCT02260015T	212	376	0	0	336	0	0	295	190
