Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP1086	28	82	173	50	59	59	4
SP1003	75	163	161	62	35	151	1
SP1677	23	101	334	64	0	110	0
SP1305	63	165	301	1004	118	124	51
SP963	23	91	194	88	88	46	0
SP1144	20	57	171	62	79	0	0
SP1132	36	66	651	87	0	0	0
SP1712	0	197	44	0	67	0	0
SP1114	0	134	444	0	0	0	0
SP1431	26	280	0	0	90	0	0
SP975	46	216	0	993	0	104	0
SP1059	74	104	498	67	166	193	1
SP1419	160	203	0	50	271	95	0
SP1009	8	146	146	40	74	83	12
SP1724	14	71	147	26	0	35	0
SP96136	87	106	269	436	166	81	7
SP967	50	190	53	0	0	0	0
SP1781	43	446	158	31	127	8	3
SP1174	378	466	0	61	113	0	0
SP953	114	192	409	6	43	117	11
SP1377	0	219	76	36	50	0	0
SP1365	28	243	168	177	30	106	6
SP1491	68	145	0	335	108	0	0
CPCT02060013T	143	55	184	801	149	227	111
CPCT02100026T	113	133	123	67	20	41	76
CPCT02070020T	251	310	147	119	330	121	86
CPCT02030269T	41	139	21	43	83	33	72
CPCT02010944TIII	88	132	221	34	117	85	42
CPCT02020867T	69	123	0	322	629	0	88
CPCT02070272T	433	676	171	922	149	109	216
CPCT02020648T	73	116	288	85	183	48	71
CPCT02020362T	90	533	183	34	231	46	140
CPCT02440020T	42	895	91	112	88	47	66
CPCT02210077T	187	381	356	18	110	75	49
CPCT02070445T	221	270	81	3	238	22	39
CPCT02020894T	144	193	124	39	145	49	27
CPCT02020896T	171	56	91	11	115	49	34
CPCT02140101T	54	519	653	49	526	105	87
CPCT02210040T	271	528	0	0	0	312	0
DRUP01010020T	62805	11358	0	0	0	0	0
CPCT02020902T	188	162	93	479	311	44	106
CPCT02070443T	245	224	33	27	248	45	41
CPCT02080295T	238	882	0	0	0	461	66
CPCT02020916T	141	23	403	41	244	63	52
CPCT02020915T	85	245	31	12	124	17	46
CPCT02160036T	56	190	6	51	110	24	129
CPCT02120184T	127	131	261	295	138	160	28
CPCT02050315T	8	114	77	5	126	42	99
CPCT02120182T	65	192	126	52	108	38	49
CPCT02020940T	3	70	82	56	136	115	33
CPCT02010712T	420	1157	0	0	308	0	208
CPCT02070294T	82	90	2	27	226	31	143
CPCT02070299T	466	323	583	52	3	108	162
CPCT02050437T	293	779	152	59	181	61	69
CPCT02050436T	115	30	1260	118	116	25	98
