cancer_type	number_of_samples	InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel5c	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K	InsDel_L	InsDel_M	InsDel_N_alpha	InsDel_N_beta
Biliary	120	80	3	11	4	2	1	1	8	7	25	1	3	10	4	5	12	1	2	0	0	3	0	0	3	57	2	5	0	10	1	6	2	0	2	0	0	2	1	0	1	0	46
Bladder	198	107	1	8	9	0	2	27	42	7	16	1	4	17	5	23	26	7	0	0	0	3	2	4	3	82	0	11	7	30	0	5	1	2	4	1	1	3	2	0	1	0	136
Bone.SoftTissue	292	155	15	17	2	1	5	3	10	26	21	0	4	19	0	15	157	4	0	4	5	0	4	0	2	161	2	16	9	70	4	1	4	10	1	4	4	4	2	0	0	3	59
Breast	953	608	23	51	18	4	4	9	18	259	104	3	37	199	12	88	128	23	4	4	1	4	15	0	14	470	13	45	58	285	4	11	19	12	0	4	3	9	0	0	3	5	311
CNS	372	164	15	38	7	8	9	4	6	153	15	3	3	3	3	10	125	45	4	2	2	1	8	5	2	72	5	10	16	29	9	31	1	13	1	3	2	11	1	10	2	9	76
Colon	652	376	14	7	48	21	14	1	3	8	17	0	0	11	42	2	14	10	1	1	0	252	0	60	8	162	1	51	1	30	4	22	5	1	4	0	1	31	4	1	5	3	569
Esophagus	247	59	4	17	43	5	2	1	1	9	26	1	13	15	1	1	24	4	0	0	2	37	1	1	8	47	0	1	3	18	2	4	1	0	0	0	0	0	0	0	0	3	219
Head	122	83	2	17	3	1	2	1	12	11	33	0	0	16	1	4	11	3	1	0	0	2	1	1	0	34	3	5	2	39	0	2	1	2	8	1	0	2	0	1	0	0	44
Kidney	306	90	3	18	2	1	0	1	3	40	267	5	9	4	4	5	10	3	2	0	0	0	1	2	0	59	5	3	1	15	1	1	4	1	0	0	0	0	0	0	0	0	9
Liver	379	271	9	82	0	3	1	7	213	1	159	21	4	16	2	40	22	2	2	0	0	0	0	1	0	28	9	1	2	162	0	2	1	1	2	1	0	0	0	0	0	1	9
Lung	576	321	1	34	22	1	3	7	387	42	61	3	7	49	10	15	96	6	3	0	0	7	1	0	9	177	0	8	6	104	0	11	10	2	13	0	0	6	2	2	3	1	168
Lymphoid	228	32	2	39	16	5	19	0	2	19	29	4	9	8	0	2	63	2	0	0	2	0	0	1	1	11	8	8	2	12	3	0	0	4	0	0	0	0	0	0	0	2	187
Myeloid	72	22	6	9	0	2	1	0	11	1	10	1	4	1	0	5	26	4	3	0	0	0	2	1	0	6	5	2	11	6	7	0	0	1	1	0	2	0	1	1	1	4	9
Other	353	242	10	6	6	2	0	8	39	37	45	1	5	21	6	8	53	10	2	2	1	7	4	3	4	214	1	15	8	81	2	7	9	11	8	1	2	7	1	0	1	1	113
Ovary	264	134	3	17	4	0	1	1	1	33	25	1	3	134	1	39	106	0	1	0	1	0	0	0	0	116	0	11	1	40	0	1	2	2	2	2	0	0	0	0	0	5	61
Pancreas	410	260	11	78	16	5	2	1	9	39	48	5	11	41	8	17	74	31	3	16	2	5	4	2	2	55	5	13	8	52	3	12	1	2	1	4	0	2	3	6	1	4	201
Prostate	701	527	17	75	17	6	20	4	24	25	225	10	14	76	27	12	109	11	10	54	3	8	4	4	16	192	11	3	3	125	4	42	9	9	0	1	0	20	3	2	4	6	183
Skin	432	188	7	34	9	2	5	0	3	29	22	1	5	7	4	51	39	8	1	0	324	2	1	0	1	241	3	6	10	79	1	3	13	8	1	26	3	2	0	4	0	3	92
Stomach	119	14	7	9	11	13	6	0	2	7	8	0	13	13	9	2	11	2	1	0	0	15	0	0	0	17	1	0	2	3	1	3	0	3	2	0	0	3	2	2	0	8	85
Thymus	57	25	1	4	1	0	0	0	10	21	6	3	7	2	0	7	7	2	0	13	0	1	0	0	1	6	1	2	7	12	2	1	1	0	0	0	1	7	0	0	0	1	5
Uterus	122	65	1	8	5	13	1	0	6	29	11	0	2	12	20	1	28	9	1	0	0	0	3	0	2	47	1	4	3	25	1	14	3	0	6	0	0	6	1	1	0	3	58
