MutationType	ID83A	ID83B
1:Del:C:0	0.0024488877318799497	0.031198719441890718
1:Del:C:1	0.0006451315101003274	0.018203240763396026
1:Del:C:2	0.00098152780206874	0.008654403546825052
1:Del:C:3	0.00364066160749644	0.003918367857113481
1:Del:C:4	0.008845670074224472	0.0014092489751055836
1:Del:C:5	0.030394228119403125	0.0012520164338639006
1:Del:T:0	0.001476999461883679	0.02181690849363804
1:Del:T:1	0.0013058342365548014	0.01648751724511385
1:Del:T:2	0.0025197349116206167	0.01665155665948987
1:Del:T:3	0.011945076398551463	0.02279244178906083
1:Del:T:4	0.03720131762325764	0.01322985957376659
1:Del:T:5	0.6652795439958572	0.06704681314527988
1:Ins:C:0	0.00015649455200382966	0.07908378027379513
1:Ins:C:1	0.00014648702097474597	0.00486427812371403
1:Ins:C:2	0.0001332325600378681	0.0016807344823610037
1:Ins:C:3	0.0004274771732161753	0.0015259671222884207
1:Ins:C:4	0.002559196474030614	0.0015069147117901594
1:Ins:C:5	0.012397627960890532	0.010302036702632904
1:Ins:T:0	0.0010480834159534425	0.014587090276181698
1:Ins:T:1	0.00032395495625678447	0.011339668780565262
1:Ins:T:2	0.0018938710249494762	0.007202191730029881
1:Ins:T:3	0.0013985264080110936	0.006480047781951726
1:Ins:T:4	0.003174189154524356	0.009351411275565625
1:Ins:T:5	0.1310660670697689	0.3680315461754799
2:Del:R:0	0.0022008333494886755	0.01073165629990399
2:Del:R:1	0.002274990174919367	0.012764106085523964
2:Del:R:2	0.0018346283899154513	0.003451501429080963
2:Del:R:3	0.009651099955663085	1.6995978762740785e-09
2:Del:R:4	0.004168536998331546	9.10178853700927e-05
2:Del:R:5	0.011556484121829271	2.0610473898051708e-05
3:Del:R:0	0.0009214434679597616	0.0024794726236723364
3:Del:R:1	0.0019456035341136157	0.009387242989614606
3:Del:R:2	0.0008672761189518496	0.0022598087484948337
3:Del:R:3	0.0003605761990183964	0.0006432904535904527
3:Del:R:4	0.0003139311497216113	0.0002729024802101776
3:Del:R:5	0.0006143935350701213	0.00016659626679029315
4:Del:R:0	0.00040704425831791015	0.00191401727613993
4:Del:R:1	0.0010213388688862324	0.005794153879396618
4:Del:R:2	0.0006516214046860114	0.0018510749202687294
4:Del:R:3	0.0008595643314765766	0.0007051994395442307
4:Del:R:4	0.00020779296668479218	0.00029994377022376286
4:Del:R:5	0.00045464115682989357	9.059194071596721e-05
5:Del:R:0	0.000247890298924176	0.017696804739534854
5:Del:R:1	0.0003228244648198597	0.004084030138328671
5:Del:R:2	0.00023805778779205865	0.0008736283436883241
5:Del:R:3	0.00015696110160206444	0.00023312186676776036
5:Del:R:4	8.000693447684171e-05	4.82541438395856e-05
5:Del:R:5	5.674593121511862e-05	3.26286189192615e-05
2:Ins:R:0	0.001752193853026256	0.011553495377302169
2:Ins:R:1	0.0002164600412652362	0.0039737743325531484
2:Ins:R:2	0.0003462848998606205	0.0022386279422789814
2:Ins:R:3	0.0011204688565339892	0.0013211809529457242
2:Ins:R:4	0.004133313926868141	0.002568645204883069
2:Ins:R:5	0.014645755710080265	0.01869130467996001
3:Ins:R:0	0.00030032079841475935	0.005334786642342806
3:Ins:R:1	5.6654958170838655e-05	0.0026750399102456867
3:Ins:R:2	0.00011937842013139744	0.0006686198659008369
3:Ins:R:3	0.00010358175088185817	0.00016933711056481117
3:Ins:R:4	0.00015748917809105478	0.00041474685276625677
3:Ins:R:5	0.0011857771291397512	0.0016443947760853917
4:Ins:R:0	0.0009242776443716138	0.008904465939849615
4:Ins:R:1	0.0001393405174894724	0.003066408266313374
4:Ins:R:2	0.00018845734899514355	0.0004758631435106508
4:Ins:R:3	0.000365674386266619	0.00041625214013038206
4:Ins:R:4	0.00042886191920842975	0.0008474919473519548
4:Ins:R:5	0.00037421719025587663	0.0017209797212854028
5:Ins:R:0	0.002368968091905117	0.03198833670467138
5:Ins:R:1	0.00023310794698772953	0.011891081603243947
5:Ins:R:2	0.00014427374728256836	0.0007436390971997753
5:Ins:R:3	9.317212206951808e-05	0.00040653085627127437
5:Ins:R:4	5.777901475084946e-05	0.00030705181299708786
5:Ins:R:5	1.5615477350365838e-05	0.00020646542732720264
2:Del:M:1	0.0024659882136620582	0.011662070723250508
3:Del:M:1	0.0003011362420511432	0.002348490096628666
3:Del:M:2	0.001202004593797028	0.005454187025316059
4:Del:M:1	0.0007721503300126642	0.002457171007990837
4:Del:M:2	0.00037202916602836923	0.0029561170074157415
4:Del:M:3	0.0006525243737269193	0.004237161949276924
5:Del:M:1	0.0011419110652059316	0.014293146952986717
5:Del:M:2	8.940386651374865e-05	0.011102826539427043
5:Del:M:3	0.0002927273846580647	0.007742013353854418
5:Del:M:4	0.00010662608736311085	0.004429498547688126
5:Del:M:5	0.00030797747953329233	0.006580364531837404
