MutationType	ID83A	ID83B
1:Del:C:0	4.13E-06	1.88E-05
1:Del:C:1	2.35E-06	1.42E-05
1:Del:C:2	1.95E-06	9.60E-06
1:Del:C:3	4.06E-06	8.06E-06
1:Del:C:4	7.52E-06	6.19E-06
1:Del:C:5	1.56E-05	1.27E-05
1:Del:T:0	2.64E-06	1.51E-05
1:Del:T:1	2.62E-06	1.45E-05
1:Del:T:2	3.82E-06	1.24E-05
1:Del:T:3	7.65E-06	1.81E-05
1:Del:T:4	1.45E-05	1.65E-05
1:Del:T:5	6.28E-05	1.67E-04
1:Ins:C:0	6.39E-06	3.11E-05
1:Ins:C:1	7.53E-07	7.76E-06
1:Ins:C:2	5.90E-07	4.64E-06
1:Ins:C:3	1.33E-06	4.64E-06
1:Ins:C:4	4.40E-06	4.86E-06
1:Ins:C:5	8.93E-06	1.19E-05
1:Ins:T:0	2.31E-06	1.45E-05
1:Ins:T:1	1.24E-06	1.09E-05
1:Ins:T:2	3.09E-06	8.70E-06
1:Ins:T:3	2.51E-06	9.08E-06
1:Ins:T:4	4.29E-06	9.95E-06
1:Ins:T:5	3.60E-05	8.42E-05
2:Del:R:0	3.32E-06	1.23E-05
2:Del:R:1	3.48E-06	1.27E-05
2:Del:R:2	2.96E-06	6.87E-06
2:Del:R:3	6.88E-06	1.57E-10
2:Del:R:4	4.71E-06	2.89E-06
2:Del:R:5	8.24E-06	2.01E-06
3:Del:R:0	1.52E-06	5.30E-06
3:Del:R:1	3.21E-06	1.15E-05
3:Del:R:2	2.25E-06	5.40E-06
3:Del:R:3	1.27E-06	2.67E-06
3:Del:R:4	1.63E-06	2.11E-06
3:Del:R:5	1.65E-06	1.93E-06
4:Del:R:0	1.26E-06	4.59E-06
4:Del:R:1	2.63E-06	7.27E-06
4:Del:R:2	1.89E-06	4.86E-06
4:Del:R:3	2.01E-06	3.71E-06
4:Del:R:4	1.03E-06	2.18E-06
4:Del:R:5	1.61E-06	1.56E-06
5:Del:R:0	1.80E-06	1.40E-05
5:Del:R:1	1.14E-06	7.38E-06
5:Del:R:2	8.00E-07	2.99E-06
5:Del:R:3	8.91E-07	1.77E-06
5:Del:R:4	7.46E-07	9.03E-07
5:Del:R:5	5.96E-07	7.42E-07
2:Ins:R:0	2.67E-06	1.07E-05
2:Ins:R:1	1.07E-06	6.92E-06
2:Ins:R:2	1.05E-06	5.04E-06
2:Ins:R:3	2.07E-06	4.23E-06
2:Ins:R:4	4.68E-06	6.90E-06
2:Ins:R:5	9.67E-06	1.58E-05
3:Ins:R:0	1.11E-06	7.28E-06
3:Ins:R:1	6.17E-07	5.76E-06
3:Ins:R:2	6.40E-07	2.95E-06
3:Ins:R:3	7.18E-07	1.59E-06
3:Ins:R:4	7.57E-07	2.00E-06
3:Ins:R:5	2.87E-06	4.37E-06
4:Ins:R:0	1.99E-06	9.07E-06
4:Ins:R:1	7.64E-07	5.60E-06
4:Ins:R:2	8.57E-07	2.67E-06
4:Ins:R:3	1.13E-06	2.82E-06
4:Ins:R:4	1.32E-06	3.58E-06
4:Ins:R:5	1.31E-06	4.05E-06
5:Ins:R:0	3.94E-06	1.95E-05
5:Ins:R:1	1.46E-06	1.13E-05
5:Ins:R:2	6.21E-07	2.64E-06
5:Ins:R:3	6.52E-07	2.34E-06
5:Ins:R:4	4.00E-07	1.81E-06
5:Ins:R:5	2.64E-07	1.43E-06
2:Del:M:1	3.63E-06	1.13E-05
3:Del:M:1	9.73E-07	5.54E-06
3:Del:M:2	2.49E-06	7.30E-06
4:Del:M:1	1.87E-06	5.38E-06
4:Del:M:2	1.40E-06	5.54E-06
4:Del:M:3	1.90E-06	8.03E-06
5:Del:M:1	2.32E-06	1.33E-05
5:Del:M:2	1.08E-06	1.17E-05
5:Del:M:3	1.23E-06	9.89E-06
5:Del:M:4	6.82E-07	7.05E-06
5:Del:M:5	1.06E-06	8.75E-06
