Samples	ID83A	ID83B
SP101845	567	257
SP101682	110	313
SP61553	0	270
SP101724	211	454
SP102103	111	187
SP102174	170	272
SP101622	917	25
SP102161	231	167
SP101654	140	475
SP102074	101	132
SP101694	236	259
SP101616	161	440
SP101666	377	138
SP101558	468	65
SP102096	103	283
SP102084	166	361
SP101580	288	186
SP102064	625	80
SP101564	85	177
SP101921	63	298
SP101648	451	62
SP101628	82	224
SP101708	87	246
SP102055	36	166
SP101634	571	15
SP101588	116	287
SP101584	181	239
SP101686	57	194
SP101532	573	69
SP101732	758	136
SP101528	141	149
SP101536	72	176
SP101576	188	315
SP102015	907	46
SP102168	68	194
SP101716	181	567
SP101592	116	212
SP101658	16	87
SP102045	1952	45
SP101552	1396	39
SP101519	94	314
SP101690	305	261
SP102123	80	257
SP101662	522	65
SP101600	14	194
SP101544	99	315
SP102133	0	20099
SP101881	683	72
SP102035	964	32
SP101642	1250	240
SP101596	70	325
SP101670	1071	140
SP101674	434	7
SP101572	29	137
SP101678	729	173
SP101740	2121	0
SP101700	529	73
SP101891	1058	68
SP102143	889	15
SP102113	493	43
SP101521	51	298
SP101526	287	255
SP101540	42	362
SP101604	350	96
SP101548	563	55
SP101523	646	39
SP102090	98	278
SP101795	669	62
SP102187	464	120
SP101515	385	29
SP101931	650	244
SP101610	531	44
SP61703	151	411
SP59707	12	177
SP68659	424	57
SP62616	1388	48
SP59761	112	253
SP66960	41	333
SP61453	100	167
SP63796	63	122
SP69155	30	98
SP59950	814	344
SP59938	489	37
SP64976	125	245
SP64296	853	148
SP65807	987	133
SP59803	203	369
SP66159	1117	142
SP63356	119	256
SP68348	736	364
SP62450	81	112
SP67428	708	111
SP61713	722	26
SP68725	344	73
SP67609	1471	36
SP62110	206	326
SP64546	498	70
SP63546	158	268
SP60322	351	51
SP60243	485	27
SP63966	67	454
SP60362	23	234
SP69077	1421	6
SP67346	292	362
SP66687	25	420
SP63716	40	208
SP65376	1287	43
SP61343	59	214
SP60001	952	72
SP59860	245	356
SP60610	37	177
SP64036	618	172
SP60842	429	148
CPCT02020307T	79	445
CPCT02020333T	1161	131
CPCT02080024T	197	405
CPCT02030259TII	586	261
CPCT02040038T	1038	148
CPCT02030250T	200	458
CPCT02050058T	334	717
CPCT02020393T	157	584
CPCT02030280T	1072	701
CPCT02030278T	1342	169
CPCT02100030T	375	536
CPCT02060056T	455	295
CPCT02030296T	1028	149
CPCT02060046T	14	266
CPCT02130056T	168	523
CPCT02180051T	106	327
CPCT02070434T	467	338
DRUP01210006T	1260	134
CPCT02020659T	230	269
CPCT02080191T	1536	266
CPCT02330084T	53	353
CPCT02360009T	66	1325
CPCT02060196T	94	175
CPCT02290028T	94	485
CPCT02030455T	584	437
CPCT02080198T	55	210
CPCT02010679T	75	141
CPCT02100152T	1148	231
CPCT02070465T	1822	137
CPCT02040224T	589	330
DRUP01060007T	68	223
CPCT02040223T	137	419
CPCT02270023T	581	514
CPCT02220079T	73	651
CPCT02230082T	416	168
CPCT02090043T	25	306
CPCT02130051T	671	255
CPCT02030259TIII	536	228
DRUP01020026T	162	854
CPCT02210046T	180	315
CPCT02120120T	69	264
WIDE01010205T	545	398
CPCT02340080T	78	250
WIDE01010216T	3	650
CPCT02130087T	329	549
WIDE01010264T	50	299
CPCT02130085T	0	1030
WIDE01010292T	16	132
WIDE01010277T	0	454
CPCT02120118T	83	195
WIDE01010301T	312	179
CPCT02220045T	2203	287
CPCT02130093T	64	352
CPCT02030482T	192	546
CPCT02030477T	76	131
CPCT02370026T	57	123
WIDE01010385T	314	351
WIDE01010397T	32	317
WIDE01010414T	588	223
WIDE01010420T	2967	597
CPCT02270031T	91	250
CPCT02120132T	80	313
DRUP01010084T	372	527
CPCT02020741T	211	412
CPCT02020740T	995	406
CPCT02030492T	287	1144
CPCT02070349T	212	632
CPCT02070348T	207	518
CPCT02060226T	204	700
CPCT02230111T	169	317
CPCT02080236T	80	528
CPCT02030498T	172	317
