Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP123975	1983	5	0	0	0	2	33	4	32	96	56
SP124044	0	9	12	0	12	6	0	0	4	19	5
SP123972	49	28	3	18	70	55	107	0	0	33	50
SP123850	6	2	0	33	0	4	22	6	0	68	0
SP123902	6	4	0	23	23	7	29	1	22	42	2
SP123884	6	53	35	4	0	6	23	7	11	72	2
SP123964	5	20	0	3	35	2	7	2	7	56	0
SP123995	1	47	0	0	0	4	8	0	9	60	9
SP123846	2	14	0	8	1	5	5	2	43	86	10
SP124003	7	2	0	21	0	7	14	6	0	36	0
SP123876	4	3	0	16	65	3	1	0	0	41	0
SP123878	5	19	0	1	28	5	6	5	8	9	5
SP123842	1	55	0	0	0	1	18	2	0	22	0
SP123900	2	61	24	18	0	3	3	2	4	19	7
SP123978	3	0	0	0	36	0	10	0	8	2	6
SP123897	3	14	0	16	0	12	8	0	18	21	0
SP124013	2	42	0	8	0	6	9	3	0	55	0
SP124021	1	25	0	11	10	5	1	0	2	32	2
SP123852	10	0	36	14	0	6	0	4	15	32	4
SP123998	1	0	36	0	10	22	30	9	12	29	21
SP123967	4	10	15	29	6	0	13	0	6	13	0
SP123988	11	97	18	60	0	6	42	0	27	24	6
SP123984	7	25	10	9	0	3	12	2	0	35	0
SP123858	0	0	6	0	0	10	12	1	12	37	10
SP123890	0	17	3	19	0	5	21	1	0	32	0
SP123950	4	0	0	10	55	1	9	0	28	30	4
SP123886	4	0	0	0	30	4	5	2	3	14	0
SP124033	3	0	11	0	0	4	7	6	2	48	6
SP123892	10	62	0	6	0	13	28	2	0	59	0
SP123840	0	0	10	27	10	6	8	7	7	44	3
SP123969	3	26	8	3	22	9	33	0	8	30	1
SP123953	11	0	18	29	0	8	20	5	0	21	5
SP123955	2	11	0	17	0	2	41	2	8	12	0
SP123882	4	43	5	9	0	7	14	2	20	106	2
SP123894	10	12	1	0	45	5	5	4	0	108	8
SP124017	3	8	1	0	11	5	0	3	1	15	0
SP123856	1	3	0	13	5	5	16	0	7	19	4
SP123854	6	0	39	0	27	3	7	0	0	34	1
SP123888	0	3	3	0	21	5	18	6	0	45	7
SP123870	3	7	0	6	1	2	3	4	13	52	0
SP123958	0	0	26	5	0	3	6	0	0	22	2
SP123844	1	31	0	17	13	6	6	3	0	31	8
SP123872	3	0	9	0	48	17	7	1	40	33	0
SP123874	6	13	0	35	0	11	13	1	1	30	5
SP123836	5	0	24	12	0	18	11	0	3	102	3
SP43633	5	0	0	12	36	3	9	0	3	7	2
SP36498	11	320	164	133	0	7	49	2	0	0	3
SP37516	6	212	159	72	49	8	44	2	0	0	4
SP39997	15	384	123	89	23	21	7	15	0	47	14
SP35617	6	273	29	128	153	20	29	0	17	7	9
SP37636	10	0	54	53	87	23	44	7	14	15	6
SP39907	15	1	79	147	181	0	45	0	21	0	0
SP40736	25	323	121	161	67	15	82	20	29	0	6
SP42154	14	135	204	130	0	46	67	0	40	34	10
SP39594	24	153	181	112	104	0	78	23	34	15	0
SP41453	9	182	94	106	91	30	43	4	5	10	0
SP34452	18	488	351	177	113	6	136	6	0	7	0
SP42829	21	364	143	123	34	55	12	2	18	5	12
SP37970	22	301	272	173	0	18	112	13	6	61	38
SP34186	23	363	179	157	135	52	71	17	0	30	3
SP37903	17	627	234	191	0	30	69	15	0	2	0
SP35849	2	75	10	59	35	28	30	6	0	32	2
SP36586	60	37	36	15	0	117	32	6	7	17	17
SP34431	8	142	147	81	26	0	35	2	12	18	0
SP37432	12	136	81	109	37	14	59	1	0	28	0
SP35989	16	17	117	72	76	1	50	10	27	14	2
SP39102	7	119	99	62	82	15	22	4	0	26	16
SP34493	9	13	9	116	113	24	46	3	0	17	0
SP36036	7	144	0	47	135	14	53	2	0	16	4
SP35951	35	315	151	62	138	7	26	11	39	13	27
SP39248	6	40	71	47	218	3	12	4	0	23	0
SP34246	3	176	84	192	226	0	47	2	12	10	13
SP35412	1	300	91	66	95	12	90	0	19	26	9
SP39298	28	772	239	200	243	0	88	18	30	22	7
SP38044	16	361	82	147	65	15	83	19	80	23	0
SP38271	31	269	197	84	0	18	95	14	0	68	10
SP43201	9	201	40	68	120	4	89	10	0	16	3
SP34191	2	131	23	47	248	0	0	8	2	17	0
SP40047	76	619	0	161	0	23	94	15	0	23	4
SP39349	0	238	71	67	73	9	51	4	13	51	0
SP37369	6	148	59	70	129	0	36	0	23	3	0
SP38759	16	135	136	192	80	17	96	14	0	62	0
SP36218	9	48	72	25	0	11	34	1	15	95	9
SP43510	3	580	91	49	0	4	56	10	28	20	12
SP43770	10	280	37	69	84	12	41	7	42	26	3
SP43651	41	615	293	79	131	52	23	6	34	62	25
SP106656	25	750	44	114	246	0	0	15	83	0	30
SP97249	44	461	0	177	76	175	126	17	24	50	8
SP106638	16	905	45	153	288	0	41	12	38	19	24
SP97161	29	565	298	191	0	34	70	26	0	43	28
SP43696	41	417	399	244	86	10	70	22	59	0	9
SP97113	24	449	126	82	8	16	52	16	0	43	12
SP97124	28	674	391	274	0	9	193	32	12	22	18
SP43808	30	208	89	148	0	21	79	21	44	26	15
SP43822	16	0	9	12	14	349	43	7	0	8	0
SP43514	13	413	49	37	48	11	37	3	17	1	20
SP97258	12	435	113	142	132	0	85	12	21	11	0
SP97194	38	603	576	372	159	60	197	31	97	20	23
SP109470	38	557	198	239	214	79	63	7	103	9	21
SP97278	12	313	269	146	40	17	54	16	76	0	1
SP109544	35	542	275	94	0	64	17	10	0	3	5
SP97104	21	0	1	10	0	25	377	5	14	6	45
SP106577	46	489	449	207	6	25	73	26	66	43	74
SP109457	28	86	0	12	0	205	27	12	10	44	10
SP109478	5	81	7	42	0	10	17	2	0	23	10
SP43688	12	487	171	25	83	10	26	9	56	17	4
SP97243	18	240	105	79	128	2	90	13	46	6	0
SP97269	25	353	343	154	284	4	85	20	14	0	19
SP113926	6	89	50	55	0	3	63	11	9	30	0
SP106560	7	154	95	65	179	0	80	9	49	9	0
SP43792	29	581	310	167	0	20	104	17	65	0	0
SP106602	26	180	226	79	72	5	65	6	36	33	6
SP97145	5	157	22	25	53	4	16	1	8	61	8
SP43664	36	923	75	244	0	102	177	26	70	61	9
SP43532	29	633	202	137	0	9	23	19	28	20	13
SP102816	20	95	188	92	96	0	122	10	52	34	1
SP102795	30	703	245	93	141	101	120	26	18	0	16
SP103197	15	283	88	133	243	8	71	12	4	26	0
SP102827	30	649	202	273	0	3	95	17	50	44	11
SP103233	14	258	120	176	106	17	58	11	50	47	2
