Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,406200.0%,46.94%,195.95%,39.25%,102.46,0.3151,4.4598,0.112,0.933,0.859,-0.015
3,1.0,1.0,NO,N/A,359300.0%,40.87%,195.75%,32.83%,102.39,0.2721,3.9717,0.08,0.93,0.9,-0.012
4,0.99,0.98,YES,5.39e-20,325300.0%,36.41%,194.35%,27.95%,103.59,0.256,6.5126,0.063,0.922,0.922,0.013
5,0.72,0.01,NO,N/A,279000.0%,34.97%,194.0%,25.33%,104.58,0.2393,4.4756,0.054,0.923,0.932,0.017
6,0.82,0.53,NO,N/A,223000.0%,32.09%,187.1%,23.77%,100.9,0.2309,4.3017,0.051,0.832,0.936,0.117
7,0.87,0.73,NO,N/A,179600.0%,30.54%,183.85%,20.95%,99.91,0.2177,3.9717,0.044,0.798,0.945,0.155
8*,0.97,0.89,YES,3.80e-01,155200.0%,29.22%,181.2%,20.32%,99.49,0.2074,3.8988,0.041,0.777,0.949,0.181
9,0.89,0.46,YES,Most Stab Sigs,130200.0%,28.11%,185.75%,19.27%,96.38,0.1999,2.8252,0.038,0.733,0.952,0.219
10,0.83,0.08,NO,N/A,122600.0%,27.2%,185.35%,18.88%,96.45,0.1944,2.8069,0.036,0.736,0.955,0.217
11,0.76,-0.23,NO,N/A,117100.0%,26.8%,192.3%,18.35%,98.92,0.1924,3.2876,0.035,0.838,0.956,0.081
12,0.71,-0.32,NO,N/A,111500.0%,26.32%,186.35%,17.29%,95.32,0.1852,2.6858,0.033,0.676,0.959,0.313
13,0.64,-0.43,NO,N/A,108400.0%,26.12%,181.15%,17.08%,92.98,0.1814,2.3623,0.032,0.591,0.96,0.417
14,0.61,-0.38,NO,N/A,106300.0%,25.58%,181.7%,16.92%,93.76,0.179,2.398,0.031,0.635,0.962,0.347
15,0.57,-0.44,NO,N/A,103700.0%,25.38%,179.55%,16.59%,92.49,0.1764,2.7859,0.029,0.581,0.964,0.421
16,0.53,-0.44,NO,N/A,102000.0%,24.94%,172.4%,16.53%,89.45,0.1725,2.485,0.028,0.5,0.965,0.505
17,0.52,-0.39,NO,N/A,98200.0%,24.46%,161.5%,15.75%,84.99,0.1715,2.4406,0.027,0.411,0.967,0.543
18,0.49,-0.46,NO,N/A,98100.0%,24.01%,153.3%,15.54%,82.94,0.1685,2.7558,0.026,0.406,0.967,0.547
19,0.45,-0.48,NO,N/A,95400.0%,23.44%,142.65%,15.29%,80.14,0.169,2.4077,0.025,0.401,0.969,0.536
20,0.43,-0.45,NO,N/A,92100.0%,22.81%,143.8%,14.75%,80.05,0.166,2.6033,0.024,0.4,0.97,0.538
