Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP127630	188	299	292	244	0	14	0	0	13	7	0	13	106	32	0
SP127634	46	168	0	277	69	176	0	66	8	109	17	118	370	25	0
SP127636	500	375	71	0	35	28	0	62	14	34	0	41	77	1	0
SP127628	190	199	0	138	22	0	0	0	1	21	21	10	28	0	0
SP127640	447	495	0	0	84	25	0	0	8	50	0	16	27	12	0
SP127638	833	228	297	114	0	19	0	12	4	91	4	12	0	42	0
SP127632	362	728	494	0	7	71	0	36	9	44	302	13	40	0	0
SP59388	119	73	67	42	0	0	0	0	0	0	38	20	9	1	0
SP116649	462	353	0	0	96	15	0	39	2	0	16	34	0	3	0
SP59416	188	185	0	0	15	11	0	51	2	0	0	32	0	6	0
SP124977	208	295	163	0	40	7	0	0	7	0	19	4	29	30	0
SP59356	83	63	123	0	30	3	0	5	1	33	22	11	17	14	0
SP116612	161	242	203	0	51	28	17	0	0	66	76	11	0	13	0
SP116659	331	67	165	0	71	3	0	107	3	14	16	20	54	15	3
SP116668	519	576	0	0	264	0	37	38	0	0	0	179	160	0	0
SP116630	394	665	332	0	37	38	0	0	0	31	0	2	0	17	0
SP59412	308	357	44	124	37	7	0	23	2	30	79	28	0	29	0
SP116686	77	85	40	0	45	37	0	9	0	42	29	0	6	0	0
SP116694	259	343	0	22	87	29	0	20	10	0	8	14	143	0	0
SP116712	47	33	0	0	12	6	0	6	0	0	0	1	0	7	5
SP116726	293	42	432	0	54	11	55	0	6	55	76	15	0	20	0
SP116723	34	78	0	0	47	11	14	0	1	0	15	12	37	0	0
SP59276	57	19	15	23	10	4	0	0	0	0	21	0	29	0	0
SP116703	45	73	2	0	30	7	0	46	1	0	17	5	0	0	0
SP59312	521	350	198	0	12	23	0	77	6	0	48	17	18	13	0
SP116701	300	254	0	0	43	22	0	43	4	92	47	13	0	9	0
SP59296	99	15	105	0	19	0	0	0	0	22	0	1	0	0	0
SP59280	185	129	0	89	46	0	0	0	1	0	0	4	15	13	0
SP59344	49	0	39	55	11	0	0	2	0	10	6	5	32	0	6
SP59460	418	209	0	0	0	8	0	111	1	0	41	28	0	2	2
SP59404	97	0	147	0	0	0	0	0	0	26	0	5	0	0	0
SP116709	117	41	132	0	0	17	0	54	4	16	18	17	0	23	0
