MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	1.03E-03	7.68E-05	1.71E-03	2.71E-03	1.26E-03	6.52E-03	1.06E-03	2.82E-03	4.71E-03	3.63E-03	2.50E-03
1:Del:C:1	4.32E-04	3.56E-05	6.66E-04	1.75E-03	5.51E-04	3.24E-03	7.16E-04	2.30E-03	2.96E-03	2.12E-03	1.44E-03
1:Del:C:2	2.28E-04	3.00E-05	4.25E-04	9.45E-04	3.53E-04	1.77E-03	3.62E-04	1.25E-03	1.54E-03	1.05E-03	1.17E-03
1:Del:C:3	1.50E-04	2.43E-05	2.94E-04	7.47E-04	2.33E-04	1.32E-03	3.18E-04	1.29E-03	1.43E-03	8.79E-04	6.90E-04
1:Del:C:4	1.30E-04	3.57E-05	3.01E-04	7.01E-04	2.55E-04	1.22E-03	2.42E-04	6.37E-04	9.42E-04	3.14E-04	4.55E-04
1:Del:C:5	7.23E-05	9.96E-05	1.41E-04	4.33E-04	3.14E-04	7.85E-04	2.51E-04	7.37E-04	8.08E-04	3.64E-04	4.18E-04
1:Del:T:0	4.45E-04	5.34E-05	1.03E-03	2.14E-03	4.82E-04	3.78E-03	9.14E-04	2.67E-03	3.47E-03	2.39E-03	1.82E-03
1:Del:T:1	2.09E-04	3.35E-05	7.18E-04	1.31E-03	4.55E-04	2.79E-03	6.54E-04	1.73E-03	2.60E-03	1.77E-03	9.24E-04
1:Del:T:2	3.51E-04	6.82E-05	6.96E-04	1.16E-03	5.41E-04	2.33E-03	4.23E-04	1.59E-03	1.92E-03	1.50E-03	1.01E-03
1:Del:T:3	4.37E-04	9.64E-05	6.91E-04	1.85E-03	6.78E-04	3.28E-03	1.89E-04	1.04E-03	2.05E-03	1.29E-03	1.38E-03
1:Del:T:4	3.58E-04	1.70E-04	5.27E-04	1.50E-03	7.33E-04	2.80E-03	8.15E-05	1.25E-03	1.93E-03	1.75E-03	6.06E-04
1:Del:T:5	6.96E-04	2.71E-03	8.50E-04	2.39E-03	4.44E-03	2.07E-03	4.46E-04	2.32E-03	2.46E-03	2.35E-03	1.62E-03
1:Ins:C:0	8.65E-05	1.08E-04	2.87E-04	4.95E-04	4.39E-04	1.62E-03	1.71E-04	3.47E-04	3.07E-04	4.59E-04	4.20E-03
1:Ins:C:1	7.52E-05	3.06E-05	1.87E-04	3.82E-04	9.36E-05	7.79E-04	1.19E-04	4.84E-04	4.40E-04	3.87E-04	1.38E-03
1:Ins:C:2	3.35E-05	2.48E-05	1.19E-04	1.83E-04	1.59E-04	4.38E-04	1.27E-04	3.33E-04	4.93E-04	3.41E-04	4.00E-04
1:Ins:C:3	1.09E-05	4.73E-05	3.68E-05	1.60E-04	5.44E-05	3.48E-04	1.69E-04	3.07E-04	4.33E-04	1.10E-04	6.38E-04
1:Ins:C:4	0.00E+00	1.38E-04	3.82E-05	1.35E-04	9.85E-07	3.12E-04	1.32E-04	1.28E-04	3.02E-04	2.40E-04	4.69E-04
1:Ins:C:5	1.10E-07	8.40E-04	3.33E-05	1.40E-47	1.04E-04	6.00E-04	3.33E-04	5.20E-04	4.38E-04	6.20E-04	9.84E-04
1:Ins:T:0	1.82E-04	9.28E-05	3.62E-04	3.97E-04	3.83E-04	1.38E-03	4.74E-04	1.50E-03	1.73E-03	7.29E-04	1.50E-03
1:Ins:T:1	9.91E-05	4.88E-05	4.83E-04	9.82E-04	3.95E-05	2.22E-03	6.32E-04	2.26E-03	3.11E-03	1.42E-03	1.47E-03
1:Ins:T:2	4.23E-05	7.96E-05	1.79E-04	6.90E-04	2.33E-04	1.23E-03	4.52E-04	1.38E-03	1.93E-03	9.01E-04	7.77E-04
1:Ins:T:3	3.88E-05	1.39E-04	1.28E-04	4.57E-04	2.02E-04	1.06E-03	3.34E-04	8.76E-04	1.28E-03	8.27E-04	5.84E-04
1:Ins:T:4	3.34E-05	2.76E-04	1.22E-04	2.49E-04	2.49E-04	6.88E-04	8.32E-05	1.19E-03	9.88E-04	7.66E-04	2.18E-04
1:Ins:T:5	4.17E-04	4.19E-03	8.76E-04	2.36E-03	3.70E-03	5.88E-03	7.26E-04	1.35E-02	8.39E-03	6.96E-03	1.08E-03
2:Del:R:0	1.91E-04	1.75E-05	7.80E-05	7.68E-04	3.75E-04	1.77E-03	5.41E-04	1.62E-03	1.80E-03	1.54E-03	9.33E-04
2:Del:R:1	1.34E-04	2.55E-05	4.63E-04	8.27E-04	4.55E-04	1.96E-03	3.00E-04	1.80E-03	1.81E-03	1.70E-03	1.14E-03
2:Del:R:2	5.84E-05	1.60E-05	1.47E-04	4.44E-04	2.56E-04	9.82E-04	2.22E-04	7.20E-04	8.67E-04	9.68E-04	5.07E-04
