MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
4:Ins:R:5	8.64E-06	2.34E-05	1.78E-05	4.90E-05	4.55E-06	2.45E-05	7.16E-05	3.71E-06	3.17E-05	4.47E-07	4.89E-05	1.83E-05	4.39E-05	3.68E-05
5:Ins:R:0	2.59E-03	1.40E-03	4.82E-05	4.31E-05	1.08E-05	6.86E-05	1.45E-03	2.29E-06	2.23E-04	1.79E-05	1.02E-04	3.98E-03	1.46E-03	7.64E-04
5:Ins:R:1	1.29E-04	6.15E-04	1.25E-05	4.05E-05	4.27E-06	1.79E-05	3.42E-04	1.67E-06	4.33E-05	3.46E-05	1.08E-04	3.15E-04	1.18E-03	4.65E-04
5:Ins:R:2	3.84E-05	3.48E-05	9.24E-06	3.24E-05	0.00E+00	1.21E-05	5.16E-05	2.44E-07	8.89E-05	2.69E-06	1.08E-06	6.87E-05	4.35E-05	3.38E-05
5:Ins:R:3	1.14E-05	1.04E-05	5.00E-06	2.27E-05	1.02E-07	8.47E-06	3.34E-05	0.00E+00	2.11E-05	5.11E-11	6.73E-06	3.28E-05	1.17E-05	1.89E-05
5:Ins:R:4	2.66E-06	1.26E-05	3.18E-06	1.32E-05	1.46E-07	6.71E-06	1.97E-05	0.00E+00	7.34E-06	9.02E-07	2.07E-05	1.54E-05	1.63E-05	1.54E-05
5:Ins:R:5	1.67E-06	2.35E-06	2.98E-06	1.61E-06	7.40E-07	2.95E-06	4.95E-06	8.66E-07	1.82E-06	1.93E-07	1.49E-05	6.50E-06	4.33E-06	1.95E-05
2:Del:M:1	2.31E-04	1.83E-04	1.01E-04	2.31E-04	4.15E-06	2.91E-05	3.38E-04	1.99E-05	2.02E-05	6.68E-05	9.02E-04	4.89E-04	2.52E-04	1.16E-04
3:Del:M:1	4.31E-05	1.11E-04	2.81E-05	6.85E-05	0.00E+00	0.00E+00	1.10E-04	4.04E-06	4.10E-06	1.24E-05	9.78E-05	7.17E-05	2.20E-04	1.06E-04
3:Del:M:2	3.14E-05	8.01E-05	9.28E-05	9.79E-05	5.80E-06	1.62E-05	1.77E-04	4.78E-06	9.24E-06	1.86E-05	5.66E-04	7.10E-05	1.63E-04	6.74E-05
4:Del:M:1	1.31E-04	1.17E-04	9.86E-05	1.44E-04	0.00E+00	9.61E-07	2.86E-04	5.07E-06	2.42E-06	1.09E-05	1.37E-04	1.80E-04	1.79E-04	6.39E-05
4:Del:M:2	1.24E-05	1.17E-04	1.01E-05	2.87E-05	3.38E-06	7.81E-06	9.20E-05	8.87E-06	2.05E-06	1.60E-05	2.51E-04	1.05E-04	2.08E-04	1.32E-04
4:Del:M:3	3.65E-05	7.62E-05	2.51E-05	5.12E-05	4.27E-06	1.18E-05	1.06E-04	6.79E-06	4.74E-06	1.35E-05	3.56E-04	1.09E-04	1.33E-04	8.53E-05
5:Del:M:1	2.32E-04	2.38E-03	1.53E-04	2.97E-04	0.00E+00	0.00E+00	1.29E-03	3.59E-06	3.84E-07	1.39E-04	4.39E-04	1.51E-03	4.46E-03	2.92E-03
5:Del:M:2	4.72E-06	2.62E-03	1.88E-07	5.19E-06	3.88E-06	1.48E-05	1.34E-03	5.91E-06	1.71E-06	1.29E-04	3.74E-04	2.08E-03	4.87E-03	4.07E-03
5:Del:M:3	3.16E-05	2.04E-03	3.45E-05	6.63E-05	2.54E-06	1.10E-05	1.08E-03	5.72E-06	2.15E-06	7.86E-05	3.42E-04	1.57E-03	3.79E-03	3.17E-03
5:Del:M:4	4.30E-06	1.10E-03	7.21E-06	2.22E-05	1.28E-06	7.75E-06	5.68E-04	8.48E-07	3.73E-06	5.06E-05	1.86E-04	8.78E-04	2.04E-03	1.69E-03
5:Del:M:5	4.09E-05	1.19E-03	3.46E-05	9.20E-05	2.82E-06	1.15E-05	5.90E-04	2.34E-06	8.64E-06	5.30E-05	1.37E-04	8.33E-04	2.14E-03	1.75E-03
