Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP135192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
SP135335	8	0	0	9	0	0	0	0	0	1	0	0	13	7	0	0	18	0
SP135278	3	0	0	0	0	0	0	0	0	3	0	6	2	0	0	10	0	0
SP135287	49057	3	7958	7261	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP135345	60	0	0	35	0	0	0	6	0	7	0	5	109	22	0	9	30	0
SP85122	73322	1860	15085	9620	553	0	0	0	0	0	0	0	0	0	0	0	0	0
SP84384	70390	0	22697	4123	4428	0	0	0	0	0	0	0	0	0	0	0	0	0
SP135184	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0
SP135226	51	0	0	62	0	0	0	0	0	0	1	58	8	3	21	9	16	0
SP135436	226	44	0	251	0	0	0	16	536	36	0	119	1	18	31	0	28	0
SP135262	0	0	0	5	0	0	0	9	31	1	0	42	0	0	0	38	7	0
SP135431	541	14	43	647	0	0	0	88	0	15	1	241	7	20	0	0	15	0
SP135425	184	0	14	232	0	0	0	40	0	10	0	9	146	111	0	47	47	0
SP135222	116	20	0	192	0	0	0	7	2	11	0	22	3	0	0	83	16	0
SP135230	45	22	0	31	54	0	0	5	26	1	0	60	27	15	18	0	6	0
SP135205	0	3	4	0	12	0	0	0	57	0	0	4	1	0	9	9	0	0
SP135180	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0
SP135213	45	4	0	16	67	0	0	3	0	73	0	86	0	9	38	0	11	0
SP135217	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SP135405	96	6	0	142	90	0	76	7	0	60	0	165	39	0	16	111	0	0
SP135238	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0
SP135270	55	6	0	168	165	0	0	8	0	159	0	74	0	202	3	0	25	0
SP135411	4	0	0	0	0	18	0	0	159	2	0	67	21	0	9	4	0	0
SP135188	29	0	11	28	0	0	0	27	0	3	1	0	40	32	17	0	12	0
SP135194	103	0	0	78	0	0	0	1	50	3	1	64	15	17	14	0	21	0
SP135186	65	0	0	34	0	0	0	9	56	17	0	168	19	0	64	0	1	0
SP135420	135	10	0	44	132	0	0	18	0	8	0	169	68	95	3	74	21	0
SP135258	16	5	1	29	0	0	0	0	3	5	0	0	4	5	2	0	0	0
SP135234	265	9	0	323	0	0	0	44	113	22	0	142	73	137	0	0	18	0
SP135293	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0
SP135393	55	0	0	66	0	0	0	104	192	10	0	58	43	17	3	0	49	0
SP135299	128	0	11	182	0	0	0	91	0	14	0	198	22	0	157	0	14	0
SP135415	14	0	3	9	0	0	0	4	24	2	0	76	0	29	33	4	0	0
SP135310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SP135323	9	0	3	0	0	0	0	0	0	2	0	0	3	42	70	0	18	0
SP135390	0	0	0	4	6	0	2	2	0	3	0	17	6	0	0	2	3	0
SP135209	0	0	0	6	13	0	0	8	0	0	1	20	0	0	12	10	6	0
SP135240	94	0	0	230	0	0	0	9	113	11	0	117	0	102	16	0	2	0
SP135182	945	41	50	541	0	0	0	39	822	14	0	0	117	206	0	0	53	0
SP85251	0	0	5	90	64	0	0	0	0	4	0	129	9	25	9	71	10	0
SP84408	0	0	0	58	53	0	0	13	0	0	0	16	35	38	66	0	2	0
SP84491	690	88	0	896	139	0	323	235	0	137	35	0	421	169	103	0	11	0
SP84743	308	12	23	173	153	0	0	1819	271	34	26	0	153	148	1	0	63	0
SP83967	38	0	0	11	99	0	0	4	0	11	0	194	0	29	0	95	0	0
SP105253	333	48	0	694	0	0	0	192	508	36	5	0	22	80	64	74	26	0
SP84998	302	1	0	282	52	0	0	0	54	1	0	0	8	17	40	135	23	0
SP84062	0	0	7	36	0	26	0	2	0	4	9	0	33	46	6	0	42	0
SP84982	42543	0	7951	2458	0	0	0	24	0	0	0	0	0	0	0	0	0	0
SP84790	139	12	4	0	0	0	0	200	216	7	0	457	80	7	0	32	65	0
SP105673	96	7	0	29	78	0	0	4	0	738	7	187	69	50	52	57	3	0
SP85339	472	0	0	418	106	0	500	31	0	15	0	63	25	0	0	24	0	0
SP84719	156	8	162	32	130	0	0	16	160	18	0	142	23	0	0	10	4	0
