Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP127630	569	376	0	165	0	20	45	18	15	0
SP127634	346	181	0	0	97	238	5	182	12	388
SP127636	623	287	131	0	77	37	0	68	15	0
SP127628	383	169	8	0	23	0	15	16	0	16
SP127640	346	446	200	0	96	34	0	27	8	7
SP127638	1119	162	256	0	4	37	59	12	7	0
SP127632	661	924	0	86	0	86	228	5	5	111
SP59388	224	79	17	0	0	0	25	24	0	0
SP116649	217	314	302	0	95	12	0	51	0	29
SP59416	186	152	56	0	34	10	0	51	1	0
SP124977	257	363	85	0	35	7	42	6	7	0
SP59356	135	93	27	37	45	10	37	19	2	0
SP116612	149	337	94	49	42	42	71	17	0	67
SP116659	448	51	97	0	127	8	9	28	4	97
SP116668	92	581	495	0	214	0	0	272	0	119
SP116630	494	829	126	0	20	45	0	2	0	0
SP59412	442	347	71	0	35	11	83	43	0	36
SP116686	111	92	0	0	62	50	3	0	0	52
SP116694	207	320	123	0	63	31	0	16	8	167
SP116712	20	32	32	0	17	8	2	1	0	5
SP116726	215	106	242	298	53	24	90	24	7	0
SP116723	0	84	43	0	42	14	0	17	0	49
SP59276	87	13	18	0	0	7	5	0	0	48
SP116703	46	70	1	0	55	7	0	7	0	40
SP59312	710	320	111	0	32	24	46	25	6	9
SP116701	278	203	107	0	97	40	60	21	6	15
SP59296	117	43	55	18	23	0	0	3	2	0
SP59280	225	110	89	0	48	0	2	8	0	0
SP59344	103	0	18	33	9	3	4	8	1	36
SP59460	390	115	150	0	31	6	37	40	0	51
SP59404	226	36	0	0	0	5	0	8	0	0
SP116709	245	66	0	0	24	22	48	28	6	0
SP59448	1343	1284	560	0	34	31	46	26	0	34
SP116614	681	254	174	0	67	14	28	56	0	11
SP59464	86	102	5	0	43	3	15	30	2	0
SP59364	207	82	50	0	177	20	0	61	0	0
SP116663	982	634	142	0	0	45	65	15	17	0
SP59444	0	61	81	0	44	12	77	2	0	0
SP116690	762	554	108	0	0	53	90	60	7	189
SP59270	26	46	44	0	0	1	12	0	0	36
SP59352	338	68	24	0	50	20	38	51	0	55
SP116652	0	58	46	59	13	7	0	2	0	0
SP116715	1055	1401	284	403	111	42	94	26	26	0
SP116718	209	171	16	0	78	29	7	33	6	35
SP116720	34	70	32	0	58	0	11	3	0	42
SP59284	276	149	30	0	0	3	0	0	2	0
SP116618	54	43	0	139	52	43	6	11	0	33
SP59436	0	13	0	5	18	2	4	5	0	14
SP116645	775	128	209	0	107	8	54	31	2	0
SP59320	139	69	0	0	73	3	0	35	0	9
SP116672	6	40	20	0	29	7	16	5	0	0
SP116635	173	61	33	0	57	14	27	16	0	21
SP59328	82	50	57	43	27	7	2	3	3	0
SP116627	25	26	0	142	20	9	33	12	0	0
SP116725	0	35	52	42	5	0	0	12	0	10
SP59292	121	59	3	0	40	3	21	33	0	0
SP116683	243	28	41	162	82	44	37	24	6	0
SP59372	0	32	9	0	2	43	34	19	5	0
SP116610	347	189	153	16	121	202	0	78	12	0
SP116638	155	35	38	0	60	15	0	22	0	0
SP59336	39	47	14	83	9	1	3	0	3	0
SP124971	700	461	173	0	105	29	17	45	2	0
SP116665	34	56	1	0	35	4	2	11	0	0
SP116674	192	144	163	0	38	20	41	43	0	26
SP116657	957	451	176	0	100	65	111	54	0	67
SP116670	96	729	83	70	0	33	139	46	8	0
SP116642	253	382	180	57	118	133	0	50	13	33
SP116606	34	74	0	48	51	196	0	16	0	11
SP116604	117	66	0	26	51	3	20	62	1	20
SP59376	53	16	0	38	0	14	22	0	2	0
SP59272	83	46	96	0	0	6	0	0	2	46
SP124969	501	486	125	224	0	69	67	55	10	208
SP116608	0	51	20	0	38	4	0	8	0	10
SP59396	155	62	12	0	4	3	0	3	4	3
SP116688	167	14	6	73	25	14	13	0	0	0
SP59392	147	20	33	0	0	0	5	0	0	8
SP59456	261	147	61	0	72	25	39	38	1	0
SP59348	40	124	81	0	60	17	25	18	0	24
SP59300	184	206	0	0	38	315	23	11	2	0
SP59340	7	110	105	0	45	0	0	7	0	91
SP59380	46	13	3	0	39	9	2	18	0	0
SP59440	268	348	0	0	0	100	11	20	11	0
SP59428	17	10	26	38	40	14	4	17	3	6
SP59400	103	720	169	0	4	148	237	31	8	1
SP116624	86	169	101	116	43	18	10	13	1	12
SP59432	85	16	0	45	82	8	13	27	1	5
SP59452	289	579	164	0	0	20	93	30	15	196
SP116679	0	30	10	0	26	9	4	0	0	24
SP116676	208	1083	110	0	62	56	148	61	5	139
SP59360	302	432	87	0	0	0	0	15	0	0
SP59384	308	113	55	0	27	0	0	0	0	0
SP59332	0	77	76	0	24	4	14	0	0	23
SP116616	193	263	137	0	75	3	14	65	1	4
SP124981	156	172	55	0	75	2	0	15	0	0
SP59368	435	398	5	283	130	65	44	54	19	0
SP116648	210	838	852	0	128	30	53	0	0	137
SP59420	82	27	0	0	38	6	13	18	3	47
SP116706	171	156	123	0	172	7	13	57	0	0
SP116654	225	64	0	40	104	2	0	11	5	0
SP59308	141	90	35	9	41	4	4	15	0	16
SP59288	13	449	113	174	0	10	0	16	8	64
SP116622	58	56	0	35	27	15	8	11	2	0
SP59316	142	76	0	0	29	3	5	34	0	28
SP59324	111	38	0	0	68	16	21	0	5	0
SP116697	1493	5052	1231	0	124	1192	240	33	19	0
SP59304	1429	719	341	0	83	563	172	76	27	0
SP116620	623	929	142	0	225	0	0	90	0	0
SP13289	0	6	16	0	18	1	12	10	3	0
SP116742	1	0	10	0	13	6	12	6	0	1
SP115134	0	0	10	0	0	2	7	17	3	5
SP96884	18	0	1	0	3	5	15	24	3	0
SP13385	0	2	18	0	0	0	166	0	0	0
SP13291	33	7	0	0	64	3	22	0	5	0
SP13514	0	7	15	109	16	9	7	1	6	0
SP115117	25	19	0	0	2	3	0	8	5	0
SP115114	122	48	1	0	22	10	1	10	0	0
SP13279	31	6	0	4	39	6	7	1	3	0
SP13487	0	8	25	0	23	3	12	15	0	0
SP13361	64	42	6	0	24	14	22	6	0	0
SP13421	39	75	18	0	25	9	0	4	6	0
SP116738	0	0	0	27	37	3	23	10	2	0
SP13293	0	1	10	0	49	0	5	14	1	23
SP13281	10	21	16	19	7	3	14	1	2	0
SP13677	0	4	0	0	10	13	14	9	3	39
SP13399	0	13	16	0	45	2	18	14	0	0
SP116732	0	42	37	0	14	25	5	14	1	0
SP115073	14	0	14	0	21	5	5	5	3	0
SP13307	25	0	6	0	55	3	25	12	6	2
SP13299	0	0	18	68	30	12	45	22	3	19
SP13481	7	0	0	15	33	21	4	0	1	0
SP116780	8	0	3	12	57	10	3	24	0	0
SP13433	0	27	10	0	12	4	52	14	0	0
SP115064	0	38	53	0	23	0	41	5	0	0
SP13359	1	5	0	14	30	10	23	8	4	0
SP116734	0	76	6	48	16	5	0	3	2	30
SP116770	0	14	6	10	4	17	1	1	2	23
SP13323	0	8	12	7	49	10	7	0	2	0
SP13367	57	69	48	0	29	26	0	7	6	0
SP96882	0	16	18	1	44	38	67	30	5	0
SP13283	16	0	4	0	16	4	19	3	1	0
SP116728	12	8	5	0	32	8	12	0	1	15
SP13478	10	1	0	0	34	5	6	3	0	1
SP116744	0	14	16	10	40	14	3	9	13	0
SP115093	26	66	8	43	47	13	9	1	3	10
SP13315	0	1	10	0	15	1	3	2	0	2
SP13331	34	48	4	0	27	15	23	13	0	0
SP115108	45	45	0	56	30	14	0	4	0	2
SP116752	0	4	3	0	27	0	45	3	0	42
SP115085	0	5	15	0	47	12	19	25	0	0
SP115102	0	0	14	27	17	6	24	24	3	0
SP13379	0	5	31	0	37	9	16	10	1	0
SP116750	23	53	39	0	14	10	15	28	3	0
SP115125	7	2	0	0	18	1	3	0	0	33
SP115089	0	41	43	17	19	8	0	14	2	23
SP13297	31	0	10	4	48	16	0	13	0	1
SP13339	14	0	0	2	25	7	4	0	0	8
SP13671	0	0	0	10	60	7	2	8	1	47
SP116776	0	1	0	21	33	12	8	12	0	0
SP13683	42	34	0	0	0	0	0	13	0	1
SP116758	6	80	31	0	13	4	7	6	7	2
SP116782	37	58	0	75	38	5	0	2	0	9
SP13317	0	4	27	0	10	3	47	8	1	3
SP115128	40	22	16	0	6	3	9	0	0	0
SP116754	48	30	0	0	4	11	0	5	6	17
SP116766	111	97	54	0	49	8	10	16	3	2
SP116748	78	19	33	0	36	8	20	18	5	10
SP115070	12	9	0	0	19	8	34	0	0	15
SP115131	55	10	0	0	14	0	5	7	1	0
SP115097	24	4	0	9	31	23	11	15	7	0
SP115060	4	17	0	76	27	10	9	3	0	0
SP13594	0	50	69	0	19	13	8	0	0	0
SP96834	46	12	0	0	16	19	20	11	0	13
SP115057	23	0	7	0	61	0	42	21	0	0
SP116768	35	40	17	0	10	0	0	5	5	25
SP13442	12	55	53	0	46	8	18	0	2	0
SP13325	23	0	9	0	0	1	5	6	0	15
SP116736	11	0	0	20	44	0	12	1	2	15
SP13619	11	9	7	16	15	6	29	1	0	32
SP115111	93	50	31	0	44	4	35	24	0	0
SP116760	28	13	0	23	19	8	5	14	5	2
SP13311	0	5	15	0	27	7	20	13	3	0
SP13509	5	0	0	32	33	10	13	0	0	0
SP13539	0	7	17	0	28	5	0	15	6	0
SP13624	0	4	16	0	54	8	3	23	1	0
SP116746	3	1	0	85	0	8	8	4	5	0
SP13490	0	4	11	0	30	8	20	16	2	38
SP116774	10	18	15	0	29	0	0	18	0	8
SP115105	19	5	9	0	31	5	17	7	6	0
SP13278	10	0	19	0	28	8	11	17	0	0
SP116756	41	27	54	36	26	13	0	23	2	5
SP13319	0	0	5	5	12	0	10	0	0	5
SP13280	17	56	23	0	25	6	0	10	0	0
SP13363	8	0	24	0	16	8	25	2	1	0
SP13347	21	3	0	0	28	6	2	10	3	38
SP116730	11	7	0	85	22	1	22	11	2	0
SP13365	0	5	14	0	19	0	21	16	2	0
SP115099	28	44	46	0	8	8	4	0	1	24
SP116764	14	13	2	0	24	4	1	1	4	29
SP116772	0	26	13	0	44	11	13	5	3	0
SP96888	0	2	6	0	0	3	7	2	2	28
SP13327	44	16	0	0	35	21	18	8	0	0
SP116740	0	77	41	0	20	5	13	18	0	0
CPCT02150038T	459	0	0	176	20	27	35	53	57	0
CPCT02040203T	0	0	0	0	3	4	3	0	77	0
CPCT02300038T	653	318	0	272	0	18	122	18	199	0
WIDE01010265T	260	36	0	788	52	18	2	22	81	0
CPCT02310012T	520	567	595	289	0	0	0	84	241	217
CPCT02080232T	1269	858	409	112	0	22	0	79	188	0
CPCT02180068T	2721	1363	1446	0	0	297	0	0	344	0
CPCT02290041T	1033	56	414	0	82	43	39	65	116	0
CPCT02040278T	134	0	164	713	32	60	101	44	88	0
CPCT02310017T	1852	594	548	889	0	22	0	33	353	0
CPCT02150022T	91	53	0	0	25	6	24	7	75	0
CPCT02150026T	712	603	181	796	0	36	13	35	186	0
CPCT02150030T	1042	10	492	0	25	7	0	21	130	0
CPCT02180037T	217	192	151	200	39	46	10	19	237	0
CPCT02150033T	216	61	0	0	0	26	30	24	201	0
CPCT02230051T	86	13	0	32	38	17	17	15	60	0
CPCT02340030T	25	234	48	0	0	113	0	729	217	0
CPCT02340031T	506	494	0	321	9	32	75	25	109	0
CPCT02230066T	122	192	19	174	18	2	28	7	159	0
CPCT02180043T	328	283	225	0	58	19	0	0	406	0
CPCT02120032T	1341	684	9791	0	0	0	0	0	86	0
CPCT02300023T	267	108	89	0	103	3	30	21	144	0
CPCT02180001T	342	539	683	734	44	3	7	105	159	0
CPCT02330016T	825	446	180	463	0	6	91	1	74	0
CPCT02180015T	378	118	3	0	52	22	0	16	32	0
WIDE01010545T	402	197	123	2098	0	15	8	0	141	0
