De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (9.82%) & Signature ID2 (90.18%), 11.70,  3.19, 0.381, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (100.00%), 22.04,  5.93, 2.043, 1.00, 1.00
Signature 83-ID83C, Signature ID8 (13.52%) & Signature ID9 (31.16%) & Signature ID21 (28.68%) & Signature ID23 (26.64%), 37.38,  31.87, 0.201, 0.95, 0.93
Signature 83-ID83D, Signature ID6 (75.70%) & Signature ID8 (24.30%), 12.41,  7.52, 0.031, 1.00, 1.00
Signature 83-ID83E, Signature ID1 (15.72%) & Signature ID2 (7.72%) & Signature ID8 (18.94%) & Signature ID19 (57.62%), 43.16,  24.66, 0.288, 0.97, 0.96
Signature 83-ID83F, Signature ID11 (66.78%) & Signature ID16 (33.22%), 22.47,  19.81, 0.075, 0.98, 0.98
