Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP111062	318	251	61	0	0	42	1	33	0	31	10	5	161	21	11	10	34	45	33	0
SP111006	445	620	211	0	0	0	448	136	180	0	0	44	139	58	0	19	57	138	54	0
SP110846	119	95	0	0	0	16	0	55	95	0	0	23	79	19	0	47	29	48	19	31
SP111086	565	201	99	0	0	31	539	63	0	61	0	94	51	21	171	115	26	85	21	0
SP111096	415	265	0	0	0	25	23	3	0	0	2	68	96	29	0	25	20	10	21	75
SP111021	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
SP111058	600	337	144	0	0	37	642	62	0	0	7	259	0	54	48	68	18	0	60	0
SP111092	944	221	56	0	0	23	34	259	0	0	19	35	24	525	170	168	0	0	29	0
SP111076	702	392	293	0	0	73	34	11	178	0	0	19	78	23	0	22	44	16	13	0
SP111098	239	315	0	236	0	0	71	85	63	0	9	52	51	20	0	39	20	55	20	0
SP111039	8	37	4	0	0	0	0	19	0	0	5	22	38	0	0	12	45	42	21	0
SP111052	10	11	0	0	0	4	13	8	0	0	2	6	23	4	0	23	8	8	0	0
SP111166	597	539	504	0	0	2	134	41	0	0	0	103	126	34	85	54	34	0	25	0
SP111014	57	44	0	0	0	16	3	39	0	0	0	41	0	3	12	10	0	45	0	0
SP111066	798	402	310	0	0	0	267	126	0	0	6	334	0	2	0	41	22	27	35	0
SP111094	430	252	2	0	0	0	173	56	0	0	0	30	221	25	409	65	24	0	30	0
SP111015	116	76	14	0	89	22	40	66	0	0	0	64	17	29	0	7	22	26	15	0
SP110853	297	181	78	0	0	77	101	108	0	0	0	90	81	76	133	55	54	49	17	0
SP111051	231	194	82	0	0	0	4	115	0	0	10	6	4	69	35	7	17	62	5	0
SP110855	452	208	25	0	30	0	150	27	49	0	4	107	164	58	0	44	51	126	31	12
