	SP117290	SP84982	SP2997	SP111116	SP54113	SP67609	SP79466	SP103894	SP81137	SP102747	SP123958	SP122372	SP2293	SP124439	SP116365	SP23925	SP103507	SP116276	SP25350	SP2714	SP121790	SP78717	SP109007	SP85818	SP79192	SP93540	SP78674	SP117887	SP118044	SP38759	SP86836	SP107784	SP116578	SP56730	SP116797	SP5559	SP7692	SP79998	SP116726	SP78851	SP48850	SP62616	SP120767	SP103856	SP56079	SP99305	SP102617	SP116335	SP85130	SP85864	SP13539	SP116871	SP27825	SP111031	SP112907	SP135238	SP79243	SP117745	SP90989	SP52232	SP52667	SP99013	SP109544	SP102957	SP105375	SP92364	SP116968	SP102035	SP82445	SP116596	SP92460	SP117522	SP48008	SP57735	SP99317	SP101891	SP125746	SP97194	SP107007	SP43822	SP8831	SP8660	SP77956	SP116635	SP13365	SP116715	SP110242	SP124418	SP78718	SP102045	SP112257	SP102733	SP79458	SP106577	SP18310	SP29559	SP86929	SP96122	SP125762	SP111119	SP116520	SP9816	SP59803	SP125809	SP79371	SP125763	SP58245	SP5017	SP50611	SP107439	SP89687	SP107406	SP125696	SP111170	SP32958	SP111175	SP1305	SP117538	SP31126	SP122476	SP135287	SP102755	SP112947	SP78711	SP135192	SP123882	SP116919	SP975	SP25494	SP114914	SP99325	SP101740	SP99185	SP115085	SP54745	SP1174	SP125771	SP52284	SP69077	SP110847	SP107546	SP112817	SP102965	SP50406	SP116791	SP80213	SP135339	SP84922	SP101552	SP103140	SP30113	SP123975	SP117700	SP116469	SP32222	SP123836	SP97104	SP112182	SP103057	SP53810	SP77339	SP66159	SP50317	SP78013	SP111033	SP10084	SP102804	SP135451	SP1059	SP116872	SP107770	SP102133	SP102090	SP60001	SP77131	SP21017	SP114994	SP99081	SP112985	SP124273	SP124384	SP19750	SP106840	SP86660	SP90209	SP10944	SP101622	SP116904	SP116227	SP108998	SP124319	SP112290	SP109957	SP23622	SP123846	SP17172	SP102873	SP112865	SP111168	SP58101	SP963	SP127638	SP135455	SP57941	SP23078	SP98849	SP84743	SP103866	SP101528	SP102897	SP114906	SP33688	SP107363	SP112165	SP112215	SP49124	SP103523	SP61703	SP111038	SP82103	SP103706	SP107076	SP123878	SP79240	SP80216	SP102567	SP108033	SP116876	SP85339	SP59860	SP116593	SP114987	SP95550	SP116343	SP48263	SP111076	SP86989	SP102489	SP116648	SP122725	SP116888	SP79264	SP125579	SP79387	SP70106	SP13385	SP112799	CPCT02050439T	DRUP01010047T	CPCT02010461T	CPCT02230032T	CPCT02220023T	CPCT02210066T	CPCT02080139T	DRUP01030028T	CPCT02340014T	CPCT02070053T	CPCT02020535T	CPCT02020413T	DRUP01340015T	CPCT02010609T	CPCT02060291T	CPCT02070336T	CPCT02100089T	CPCT02010772T	CPCT02250003T	CPCT02060264T	CPCT02010648T	WIDE01010393T	CPCT02450014T	CPCT02080153T	CPCT02020750T	CPCT02100092T	DRUP01070059T	DRUP01080031T	DRUP01010095T	CPCT02040038T	CPCT02060224T	CPCT02020866T	CPCT02070447T	DRUP01010047TII	CPCT02020958T	CPCT02030471T	WIDE01010723T	DRUP01340003T	CPCT02020958TII	WIDE01010241T	WIDE01010040T	CPCT02070187T	DRUP01140006T	CPCT02030278T	CPCT02010613T	CPCT02100091T	CPCT02330076T	CPCT02010523T	CPCT02340081T	CPCT02240008T	CPCT02010721T	CPCT02180025T	CPCT02060246T	CPCT02130170T	CPCT02230030T	CPCT02190020T	CPCT02060104T	CPCT02100147T	DRUP01140001T	DRUP01050003T	WIDE01010366T	CPCT02120042T	CPCT02230060T	CPCT02080112T	WIDE01010299T	WIDE01010293T	CPCT02160034T	WIDE01010215T	CPCT02050349T	CPCT02020706T	CPCT02070434T	CPCT02080157T	DRUP01070009T	WIDE01010041T	CPCT02170020T	CPCT02360007T	CPCT02040340T	CPCT02190014T	CPCT02120105T	CPCT02010419T	CPCT02050442T	DRUP01010025T	CPCT02030276T	DRUP01030015T	CPCT02020399T	CPCT02020916T	CPCT02040148T	CPCT02120032T	CPCT02080275T	CPCT02020815T	CPCT02050424T	CPCT02390011T	CPCT02020717T	CPCT02020933T	CPCT02340026T	CPCT02380051T	CPCT02010441T	CPCT02020382T	DRUP01090026T	CPCT02390029T	CPCT02330016T	CPCT02040072T	CPCT02070350T	CPCT02010815T	CPCT02050192T	CPCT02140057T	CPCT02030250T	CPCT02210016T	CPCT02020561T	CPCT02090057T	CPCT02100067TII	CPCT02050211T	CPCT02120111T	WIDE01010071T	CPCT02010898T	DRUP01010106T	CPCT02010986T	CPCT02020810T	CPCT02030492T	CPCT02040134T	CPCT02030286T	WIDE01010618T	CPCT02050259T	CPCT02020592T	CPCT02010635T	CPCT02040255T	DRUP01070038T	CPCT02080088T	CPCT02020865T	CPCT02020922T	WIDE01010315T	CPCT02020350T	CPCT02050149T	DRUP01010001T	CPCT02011068T	DRUP01070015T	CPCT02070465T	CPCT02120195T	CPCT02110024T	CPCT02180078T	WIDE01010189T	WIDE01010565T	DRUP01330020T	CPCT02080297T	CPCT02070430T	CPCT02340010T	CPCT02020968T	CPCT02010955T	CPCT02100090T	CPCT02090032T	DRUP01050017T	CPCT02160021T	CPCT02010362T	CPCT02220079T	CPCT02100044T	CPCT02011108T	WIDE01010420T	CPCT02040329T	CPCT02010451T	CPCT02011050T	CPCT02090019T	WIDE01010078T	CPCT02060290T	CPCT02060277T	DRUP01070026T	WIDE01010214T	CPCT02040114T	CPCT02020586T	CPCT02100140T	CPCT02180068T	CPCT02140095T	CPCT02011004T	CPCT02010665T	CPCT02030246TII	DRUP01110006T	CPCT02100101T	WIDE01010534T	CPCT02100019T	CPCT02230089T	CPCT02011058T	CPCT02160027T	CPCT02220047T	CPCT02010953T	DRUP01070042T	WIDE01010208T	WIDE01010075T	WIDE01010443T	CPCT02120200T	WIDE01010461T	DRUP01050028T	CPCT02160058T	DRUP01080014T	CPCT02010940T	CPCT02110035T	CPCT02230120T	CPCT02180076T	CPCT02070030T	CPCT02100084T	CPCT02080302T	CPCT02070416T	CPCT02050385T	CPCT02270047T	WIDE01010501T	WIDE01010691T	CPCT02290051T	CPCT02010776TII	WIDE01010606T	CPCT02070029T	CPCT02120088T	CPCT02190037T	WIDE01010666T	CPCT02140107T	CPCT02100131T	CPCT02020574T	CPCT02050104T	WIDE01010385T	CPCT02070444TII	CPCT02020591T	CPCT02340110T	CPCT02070192T	CPCT02390028T	CPCT02020340T	CPCT02010554T	CPCT02020704T	WIDE01010708T	CPCT02020325T	CPCT02010370T	CPCT02010781T	WIDE01010159T	CPCT02080110T	WIDE01010686T	CPCT02110036T	CPCT02140059T	CPCT02230035T	CPCT02020544T	CPCT02380034T	CPCT02010715T	WIDE01010401T	DRUP01010022T	CPCT02080177T	CPCT02070433T	CPCT02330035T	DRUP01040010T	CPCT02060033TII	CPCT02050376T	CPCT02040115TII	WIDE01010119T	CPCT02380016T	CPCT02030447T	WIDE01010470T	CPCT02010919T	CPCT02100035T	CPCT02020351T	CPCT02040037T	DRUP01110007T	CPCT02390002T	WIDE01010545T	CPCT02080086T	CPCT02120177T	WIDE01010492T	CPCT02010533T	CPCT02020946T	WIDE01010510T
DEL:C:1:0	16	83	17	32	419	53	0	67	34	6	3	23	85	68	24	23	36	0	27	49	29	1	6	0	0	127	5	34	0	46	0	18	37	135	1	36	45	0	33	13	48	74	11	18	161	13	32	11	39	1	5	2	33	41	21	0	0	12	88	110	153	27	52	60	48	87	11	29	130	50	29	14	17	139	3	59	76	125	45	16	47	27	10	19	3	75	201	31	7	82	4	28	2	66	170	47	8	27	19	69	37	33	42	10	1	33	179	9	226	43	34	30	18	52	19	84	83	46	91	39	59	94	13	0	1	10	0	40	157	26	228	66	30	7	89	19	67	14	63	34	3	40	31	1	0	0	17	47	110	82	275	10	6	39	0	4	32	29	47	754	14	46	38	7	30	60	82	6	94	1	13	50	30	44	16	171	59	33	0	21	172	11	10	15	106	38	46	1	2	5	27	62	36	33	4	82	23	13	34	149	49	27	13	353	35	17	62	46	40	80	21	60	8	25	41	32	28	35	46	24	59	63	6	1	6	25	10	0	16	40	11	63	31	17	3	26	14	5	55	21	5	1	0	0	25	6	9	29	677	41	34	642	31	5	18	122	12	249	108	28	254	64	122	16	14	48	17	30	122	330	159	11	30	14	241	9	37	18	45	32	455	62	9	78	120	61	48	43	10	321	56	13	115	455	27	8	35	12	102	47	49	49	624	4	34	127	117	33	690	405	41	39	0	50	19	246	6	80	181	21	178	54	193	65	26	47	48	12	426	20	45	115	55	52	60	77	818	280	55	27	17	14	10	257	46	16	7	32	51	18	79	7	315	46	841	26	20	17	387	3	21	15	338	145	21	69	21	41	17	109	8	11	98	145	89	66	6	84	14	17	38	31	224	60	56	91	45	152	55	672	39	31	20	61	70	30	84	339	31	8	36	43	40	265	160	28	171	55	56	15	45	182	22	96	57	35	93	77	276	65	29	25	75	48	497	53	98	5	41	37	179	22	68	46	14	39	142	56	65	9	8	10	22	6	47	72	15	75	164	131	45	16	36	385	32	5	30	21	77	45	4	236	74	43	7	82	156	71	49	9	321	35	14	29	182	40	16	11	16	72	16	34	14	20	36	222	43	27	70	398	24	7	42	20	64	26	234	8	16	15	25	119	198	52	402	46	30	40	74	24
DEL:C:1:1	12	43	6	14	658	24	0	32	17	10	2	17	25	37	10	22	43	0	18	27	9	0	4	0	0	73	4	15	0	40	0	13	22	212	0	16	14	0	11	7	19	33	7	12	243	8	9	4	16	0	2	0	22	29	14	0	0	8	29	155	173	17	37	119	16	41	9	12	52	22	22	9	9	237	0	25	29	89	49	3	25	16	3	7	1	25	103	23	1	41	3	19	0	65	66	36	11	13	7	29	21	24	28	6	0	15	279	9	296	0	19	33	10	24	8	25	54	14	56	14	41	71	8	0	0	5	0	8	70	16	188	31	32	7	85	9	27	14	18	16	3	23	32	0	1	1	13	22	33	41	560	6	4	26	1	5	6	38	55	872	15	35	32	3	15	29	52	5	84	0	5	16	19	36	10	87	25	32	0	12	72	6	9	6	98	14	22	0	7	3	16	95	16	12	8	36	35	13	17	193	30	20	6	366	14	12	27	16	19	79	15	17	6	23	66	25	17	8	27	10	44	81	3	0	4	12	12	0	10	18	8	25	13	9	2	15	9	1	26	9	2	0	0	1	6	5	6	17	177	26	15	927	22	5	10	72	3	319	90	10	260	32	158	10	3	28	15	7	71	138	40	9	7	8	100	9	20	8	25	14	137	58	7	36	72	57	28	41	6	271	25	6	68	177	29	1	25	10	38	36	30	21	871	6	25	59	36	24	206	368	20	23	0	14	19	354	2	34	70	12	269	26	91	45	39	21	24	15	158	9	25	33	51	22	19	24	1083	179	43	17	13	12	5	91	36	12	12	19	22	19	33	6	265	21	211	16	10	11	99	1	11	7	407	252	16	48	19	16	13	48	2	13	78	55	120	83	2	46	11	12	20	11	91	35	42	35	35	172	39	300	18	14	14	39	36	20	38	103	23	5	28	11	19	101	320	33	59	41	29	7	12	89	17	59	72	15	49	65	330	31	20	20	25	22	143	27	61	4	18	23	82	5	28	24	14	49	46	29	39	4	6	6	19	1	26	50	13	46	265	145	21	13	15	96	18	8	13	13	51	23	3	110	27	23	8	33	88	95	35	4	117	18	8	6	238	21	17	5	10	31	10	26	9	10	18	94	23	12	43	561	15	4	72	14	31	14	194	4	10	12	10	25	375	15	583	28	8	24	36	14
DEL:C:1:2	8	73	1	11	580	20	0	17	8	4	0	12	6	11	3	10	27	1	7	8	9	0	3	0	0	103	2	7	0	21	0	5	13	170	0	6	10	0	5	6	8	9	2	5	229	6	6	0	14	1	2	1	8	9	10	0	0	5	58	125	149	6	31	55	11	54	5	9	24	11	28	6	2	160	1	13	63	69	41	2	21	10	2	2	1	13	204	11	1	18	2	14	0	36	146	24	5	7	2	10	7	9	7	4	0	12	179	5	263	1	8	17	6	13	5	15	35	12	43	7	72	60	6	0	0	4	0	8	27	5	286	17	31	1	62	7	10	8	11	9	3	13	9	2	0	0	3	9	12	39	464	6	3	9	0	1	12	25	40	844	3	25	10	9	7	6	25	2	48	0	5	13	5	7	8	136	13	18	0	8	59	4	3	4	106	8	11	0	0	1	10	62	3	2	5	35	16	3	4	144	18	6	0	303	6	12	19	12	4	60	5	13	1	16	43	19	17	4	17	4	34	40	1	0	3	6	4	0	7	6	0	16	6	5	0	13	3	1	12	5	2	0	0	0	7	1	3	7	148	8	10	827	14	1	10	26	4	238	52	8	164	11	91	4	2	17	5	2	29	85	13	4	6	6	92	3	8	3	11	6	122	59	5	20	25	60	12	15	5	202	16	3	38	237	6	1	14	2	28	23	14	23	764	4	3	24	22	3	199	316	12	15	1	13	15	331	2	20	60	5	228	10	107	29	18	13	19	7	165	8	16	23	41	12	19	19	1004	56	32	8	2	3	0	101	18	4	5	9	17	7	19	3	200	9	221	6	6	2	137	0	3	8	362	202	5	15	6	9	5	15	5	15	64	39	84	42	5	22	6	3	9	6	127	17	30	21	28	128	30	340	6	8	6	17	10	9	8	82	13	4	10	15	11	48	272	11	79	26	17	1	15	104	9	27	36	11	16	49	249	17	7	6	11	11	128	11	29	1	6	19	75	5	26	7	8	35	103	9	33	4	1	3	11	0	12	49	11	33	220	97	9	1	10	110	4	5	13	3	26	5	1	44	14	8	5	18	99	72	35	3	115	10	4	5	159	8	12	1	2	32	5	8	4	3	6	82	20	11	18	522	8	2	49	7	17	10	78	3	4	9	7	7	334	15	490	28	2	7	8	6
DEL:C:1:3	4	265	1	11	188	8	0	14	3	0	1	1	4	3	1	4	16	0	8	1	3	0	1	0	0	374	1	4	0	14	0	3	10	60	0	4	4	0	3	2	4	10	2	2	77	1	2	1	9	0	1	0	1	15	6	0	0	2	162	52	50	4	13	40	8	198	2	6	14	5	88	1	2	78	0	6	177	27	20	1	6	5	0	1	3	11	670	6	0	8	1	7	0	10	571	11	3	12	3	17	3	5	4	3	0	4	80	2	73	0	5	9	4	5	2	16	23	3	19	5	233	27	1	0	0	1	0	6	33	6	773	8	7	1	28	4	7	6	11	7	0	17	7	0	1	1	6	8	6	16	156	1	2	5	0	1	3	10	28	268	6	12	7	5	7	8	6	4	30	0	3	11	7	5	3	494	11	4	0	4	141	4	2	2	299	7	7	0	7	1	2	37	3	3	0	72	11	7	2	72	10	10	5	94	3	6	19	2	2	86	4	8	0	9	28	10	6	1	9	4	15	30	2	0	2	3	3	0	4	3	2	8	4	3	2	6	1	0	15	1	0	0	0	0	1	3	3	3	485	6	4	280	6	2	14	11	3	85	32	5	72	10	33	2	0	6	3	7	16	142	8	0	0	3	288	1	3	3	7	2	437	38	1	10	13	37	6	9	3	65	11	2	24	847	8	1	3	2	9	17	10	10	284	0	4	44	22	3	663	103	10	11	0	6	11	110	0	11	102	2	73	6	212	21	8	20	5	3	444	2	9	9	31	10	124	8	322	31	16	3	2	7	2	297	9	4	6	6	8	1	12	1	66	5	701	2	3	5	404	2	1	3	126	82	5	6	9	10	4	14	4	3	22	57	32	20	0	10	3	3	6	4	363	10	11	7	15	63	20	1590	4	8	4	20	19	4	7	137	10	2	11	6	7	26	105	13	176	8	15	1	3	258	6	14	20	12	23	27	82	3	6	3	10	6	281	2	24	0	2	8	219	2	102	6	4	17	271	8	105	6	3	2	7	3	4	22	5	15	95	40	5	2	8	299	4	2	7	4	12	5	1	26	5	9	4	6	223	26	9	3	300	5	1	3	61	4	11	0	4	19	3	4	5	1	4	210	7	7	11	183	3	2	13	5	32	9	82	2	3	4	1	4	147	6	178	18	3	4	7	5
DEL:C:1:4	3	643	2	10	135	4	0	10	3	1	0	0	2	5	0	6	8	0	3	5	5	0	0	0	0	1304	1	1	0	8	0	2	1	47	0	5	5	0	2	3	2	7	0	2	40	4	3	1	1	0	0	1	6	7	1	0	0	4	463	31	35	6	5	12	6	551	2	2	10	3	217	1	4	67	0	3	625	6	16	1	7	0	0	1	1	8	1584	4	1	10	0	6	0	10	1936	4	3	5	1	17	3	3	4	2	0	2	80	1	51	0	2	4	1	9	4	10	18	2	4	2	719	11	3	0	0	1	0	6	15	3	1824	10	3	1	13	2	5	4	6	6	0	7	3	0	0	0	4	12	10	5	117	8	2	3	0	0	2	7	9	176	3	4	8	2	5	6	6	2	16	0	0	28	1	5	0	1533	0	5	0	3	347	2	3	2	897	2	3	0	1	1	5	17	1	2	0	244	4	1	3	64	5	4	9	69	2	5	16	4	10	197	2	4	2	2	10	5	1	0	12	2	7	17	0	0	0	3	0	0	3	6	0	2	2	1	3	3	0	0	11	1	0	0	0	0	2	1	2	1	1307	6	10	222	2	0	12	4	2	58	6	1	47	2	22	3	0	3	1	4	8	314	2	0	2	4	704	3	5	0	9	4	1089	36	0	9	4	34	7	2	3	44	9	0	26	1424	3	2	4	1	8	11	5	8	256	0	0	73	22	5	1709	54	1	14	0	7	7	63	1	10	275	6	73	5	528	6	6	28	8	1	1441	1	8	14	17	15	118	5	252	29	13	6	1	2	2	861	5	0	2	3	4	0	7	0	41	3	2187	3	3	3	1052	0	2	2	80	61	2	8	4	8	1	14	0	2	17	134	19	5	1	12	1	0	0	4	793	8	6	6	3	46	5	2127	3	2	2	9	7	0	7	434	4	1	5	9	6	19	61	9	379	8	3	0	7	613	3	12	18	8	20	9	68	5	2	1	13	3	950	2	11	0	6	5	564	7	301	10	0	18	598	6	223	5	3	1	0	0	4	11	3	7	58	26	6	2	9	826	2	1	6	0	9	5	0	12	8	7	3	5	517	25	6	1	648	4	2	3	52	12	3	1	3	6	3	6	2	1	6	639	2	2	13	127	3	2	11	1	50	4	49	1	2	0	4	3	87	9	138	3	1	6	7	7
DEL:C:1:5+	5	1764	1	20	57	4	0	15	4	0	1	2	5	1	4	15	3	0	7	1	3	0	0	0	0	3768	1	0	0	3	1	9	4	19	0	5	6	0	12	3	3	5	1	0	38	1	0	4	14	1	4	1	6	32	1	0	0	8	1369	16	11	3	4	4	17	1576	4	5	5	1	575	5	2	37	0	4	1814	2	8	0	5	3	2	2	2	19	4163	2	0	6	0	1	1	2	5168	2	1	14	6	35	1	1	4	3	0	3	66	9	35	0	0	5	5	15	5	30	5	1	8	2	1722	2	2	0	0	0	0	6	14	8	4401	0	1	0	9	13	12	3	3	16	2	9	2	0	0	0	2	20	3	1	76	42	0	3	0	0	2	3	3	83	4	1	2	6	17	4	1	2	14	1	1	129	2	2	6	3715	3	3	0	3	924	5	2	2	3129	3	3	0	4	0	3	8	4	4	1	965	2	4	4	34	1	9	25	30	1	3	24	3	1	455	4	4	6	2	9	2	1	4	34	10	3	6	0	0	2	1	7	0	13	1	0	4	3	1	2	28	0	0	31	4	0	1	0	0	4	4	0	11	4416	4	21	108	3	1	16	5	0	34	1	2	36	2	14	12	4	0	3	4	6	1821	8	1	10	2	2453	2	4	2	3	6	3658	17	1	9	6	17	25	3	4	28	3	2	19	3815	4	2	6	5	3	13	8	22	163	4	8	445	105	23	6168	35	4	17	0	66	2	41	0	5	1078	7	23	6	1565	2	2	110	9	11	4784	0	12	23	12	36	342	6	127	15	3	10	2	1	1	2427	4	0	8	17	3	3	42	1	27	3	6963	24	1	2	3500	0	4	5	49	59	0	7	4	21	6	35	0	6	17	727	10	3	1	8	2	2	2	3	2710	9	8	17	1	47	6	5503	2	11	12	8	17	7	9	2124	10	2	7	21	15	16	38	10	1272	4	2	0	4	1922	11	12	18	8	37	6	29	4	2	4	116	6	3795	7	12	0	6	9	1594	13	789	35	2	13	2177	15	775	6	4	5	0	0	11	2	6	10	54	18	15	0	1	3925	7	2	6	0	12	31	1	17	5	9	1	10	1575	12	3	3	1942	4	1	0	27	25	8	0	4	6	7	2	2	1	3	2194	6	8	20	78	3	2	9	3	177	4	145	0	1	5	16	7	54	18	73	2	4	10	4	13
DEL:T:1:0	11	73	7	31	141	41	0	57	38	16	4	13	6	37	21	24	127	0	16	24	14	1	4	0	0	64	2	16	0	59	0	14	34	73	0	22	12	0	15	8	19	30	8	14	47	12	5	9	33	0	4	1	21	52	14	1	0	5	42	33	38	27	66	216	40	82	14	21	80	21	24	10	10	68	2	34	60	148	38	11	25	18	6	13	4	44	185	30	1	46	5	34	3	90	94	49	7	16	11	41	11	30	20	6	1	14	81	11	70	35	19	37	18	60	8	106	56	33	64	12	55	143	10	0	0	11	0	38	104	14	199	38	33	7	42	17	29	11	32	19	3	24	52	0	0	0	7	72	32	96	136	12	6	19	0	7	16	22	84	229	10	28	16	11	19	27	93	5	57	0	11	37	19	26	10	149	30	29	1	13	68	10	9	7	58	19	30	0	5	3	20	58	6	17	5	61	33	8	14	65	17	16	13	109	21	23	55	37	17	86	12	11	8	22	32	55	30	20	28	19	58	69	3	1	7	16	10	0	9	27	3	34	18	13	5	12	7	4	25	12	3	0	0	0	9	5	14	23	390	28	18	238	26	7	12	49	132	84	151	11	72	59	134	11	137	83	15	19	65	205	16	3	19	7	143	6	20	16	48	13	260	40	10	24	50	40	20	51	9	108	25	10	111	310	33	2	33	9	38	49	24	43	275	11	19	109	46	19	351	86	29	33	2	39	19	93	5	42	127	11	71	31	139	56	31	45	16	19	350	14	10	46	20	41	55	45	256	176	39	165	12	21	5	150	33	12	11	23	21	23	56	10	110	23	463	20	8	13	211	3	15	12	119	73	10	42	12	27	11	41	12	15	91	87	57	100	9	41	12	12	18	19	142	43	58	45	51	69	48	459	19	21	13	59	38	21	35	186	145	3	20	20	37	99	73	15	86	33	33	4	20	129	20	42	36	29	39	104	60	22	19	20	42	21	305	27	62	6	31	21	111	9	35	30	24	21	94	47	53	17	7	7	20	4	30	83	12	34	86	60	27	10	20	214	15	10	33	11	40	37	4	110	30	23	7	45	103	38	61	12	205	23	12	9	96	24	17	4	7	74	10	28	18	8	24	90	45	21	32	137	17	7	22	16	40	37	51	5	11	18	49	23	100	22	115	52	16	48	25	132
DEL:T:1:1	7	108	5	27	123	7	0	226	15	23	1	21	3	343	4	8	76	0	4	16	5	1	0	0	0	89	2	13	0	41	0	4	28	51	0	19	6	0	10	3	7	19	5	9	68	5	8	6	10	0	4	0	9	30	18	0	0	6	52	25	43	16	62	113	39	100	10	9	497	22	20	4	5	46	0	21	65	126	31	2	19	7	3	7	4	13	228	154	0	20	4	25	0	99	156	33	4	12	9	44	8	15	16	7	0	9	75	7	54	7	11	36	10	28	5	108	28	11	53	13	85	128	15	0	0	3	0	15	83	9	277	21	29	7	58	7	6	7	9	13	0	31	41	0	1	0	5	75	23	105	136	6	2	19	0	5	8	20	66	261	1	10	10	6	14	13	84	2	38	0	7	16	6	15	5	162	14	22	0	8	222	10	9	5	104	12	17	0	4	1	201	41	7	3	4	59	26	6	9	64	17	8	5	96	11	6	73	136	6	95	9	12	1	16	30	35	36	9	36	12	66	61	5	0	4	8	5	0	13	7	3	13	4	4	4	19	4	2	12	4	2	0	1	0	9	3	3	16	224	19	7	209	14	3	7	34	233	67	112	6	57	323	115	13	50	39	7	10	43	104	11	4	9	5	101	6	14	7	34	13	178	33	7	18	35	32	16	41	5	77	7	8	79	397	18	3	16	6	27	42	13	35	212	3	17	68	21	13	312	76	9	21	2	35	12	76	5	28	83	12	40	16	122	65	26	142	19	14	235	13	13	34	30	12	49	275	250	1379	34	232	7	8	4	125	9	8	12	10	12	10	38	9	76	15	303	12	4	14	173	1	67	8	85	43	40	23	9	30	6	29	10	15	52	51	41	90	16	24	8	8	24	6	158	25	52	97	44	36	37	497	8	24	12	36	29	10	41	174	246	4	9	18	82	49	59	13	70	22	26	2	12	123	11	25	37	22	25	73	54	11	9	13	12	19	288	24	55	4	17	20	83	6	36	23	13	23	93	14	42	5	8	7	12	1	15	66	16	29	64	48	32	5	17	198	7	8	23	12	17	10	3	90	19	20	4	22	122	29	64	3	139	7	5	0	46	13	12	2	7	88	6	16	11	4	11	77	40	16	14	108	9	12	13	11	34	19	119	1	14	8	39	12	67	11	141	51	10	32	19	20
DEL:T:1:2	7	214	4	25	76	21	0	47	26	10	2	17	4	27	3	13	55	1	5	21	8	1	6	0	0	180	1	9	0	45	0	7	21	42	0	12	8	0	12	4	23	32	8	13	26	5	4	7	17	0	4	0	16	24	15	0	0	4	111	20	27	14	107	79	46	217	6	12	58	12	49	5	7	34	2	26	133	165	31	6	22	8	3	6	5	31	368	11	1	35	2	15	0	117	350	39	2	18	6	40	12	8	13	4	0	16	39	5	39	5	6	28	9	22	6	76	40	29	40	16	148	165	9	0	0	7	0	16	58	11	506	30	34	8	18	11	18	4	17	7	1	53	48	0	0	0	5	36	23	113	69	14	2	14	0	4	13	22	77	113	9	23	13	8	16	17	87	1	34	0	8	48	11	22	5	360	23	29	1	5	115	12	9	6	918	16	23	0	7	0	11	39	5	8	4	111	35	2	7	39	13	19	5	61	15	12	43	14	15	142	8	8	1	20	24	48	24	15	24	17	97	63	4	0	5	11	5	0	17	14	2	22	5	8	2	16	2	2	21	6	0	0	0	0	2	4	5	17	395	15	14	135	17	3	9	26	179	45	86	9	50	49	146	4	12	17	10	14	56	187	9	3	15	8	204	5	11	5	34	10	351	14	2	15	26	14	18	24	3	70	34	5	96	1422	13	2	17	2	28	27	14	25	139	4	8	56	88	9	506	57	27	28	2	41	20	43	1	22	119	11	60	21	168	79	17	26	31	10	358	12	10	44	17	24	85	36	169	123	24	184	8	10	0	195	19	11	3	13	16	12	44	5	67	14	453	9	6	11	288	0	11	5	58	58	11	30	7	20	10	33	12	12	52	74	27	109	8	37	6	9	21	14	232	36	55	32	50	37	49	2306	18	15	9	43	38	13	22	186	195	1	13	24	22	81	52	14	141	23	30	3	11	182	17	47	28	16	57	109	46	27	12	8	25	18	365	23	53	3	20	26	129	3	75	25	19	23	147	21	61	6	6	6	23	2	11	82	20	20	48	49	22	1	16	317	18	6	27	13	19	15	1	63	20	16	3	27	161	23	69	5	239	17	5	9	50	20	19	5	8	98	6	21	12	6	15	127	46	9	31	65	7	6	19	12	39	15	631	4	6	15	32	8	57	24	82	66	11	33	10	14
DEL:T:1:3	12	963	4	28	110	28	0	59	32	24	1	12	1	54	8	11	28	0	17	30	16	0	2	0	0	1073	3	22	1	39	0	22	17	51	0	6	11	0	21	4	26	31	2	5	24	8	10	1	26	1	4	0	16	49	12	0	0	9	709	20	25	14	83	52	52	886	10	19	88	8	197	8	1	52	2	28	509	146	38	5	28	16	4	14	4	48	1807	27	1	41	4	18	0	105	1763	24	3	20	11	63	10	16	13	11	0	15	77	8	36	4	17	17	12	40	9	116	33	27	40	6	973	131	9	0	0	6	0	19	67	13	1832	44	13	6	40	11	35	11	31	26	2	99	50	0	3	0	9	84	47	90	84	21	1	13	0	2	15	20	61	116	4	27	30	3	35	39	67	0	50	0	4	92	13	23	8	1613	24	23	1	9	283	13	5	5	4888	13	21	1	3	3	34	26	6	9	4	410	30	10	19	48	11	28	7	93	16	7	52	33	14	217	10	17	5	19	22	35	25	14	47	25	72	47	4	0	7	6	10	0	25	12	7	26	22	11	5	18	1	2	50	6	0	0	0	0	18	3	3	44	1597	12	23	149	21	1	17	52	325	43	49	9	69	52	77	5	25	4	6	12	61	533	14	6	16	9	792	9	13	8	32	9	1534	12	6	23	53	12	20	19	3	113	21	3	48	4119	15	3	29	2	42	25	39	37	181	2	13	115	272	14	2465	62	25	26	0	82	16	60	2	26	348	15	63	27	505	70	20	81	35	13	1948	9	13	78	18	33	212	55	186	211	16	386	9	17	4	930	19	8	2	22	14	7	79	3	116	15	2178	13	5	5	1365	3	23	7	63	67	14	35	3	27	2	46	7	6	53	234	38	99	8	39	7	3	22	13	794	40	55	42	49	53	19	6710	13	28	12	33	51	9	20	635	418	2	10	31	38	116	46	21	480	18	13	3	12	677	8	52	37	38	82	91	42	40	14	14	47	14	1230	19	39	0	14	28	559	10	407	33	23	19	689	29	300	4	2	1	13	0	11	73	9	16	49	37	36	5	13	1255	19	10	42	4	16	20	0	81	18	30	6	20	621	23	47	7	950	19	5	13	63	27	23	2	7	68	10	24	10	6	16	573	41	13	28	94	12	5	11	9	80	13	992	0	4	12	61	13	63	27	87	50	19	55	24	20
