	DRUP01070119T	DRUP01010095T	CPCT02020597TII	CPCT02340026T	CPCT02070053T	CPCT02070357T	DRUP01340014T	CPCT02030278T	WIDE01010510T	CPCT02020413T	CPCT02250003T	CPCT02340081T	CPCT02020815T	WIDE01010470T	CPCT02050424T	CPCT02040317T	CPCT02220006T	CPCT02070336T	CPCT02020865T	CPCT02100089T	DRUP01030028T	CPCT02080153T	CPCT02340014T	CPCT02120032T	DRUP01030015T	CPCT02050149T	CPCT02050439T	DRUP01230004T	CPCT02050117T	CPCT02060264T	CPCT02100131T	CPCT02010648T	CPCT02450014T
A[Del(C):R1]A	18	4	5	3	2	25	2	9	3	19	9	4	225	30	32	49	3	16	13	3	3	6	15	20	2	6	5	329	2	3	13	3	151
A[Del(C):R1]G	2	0	0	0	1	5	0	1	1	1	2	0	19	0	6	7	0	1	2	1	2	0	3	3	1	0	0	29	0	2	1	0	15
A[Del(C):R1]T	7	1	2	3	2	43	1	7	7	11	11	2	68	56	40	9	6	18	13	0	0	0	6	8	4	2	7	38	3	4	4	7	9
A[Del(C):R2]A	2	1	4	1	0	4	1	0	2	11	5	0	184	50	13	55	0	14	15	1	2	2	3	3	0	1	2	59	0	2	2	0	28
A[Del(C):R2]G	0	0	0	0	0	0	1	0	0	4	1	0	29	0	1	15	0	1	2	0	0	0	0	1	1	0	0	6	0	0	0	0	3
A[Del(C):R2]T	3	1	1	1	0	13	2	4	4	10	6	0	71	7	16	25	3	27	11	0	1	1	11	2	4	3	1	25	0	5	1	1	41
A[Del(C):R3]A	0	0	0	0	0	0	0	2	0	12	3	1	105	17	7	39	1	10	6	0	1	0	2	8	4	1	1	54	1	0	1	0	16
A[Del(C):R3]G	0	0	0	0	0	0	0	1	0	0	1	0	15	1	1	7	1	3	1	0	0	0	1	0	1	0	0	16	0	0	0	1	5
A[Del(C):R3]T	2	0	1	2	0	3	0	1	0	5	3	0	40	8	2	18	2	9	4	0	2	1	1	1	1	1	0	26	0	2	0	0	19
A[Del(C):R4]A	3	0	1	0	0	2	0	2	1	3	0	1	40	17	6	14	2	5	6	1	0	2	5	12	2	1	1	127	0	1	0	2	27
A[Del(C):R4]G	1	0	0	0	1	0	0	0	0	1	0	0	11	0	2	7	2	0	0	1	0	0	0	1	0	0	0	51	0	0	0	0	19
A[Del(C):R4]T	4	0	0	1	0	1	0	5	0	3	1	0	25	6	2	10	2	6	2	0	0	0	1	1	1	0	0	71	0	1	2	0	21
A[Del(C):R5]A	6	0	1	0	0	3	0	2	3	0	1	0	64	10	4	18	2	4	0	0	2	1	0	8	1	0	0	264	1	0	0	1	50
A[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	5	0	2	0	0	0	0	0	2	0	0	0	77	0	0	1	0	11
A[Del(C):R5]T	9	0	0	0	0	0	0	2	1	0	1	0	17	2	0	6	3	2	2	0	1	0	1	2	1	0	0	314	0	1	1	0	72
A[Del(C):R6]A	27	0	0	0	0	2	1	1	4	0	0	0	16	15	1	8	0	3	0	1	1	3	0	9	3	0	1	577	0	0	2	0	137
A[Del(C):R6]G	6	0	0	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	0	0	0	1	0	2	0	0	0	175	0	0	1	0	36
A[Del(C):R6]T	13	0	0	0	0	0	0	0	0	0	0	0	5	6	2	4	0	1	0	0	1	0	0	5	0	0	0	298	0	0	2	0	99
A[Del(C):R7]A	26	0	0	0	0	0	0	0	0	0	0	0	4	14	0	4	1	0	0	0	2	1	0	10	0	0	0	669	0	0	1	1	161
A[Del(C):R7]G	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	209	0	0	0	0	31
A[Del(C):R7]T	4	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	3	0	0	0	111	0	0	0	0	41
A[Del(C):R8]A	32	0	0	0	0	2	1	0	1	0	0	0	3	8	0	3	0	0	0	3	1	0	0	5	1	1	0	418	0	1	2	0	91
A[Del(C):R8]G	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	53	0	0	1	0	18
A[Del(C):R8]T	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	101	0	0	3	0	30
A[Del(C):R(9,)]A	14	1	2	0	0	1	0	0	1	0	0	0	0	4	0	1	0	0	0	1	0	0	0	9	1	0	3	147	0	0	3	1	51
A[Del(C):R(9,)]G	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	1	0	11
A[Del(C):R(9,)]T	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	8
G[Del(C):R1]A	2	0	1	2	2	15	1	6	3	16	8	0	123	3	10	28	8	16	7	2	4	4	12	1	5	0	2	12	0	0	1	3	2
G[Del(C):R1]G	1	0	1	0	0	6	0	1	1	3	1	0	29	0	3	8	0	4	1	0	0	0	0	4	2	1	0	41	0	0	2	1	16
G[Del(C):R1]T	2	0	0	0	0	36	0	8	3	16	5	0	76	20	23	13	51	15	7	1	1	1	27	4	6	2	4	29	0	1	5	4	9
G[Del(C):R2]A	0	2	5	1	0	9	0	4	2	8	5	1	193	2	5	98	18	13	7	3	2	2	16	3	5	3	1	25	1	0	3	1	1
G[Del(C):R2]G	0	0	0	0	0	2	0	0	2	4	2	0	58	0	2	18	6	4	3	0	0	1	1	0	0	0	0	4	1	0	0	0	2
G[Del(C):R2]T	1	0	0	2	0	10	1	3	0	13	3	0	137	2	11	42	6	35	14	1	1	1	8	2	4	0	2	23	0	1	2	3	20
G[Del(C):R3]A	0	0	1	0	0	4	1	5	0	4	1	0	136	4	3	50	5	11	2	1	3	2	4	0	3	1	1	23	0	0	1	1	6
G[Del(C):R3]G	0	0	0	0	1	4	0	3	1	2	0	0	35	0	1	13	0	5	3	0	0	0	1	1	1	0	0	5	0	0	0	0	3
G[Del(C):R3]T	0	1	0	1	0	3	2	1	0	6	3	0	63	2	3	20	4	8	3	2	1	1	2	2	1	0	2	12	1	2	0	0	6
G[Del(C):R4]A	1	0	0	1	0	1	0	0	2	9	1	0	44	4	1	11	2	5	0	0	4	0	2	52	2	0	0	69	0	1	0	1	6
G[Del(C):R4]G	0	0	0	0	1	0	0	0	0	1	1	0	8	1	3	6	0	0	0	0	0	1	0	16	1	0	0	36	0	0	0	0	5
G[Del(C):R4]T	1	0	0	1	0	6	1	2	0	2	2	0	30	4	1	12	1	3	4	0	4	0	0	9	0	1	0	49	1	0	0	2	14
G[Del(C):R5]A	2	0	1	2	0	2	0	1	1	1	1	0	34	6	4	12	4	2	1	0	2	0	1	41	1	0	1	196	0	0	0	2	23
G[Del(C):R5]G	1	0	0	0	0	1	0	1	1	0	0	0	9	0	0	1	0	1	0	0	2	0	0	13	1	0	0	82	0	0	0	0	6
G[Del(C):R5]T	6	1	0	0	0	4	0	0	0	1	0	1	17	4	2	8	1	2	0	0	2	0	1	27	0	0	0	198	1	0	0	0	35
G[Del(C):R6]A	8	0	0	0	0	0	0	1	1	0	0	0	15	2	1	5	1	1	0	0	4	0	0	59	1	0	0	367	1	0	2	1	47
G[Del(C):R6]G	0	0	0	0	0	1	0	0	0	0	0	0	8	0	2	3	0	1	1	0	0	0	0	12	0	0	1	239	0	0	0	0	75
G[Del(C):R6]T	9	0	0	0	0	1	0	0	0	0	0	0	5	5	1	0	1	1	0	0	3	0	1	26	1	0	0	227	0	0	0	0	86
G[Del(C):R7]A	10	0	1	0	0	1	0	0	1	0	0	0	4	4	1	0	1	0	0	0	2	1	0	29	0	0	0	296	0	0	1	0	62
G[Del(C):R7]G	3	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	8	1	0	0	150	0	0	0	0	45
G[Del(C):R7]T	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	15	0	0	0	101	0	0	0	0	49
G[Del(C):R8]A	9	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	20	0	0	1	199	0	2	0	0	54
G[Del(C):R8]G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	60	0	0	0	0	14
G[Del(C):R8]T	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	2	74	0	0	0	0	35
G[Del(C):R(9,)]A	8	0	0	0	0	2	1	0	1	0	0	0	0	7	0	0	0	0	0	0	0	1	0	22	1	0	0	121	0	0	3	0	33
G[Del(C):R(9,)]G	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	44	0	0	0	0	11
G[Del(C):R(9,)]T	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	26	0	0	0	0	12
T[Del(C):R1]A	2	0	4	1	1	17	4	8	0	13	8	0	137	14	54	42	6	21	6	4	3	63	16	1	7	0	7	45	0	0	5	2	17
T[Del(C):R1]G	0	0	0	0	1	0	0	1	1	4	1	0	11	11	11	12	0	1	2	0	1	2	0	0	2	0	0	17	0	1	2	0	5
T[Del(C):R1]T	15	4	9	5	3	113	4	15	5	25	3	2	130	100	101	31	19	30	15	5	4	83	43	19	16	6	4	311	2	6	12	10	106
T[Del(C):R2]A	3	3	6	0	0	9	0	2	3	20	4	0	217	97	32	90	9	21	11	2	2	17	9	2	7	2	6	43	0	2	6	0	13
T[Del(C):R2]G	0	0	1	0	0	2	0	2	0	2	0	0	37	1	13	7	0	1	2	0	0	1	0	0	0	0	2	4	0	0	2	0	0
T[Del(C):R2]T	8	2	2	7	3	34	3	10	1	18	2	0	157	35	86	43	6	42	18	3	2	15	24	6	4	3	3	45	4	5	7	2	30
T[Del(C):R3]A	2	0	0	0	1	10	0	2	2	14	1	0	374	32	18	125	4	20	9	1	2	4	6	5	1	0	1	28	1	0	1	0	10
T[Del(C):R3]G	0	1	1	0	0	0	0	0	0	3	1	0	55	1	3	11	3	5	1	0	0	0	0	0	0	0	0	8	0	0	1	0	1
T[Del(C):R3]T	2	1	1	0	2	10	2	1	3	6	4	0	181	13	18	53	0	20	13	0	1	5	9	2	4	0	2	41	3	1	1	0	19
T[Del(C):R4]A	2	1	1	3	0	3	0	1	2	8	0	0	94	35	9	40	0	9	5	0	4	3	1	25	0	1	2	145	2	0	1	1	21
T[Del(C):R4]G	1	0	0	0	0	0	1	0	0	0	0	0	13	0	2	5	1	0	0	0	0	1	0	3	0	0	0	28	1	0	1	0	11
T[Del(C):R4]T	2	0	2	1	1	6	0	1	0	5	1	0	57	15	5	20	3	5	3	0	2	1	2	5	3	0	0	93	0	0	1	1	18
T[Del(C):R5]A	9	0	0	0	2	1	0	1	1	3	0	0	57	15	8	17	0	5	2	2	3	1	0	11	2	0	0	323	0	0	0	1	31
T[Del(C):R5]G	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	1	1	0	1	0	0	0	2	1	0	0	89	0	0	1	0	13
T[Del(C):R5]T	6	2	0	0	0	1	0	2	0	1	0	0	36	11	11	14	1	3	0	0	0	0	1	12	1	0	0	404	0	0	2	0	73
T[Del(C):R6]A	11	1	0	0	0	0	0	0	2	0	0	0	26	16	2	11	2	3	0	1	0	1	1	21	0	0	3	527	0	0	2	0	89
T[Del(C):R6]G	2	0	0	0	0	0	0	0	0	0	0	1	3	3	2	0	0	0	0	1	0	0	0	4	0	0	1	127	0	0	0	0	20
T[Del(C):R6]T	6	0	0	0	0	1	0	0	0	1	0	0	16	10	2	3	2	2	2	0	0	0	1	10	0	0	0	302	1	0	2	1	122
T[Del(C):R7]A	17	0	0	0	0	0	0	0	1	0	0	0	7	10	0	0	1	0	0	0	0	1	0	16	2	0	0	510	0	0	0	0	103
T[Del(C):R7]G	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	1	0	0	171	0	0	0	0	18
T[Del(C):R7]T	7	0	0	0	0	1	0	1	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	8	0	1	0	279	0	0	1	0	105
T[Del(C):R8]A	14	0	0	0	0	0	0	0	1	0	0	0	2	11	0	1	0	0	0	0	1	0	0	6	0	0	0	300	0	0	2	0	60
T[Del(C):R8]G	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	59	0	0	0	0	18
T[Del(C):R8]T	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	5	0	0	0	111	0	0	1	0	32
T[Del(C):R(9,)]A	17	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	1	6	1	0	0	135	0	0	2	0	35
T[Del(C):R(9,)]G	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	24	1	0	1	0	6
T[Del(C):R(9,)]T	5	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	26	0	0	0	0	12
A[Del(T):R1]A	10	0	4	6	76	22	3	3	4	23	18	0	72	18	59	20	2	33	21	2	4	5	10	8	2	1	5	161	6	3	8	7	110
A[Del(T):R1]C	3	0	2	1	42	9	0	2	2	14	7	1	9	6	15	2	1	10	13	0	0	0	7	0	2	2	2	21	0	1	2	0	8
A[Del(T):R1]G	5	0	3	0	9	7	0	2	3	16	5	0	23	2	12	11	0	17	14	1	2	1	8	3	0	3	1	23	3	2	3	1	23
A[Del(T):R2]A	11	2	4	2	130	9	0	1	6	17	14	2	18	57	782	5	2	28	13	5	2	3	10	10	2	2	5	123	1	3	1	3	52
A[Del(T):R2]C	5	0	1	1	48	2	0	1	2	10	3	0	2	24	19	5	3	14	18	0	0	0	2	4	0	1	3	26	0	1	1	0	14
A[Del(T):R2]G	2	1	2	0	41	0	2	1	3	21	3	0	33	9	17	3	3	18	11	2	0	1	3	1	1	0	1	39	0	1	3	0	12
A[Del(T):R3]A	5	1	2	3	69	13	0	7	0	14	4	0	21	204	36	9	0	29	25	1	3	0	5	6	3	0	3	149	0	3	4	3	64
