	SP111031	SP56079	SP90989	SP117290	SP114951	SP124439	SP50097	SP23483	SP84982	SP81137	SP103894	SP97194	SP8564	SP77956	SP1132	SP19983	SP62616	SP2293	SP975	SP80754	SP23925	SP29559	SP102617	SP79354	SP81312	SP109957	SP102133	SP125696	SP107371	SP79345	SP107363	SP96116	SP84719	SP48008	SP53810	SP105018	SP5559	SP111038	SP86836	SP116578	SP16886	SP107784	SP116365	SP17172	SP48850	SP112290	SP102035	SP21400	SP93227	SP39298	SP116676	SP123850	SP54113	SP112947	SP114980	SP111113	SP101540	SP96118	SP112907	SP89909	SP112777	SP17905	SP79466	SP111019	SP99297	SP107357	SP99013	SP49114	SP90209	SP57735	SP85130	SP94917	SP121774	SP48189	SP57189	SP6813	SP11948	SP121761	SP82445	SP111119	SP84384	SP95454	SP23639	SP78851	SP107439	SP77131	SP18946	SP8831	SP84743	SP92364	SP78013	SP55235	SP111054	SP111024	SP98845	SP30113	SP33688	SP32742	SP123836	SP102957	SP49651	SP50147	SP49124	SP107012	SP49229	SP107007	SP98953	SP106631	SP5017	SP67609	SP49469	SP94741	SP56638	SP116670	SP10084	SP124401	SP111070	SP107080	SP63546	SP116826	SP125778	SP59400	SP62110	SP82103	SP25494	SP125732	SP49417	SP112985	SP112817	SP21017	SP99313	SP68348	SP124336	SP59803	SP111175	SP107359	SP92659	SP8795	SP78674	SP59448	SP107457	SP99325	SP70106	SP1114	SP78901	SP123975	SP56704	SP53618	SP117710	SP124409	SP29331	SP96126	SP116919	SP124348	SP127638	SP94348	SP102795	SP102973	SP107915	SP84439	SP79243	SP125763	SP98359	SP80615	SP135182	SP79228	SP22031	SP26649	SP19215	SP102045	SP85818	SP23498	SP24135	SP114982	SP116648	SP19295	SP80217	SP111049	SP82796	SP111091	SP102597	SP125807	SP102897	SP2155	SP125809	SP90125	SP2154	SP123846	SP94933	SP110861	SP125689	SP92460	SP11171	SP28659	SP116419	SP116820	SP2147	SP112865	SP117228	SP102090	SP102881	SP114978	SP99197	SP125768	SP99301	SP101654	SP111036	SP125746	SP93540	CPCT02160034T	CPCT02080086T	DRUP01010022T	CPCT02050439T	CPCT02070158T	CPCT02050424T	DRUP01030015T	CPCT02250003T	DRUP01330020T	CPCT02340014T	DRUP01030028T	CPCT02020865T	CPCT02020597TII	DRUP01340014T	CPCT02120078T	CPCT02050252T	CPCT02030278T	CPCT02080153T	CPCT02070336T	CPCT02070053T	CPCT02100089T	CPCT02020413T	CPCT02070357T	CPCT02340081T	CPCT02340022T	CPCT02050117T	CPCT02100101T	CPCT02450014T	CPCT02190019T	WIDE01010510T	CPCT02050376T	CPCT02010605T	DRUP01170001T	DRUP01230001T	CPCT02010441T	DRUP01050003T	CPCT02020815T	CPCT02150052T	CPCT02120032T	CPCT02130170T	CPCT02330059T	CPCT02100092T	CPCT02180068T	CPCT02010447T	CPCT02010523T	CPCT02240008T	DRUP01070038T	CPCT02180025T	CPCT02080088T	WIDE01010470T	CPCT02011102T	CPCT02070373T	CPCT02010373T	CPCT02060291T	WIDE01010214T	CPCT02160021T	CPCT02230039T	CPCT02011036T	CPCT02020436T	CPCT02210004T	CPCT02230098T	CPCT02220071T	CPCT02330076T	CPCT02010576T	WIDE01010075T	WIDE01010218T	CPCT02010408T	CPCT02050089T	CPCT02060054T	CPCT02030265TII	CPCT02130184T	CPCT02170031T	DRUP01080031T	DRUP01020002T	CPCT02310006T	CPCT02160024T	CPCT02230072T	WIDE01010657T	CPCT02030532T	CPCT02070237T	CPCT02080273T	CPCT02060224T	WIDE01010040T	CPCT02020325T	CPCT02070447T	CPCT02070434T	CPCT02200005T	CPCT02040329T	CPCT02100035T	CPCT02070465T	CPCT02110035T	CPCT02010772T	CPCT02140061T	CPCT02330016T	WIDE01010069T	CPCT02290057T	CPCT02030430T	CPCT02100090T	CPCT02140095T	CPCT02011068T	DRUP01050028T	CPCT02020561T	CPCT02220023T	DRUP01070080T	CPCT02060013T	CPCT02050192T	WIDE01010451T	CPCT02020734T	CPCT02040258T	CPCT02210064T	CPCT02050349T	CPCT02050104T	WIDE01010401T	CPCT02020982T	CPCT02080130T	CPCT02050443T	CPCT02450007T	CPCT02080157T	CPCT02020533T	CPCT02060264T	CPCT02010794T	CPCT02020591T	CPCT02040038T	CPCT02020964T	CPCT02070131T	CPCT02070244T	WIDE01010026T	CPCT02010458T	CPCT02040093T	CPCT02050380T	WIDE01010208T	CPCT02011058T	CPCT02030392T	CPCT02010811T	CPCT02050447T	CPCT02230015T	CPCT02010715T	CPCT02080116T	CPCT02450002T	CPCT02010697T	CPCT02030289T	DRUP01010095T	CPCT02340010T	CPCT02010408TII	DRUP01340003T	DRUP01110006T	CPCT02220045T	DRUP01010001T	CPCT02340078T	CPCT02010955T	CPCT02080110T	DRUP01060007T	CPCT02020975T	CPCT02040280TII	CPCT02110024T	CPCT02010598T	WIDE01010443T	CPCT02130146T	CPCT02060041T	CPCT02020789T	CPCT02010648T	CPCT02070394T	CPCT02050170T	CPCT02020330T	CPCT02060225T	CPCT02010635T	WIDE01010556T	WIDE01010618T	CPCT02020599T	CPCT02180001T	CPCT02020428T	CPCT02360007T	CPCT02260008T	DRUP01030018T	CPCT02370012T	DRUP01070059T	CPCT02020872T	CPCT02020476T	CPCT02040169T	CPCT02030277T	CPCT02010867T	CPCT02020914T	DRUP01010018T	CPCT02060050T	CPCT02070353T	CPCT02050315T	CPCT02100044T	CPCT02110011T	CPCT02080048T	CPCT02020559T	CPCT02030356T	CPCT02100091T	CPCT02010639T	CPCT02340058T	WIDE01010596T	CPCT02390002T	CPCT02010585T	CPCT02050149T	CPCT02160027T	CPCT02110041T	CPCT02030451T	CPCT02020968T	DRUP01340015T	CPCT02020802T	DRUP01340013T	WIDE01010016T	CPCT02140091TII	CPCT02010530T	CPCT02140107T	CPCT02220047T	DRUP01220003T	CPCT02011052T	WIDE01010606T	CPCT02070436T	CPCT02060246T	CPCT02080162T	CPCT02090019T	CPCT02140057T	CPCT02080294T	WIDE01010228T	DRUP01070009T	CPCT02230086T	CPCT02070058T	CPCT02010919T	CPCT02010505T	CPCT02150017T	WIDE01010267T	CPCT02040299TII	CPCT02100151T	CPCT02160058T	DRUP01210005T	CPCT02190055T	CPCT02011070T	DRUP01010106T	CPCT02010468T	CPCT02380035T	CPCT02380029T
[Del(C):R1]A	17	97	42	8	9	20	29	0	34	12	24	54	8	7	48	8	16	42	14	6	8	25	9	0	22	10	20	7	6	0	3	7	3	11	459	47	17	11	0	20	20	6	9	28	14	36	8	19	38	45	17	2	231	8	11	22	6	13	9	18	68	74	0	10	0	6	8	34	36	65	14	29	18	7	207	16	8	16	45	22	133	23	13	1	22	6	40	11	30	39	3	183	16	10	21	133	22	7	2	30	9	31	13	50	5	23	14	5	4	15	10	42	53	6	13	51	10	25	8	3	19	13	12	14	43	8	24	0	24	84	8	19	6	16	24	6	14	4	2	20	2	110	10	11	0	5	79	142	14	17	16	6	0	7	7	42	39	26	4	112	0	12	12	40	9	0	7	11	45	23	0	10	29	11	21	9	0	9	11	11	4	8	36	4	5	5	14	2	38	15	12	12	3	32	8	0	20	4	4	11	14	8	23	7	3	14	6	35	60	20	242	90	14	9	96	14	25	303	43	10	26	10	7	65	22	23	73	53	5	9	48	57	4	26	2	33	170	23	6	3	9	5	198	137	41	485	74	22	21	19	9	21	16	17	4	68	26	52	47	11	21	325	27	6	11	34	43	153	170	17	42	231	5	39	16	2	19	26	23	15	7	123	16	7	24	175	94	31	17	236	4	19	4	19	23	33	95	9	15	5	3	7	17	178	5	54	11	31	11	67	12	362	192	31	5	42	6	21	24	152	76	9	13	19	180	19	87	5	3	47	4	12	78	32	15	23	7	12	49	7	26	75	39	10	19	9	27	17	0	120	4	11	4	47	8	40	14	2	22	6	4	7	396	33	13	21	61	29	11	8	44	63	17	36	8	27	6	16	18	2	89	11	390	29	3	151	19	57	38	698	12	360	25	20	11	15	12	81	18	16	65	25	9	11	111	19	6	4	34	9	22	11	7	26	13	31	109	20	12	58	183	192	27	24	37	13	113	6	15	6	137	8	3	3	14	7	59	5	12	26	22	19	182	20	84	175
[Del(C):R1]T	23	47	27	6	8	42	36	0	38	20	38	61	10	2	42	19	57	40	24	8	13	18	22	0	72	22	27	9	14	0	5	11	11	4	241	135	19	34	0	17	56	11	14	51	34	21	20	42	76	49	38	2	146	4	12	43	6	7	10	13	11	321	0	11	0	4	17	36	57	64	23	34	40	3	151	17	10	34	78	43	45	10	21	9	21	9	100	32	29	29	3	124	22	14	18	106	37	17	1	25	13	17	14	18	11	20	22	5	5	35	18	25	50	14	45	87	17	15	30	2	36	15	28	10	110	9	15	0	16	67	8	34	14	23	59	7	28	12	2	32	2	84	15	10	2	5	54	100	11	41	28	18	0	8	20	28	37	32	14	45	0	20	11	194	17	0	9	12	27	52	0	28	30	11	33	24	0	24	14	18	0	15	40	25	5	24	25	2	38	21	18	9	17	41	9	2	29	9	3	18	13	9	54	7	1	29	16	31	50	26	127	105	15	10	164	26	19	285	76	5	35	11	5	102	27	30	84	63	5	6	52	192	4	29	5	41	124	17	15	2	22	102	618	84	71	274	118	31	27	54	20	70	21	10	27	68	74	31	176	8	37	192	28	15	18	68	37	70	115	12	21	177	9	25	18	8	19	23	31	14	9	99	35	5	30	626	55	56	38	217	14	21	10	12	52	24	49	5	43	3	10	15	14	139	6	50	16	42	19	53	13	232	151	24	2	52	4	60	15	71	155	21	18	34	123	33	71	15	11	63	2	25	71	40	29	26	13	19	60	14	67	54	47	7	15	9	47	31	6	55	5	7	9	70	16	91	19	4	48	8	2	11	191	48	9	24	109	63	29	21	98	46	15	40	2	32	10	16	34	5	84	16	305	52	7	93	34	44	69	469	11	279	50	26	11	25	10	189	16	21	33	36	14	19	61	20	10	1	43	16	36	13	11	35	17	47	123	52	26	68	124	156	102	21	213	38	185	12	26	13	129	24	2	3	24	18	66	21	41	43	40	22	133	35	66	142
[Del(C):R2]A	14	142	6	6	3	17	61	0	20	10	16	41	4	0	55	5	11	10	2	4	11	20	2	0	81	4	9	5	7	0	4	9	3	4	462	28	6	10	0	12	51	6	1	13	5	65	7	51	127	19	4	4	347	4	4	11	2	5	6	5	5	247	0	5	0	4	6	32	56	135	4	21	5	0	372	7	3	7	16	9	68	9	6	3	0	3	109	4	11	19	2	242	6	1	23	294	7	6	3	60	4	48	9	40	8	28	20	13	4	11	10	25	100	2	3	18	6	20	7	0	22	5	3	4	22	3	16	0	16	29	4	13	5	9	7	2	14	8	3	15	2	81	1	29	0	3	187	198	9	14	6	4	0	2	9	16	18	22	2	64	0	8	14	107	4	0	14	3	22	20	0	13	19	5	6	23	0	9	4	7	2	2	29	10	3	2	11	4	12	7	14	6	4	15	2	1	7	3	0	9	8	5	19	2	0	5	7	14	25	2	333	38	9	7	50	12	14	156	28	6	33	15	1	66	13	6	21	48	0	6	39	22	1	42	1	11	42	11	7	2	7	5	93	38	9	594	30	8	9	10	2	14	7	19	12	32	12	70	149	4	25	499	8	7	8	13	45	23	34	3	14	85	2	12	8	6	10	57	2	28	7	48	7	1	18	85	137	22	14	81	2	19	5	7	13	9	182	4	13	1	2	2	5	72	3	18	5	25	2	22	9	508	90	22	3	21	1	18	11	190	57	7	11	13	52	8	30	3	4	28	4	9	119	17	28	11	4	12	16	4	25	30	49	4	14	4	17	7	3	22	6	5	4	33	11	10	10	1	11	8	3	8	525	15	9	16	24	17	10	1	62	23	11	16	6	20	3	5	4	2	32	6	97	19	3	381	13	37	20	943	6	112	27	4	9	3	6	63	8	11	26	11	6	7	219	18	6	2	24	14	20	3	2	12	7	16	81	22	6	16	347	48	18	17	13	13	142	8	6	9	28	7	2	3	14	6	58	2	11	12	25	14	228	10	28	47
[Del(C):R2]T	10	84	16	6	10	18	69	0	23	6	10	46	5	3	69	4	17	13	5	8	11	16	6	0	20	12	6	5	8	0	0	2	1	4	315	70	9	15	0	10	11	7	8	21	13	24	5	20	52	37	6	1	231	4	4	16	3	1	7	8	4	82	0	9	0	3	10	38	32	79	12	14	12	2	232	4	6	23	31	18	72	11	16	4	0	7	35	17	16	17	1	158	19	8	19	206	10	6	1	54	7	13	14	28	3	20	16	9	5	13	7	26	64	8	24	33	13	18	16	2	23	16	9	4	45	5	10	0	5	54	5	8	6	18	17	2	7	6	1	12	1	92	5	22	0	3	111	104	8	24	14	8	0	1	11	28	28	27	2	56	0	7	9	48	14	0	4	8	26	20	0	9	30	5	20	8	0	13	6	7	2	4	43	9	3	8	17	3	26	6	6	11	12	15	4	1	15	9	4	9	10	4	19	7	1	9	8	15	32	12	199	48	6	6	113	12	11	118	43	4	43	3	6	79	19	17	17	104	3	4	41	57	0	10	4	13	91	14	5	0	5	22	201	47	26	365	63	10	20	12	5	35	17	8	11	22	24	46	44	9	28	303	15	10	14	33	36	15	42	3	13	76	2	14	9	6	4	27	16	13	10	40	14	2	26	194	85	23	12	75	4	20	2	4	21	10	102	6	18	4	1	8	12	79	4	29	15	33	7	23	6	339	78	23	3	22	3	21	8	116	48	11	14	18	38	10	28	8	11	42	4	11	80	17	30	11	4	6	24	0	32	29	39	7	17	6	36	8	3	17	3	9	5	38	8	43	9	2	21	9	0	7	297	18	12	7	43	44	19	6	73	9	12	25	6	22	10	9	13	2	45	9	97	36	5	284	19	38	32	560	8	78	32	7	4	8	2	65	4	16	29	10	10	6	123	17	6	2	14	8	17	5	6	15	8	15	82	27	9	25	177	44	28	16	40	26	91	2	8	3	26	11	2	1	4	7	49	9	16	20	27	8	150	19	28	41
[Del(C):R3]A	3	153	17	1	1	2	45	0	34	3	5	29	2	2	32	7	5	2	3	4	8	7	4	0	31	2	7	3	4	0	1	1	3	1	541	27	1	9	0	5	17	4	1	7	4	40	2	11	115	26	9	3	346	3	6	8	0	10	4	10	3	79	0	2	0	2	2	32	56	98	7	25	6	2	391	10	5	6	14	6	99	12	3	5	1	2	29	12	9	14	4	269	7	1	26	266	7	1	1	25	4	30	13	49	4	23	18	9	1	11	5	29	112	3	5	16	4	7	5	1	7	4	3	4	12	2	8	0	10	63	3	9	5	4	9	1	6	5	0	5	2	139	4	34	0	2	175	186	6	11	2	2	0	0	2	29	22	24	2	117	0	6	7	33	5	0	0	1	50	8	0	6	13	3	5	3	0	4	2	2	1	3	28	22	3	5	15	2	11	5	6	12	1	14	3	1	5	0	0	4	6	3	23	1	3	3	5	31	39	7	321	37	3	7	28	8	5	158	12	6	17	1	1	19	3	9	6	41	1	2	30	14	1	13	2	3	32	9	2	0	5	4	64	47	7	615	38	13	9	16	2	9	3	4	7	17	14	55	53	6	12	502	5	3	8	9	35	8	54	2	3	126	1	13	3	3	4	41	5	19	7	37	3	2	15	65	152	10	13	66	3	9	3	1	13	13	171	0	10	0	1	4	3	103	1	12	6	17	3	48	3	531	102	12	3	12	2	11	5	197	25	4	4	9	47	9	27	3	0	10	2	4	109	16	18	14	1	3	12	3	11	10	63	4	11	1	7	4	3	8	0	3	3	11	4	13	3	0	6	9	2	5	583	11	2	4	30	5	3	1	36	19	8	5	9	14	2	6	4	0	45	2	109	16	3	504	11	20	17	854	3	119	15	3	7	7	0	73	6	10	23	6	3	3	208	14	2	0	11	9	9	6	5	10	2	6	82	13	3	9	255	51	24	6	18	19	123	2	3	4	42	1	2	0	2	1	56	4	9	11	15	2	236	10	41	44
[Del(C):R3]T	6	51	28	6	2	9	22	0	32	5	10	32	2	0	19	5	2	3	3	0	2	15	1	0	21	1	5	3	2	0	0	1	2	1	223	19	5	5	0	7	9	1	1	23	4	19	6	13	65	24	3	2	161	3	2	5	2	5	4	10	1	48	0	1	0	1	4	19	39	44	5	25	5	2	159	2	5	3	9	4	71	18	3	1	0	5	14	8	8	27	5	125	3	0	20	137	6	3	0	28	1	12	6	30	2	12	6	5	4	8	3	34	38	0	1	17	2	7	3	2	11	4	4	0	13	4	5	0	3	57	3	3	2	3	4	1	10	3	2	9	0	103	2	12	0	4	91	70	4	5	2	2	0	0	4	37	22	17	1	91	0	5	6	26	1	0	1	6	54	9	0	3	6	2	6	2	0	5	3	0	1	3	25	7	1	5	6	3	16	1	3	10	1	22	1	0	8	1	0	0	8	4	4	3	0	2	3	21	43	5	113	37	4	2	23	6	10	135	12	4	20	2	4	17	6	3	7	37	2	2	17	16	0	9	4	7	44	5	3	0	2	3	65	41	13	284	28	5	5	5	3	6	7	2	6	19	11	19	23	2	11	214	4	5	4	10	20	4	50	3	12	81	1	9	2	4	5	19	3	6	2	42	6	4	14	57	57	22	9	79	0	6	1	4	7	10	77	2	6	1	1	3	6	76	1	13	3	28	2	36	1	218	99	10	0	10	0	2	5	104	15	2	3	9	63	2	25	3	5	13	2	4	40	17	13	3	3	2	4	2	17	16	32	0	5	2	10	1	2	10	2	2	5	12	1	6	4	1	3	3	1	2	217	7	3	3	23	6	4	0	19	9	11	8	5	8	2	7	4	1	46	6	112	7	3	220	9	22	12	404	3	98	12	4	2	6	4	36	4	11	8	3	3	5	91	12	1	1	6	2	6	1	1	10	1	10	47	7	3	8	142	50	16	14	21	4	48	1	2	1	24	7	1	0	2	3	22	5	0	15	14	3	90	2	20	41
[Del(C):R(4,5)]A	12	81	274	3	5	2	42	0	421	4	8	10	2	0	13	7	8	3	4	5	4	5	4	0	61	2	19	4	6	0	1	2	13	4	265	14	3	10	0	4	16	2	0	135	2	31	4	24	722	19	10	2	178	2	4	15	3	130	3	126	2	92	0	5	0	2	8	24	597	79	7	222	4	3	221	3	2	3	10	18	1220	235	6	5	0	1	65	7	20	297	4	150	11	8	106	175	6	5	1	19	2	26	11	265	3	19	7	15	2	6	10	415	49	9	10	28	4	13	5	0	12	6	2	3	23	44	15	0	16	972	5	8	0	3	18	1	7	3	0	15	0	1240	2	39	0	4	111	102	3	9	5	15	0	2	9	425	13	15	3	1546	0	3	9	56	10	0	8	2	637	12	0	9	12	5	17	11	0	6	4	3	0	5	114	7	1	3	3	0	137	8	10	123	1	7	1	0	5	4	3	4	6	3	10	4	13	1	2	354	732	6	188	393	4	2	32	8	3	1824	9	15	14	4	0	9	16	7	7	30	2	3	24	12	1	17	3	9	158	4	10	1	4	0	277	476	22	333	26	149	7	12	1	27	3	9	1	84	11	32	87	3	10	271	9	7	6	19	22	9	528	7	60	1080	1	174	7	0	23	27	1	14	2	460	10	2	6	256	97	38	8	729	1	7	3	3	11	72	99	3	15	4	0	7	4	809	3	46	2	17	3	436	3	305	1140	8	0	20	3	5	6	91	21	3	6	10	394	4	163	5	2	11	4	3	58	126	8	6	1	4	15	6	16	113	37	5	3	1	8	4	0	9	1	3	1	10	3	17	2	1	14	6	0	2	303	6	3	10	58	15	8	8	27	112	15	7	2	12	2	9	12	3	345	2	1394	18	1	233	19	58	10	469	2	1179	10	5	3	12	3	244	5	5	23	5	9	6	142	10	2	0	9	6	16	2	4	9	4	39	55	6	3	6	222	540	11	13	62	7	61	7	5	5	272	1	2	1	5	4	44	3	8	17	17	12	117	5	180	471
[Del(C):R(4,5)]T	8	26	259	3	3	3	25	0	368	1	11	17	3	0	14	3	7	1	4	2	2	7	1	0	29	1	18	1	5	0	1	1	7	2	136	22	4	9	0	7	9	3	1	138	3	19	3	13	558	18	3	0	111	1	4	10	2	107	3	135	0	58	0	0	1	2	2	18	470	56	3	171	2	1	85	3	3	5	8	12	1338	218	2	0	0	2	23	5	10	333	3	83	4	4	100	81	5	1	0	28	7	14	4	246	2	15	5	1	1	4	4	434	27	4	2	17	4	7	5	0	3	3	5	2	22	43	8	0	8	796	3	7	2	5	7	2	4	2	2	7	1	1054	1	16	1	5	76	56	3	8	1	8	0	0	5	427	12	9	0	1205	0	2	4	30	7	0	2	1	570	5	0	5	9	2	7	5	0	3	3	1	0	0	133	7	3	3	7	0	135	4	5	148	2	4	2	0	0	3	1	4	5	3	11	3	18	4	4	346	719	6	100	358	0	4	21	6	5	1223	6	9	11	2	1	8	6	12	1	21	1	0	12	18	1	8	2	11	233	2	1	3	2	2	233	525	16	182	17	56	7	12	1	14	6	1	5	91	5	10	42	2	11	149	3	2	8	12	11	2	490	6	62	831	1	189	4	2	14	24	2	6	5	398	4	1	8	255	68	25	4	539	2	3	0	3	7	92	49	0	3	2	0	8	4	926	0	52	2	13	4	327	1	148	1064	6	1	11	3	6	8	66	15	6	4	7	439	4	160	6	2	9	2	2	29	147	11	6	4	5	6	2	17	82	29	1	4	1	11	3	2	6	3	3	2	7	1	4	3	1	8	5	2	3	153	6	3	4	47	9	2	3	15	88	9	6	3	4	2	2	1	1	289	3	1418	11	5	133	9	59	12	250	1	971	15	2	3	3	1	188	6	8	19	3	0	4	78	3	1	0	7	1	11	3	2	5	8	32	33	12	5	4	113	430	9	13	31	8	35	3	6	3	230	5	1	0	3	3	30	1	6	7	10	4	76	3	168	491
[Del(C):R(1,5)]G	8	69	131	4	4	11	23	0	137	4	18	26	8	1	26	0	10	8	9	0	6	9	3	0	26	5	7	2	4	0	2	3	9	3	272	18	3	8	0	1	5	1	3	53	2	18	3	12	195	19	4	1	229	2	4	2	5	31	6	70	1	43	0	1	1	0	3	18	163	61	4	61	7	3	205	2	6	4	19	10	486	91	5	3	0	2	17	10	10	156	1	154	1	10	46	174	2	5	2	17	3	18	7	71	2	11	8	9	0	6	9	183	53	1	6	17	10	8	3	0	8	1	7	3	12	16	9	0	2	299	5	9	4	4	5	2	2	1	1	5	1	396	1	20	0	0	100	97	6	18	1	2	0	1	0	155	17	18	0	509	0	3	7	29	3	0	3	1	199	10	0	6	6	2	4	2	0	4	3	4	0	2	54	2	1	6	5	1	44	6	8	53	4	8	3	0	3	4	2	3	7	4	12	4	7	4	1	123	281	6	168	141	2	1	48	11	10	827	6	5	17	3	2	15	4	10	6	29	5	3	25	20	1	6	2	6	115	16	7	6	7	1	157	212	14	347	23	46	3	5	2	5	7	3	8	29	8	29	16	4	20	297	20	2	4	10	26	7	199	3	57	453	3	50	3	7	13	30	2	14	1	178	7	3	14	151	90	18	10	300	2	6	1	5	8	40	94	6	7	1	1	4	4	310	2	20	3	21	5	148	5	255	400	15	0	9	0	10	6	117	16	7	5	10	158	0	97	4	3	21	3	3	66	56	18	11	4	11	12	3	12	77	27	3	7	2	20	2	0	9	1	3	6	6	3	11	9	2	9	5	3	4	261	16	2	4	31	18	7	2	19	56	12	8	3	10	3	8	3	1	156	8	558	17	5	289	11	33	13	475	7	427	10	3	3	5	4	81	9	7	45	6	4	6	108	7	1	0	10	8	9	8	7	8	5	22	53	16	6	16	193	205	21	10	26	10	89	1	6	2	112	4	3	1	4	4	45	2	5	12	14	9	101	7	114	271
Del(C):R(6,9)	32	38	1369	5	5	1	10	0	1764	4	15	2	3	2	5	13	5	5	6	4	15	2	0	0	83	4	129	5	3	0	6	4	39	2	83	6	5	34	1	4	20	9	4	965	3	8	5	45	2366	6	7	0	57	2	4	24	1	430	1	576	1	71	0	3	0	2	3	7	3129	37	14	694	4	6	93	5	4	2	5	35	5268	1114	9	3	0	6	100	5	24	1576	6	61	16	16	400	76	4	4	0	4	2	3	2	884	0	8	4	3	9	4	3	2005	22	6	4	5	8	3	4	0	3	11	1	10	14	183	5	0	9	3715	2	2	1	4	30	3	11	4	1	25	3	4401	4	11	3	42	47	32	2	4	6	23	0	1	9	2105	3	5	2	4713	0	3	4	64	36	0	6	8	2265	6	0	9	3	4	31	18	0	13	2	5	0	7	455	1	3	2	2	1	895	10	6	575	1	6	2	1	2	4	0	2	1	5	5	6	45	6	12	1814	3768	66	73	2194	11	7	15	12	0	5503	5	16	3	4	4	11	32	3	8	14	0	12	1	12	2	44	3	116	1821	6	13	2	19	1	1639	2427	105	127	36	342	8	37	10	37	8	4	6	727	3	10	145	8	16	112	2	11	10	42	24	10	2291	59	489	3815	4	789	28	5	56	15	2	5	12	2453	7	3	2	1637	42	176	21	4071	2	3	1	6	5	614	38	1	9	4	4	23	17	5241	7	432	7	6	3	2177	24	108	5232	12	1	89	4	13	61	41	17	3	2	24	2455	5	1078	6	3	4	1	4	30	714	4	15	2	10	47	13	12	962	20	5	2	1	8	11	2	22	2	12	5	6	4	9	2	0	17	8	1	8	147	17	26	35	427	10	2	4	18	715	4	16	6	40	6	9	32	2	1565	5	7921	17	2	79	41	271	27	170	1	6117	4	12	2	21	14	983	6	2	19	11	4	13	54	7	2	0	10	1	8	2	13	26	9	240	19	12	6	7	67	3925	9	13	243	4	27	1	19	7	1187	3	0	0	2	2	23	10	15	8	5	7	49	13	1012	3173
