	SP90989	SP117290	SP116797	SP84743	SP84982	SP9816	SP124439	SP107363	SP97194	SP5559	SP28659	SP107439	SP102581	SP23925	SP2293	SP53810	SP52667	SP79243	SP116578	SP121761	SP80754	SP96116	SP102133	SP30113	SP67609	SP116276	SP50097	SP116919	SP114898	SP81312	SP92364	SP125584	SP22031	SP26649	SP84384	SP112907	SP102045	SP85818	SP80615	SP79427	SP111031	SP112290	SP54113	SP29559	SP103894	SP93227	SP77956	SP21400	SP116520	SP112985	SP82103	SP49229	SP114980	SP96118	SP110847	SP16886	SP19295	SP105018	SP99013	SP112947	SP80217	SP116545	SP23502	SP25350	SP125778	SP99325	SP94741	SP49114	SP1305	SP2155	SP90125	SP56553	SP94933	SP62616	SP90629	SP18787	SP116365	SP107784	SP48189	SP102973	SP57189	SP27825	SP17905	SP55235	SP123975	SP111119	SP25494	SP21017	SP98953	SP33688	SP107012	SP5052	SP23775	SP56704	SP59448	SP116676	SP111170	SP63546	SP116819	SP116589	SP93540	SP101670	SP94348	SP103080	SP107076	SP110242	SP125752	SP84392	SP96126	SP95126	SP24135	SP90209	SP59803	SP92659	SP1365	SP57735	SP125746	SP102957	SP3631	SP18310	SP112817	SP112777	DRUP01010025T	CPCT02050439T	CPCT02340026T	CPCT02340014T	DRUP01330020T	CPCT02070336T	CPCT02050424T	CPCT02340081T	CPCT02020865T	DRUP01030028T	CPCT02020597TII	DRUP01340014T	WIDE01010510T	CPCT02100089T	CPCT02080153T	CPCT02020815T	CPCT02120078T	CPCT02450014T	CPCT02020413T	CPCT02070357T	CPCT02070053T	CPCT02010605T	CPCT02100101T	CPCT02040317T	CPCT02030278T	CPCT02250003T	DRUP01030015T	CPCT02050117T	CPCT02070466TII	WIDE01010470T	CPCT02210064T	CPCT02010648T	DRUP01050003T	CPCT02100090T	CPCT02050149T	WIDE01010075T	CPCT02030532T	CPCT02050104T	CPCT02150052T	CPCT02100092T	CPCT02340022T	DRUP01070080T	CPCT02340010T	CPCT02100141T	CPCT02060054T	CPCT02050370T	CPCT02010373T	WIDE01010071T	CPCT02130184T	CPCT02070373T	CPCT02140057T	CPCT02070069TII	DRUP01070015T	CPCT02100044T	CPCT02010408T	CPCT02060291T	DRUP01230001T	WIDE01010539T	CPCT02010486T	CPCT02160034T	WIDE01010016T	CPCT02080120T	CPCT02220045T	CPCT02310006T	CPCT02010786T	CPCT02050170T	CPCT02010530T	DRUP01050017T	CPCT02140107T	CPCT02220047T	CPCT02020476T	CPCT02050385T	CPCT02040113T	CPCT02080273T	CPCT02080045T	CPCT02070436T	CPCT02130170T	DRUP01010022T	CPCT02240008T	CPCT02020436T	CPCT02010523T	CPCT02060033T	CPCT02060246T	CPCT02010772T	CPCT02040329T	CPCT02030430T	CPCT02010715T	CPCT02080110T	CPCT02010662T	CPCT02140012T	CPCT02090019T	CPCT02220023T	CPCT02080294T	CPCT02060224T	DRUP01070038T	WIDE01010565T	WIDE01010404T	CPCT02010579T	DRUP01020002T	CPCT02050390T	CPCT02050349T	CPCT02130140T	CPCT02380029T	DRUP01010078T	DRUP01070009T	CPCT02080157T	CPCT02050192T	WIDE01010208T	CPCT02360007T	CPCT02060265T	CPCT02070192T	CPCT02070058T	CPCT02010505T	CPCT02050211T	CPCT02030451T	CPCT02050089T	CPCT02120032T	WIDE01010228T	CPCT02040299T	CPCT02080078T	CPCT02160058T	CPCT02180009T	CPCT02190055T	CPCT02040280TII	CPCT02130146T	DRUP01010106T	CPCT02020789T	CPCT02020599T	CPCT02060225T	CPCT02010635T	WIDE01010028T	CPCT02110059T	CPCT02180068T	CPCT02020428T	CPCT02390002T	DRUP01340015T	CPCT02010794T	CPCT02090032T	CPCT02370012T	CPCT02070353T
A[Del(C):R1]A	34	4	0	11	30	5	11	3	17	9	10	13	0	2	2	210	32	0	9	10	4	3	8	58	8	0	6	0	3	12	29	0	3	5	109	4	13	0	28	0	11	13	108	11	16	25	3	13	5	0	5	1	3	12	8	14	5	19	2	4	0	2	9	5	10	93	35	15	22	3	1	46	31	9	12	8	5	4	3	10	83	8	39	87	3	10	21	69	6	4	22	11	10	31	14	11	10	6	0	5	48	8	32	19	19	81	2	61	3	12	11	30	8	9	5	25	25	10	6	82	8	57	169	5	3	15	235	16	32	4	13	3	5	2	3	3	6	225	18	151	19	25	2	4	27	49	9	9	2	2	2	30	16	3	30	7	6	23	24	30	42	7	19	158	8	15	7	16	143	5	6	8	65	4	83	9	2	13	118	13	2	12	8	4	22	3	128	56	46	140	8	5	9	5	63	186	15	16	11	73	3	5	12	7	11	3	39	43	5	3	8	7	3	159	5	1	55	10	2	13	9	13	74	120	150	222	1	67	1	3	62	20	69	6	1	160	2	15	20	13	31	3	5	17	9	180	40	71	5	8	15	3	9	5	16	1	44	8	21	19	16	15
A[Del(C):R1]G	13	0	0	2	6	0	1	0	1	0	3	0	0	1	1	24	5	0	0	2	0	0	2	9	1	0	3	0	0	2	11	0	2	0	31	1	1	0	4	0	0	3	9	1	4	5	0	2	1	0	0	0	1	3	1	1	0	1	1	0	0	0	1	0	1	24	9	1	3	0	1	3	1	0	0	0	0	0	1	2	11	1	2	6	0	1	1	12	1	0	1	1	4	4	0	1	0	1	0	1	9	3	11	2	1	5	0	9	0	1	2	4	2	0	2	2	4	1	0	20	0	0	18	0	0	3	24	1	6	0	2	2	0	0	1	1	0	19	0	15	1	5	1	1	1	7	1	2	1	0	0	0	3	0	1	2	0	0	3	3	0	0	0	21	1	3	0	2	15	0	1	4	5	2	6	0	1	7	16	2	0	0	1	1	1	1	12	1	7	6	1	2	1	4	8	10	2	5	0	5	2	0	0	2	2	0	3	2	0	1	1	0	1	11	1	0	3	0	0	1	0	3	12	11	24	22	0	9	0	0	5	0	4	0	1	10	1	1	3	0	1	0	2	0	6	23	5	7	1	1	1	0	1	1	0	0	9	2	2	5	2	0
A[Del(C):R1]T	7	2	0	4	13	7	5	1	17	6	15	9	1	2	1	48	20	0	3	9	3	3	11	27	12	0	6	0	3	7	8	0	2	7	8	4	13	0	73	0	4	6	23	7	12	38	1	10	10	0	4	4	6	2	7	20	12	43	3	2	0	2	18	7	12	20	4	7	15	9	8	21	9	15	18	2	2	4	1	6	32	3	139	32	4	12	29	14	5	1	6	17	12	13	11	19	7	11	0	7	5	16	3	15	7	25	1	9	2	13	7	11	5	15	8	9	9	9	3	5	4	1	17	7	3	6	27	18	40	2	13	0	2	1	7	0	0	68	15	9	11	43	2	5	12	9	7	11	4	3	1	56	8	7	23	5	2	3	18	22	40	7	3	23	2	8	6	18	29	3	2	11	40	5	15	3	2	7	37	5	3	11	2	1	25	1	14	4	25	18	6	10	11	6	18	15	15	33	8	8	9	2	2	5	7	5	8	15	1	4	5	8	11	38	4	1	11	4	2	3	5	19	16	26	15	55	2	10	1	4	14	16	13	2	2	16	5	6	8	6	17	2	6	15	11	38	26	27	10	6	12	2	13	4	21	1	13	3	26	10	23	8
A[Del(C):R2]A	4	3	0	5	7	0	3	2	20	1	4	0	0	2	2	154	28	0	4	3	2	4	3	85	3	0	13	0	5	21	8	0	6	0	23	1	5	0	39	0	4	21	89	4	8	36	0	22	2	0	1	5	2	2	1	20	13	7	2	1	0	0	4	3	2	30	5	7	3	2	0	63	4	2	3	3	0	1	0	10	103	3	92	69	0	3	9	11	4	1	15	1	6	58	3	2	3	1	0	2	5	1	5	5	15	27	1	9	1	3	6	14	3	6	1	35	4	9	2	4	2	2	29	2	1	3	60	14	13	0	15	2	4	1	2	1	2	184	17	28	11	4	0	4	5	55	0	5	0	0	11	50	6	0	3	3	1	5	10	15	14	1	30	34	3	5	21	3	151	3	7	9	38	4	22	1	1	3	27	4	2	1	1	2	2	0	22	11	21	26	4	2	8	2	60	40	6	5	4	12	3	2	8	2	2	1	51	10	2	1	4	4	3	144	4	0	14	4	1	2	1	5	49	24	31	223	0	12	1	1	13	20	14	0	2	35	5	4	3	2	11	0	6	2	8	171	11	65	3	3	4	3	5	2	1	1	74	2	10	5	6	2
A[Del(C):R2]G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	12	0	0	2	0	0	1	2	0	0	0	2	0	1	0	3	0	3	1	18	0	1	3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	12	1	1	0	1	0	0	1	0	13	0	2	12	0	1	1	0	1	0	1	0	1	4	1	1	1	0	0	1	3	0	0	1	2	1	0	1	0	0	1	3	0	0	0	6	0	2	2	0	0	0	1	0	0	0	3	1	1	0	2	0	0	1	0	0	0	29	0	3	4	0	0	0	0	15	0	1	1	0	3	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	7	0	22	0	2	0	2	0	1	0	1	0	3	0	0	0	1	0	3	0	3	3	2	2	0	1	0	0	14	2	1	0	0	1	0	0	0	0	2	0	11	0	0	0	1	0	0	25	0	1	0	0	0	0	0	1	12	1	5	40	0	3	0	0	4	3	1	1	0	0	0	1	1	0	1	0	1	0	0	16	2	11	0	0	0	0	0	0	0	0	14	0	0	0	0	2
A[Del(C):R2]T	4	3	0	4	5	3	3	0	15	3	6	0	0	5	3	68	10	0	3	5	1	0	1	46	3	0	15	0	6	2	5	0	2	4	24	1	4	0	17	0	4	7	43	4	4	22	2	6	4	0	1	1	1	0	1	4	2	14	2	1	0	0	9	5	6	24	11	12	6	3	4	28	11	6	5	0	1	2	1	6	61	5	33	26	0	7	17	15	3	1	5	7	7	29	4	1	3	3	1	1	12	2	6	8	5	12	2	15	5	3	7	13	7	1	3	16	5	4	2	12	0	3	20	1	1	11	35	27	16	0	11	1	1	2	4	0	1	71	17	41	10	13	0	2	4	25	4	6	4	0	2	7	4	1	10	7	3	3	6	11	19	1	5	23	3	2	7	10	60	2	2	8	19	1	7	2	4	6	15	3	0	4	4	1	12	0	19	2	18	12	3	3	8	6	30	17	8	7	6	10	4	1	0	2	7	0	30	10	3	1	1	2	7	74	0	0	4	6	5	1	4	11	22	12	17	96	2	5	0	0	19	10	8	1	0	8	3	1	2	3	13	1	3	13	7	60	15	38	3	2	7	5	3	1	8	0	28	1	11	1	13	4
A[Del(C):R3]A	9	0	0	1	19	1	1	0	7	0	4	0	0	4	0	86	15	0	2	3	1	0	1	40	3	0	14	0	3	6	5	0	0	0	31	1	3	0	14	0	1	16	58	1	1	41	2	2	0	0	2	1	4	6	2	10	3	7	0	1	0	0	4	1	0	51	12	7	4	4	0	25	7	2	0	3	0	2	1	9	84	0	49	43	1	0	5	31	4	2	22	0	4	28	1	4	1	2	1	0	19	3	11	3	8	55	1	32	1	1	2	17	4	1	1	15	16	10	0	37	5	1	35	1	0	2	52	10	7	1	6	1	0	0	0	0	0	105	5	16	12	0	0	2	3	39	2	3	4	1	4	17	2	0	2	3	1	4	5	5	13	2	5	32	2	2	6	1	89	0	4	9	15	1	25	2	0	1	24	2	1	2	1	0	6	0	28	11	17	14	3	1	4	6	41	36	4	5	3	11	2	1	2	2	0	0	21	5	0	2	1	1	7	112	0	0	8	3	0	3	0	4	32	22	17	106	0	8	0	1	28	4	18	1	0	32	0	1	8	2	5	5	2	7	5	107	13	32	0	2	2	1	2	0	3	0	41	1	3	1	5	1
A[Del(C):R3]G	3	0	0	1	3	0	0	0	2	0	0	0	0	0	0	9	3	0	0	0	0	1	0	7	0	0	1	0	0	0	3	0	0	0	10	1	0	0	1	0	0	1	12	2	1	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	17	7	2	0	0	0	7	2	0	0	1	1	0	0	4	7	0	2	12	0	0	0	9	0	0	8	1	0	3	1	0	0	1	0	0	9	1	9	0	1	13	0	5	0	1	1	3	0	0	0	3	6	0	0	3	0	0	10	0	0	1	13	3	1	0	1	0	0	0	0	0	0	15	0	5	0	0	0	0	0	7	1	1	1	0	3	1	0	1	2	0	0	1	1	0	2	0	0	6	1	0	1	1	15	0	0	1	1	1	0	0	0	0	5	0	0	0	0	0	0	1	8	0	4	0	1	0	0	0	6	7	1	1	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	10	0	0	2	0	0	1	0	0	6	5	8	20	0	5	0	0	2	3	7	0	0	7	2	0	0	0	3	0	0	0	1	14	1	4	0	1	1	0	1	0	0	1	7	0	0	0	1	0
A[Del(C):R3]T	11	3	0	2	11	1	4	0	14	3	12	0	0	0	0	37	7	0	3	0	0	1	2	26	2	0	7	0	5	4	15	0	0	5	22	4	3	0	10	0	2	8	28	2	3	27	0	5	2	0	0	1	0	0	1	2	1	7	3	0	0	0	5	1	2	31	6	6	1	4	3	18	3	1	3	1	1	0	1	2	31	3	14	29	0	2	3	14	2	2	11	1	2	13	2	3	1	0	0	0	13	3	8	5	5	33	1	29	0	0	1	9	1	3	3	7	4	7	0	27	1	1	22	0	2	1	27	9	2	0	4	2	1	0	0	0	1	40	2	19	5	3	0	0	3	18	1	3	1	0	2	8	1	0	2	2	1	1	2	4	8	1	7	31	0	2	3	0	39	2	2	3	8	2	18	3	3	2	15	1	0	2	1	1	1	1	19	3	8	13	1	0	2	3	23	13	3	5	1	14	2	1	1	1	6	0	8	4	1	1	2	3	1	32	0	0	7	4	1	0	2	6	20	15	15	38	0	7	0	1	16	6	13	1	0	19	0	0	1	1	3	3	0	5	4	45	3	13	0	3	4	2	1	0	2	1	14	1	5	2	2	2
A[Del(C):R4]A	26	1	0	6	49	1	0	0	1	1	2	0	0	2	1	29	7	0	0	0	0	0	3	20	1	0	9	0	2	3	45	0	4	1	96	1	2	0	9	0	5	6	33	1	1	91	0	3	0	0	1	1	0	4	1	1	1	4	1	0	0	0	3	2	1	118	36	3	1	1	1	15	22	1	1	1	0	1	0	7	33	0	22	15	1	3	10	81	1	0	21	1	1	20	4	2	2	1	0	0	76	0	53	5	8	110	0	82	2	0	4	48	1	1	0	12	37	4	0	101	3	0	80	1	0	5	95	5	6	1	6	0	1	0	1	1	2	40	1	27	3	2	0	3	3	14	2	0	2	0	2	17	3	2	3	1	1	22	9	6	3	0	5	127	0	1	7	3	36	0	2	2	12	2	50	3	0	1	29	4	0	3	2	1	1	0	77	10	13	31	0	1	4	3	10	52	0	5	4	28	0	1	3	0	1	0	17	8	0	2	0	0	0	33	1	1	11	4	1	3	3	3	20	53	50	40	0	17	0	0	37	9	28	0	0	78	1	5	12	2	7	0	2	1	6	47	9	17	3	3	0	0	0	0	5	1	22	2	0	0	1	1
