Samples	ID1	ID2	ID9	ID11	ID19	ID23
SP116788	7	0	9	0	0	0
SP116789	1	0	0	0	0	5
SP116919	0	0	0	0	1	0
SP109002	8	12	19	0	14	0
SP109001	0	0	5	6	0	0
SP109006	19	11	0	0	13	22
SP108998	67	31	0	0	40	0
SP127706	17	16	38	30	0	54
SP108999	40	28	43	0	0	0
SP109007	13	9	31	0	23	0
SP109003	13	14	25	0	0	0
SP116868	13	0	0	0	0	42
SP116794	6	0	9	0	0	0
SP116791	13	0	0	0	0	0
SP116866	9	6	0	0	0	33
SP116815	7	21	19	0	0	0
SP116853	12	0	16	0	0	14
SP116901	8	0	16	0	0	0
SP116830	12	0	29	17	0	34
SP116802	0	0	0	6	0	9
SP116885	28	23	39	0	0	0
SP116834	12	0	19	0	0	0
SP116913	0	0	25	0	0	0
SP116799	0	3	11	9	0	12
SP116920	0	6	0	0	0	12
SP116835	16	12	24	0	0	36
SP116852	15	0	23	0	0	0
SP116902	9	0	22	0	0	0
SP116871	0	0	10	0	0	0
SP116820	14	7	0	12	0	18
SP116889	12	0	17	0	0	34
SP116923	17	9	36	0	0	0
SP116829	13	0	25	0	0	36
SP116872	0	0	0	8	0	0
SP116904	0	0	5	0	0	0
SP116806	20	9	23	0	0	0
SP116857	12	10	30	0	0	29
SP116888	4	0	11	0	0	12
SP116818	3	5	0	5	0	9
SP116837	8	9	29	0	0	27
SP116905	0	0	0	0	0	4
SP116804	23	12	24	0	0	0
SP116819	7	5	0	6	0	13
SP116856	5	4	24	0	0	18
SP116839	16	11	18	0	0	33
SP116925	9	5	14	0	0	0
SP116878	0	0	8	0	0	14
SP116893	11	0	20	0	0	21
SP116876	0	0	0	0	0	1
SP116927	13	0	0	0	0	30
SP116909	10	3	15	0	0	0
SP116795	2	2	3	0	0	0
SP116826	26	0	22	0	0	0
SP116891	5	0	12	0	0	14
SP116860	11	0	25	0	0	0
SP116848	6	0	0	0	0	50
SP116910	29	15	28	0	0	0
SP116797	2	3	0	0	6	0
SP116862	13	12	0	0	0	41
SP116823	13	4	18	0	0	0
SP116897	0	0	15	0	0	0
SP116846	0	0	9	0	0	10
SP116784	0	0	0	0	1	0
SP116896	0	0	14	0	0	0
SP116824	13	0	8	0	0	14
SP116881	0	0	0	0	0	9
SP116812	8	15	20	0	0	0
SP116915	15	9	54	0	0	0
SP116786	16	20	30	0	0	0
SP116851	3	3	9	0	0	0
CPCT02220038T	825	448	0	0	0	0
CPCT02290013T	331	118	0	0	220	177
