MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	2.92E-05	1.39E-03	1.99E-03	4.23E-03
1:Del:C:1	1.57E-05	7.98E-04	9.45E-04	2.34E-03
1:Del:C:2	1.29E-05	3.68E-04	5.88E-04	1.19E-03
1:Del:C:3	2.10E-05	2.23E-04	2.97E-04	6.93E-04
1:Del:C:4	4.88E-05	1.09E-04	1.85E-04	3.76E-04
1:Del:C:5	1.05E-04	1.06E-04	7.33E-05	1.56E-04
1:Del:T:0	2.18E-05	9.54E-04	9.38E-04	2.68E-03
1:Del:T:1	2.11E-05	5.11E-04	4.70E-04	1.50E-03
1:Del:T:2	2.20E-05	6.00E-04	7.93E-04	1.83E-03
1:Del:T:3	7.47E-05	4.67E-04	9.19E-04	1.75E-03
1:Del:T:4	1.63E-04	2.55E-04	5.76E-04	1.12E-03
1:Del:T:5	1.89E-03	3.71E-03	5.70E-04	5.46E-04
1:Ins:C:0	4.15E-05	1.81E-04	3.35E-04	7.15E-04
1:Ins:C:1	6.80E-04	9.37E-05	2.23E-03	9.89E-03
1:Ins:C:2	3.44E-04	4.89E-05	1.17E-03	5.14E-03
1:Ins:C:3	1.42E-04	5.45E-05	4.54E-04	1.97E-03
1:Ins:C:4	5.98E-05	6.58E-05	2.09E-04	6.64E-04
1:Ins:C:5	1.95E-04	5.17E-04	1.72E-04	2.04E-04
1:Ins:T:0	2.86E-05	1.84E-04	3.18E-04	6.77E-04
1:Ins:T:1	8.12E-04	2.54E-04	2.50E-03	1.09E-02
1:Ins:T:2	5.10E-04	2.07E-04	1.57E-03	6.55E-03
1:Ins:T:3	3.59E-04	1.66E-04	1.09E-03	4.23E-03
1:Ins:T:4	1.81E-04	2.25E-04	6.64E-04	2.06E-03
1:Ins:T:5	2.79E-03	9.47E-03	2.62E-03	1.63E-03
2:Del:R:0	1.73E-05	3.74E-04	4.07E-04	1.08E-03
2:Del:R:1	2.80E-05	4.43E-04	3.36E-04	1.23E-03
2:Del:R:2	1.98E-05	1.51E-04	1.39E-04	4.34E-04
2:Del:R:3	2.42E-05	2.66E-05	6.74E-05	1.36E-04
2:Del:R:4	1.51E-05	1.32E-05	3.21E-05	4.92E-05
2:Del:R:5	3.64E-05	1.09E-04	6.98E-05	3.05E-04
3:Del:R:0	7.07E-06	1.44E-04	2.54E-04	4.74E-04
3:Del:R:1	1.80E-05	4.15E-04	3.06E-04	1.19E-03
3:Del:R:2	7.03E-06	1.11E-04	7.63E-05	2.96E-04
3:Del:R:3	4.80E-06	2.02E-05	1.54E-05	5.26E-05
3:Del:R:4	2.88E-06	5.57E-05	4.27E-05	1.56E-04
3:Del:R:5	5.97E-06	5.08E-05	2.54E-05	1.50E-04
4:Del:R:0	4.52E-06	1.15E-04	2.28E-04	3.91E-04
4:Del:R:1	1.08E-05	3.59E-04	2.56E-04	9.39E-04
4:Del:R:2	6.17E-06	9.89E-05	6.47E-05	2.47E-04
4:Del:R:3	8.17E-06	6.29E-05	4.92E-05	1.63E-04
4:Del:R:4	4.52E-06	2.71E-05	1.81E-05	7.60E-05
4:Del:R:5	4.80E-06	1.20E-05	1.36E-05	3.53E-05
5:Del:R:0	6.89E-06	7.98E-04	1.42E-03	2.91E-03
5:Del:R:1	8.34E-06	1.34E-04	2.32E-04	4.49E-04
5:Del:R:2	2.93E-06	2.72E-05	3.87E-05	8.51E-05
5:Del:R:3	2.73E-06	9.81E-06	1.57E-05	2.90E-05
5:Del:R:4	1.66E-06	2.80E-06	5.99E-06	1.77E-05
5:Del:R:5	1.65E-06	2.56E-06	6.96E-06	6.01E-06
2:Ins:R:0	2.94E-05	1.78E-04	2.61E-04	5.62E-04
2:Ins:R:1	1.03E-05	1.23E-04	5.99E-05	3.44E-04
2:Ins:R:2	1.21E-05	3.90E-05	3.92E-05	1.39E-04
2:Ins:R:3	1.22E-05	2.06E-05	3.08E-05	5.59E-05
2:Ins:R:4	3.09E-05	6.46E-05	2.56E-05	3.18E-05
2:Ins:R:5	1.37E-04	2.90E-04	7.50E-05	1.22E-04
3:Ins:R:0	8.07E-06	9.06E-05	1.32E-04	2.81E-04
3:Ins:R:1	8.37E-06	8.90E-05	3.46E-05	2.34E-04
3:Ins:R:2	1.20E-06	1.45E-05	2.49E-05	4.01E-05
3:Ins:R:3	3.19E-06	4.86E-06	9.77E-06	6.15E-06
3:Ins:R:4	5.13E-06	7.24E-06	1.33E-05	1.59E-05
3:Ins:R:5	1.94E-05	3.80E-05	1.72E-05	1.94E-05
4:Ins:R:0	1.99E-05	1.15E-04	1.35E-04	3.22E-04
4:Ins:R:1	6.97E-06	6.98E-05	3.60E-05	2.10E-04
4:Ins:R:2	4.98E-06	1.28E-05	2.39E-05	3.73E-05
4:Ins:R:3	4.96E-06	8.31E-06	1.42E-05	2.06E-05
4:Ins:R:4	4.15E-06	1.18E-05	3.50E-06	2.46E-05
4:Ins:R:5	6.78E-06	1.47E-05	2.41E-05	5.65E-05
5:Ins:R:0	4.50E-05	8.46E-04	9.29E-04	4.66E-03
5:Ins:R:1	4.46E-06	4.00E-04	3.56E-04	1.13E-03
5:Ins:R:2	3.83E-06	1.45E-05	2.38E-05	3.79E-05
5:Ins:R:3	1.13E-06	1.25E-05	1.13E-05	3.04E-05
5:Ins:R:4	2.08E-06	9.03E-06	8.75E-06	2.37E-05
5:Ins:R:5	6.16E-07	9.96E-06	1.07E-05	2.44E-05
2:Del:M:1	2.27E-05	4.67E-04	3.11E-04	1.28E-03
3:Del:M:1	4.60E-06	1.27E-04	2.24E-04	4.09E-04
3:Del:M:2	1.23E-05	2.59E-04	2.74E-04	7.35E-04
4:Del:M:1	7.57E-06	1.36E-04	2.32E-04	4.40E-04
4:Del:M:2	7.22E-06	1.82E-04	3.36E-04	6.23E-04
