MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	0.0019447000173386185	0.022634610909153707	0.03422479170025326	0.03217069488251582
1:Del:C:1	0.0003275903197754815	0.014291094085638178	0.01541472138313111	0.017374227886311003
1:Del:C:2	0.0005974351547047264	0.007060296464478597	0.010344779579682406	0.00885697357771142
1:Del:C:3	0.002781002831179649	0.00461792952293763	0.004729476512875408	0.004932321085862007
1:Del:C:4	0.008618158791214227	0.001739516500647369	0.0029544943596498097	0.002667404650961367
1:Del:C:5	0.028900435604155065	0.001741196332150139	0.001308920107258018	0.0014315282518509776
1:Del:T:0	0.0013562832091702148	0.01834196925512515	0.015608904252731008	0.020409026448905934
1:Del:T:1	0.0013259310374269262	0.012708932615350933	0.007522650050959783	0.011168205005677114
1:Del:T:2	0.002156742939259857	0.012218993273563683	0.013223181208450114	0.01365684546176965
1:Del:T:3	0.013534857835620641	0.012878367891535163	0.01744071162887849	0.013216687564417953
1:Del:T:4	0.042098229080438615	0.009979366362094878	0.014350226423703134	0.010480412358883768
1:Del:T:5	0.6814787101745605	0.02297957501225494	0.0036764328609109496	0.007471406386235877
1:Ins:C:0	0.0016239804874203401	0.008398092621937393	0.00691909597517224	0.005564775181227979
1:Ins:C:1	0.0019162086379917297	0.000559432837960756	0.013518285153532589	0.13669843123414466
1:Ins:C:2	0.001036034658620959	0.00029023665989619474	0.007266173211006794	0.0710717000043951
1:Ins:C:3	0.0008572996518341824	0.0013301817871456479	0.0031908345177309627	0.027646483661164893
1:Ins:C:4	0.0040236447728239	0.0027808340708725156	0.0016949463466880844	0.009224459903489333
1:Ins:C:5	0.014228956876322627	0.024744800478219985	0.00279801209049765	0.002809533655892764
1:Ins:T:0	0.0015515093272551895	0.006882484722882509	0.005885935136175249	0.005353758696447439
1:Ins:T:1	0.0022436958468631473	0.008647030424326659	0.017781636657891797	0.16710447858087718
1:Ins:T:2	0.003690214972011745	0.006265980870466592	0.010617563379346393	0.0948078892705962
1:Ins:T:3	0.0026290243200492113	0.007533383988775313	0.00770226479464327	0.06192816363727161
1:Ins:T:4	0.004329101147595793	0.013867909889668226	0.0060117723897565156	0.029434552961029113
1:Ins:T:5	0.11625197991728782	0.5981091433763503	0.028266537582990168	0.04379970265552401
2:Del:R:0	0.0016785780654754489	0.006632237685844302	0.0064705721894279125	0.007674839845638663
2:Del:R:1	0.003586772654671222	0.011646592642646282	0.00600524563487852	0.01046357129875105
2:Del:R:2	0.0017260981618892402	0.0032621100952383133	0.0022264396080572623	0.0032703388662365463
2:Del:R:3	0.005862526348792017	0.00032637671363772825	0.000969702337813344	0.000956003336131496
2:Del:R:4	0.0026856347545981406	0.00013639348460877624	0.00046815672378311304	0.0003406733264245121
2:Del:R:5	0.006097031319513917	0.0016644334790546368	0.0009925796650668594	0.0021399894524289954
3:Del:R:0	0.000490089770173654	0.002215960819157772	0.005514556763373548	0.0035492757890652404
3:Del:R:1	0.0018407007562927901	0.010557050714269281	0.004886348029103828	0.009036670049981526
3:Del:R:2	0.0005479696620022878	0.002436470601387555	0.0011434317395378458	0.0022699816973618782
3:Del:R:3	0.00020416425802977756	0.0008623294741846621	0.00022714264911062322	0.0004988220510946828
3:Del:R:4	0.00010307606895366916	0.0014256786608530091	0.0005942159893702125	0.0010889522576291988
3:Del:R:5	0.0002517402260855306	0.002193223458598368	0.0002482878312961212	0.0009816297698844955
4:Del:R:0	0.0001633900834713131	0.0018000587087590248	0.004538584429320949	0.0027718758416296427
4:Del:R:1	0.000793068001512438	0.006902877750690095	0.003998345119143778	0.007091622099305616
4:Del:R:2	0.0003912724764086306	0.0013703542881717112	0.0008879137990612262	0.0017614025707334768
4:Del:R:3	0.000502431379572954	0.0009891142562628375	0.0007092032492982536	0.001159081653240115
4:Del:R:4	0.00011263667297498615	0.000885894828606979	0.00022903375009222904	0.0005180822747331693
4:Del:R:5	0.00022296892129816114	0.0003430531149660965	0.0001388556091170301	0.00023415114629317556
5:Del:R:0	4.551517437448638e-05	0.012167880326451268	0.07522036980837583	0.021704440227767918
5:Del:R:1	0.0002998611065595469	0.00297414398053661	0.006788465820718557	0.0037612355019458477
5:Del:R:2	9.452849541958131e-05	0.0006295237440099299	0.0006116360986901271	0.0005919431117195551
5:Del:R:3	9.246411698768498e-05	0.00017543326944064575	0.00019342666135300224	0.00020100441312152385
5:Del:R:4	4.556308020255528e-05	3.838017741368937e-05	4.85243768485466e-05	9.634465493531864e-05
5:Del:R:5	2.0944296794391802e-05	2.2058288567304852e-05	7.864749694976414e-05	3.704631299285665e-05
2:Ins:R:0	0.00248848797287792	0.003944389765820233	0.004432025952087213	0.004157919958592137
2:Ins:R:1	0.00021500289339201117	0.003733746005455032	0.0008024304080026923	0.0024352758099474682
2:Ins:R:2	0.0005049944896018132	0.002373442938551307	0.0005734765880333725	0.001192416295097667
2:Ins:R:3	0.0009564282459905371	0.0008521764936995169	0.0007976701261204244	0.0007680860326711426
2:Ins:R:4	0.0029950084281153977	0.0026890451204963028	0.000305793271467607	0.0004103204299206631
2:Ins:R:5	0.012669741054996847	0.017025471823289992	0.0019844942685449496	0.0015918939358380158
3:Ins:R:0	0.0002541175246005878	0.001707148948480608	0.0020785687389518427	0.0019697802869447934
3:Ins:R:1	0.0001115255613649424	0.002903731545666233	0.0004547353540510812	0.001817812201318097
3:Ins:R:2	2.8341042900592582e-05	0.0004379957463243045	0.0007370514791519955	0.00046939872788473555
3:Ins:R:3	7.319801069570531e-05	0.00013987051397634787	0.00020500782163684227	2.8670605268645844e-05
3:Ins:R:4	0.00017136109570856206	0.00011639704141998664	0.00020036433607132587	9.934832531572013e-05
3:Ins:R:5	0.0009034869217430241	0.0016505151160527021	0.00019222242140832791	0.00015350640902728405
4:Ins:R:0	0.0014393151173135266	0.0016719582305813674	0.0022882566170311057	0.002507035192372484
4:Ins:R:1	0.00010161925245483872	0.0035426810348872097	0.000639320480531751	0.0017761710107423577
