Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP1086	9.28E-01	1.55E+00	2.16E+00	1.30E+00	1.79E+00	1.89E+00	2.32E-01	1.37E+00
SP1003	1.22E+00	1.99E+00	2.53E+00	1.61E+00	2.34E+00	1.65E+00	1.90E-01	1.94E+00
SP1677	7.60E-01	1.91E+00	2.72E+00	1.46E+00	1.60E+00	1.38E+00	2.09E-01	2.09E+00
SP1305	1.70E+00	3.22E+00	6.14E+00	7.64E+00	6.35E+00	1.04E+01	7.61E-01	2.65E+00
SP963	7.42E-01	1.45E+00	2.59E+00	1.77E+00	2.24E+00	1.81E+00	0.00E+00	1.51E+00
SP1144	7.30E-01	1.37E+00	1.86E+00	1.26E+00	1.62E+00	1.71E+00	1.95E-01	1.04E+00
SP1132	1.20E+00	2.34E+00	3.90E+00	1.78E+00	2.77E+00	1.94E+00	3.76E-01	1.71E+00
SP1712	5.32E-01	1.46E+00	1.32E+00	6.32E-01	1.64E+00	1.47E+00	3.84E-01	8.98E-01
SP1114	9.47E-01	2.32E+00	2.52E+00	9.32E-01	1.06E+00	1.41E+00	3.30E-01	1.74E+00
SP1431	1.17E+00	1.89E+00	1.26E+00	8.92E-01	2.09E+00	1.54E+00	1.68E-01	9.28E-01
SP975	1.73E+00	2.16E+00	1.40E+00	3.55E+00	3.07E+00	4.32E+00	4.86E-01	1.88E+00
SP1059	1.25E+00	2.41E+00	4.97E+00	1.80E+00	4.28E+00	5.57E+00	3.01E-01	2.63E+00
SP1419	1.53E+00	2.31E+00	2.04E+00	1.63E+00	5.23E+00	3.40E+00	1.42E-01	2.53E+00
SP1009	7.13E-01	1.88E+00	2.20E+00	1.15E+00	2.44E+00	2.54E+00	4.65E-01	1.61E+00
SP1724	7.01E-01	1.16E+00	1.88E+00	7.43E-01	1.30E+00	1.49E+00	0.00E+00	1.11E+00
SP96136	1.39E+00	2.40E+00	4.07E+00	3.07E+00	3.74E+00	4.94E+00	1.40E-01	2.15E+00
SP967	1.07E+00	1.50E+00	1.13E+00	4.97E-01	1.21E+00	3.97E-01	0.00E+00	7.57E-01
SP1781	1.96E+00	3.07E+00	2.66E+00	1.14E+00	3.15E+00	2.46E+00	2.81E-01	1.42E+00
SP1174	2.34E+00	2.81E+00	1.42E+00	1.44E+00	3.14E+00	1.85E+00	1.61E-01	1.91E+00
SP953	1.57E+00	2.32E+00	3.26E+00	1.17E+00	3.12E+00	3.59E+00	4.78E-01	2.09E+00
SP1377	5.82E-01	1.69E+00	1.58E+00	9.67E-01	2.04E+00	1.64E+00	2.06E-01	8.73E-01
SP1365	1.28E+00	2.04E+00	2.69E+00	2.65E+00	3.01E+00	1.39E+00	2.07E-01	1.96E+00
SP1491	1.29E+00	2.12E+00	1.86E+00	2.62E+00	3.85E+00	5.58E+00	0.00E+00	3.66E-01
CPCT02060013T	1.77E+00	2.53E+00	4.81E+00	6.30E+00	7.02E+00	3.60E+00	1.73E+00	5.30E+00
CPCT02100026T	1.39E+00	1.65E+00	1.89E+00	1.47E+00	1.41E+00	2.05E+00	1.22E+00	1.25E+00
CPCT02070020T	2.00E+00	3.36E+00	3.09E+00	3.03E+00	7.12E+00	7.49E+00	1.41E+00	2.42E+00
CPCT02030269T	8.58E-01	1.89E+00	1.14E+00	1.24E+00	2.78E+00	2.78E+00	1.27E+00	1.05E+00
CPCT02010944TIII	1.53E+00	1.89E+00	2.61E+00	1.29E+00	3.07E+00	2.52E+00	1.00E+00	1.92E+00
CPCT02020867T	2.11E+00	5.38E+00	3.48E+00	1.19E+01	1.38E+01	1.67E+01	3.63E+00	2.30E+00
CPCT02070272T	3.17E+00	4.28E+00	4.54E+00	4.36E+00	7.37E+00	9.12E+00	2.77E+00	2.37E+00
CPCT02020648T	1.45E+00	2.09E+00	3.06E+00	1.54E+00	3.38E+00	3.86E+00	1.40E+00	1.82E+00
CPCT02020362T	2.26E+00	4.17E+00	4.63E+00	1.94E+00	8.25E+00	1.12E+01	2.15E+00	1.69E+00
CPCT02440020T	3.11E+00	4.57E+00	2.38E+00	1.71E+00	4.40E+00	4.82E+00	1.32E+00	1.78E+00
CPCT02210077T	1.65E+00	3.16E+00	4.11E+00	1.18E+00	4.03E+00	5.87E+00	9.98E-01	2.04E+00
CPCT02070445T	1.95E+00	3.55E+00	2.34E+00	8.48E-01	6.60E+00	8.30E+00	1.01E+00	1.41E+00
CPCT02020894T	1.53E+00	2.42E+00	2.34E+00	1.37E+00	5.16E+00	6.28E+00	8.76E-01	1.60E+00
CPCT02020896T	1.48E+00	1.50E+00	1.91E+00	8.99E-01	3.22E+00	3.58E+00	9.14E-01	1.44E+00
