Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP1086	28	75	170	52	51	24	4	51
SP1003	75	153	154	73	70	0	1	122
SP1677	23	93	319	70	32	0	1	94
SP1305	68	156	293	1019	129	0	43	118
SP963	24	84	199	95	78	10	0	40
SP1144	17	49	160	48	38	63	1	13
SP1132	37	52	600	81	68	0	2	0
SP1712	0	182	45	9	48	10	5	9
SP1114	14	117	400	10	0	0	4	33
SP1431	27	246	24	19	49	17	0	14
SP975	51	178	0	930	105	0	27	68
SP1059	64	93	488	49	58	175	4	172
SP1419	156	172	56	56	235	52	0	52
SP1009	7	136	143	38	56	49	12	68
SP1724	13	63	130	22	13	21	1	30
SP96136	89	96	277	448	143	22	5	72
SP967	48	168	39	15	8	0	0	15
SP1781	50	421	168	33	108	24	4	8
SP1174	369	425	6	53	111	17	0	37
SP953	113	181	396	6	33	44	11	108
SP1377	3	201	70	31	44	14	2	16
SP1365	30	228	156	182	72	0	5	85
SP1491	72	131	33	336	84	0	0	0
CPCT02060013T	139	38	147	794	301	0	96	155
CPCT02100026T	110	127	114	54	1	60	69	38
CPCT02070020T	242	284	156	93	188	221	82	98
CPCT02030269T	41	130	25	42	75	29	65	25
CPCT02010944TIII	84	120	214	27	91	76	39	68
CPCT02020867T	26	96	0	148	0	809	86	66
CPCT02070272T	438	648	163	901	112	116	194	104
CPCT02020648T	70	104	289	78	125	90	66	42
CPCT02020362T	92	512	197	24	127	127	129	49
CPCT02440020T	53	850	92	100	64	75	60	47
CPCT02210077T	186	359	349	5	53	107	46	71
CPCT02070445T	220	254	102	0	117	122	36	23
CPCT02020894T	143	180	131	36	94	69	26	42
CPCT02020896T	169	50	97	13	95	35	31	37
CPCT02140101T	47	485	673	24	271	297	85	111
CPCT02210040T	260	471	14	0	46	50	34	236
DRUP01010020T	61579	10468	526	0	645	252	181	512
CPCT02020902T	187	149	113	472	211	116	97	38
CPCT02070443T	237	203	45	8	147	152	40	31
CPCT02080295T	234	832	15	6	0	123	61	376
CPCT02020916T	133	13	403	29	151	133	49	56
CPCT02020915T	86	228	39	11	101	42	42	11
CPCT02160036T	56	179	10	44	94	50	117	16
CPCT02120184T	128	120	261	314	165	0	25	127
