Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.99,0.98,YES,6.80e-04,298400.0%,73.22%,194.6%,61.88%,99.25,0.6135,3.6099,0.225,0.863,0.711,0.092
3*,0.99,0.98,YES,Most Stab Sigs,132600.0%,59.35%,191.65%,49.62%,97.5,35.5729,1000.0,0.16,0.774,0.796,0.201
4,0.77,0.31,NO,N/A,63800.0%,58.68%,188.65%,48.88%,96.05,0.4971,2.8711,0.146,0.701,0.813,0.291
5,0.74,0.31,NO,N/A,51000.0%,54.68%,179.6%,45.1%,91.45,0.4492,2.2829,0.124,0.494,0.842,0.487
6,0.59,-0.42,NO,N/A,49600.0%,54.63%,170.0%,44.19%,86.75,0.4291,1.8973,0.115,0.399,0.853,0.499
7,0.48,-0.48,NO,N/A,52400.0%,52.35%,162.65%,41.05%,83.1,0.4108,1.6783,0.103,0.383,0.868,0.521
8,0.41,-0.49,NO,N/A,58300.0%,51.36%,153.6%,39.8%,78.55,0.3965,1.4609,0.096,0.352,0.877,0.563
9,0.34,-0.47,NO,N/A,71400.0%,49.81%,147.85%,39.53%,76.83,0.3872,1.3439,0.093,0.36,0.88,0.553
10,0.31,-0.3,NO,N/A,72700.0%,50.26%,143.15%,39.38%,75.31,0.3752,1.2931,0.086,0.342,0.889,0.577
11,0.26,-0.31,NO,N/A,79100.0%,49.96%,138.15%,38.01%,73.52,0.3672,1.2178,0.084,0.322,0.893,0.604
12,0.23,-0.34,NO,N/A,86200.0%,48.46%,134.9%,38.04%,74.02,0.3634,1.229,0.082,0.327,0.894,0.596
13,0.19,-0.39,NO,N/A,79600.0%,48.29%,129.45%,36.56%,72.25,0.3521,1.1856,0.077,0.309,0.901,0.621
14,0.19,-0.34,NO,N/A,77300.0%,47.12%,122.46%,34.69%,72.2,0.3444,1.2106,0.073,0.306,0.906,0.625
15,0.17,-0.25,NO,N/A,83400.0%,47.54%,117.72%,37.23%,69.58,0.3389,1.1136,0.071,0.28,0.908,0.646
16,0.14,-0.25,NO,N/A,87200.0%,45.78%,116.35%,36.14%,70.48,0.3341,1.1692,0.071,0.29,0.908,0.635
17,0.13,-0.37,NO,N/A,71800.0%,46.74%,115.99%,33.96%,68.75,0.3246,1.127,0.065,0.27,0.916,0.673
18,0.12,-0.25,NO,N/A,78000.0%,45.66%,112.58%,33.61%,67.01,0.3229,1.0513,0.065,0.255,0.916,0.682
19,0.11,-0.31,NO,N/A,73500.0%,46.47%,115.28%,32.15%,67.05,0.3142,1.082,0.061,0.253,0.922,0.695
20,0.11,-0.32,NO,N/A,103700.0%,43.62%,112.44%,32.8%,65.35,0.306,1.069,0.059,0.241,0.924,0.698
