Samples	ID83A	ID83B	ID83C	ID83D
SP116788	2.85E-01	4.68E-01	4.69E-01	4.97E-01
SP116789	1.41E-01	2.58E-01	2.05E-01	2.29E-01
SP116919	0.00E+00	4.35E-02	5.02E-02	4.16E-02
SP109002	1.24E+00	5.44E-01	1.59E+00	1.57E+00
SP109001	2.23E-01	3.42E-01	3.47E-01	2.95E-01
SP109006	1.01E+00	8.37E-01	8.65E-01	1.26E+00
SP108998	2.93E+00	1.03E+00	1.65E+00	3.38E+00
SP127706	1.38E+00	4.15E+00	3.47E+00	3.57E+00
SP108999	2.07E+00	1.74E+00	1.53E+00	3.19E+00
SP109007	1.07E+00	1.53E+00	1.58E+00	1.78E+00
SP109003	7.43E-01	1.03E+00	1.51E+00	1.52E+00
SP116868	5.50E-01	1.35E+00	1.24E+00	1.18E+00
SP116794	3.00E-01	4.53E-01	3.91E-01	4.10E-01
SP116791	2.44E-01	4.37E-01	3.71E-01	3.84E-01
SP116866	5.75E-01	1.16E+00	1.31E+00	1.32E+00
SP116815	8.81E-01	6.24E-01	1.27E+00	1.38E+00
SP116853	5.69E-01	1.17E+00	1.16E+00	1.48E+00
SP116901	4.08E-01	7.73E-01	6.67E-01	7.58E-01
SP116830	5.96E-01	2.48E+00	1.85E+00	2.07E+00
SP116802	6.77E-02	5.03E-01	5.88E-01	4.41E-01
SP116885	1.53E+00	1.42E+00	2.11E+00	2.78E+00
SP116834	4.76E-01	7.14E-01	1.01E+00	8.74E-01
SP116913	1.97E-01	7.22E-01	5.08E-01	5.66E-01
SP116799	2.56E-01	1.13E+00	1.04E+00	8.83E-01
SP116920	2.33E-01	6.13E-01	7.13E-01	5.62E-01
SP116835	9.41E-01	2.03E+00	1.87E+00	1.89E+00
SP116852	5.96E-01	1.06E+00	1.15E+00	1.49E+00
SP116902	4.33E-01	9.42E-01	8.48E-01	9.81E-01
SP116871	7.66E-02	3.88E-01	3.91E-01	3.29E-01
SP116820	8.86E-01	9.71E-01	1.38E+00	1.80E+00
SP116889	7.18E-01	1.70E+00	1.39E+00	1.71E+00
SP116923	7.57E-01	1.68E+00	1.34E+00	1.55E+00
SP116829	5.57E-01	2.11E+00	1.82E+00	1.72E+00
SP116872	8.69E-02	2.56E-01	3.37E-01	2.63E-01
SP116904	0.00E+00	2.16E-01	2.22E-01	1.15E-01
SP116806	9.45E-01	1.23E+00	8.78E-01	1.73E+00
SP116857	8.30E-01	2.15E+00	1.59E+00	2.07E+00
SP116888	1.99E-01	9.21E-01	7.51E-01	8.54E-01
SP116818	4.30E-01	4.35E-01	7.72E-01	7.71E-01
SP116837	5.89E-01	1.94E+00	2.01E+00	1.92E+00
SP116905	4.86E-02	1.86E-01	1.83E-01	1.38E-01
SP116804	1.19E+00	1.24E+00	9.81E-01	2.08E+00
SP116819	5.89E-01	6.31E-01	9.44E-01	1.12E+00
SP116856	3.84E-01	1.64E+00	1.27E+00	1.41E+00
SP116839	1.19E+00	1.69E+00	1.84E+00	1.88E+00
SP116925	5.30E-01	6.37E-01	8.23E-01	9.27E-01
SP116878	1.00E-02	7.59E-01	7.89E-01	5.32E-01
SP116893	5.78E-01	1.55E+00	1.21E+00	1.61E+00
SP116876	4.29E-02	2.73E-02	4.56E-02	4.90E-02
SP116927	7.87E-01	7.69E-01	1.19E+00	1.43E+00
SP116909	5.23E-01	6.12E-01	5.24E-01	7.19E-01
SP116795	2.37E-01	1.66E-01	2.34E-01	2.72E-01
SP116826	9.99E-01	1.21E+00	6.78E-01	1.74E+00
SP116891	3.26E-01	9.31E-01	8.00E-01	9.19E-01
SP116860	4.87E-01	8.51E-01	6.35E-01	8.53E-01
SP116848	2.27E-01	1.34E+00	1.28E+00	1.20E+00
SP116910	1.13E+00	1.20E+00	9.48E-01	1.42E+00
SP116797	3.94E-01	1.31E-01	1.35E-01	4.06E-01
SP116862	8.35E-01	1.60E+00	1.23E+00	1.52E+00
SP116823	6.55E-01	9.97E-01	5.54E-01	1.34E+00
SP116897	2.30E-01	5.41E-01	6.21E-01	5.58E-01
SP116846	7.00E-02	6.98E-01	7.00E-01	4.65E-01
SP116784	2.88E-02	2.88E-02	4.98E-02	4.90E-02
SP116896	1.69E-01	4.88E-01	5.94E-01	4.60E-01
SP116824	6.62E-01	1.01E+00	5.46E-01	1.35E+00
SP116881	4.42E-02	3.40E-01	3.60E-01	2.67E-01
SP116812	5.79E-01	8.41E-01	1.14E+00	1.20E+00
SP116915	8.30E-01	1.68E+00	1.33E+00	1.72E+00
SP116786	1.05E+00	1.20E+00	1.75E+00	2.13E+00
SP116851	2.75E-01	4.72E-01	4.85E-01	5.57E-01
CPCT02220038T	1.44E+01	3.86E+00	5.26E+00	1.78E+01
CPCT02290013T	2.09E+01	8.23E+00	9.19E+00	2.78E+01
