"TCGA-EW-A2FV-01A-11D-A17D-09"	"TCGA-D8-A27V-01A-12D-A17D-09"	"TCGA-13-0889-01A-01W-0420-08"
"A[Del(C):R1]A"	14	13	0
"A[Del(C):R1]G"	5	3	0
"A[Del(C):R1]T"	8	3	0
"A[Del(C):R2]A"	62	52	0
"A[Del(C):R2]G"	17	16	0
"A[Del(C):R2]T"	57	45	0
"A[Del(C):R3]A"	65	51	0
"A[Del(C):R3]G"	14	14	0
"A[Del(C):R3]T"	52	31	0
"A[Del(C):R4]A"	91	57	0
"A[Del(C):R4]G"	25	12	0
"A[Del(C):R4]T"	38	33	0
"A[Del(C):R5]A"	67	35	0
"A[Del(C):R5]G"	12	4	0
"A[Del(C):R5]T"	38	16	0
"A[Del(C):R6]A"	10	7	0
"A[Del(C):R6]G"	2	0	0
"A[Del(C):R6]T"	8	6	0
"A[Del(C):R7]A"	0	0	0
"A[Del(C):R7]G"	0	0	0
"A[Del(C):R7]T"	0	0	0
"A[Del(C):R8]A"	0	0	0
"A[Del(C):R8]G"	0	0	0
"A[Del(C):R8]T"	0	0	0
"A[Del(C):R(9,)]A"	0	0	0
"A[Del(C):R(9,)]G"	0	0	0
"A[Del(C):R(9,)]T"	0	0	0
"G[Del(C):R1]A"	9	14	0
"G[Del(C):R1]G"	7	4	0
"G[Del(C):R1]T"	14	14	0
"G[Del(C):R2]A"	65	63	0
"G[Del(C):R2]G"	32	12	0
"G[Del(C):R2]T"	50	39	0
"G[Del(C):R3]A"	125	81	0
"G[Del(C):R3]G"	37	18	0
"G[Del(C):R3]T"	100	59	0
"G[Del(C):R4]A"	78	68	0
"G[Del(C):R4]G"	41	20	0
"G[Del(C):R4]T"	57	46	0
"G[Del(C):R5]A"	69	34	0
"G[Del(C):R5]G"	30	15	0
"G[Del(C):R5]T"	45	27	0
"G[Del(C):R6]A"	25	13	0
"G[Del(C):R6]G"	6	2	0
"G[Del(C):R6]T"	15	4	0
"G[Del(C):R7]A"	1	0	0
"G[Del(C):R7]G"	2	0	0
"G[Del(C):R7]T"	0	0	0
"G[Del(C):R8]A"	0	0	0
"G[Del(C):R8]G"	0	0	0
"G[Del(C):R8]T"	0	0	0
"G[Del(C):R(9,)]A"	0	0	0
"G[Del(C):R(9,)]G"	0	0	0
"G[Del(C):R(9,)]T"	0	0	0
"T[Del(C):R1]A"	12	7	0
"T[Del(C):R1]G"	1	4	0
"T[Del(C):R1]T"	7	7	0
"T[Del(C):R2]A"	68	46	0
"T[Del(C):R2]G"	20	10	0
"T[Del(C):R2]T"	72	36	0
"T[Del(C):R3]A"	76	61	0
"T[Del(C):R3]G"	44	20	0
"T[Del(C):R3]T"	81	53	0
"T[Del(C):R4]A"	105	72	0
"T[Del(C):R4]G"	48	15	0
"T[Del(C):R4]T"	70	54	0
"T[Del(C):R5]A"	63	35	0
"T[Del(C):R5]G"	24	16	0
"T[Del(C):R5]T"	45	19	0
"T[Del(C):R6]A"	13	6	0
"T[Del(C):R6]G"	1	2	0
"T[Del(C):R6]T"	2	5	0
"T[Del(C):R7]A"	0	1	0
"T[Del(C):R7]G"	0	0	0
"T[Del(C):R7]T"	0	1	0
"T[Del(C):R8]A"	0	0	0
"T[Del(C):R8]G"	0	0	0
"T[Del(C):R8]T"	0	0	0
"T[Del(C):R(9,)]A"	0	0	0
"T[Del(C):R(9,)]G"	0	0	0
"T[Del(C):R(9,)]T"	0	0	0
"A[Del(T):R1]A"	4	3	0
"A[Del(T):R1]C"	4	7	0
"A[Del(T):R1]G"	9	7	0
"A[Del(T):R2]A"	6	9	0
"A[Del(T):R2]C"	23	23	0
"A[Del(T):R2]G"	27	27	0
"A[Del(T):R3]A"	22	20	0
"A[Del(T):R3]C"	75	57	0
"A[Del(T):R3]G"	45	56	0
"A[Del(T):R4]A"	35	13	0
"A[Del(T):R4]C"	63	56	0
"A[Del(T):R4]G"	66	49	0
"A[Del(T):R5]A"	17	23	0
"A[Del(T):R5]C"	46	38	0
"A[Del(T):R5]G"	56	33	0
"A[Del(T):R6]A"	16	9	0
"A[Del(T):R6]C"	44	12	0
"A[Del(T):R6]G"	24	12	0
"A[Del(T):R7]A"	9	4	0
"A[Del(T):R7]C"	16	14	0
"A[Del(T):R7]G"	3	7	0
"A[Del(T):R8]A"	0	0	0
"A[Del(T):R8]C"	0	0	0
"A[Del(T):R8]G"	0	0	0
"A[Del(T):R(9,)]A"	0	0	0
"A[Del(T):R(9,)]C"	0	0	0
"A[Del(T):R(9,)]G"	0	0	0
"C[Del(T):R1]A"	3	2	0
"C[Del(T):R1]C"	20	12	0
"C[Del(T):R1]G"	25	18	0
"C[Del(T):R2]A"	15	10	0
"C[Del(T):R2]C"	67	59	0
"C[Del(T):R2]G"	54	49	0
"C[Del(T):R3]A"	36	25	0
"C[Del(T):R3]C"	56	56	0
"C[Del(T):R3]G"	106	70	0
"C[Del(T):R4]A"	23	25	0
"C[Del(T):R4]C"	88	73	0
"C[Del(T):R4]G"	72	60	0
"C[Del(T):R5]A"	23	13	0
"C[Del(T):R5]C"	78	76	0
"C[Del(T):R5]G"	54	44	0
"C[Del(T):R6]A"	21	16	0
"C[Del(T):R6]C"	31	32	0
"C[Del(T):R6]G"	28	18	0
"C[Del(T):R7]A"	7	4	0
"C[Del(T):R7]C"	16	11	0
"C[Del(T):R7]G"	4	8	0
"C[Del(T):R8]A"	0	0	0
"C[Del(T):R8]C"	0	0	0
"C[Del(T):R8]G"	0	0	0
"C[Del(T):R(9,)]A"	0	0	0
"C[Del(T):R(9,)]C"	0	0	0
"C[Del(T):R(9,)]G"	0	0	0
"G[Del(T):R1]A"	4	5	0
"G[Del(T):R1]C"	5	7	0
"G[Del(T):R1]G"	17	12	0
"G[Del(T):R2]A"	12	13	0
