Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP111062	373	343	0	9	17	219	10	33	63
SP111006	363	796	0	763	91	284	0	96	156
SP110846	199	100	0	2	60	189	4	49	72
SP111086	379	214	0	923	235	232	27	89	44
SP111096	445	297	0	45	106	111	5	54	14
SP111021	0	0	0	0	1	0	0	0	1
SP111058	330	344	0	1081	406	0	31	111	33
SP111092	1015	140	0	59	157	195	48	762	131
SP111076	875	587	107	68	32	125	0	51	53
SP111098	339	412	0	126	110	136	31	47	74
SP111039	3	48	0	2	40	76	10	6	68
SP111052	5	9	0	23	11	43	5	15	9
SP111166	503	923	137	239	184	169	0	78	45
SP111014	59	40	0	7	93	41	0	12	18
SP111066	668	555	61	455	525	0	12	33	61
SP111094	332	173	135	308	224	420	0	64	61
SP111015	156	81	22	72	115	47	0	44	66
SP110853	293	204	19	181	226	217	8	131	118
SP111051	240	259	0	9	56	76	12	99	90
SP110855	470	208	0	266	174	265	8	101	46
SP111004	393	713	0	33	64	287	2	40	54
SP111078	146	88	0	8	72	69	0	5	30
SP110863	136	226	0	96	230	158	15	51	18
SP111013	256	242	0	56	85	141	2	34	28
SP111042	9	11	0	5	18	29	0	2	15
SP111040	18	208	0	79	58	86	2	70	63
SP111031	1743	773	0	187	178	275	23	26	54
SP23496	244	303	2	101	113	152	6	46	54
SP111030	55	129	0	22	104	152	3	39	38
SP111019	30	43	0	40	178	111	2	31	36
SP111026	361	353	108	221	312	125	10	52	10
SP110860	809	367	0	153	272	188	20	68	38
SP110851	351	637	0	82	99	305	2	70	52
SP111059	434	403	0	60	49	216	11	132	110
SP111170	703	698	185	131	173	192	0	133	87
SP111054	433	535	0	50	303	56	0	96	91
SP111033	862	620	0	61	81	89	0	101	55
SP111113	1188	311	186	345	581	218	1	131	46
SP110865	508	551	0	339	345	220	26	774	289
SP111061	374	302	0	122	83	209	0	20	47
SP111101	906	779	0	45	357	23	0	53	0
SP110859	240	612	83	84	74	137	0	20	109
SP111168	54	114	49	28	40	125	6	27	81
SP111067	126	277	0	27	44	172	8	39	44
SP111036	570	419	0	27	30	135	7	24	57
SP111116	787	763	206	112	104	166	0	26	34
SP111099	409	349	0	274	66	285	6	27	58
SP23502	606	200	0	558	475	228	1	92	114
SP111069	193	760	0	573	144	71	5	62	60
SP111043	740	782	0	268	296	229	19	258	0
SP111024	743	326	27	113	200	111	26	104	19
SP111011	324	111	93	220	254	381	0	28	11
SP111082	422	488	186	385	146	126	0	24	50
SP111074	273	233	0	67	196	135	5	109	47
SP110845	255	354	0	159	192	128	17	62	0
SP110857	347	479	0	35	80	102	0	35	51
SP111017	570	496	63	114	123	167	5	61	11
SP111080	61	86	0	11	61	65	3	26	31
SP23506	40	217	0	11	46	187	0	64	52
SP111075	227	456	0	245	102	148	29	30	54
SP111112	376	406	0	113	91	154	21	43	60
SP111001	818	612	0	343	408	229	47	152	30
SP111027	29	70	0	0	38	75	5	16	46
SP111117	497	962	0	100	69	165	2	121	54
SP110842	706	607	48	243	110	271	5	59	56
SP111173	871	286	75	205	654	47	1	38	23
SP111008	441	613	29	39	116	143	14	41	81
SP111070	673	640	29	39	34	271	15	64	55
SP110847	1052	331	0	65	49	141	0	14	74
SP111077	685	296	0	206	331	308	12	115	97
SP111091	0	51	0	179	197	152	0	12	48
SP111072	368	345	0	27	14	183	13	37	37
SP111084	55	232	0	319	147	171	2	88	115
SP23504	23	180	58	11	35	108	0	37	48
SP23500	10	82	0	119	58	108	2	10	0
SP111029	30	68	0	8	31	111	6	10	33
SP111175	1514	486	0	1522	625	186	18	175	41
SP111049	497	770	54	64	86	130	0	62	78
SP23498	612	551	72	57	142	191	0	82	71
SP111002	83	88	0	29	54	93	2	31	12
SP110866	347	425	23	101	190	92	0	14	36
SP111035	868	1155	0	256	163	19	31	58	26
SP111009	648	359	0	101	129	121	0	202	0
SP111114	1599	989	105	314	347	144	0	71	58
SP111000	582	871	0	82	228	49	0	0	28
SP111045	900	889	0	53	76	100	21	119	58
SP110861	99	387	125	127	62	225	0	49	66
SP111047	320	416	0	26	107	365	0	70	77
SP111088	560	470	14	149	56	261	0	44	42
SP111056	368	443	0	194	176	148	14	57	120
SP111089	178	154	31	32	47	192	0	35	74
SP111038	1504	1200	195	79	116	179	0	62	84
SP110849	655	550	0	41	145	168	9	21	19
SP111164	781	596	0	60	228	164	0	38	54
SP111057	393	649	0	22	80	61	1	49	42
SP111119	2590	237	0	205	192	545	0	30	51
SP111095	961	848	0	94	130	198	9	67	41
SP111064	598	953	0	90	70	141	0	55	97
CPCT02030245T	0	50	120	47	9	176	158	168	44
CPCT02030257T	980	904	387	69	68	163	101	67	123
CPCT02070015T	1278	865	573	323	219	0	116	0	0
CPCT02040043T	89	296	207	52	65	166	165	33	40
CPCT02100032T	32	569	103	12	36	60	92	140	134
CPCT02160007T	110	217	0	13	109	179	93	202	44
CPCT02030286T	592	567	426	68	88	113	139	33	59
CPCT02100140T	605	2314	0	229	19	0	210	107	65
CPCT02100141T	1333	784	452	133	136	77	153	54	92
CPCT02330072TII	1005	768	743	326	194	208	64	39	61
CPCT02330132T	1548	391	389	73	66	344	191	225	45
CPCT02130030T	116	707	201	80	32	11	220	33	38
CPCT02060183T	1184	708	727	276	288	145	81	104	39
CPCT02130033T	463	529	407	63	102	59	132	25	11
CPCT02300031T	450	593	226	76	55	80	199	53	62
CPCT02180054T	731	1076	667	162	73	0	307	12	56
CPCT02090037T	359	491	586	146	138	110	119	92	139
CPCT02130041T	500	236	329	285	225	132	294	56	58
CPCT02060200T	0	111	193	1173	0	125	236	0	62
WIDE01010009T	580	550	446	26	0	114	55	35	0
CPCT02330094T	90	220	198	5	11	202	195	63	89
CPCT02110061T	59	325	580	47	48	89	215	200	55
WIDE01010016T	152	156	275	123	367	14	0	47	15
CPCT02230070T	1217	917	601	109	129	91	114	20	104
CPCT02340070T	780	289	437	61	114	91	97	26	18
CPCT02340073T	29	386	0	1	4	30	166	69	18
CPCT02050330T	220	231	210	3	19	105	174	47	271
CPCT02340077T	287	393	180	28	58	73	108	54	83
WIDE01010064T	1110	1131	1446	273	195	117	0	0	374
CPCT02050314T	93	71	67	15	35	112	224	52	104
CPCT02220037T	435	425	480	90	115	191	82	57	81
WIDE01010073T	29	387	237	34	69	149	87	175	117
CPCT02210045T	1108	489	547	120	109	191	245	55	48
CPCT02100163T	404	305	268	60	83	72	227	48	56
CPCT02130049T	1598	515	741	203	418	335	494	369	180
CPCT02050343T	62	226	159	8	59	160	164	185	82
CPCT02020712T	250	260	207	339	192	161	292	225	124
CPCT02130070T	232	541	230	45	84	65	372	197	132
CPCT02130071T	217	232	164	17	17	57	185	49	233
DRUP01020027T	316	176	30	175	179	286	422	245	291
CPCT02050349T	68	8	0	46	0	0	208	0	2183
CPCT02040242T	619	437	207	24	0	64	99	618	0
CPCT02300039T	321	405	253	70	32	81	191	48	72
CPCT02010815T	1689	218	407	50	264	109	286	77	126
CPCT02010813T	347	374	180	34	72	45	201	39	51
WIDE01010355T	262	376	403	234	100	200	83	125	58
CPCT02330072T	963	612	161	66	163	135	115	22	61
CPCT02130091T	217	136	0	917	494	464	276	207	393
CPCT02230097T	243	153	42	34	73	93	75	44	99
CPCT02050357T	199	214	180	53	61	251	169	148	166
CPCT02010833T	660	516	301	48	110	229	154	134	114
CPCT02060213T	408	190	162	32	65	91	137	22	28
CPCT02130107T	363	487	188	25	43	239	156	95	54
CPCT02070342T	209	215	11	8	0	112	327	24	0
CPCT02050362T	823	654	525	156	260	0	136	33	0
CPCT02150012T	812	501	1116	116	285	306	147	438	271
DRUP01210002T	1029	466	515	87	88	158	259	59	26
CPCT02130105T	97	74	0	16	24	63	248	100	75
CPCT02100176T	423	407	134	106	194	194	200	112	106
CPCT02230106T	432	463	2	286	107	339	209	271	84
CPCT02060199T	70	73	13	9	21	56	61	7	11
DRUP01330005T	906	735	683	288	138	303	183	113	86
CPCT02120150T	1020	344	189	36	158	299	111	147	60
CPCT02060248T	375	377	284	55	43	48	175	17	59
CPCT02060255T	338	218	309	253	159	26	54	10	22
DRUP01010088T	113	313	304	13	15	212	82	40	74
CPCT02440014T	1065	733	587	209	315	105	104	47	162
CPCT02050384T	292	340	312	84	38	56	264	79	35
CPCT02030519T	1059	736	877	211	0	0	338	30	0
CPCT02050380T	1852	780	896	53	193	188	166	126	188
CPCT02130140T	69618	1724	0	152	1450	0	979	291	494
CPCT02220056T	500	394	290	80	59	152	121	15	61
DRUP01210003T	528	560	606	302	122	78	107	32	50
DRUP01050030T	109	149	141	13	45	145	159	67	168
CPCT02210067T	1108	232	71	91	138	103	191	24	44
CPCT02150021T	878	880	615	122	81	106	288	84	4
CPCT02080255T	1017	739	190	192	158	174	165	88	210
CPCT02330124T	469	569	321	189	83	93	181	17	56
CPCT02100186T	822	564	196	75	164	124	115	70	124
CPCT02050403T	137	143	62	79	101	57	239	30	1
DRUP01330013T	698	593	499	192	94	236	106	82	196
DRUP01050033T	189	199	252	0	32	105	182	31	253
DRUP01440001T	1047	682	720	225	342	111	233	73	175
CPCT02040156T	484	626	414	14	22	78	282	11	37
DRUP01340013T	1295	422	560	309	215	293	161	141	41
CPCT02080141T	836	379	276	144	196	35	259	103	35
CPCT02010662T	23	501	244	958	536	6	244	0	24
CPCT02120069T	192	325	570	98	65	252	80	84	114
CPCT02100126T	773	687	1029	357	261	103	176	0	5
CPCT02380021T	823	771	377	108	96	48	205	69	44
CPCT02020622T	802	876	1432	102	190	157	223	482	52
CPCT02340034T	628	459	92	54	34	274	191	125	0
