Samples	ID1	ID2	ID3	ID4	ID8	ID9	ID13	ID19	ID21	ID22	ID25	ID83H	ID83I	ID83J
CPCT02011108T	271	940	0	0	0	0	323	0	0	0	0	0	0	0
CPCT02080314T	0	43	0	0	94	0	254	202	0	0	0	0	195	0
CPCT02020694T	42	61	0	0	171	0	245	177	0	0	0	0	0	0
CPCT02020672T	30	0	0	0	70	0	0	208	0	0	0	0	0	0
WIDE01010123T	68	0	0	0	0	0	180	110	0	0	0	0	0	0
CPCT02020665T	54	39	0	0	122	0	149	193	0	0	0	0	0	0
CPCT02080207T	93	0	0	0	87	0	120	180	0	0	0	0	0	0
CPCT02060291T	0	0	0	0	229	0	793	238	0	0	0	0	0	0
CPCT02050441T	97	70	0	0	0	0	0	61	0	0	0	133	0	0
CPCT02050440T	99	183	0	0	173	0	241	160	0	0	0	0	0	0
CPCT02050438T	68	58	0	0	140	0	403	176	0	0	0	0	0	0
DRUP01230001T	11204	28079	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02080205T	247	163	0	0	161	0	266	288	0	0	0	0	0	0
CPCT02020714T	37	0	0	0	112	0	48	251	0	0	0	0	0	0
WIDE01010172T	199	310	0	339	171	0	378	201	0	0	0	0	0	0
CPCT02340081T	0	0	0	0	77	0	0	249	0	0	0	0	0	0
CPCT02010801T	198	161	0	0	0	0	0	195	230	0	0	0	0	0
CPCT02010794T	185	95	0	643	301	224	446	205	0	0	0	0	0	0
CPCT02340083T	76	72	0	0	114	0	411	293	0	0	0	0	0	0
CPCT02050347T	0	0	0	0	99	0	0	171	0	0	0	0	0	0
CPCT02120198T	87	87	0	0	147	0	271	138	0	0	0	0	0	0
CPCT02120199T	111	90	0	150	0	0	67	119	0	0	0	0	0	151
WIDE01010255T	208	0	0	0	331	0	1196	521	0	0	0	0	0	0
CPCT02040241T	98	47	0	0	123	0	274	208	0	0	0	0	0	0
WIDE01010305T	143	0	0	0	159	0	571	232	0	0	0	0	0	0
WIDE01010314T	182	0	0	0	263	0	192	154	0	0	0	0	0	0
CPCT02060228T	176	57	0	0	309	0	144	185	0	0	0	0	0	0
WIDE01010328T	74	0	0	0	0	0	67	98	0	0	0	110	0	162
CPCT02030479T	0	0	0	0	353	0	536	323	0	0	0	0	0	0
CPCT02040246T	45	48	0	0	168	0	254	125	0	0	0	0	0	0
WIDE01010376T	86	30	0	0	68	0	74	73	0	0	0	0	0	0
WIDE01010381T	680	1794	0	0	0	0	498	0	0	0	0	0	0	0
WIDE01010392T	80	56	0	0	0	0	174	127	0	0	0	0	0	186
CPCT02080221T	0	0	0	0	109	0	0	178	0	0	0	0	0	0
CPCT02020723T	36	36	0	0	62	0	0	110	0	0	0	0	0	0
CPCT02020736T	199	0	0	0	165	0	150	271	0	0	0	0	0	0
CPCT02020743T	61	0	0	0	82	0	80	197	0	0	0	0	0	0
CPCT02020739T	205	0	0	0	313	0	489	564	0	0	0	0	0	0
CPCT02050365T	96	55	0	0	181	0	363	264	0	0	0	0	0	0
CPCT02020670TII	191	0	0	0	0	0	1134	402	0	0	0	0	0	0
CPCT02030490T	133	64	0	0	239	0	149	255	0	0	0	0	0	0
CPCT02300042T	160	86	0	0	197	0	334	332	0	0	0	0	0	0
CPCT02020700T	72	43	0	0	103	0	177	167	0	0	0	0	0	0
CPCT02220050T	145	140	0	0	352	288	0	212	0	0	0	0	0	0
CPCT02050370T	149	164	0	0	263	0	862	262	0	0	0	0	0	0
CPCT02050373T	35	0	0	0	54	0	0	134	0	0	0	0	0	0
CPCT02080234T	228	0	0	0	951	491	843	422	0	0	0	0	0	0
CPCT02030499T	39	61	0	0	116	0	155	147	0	0	0	0	0	0
CPCT02020770T	83	0	0	0	149	0	387	261	0	0	0	0	0	0
CPCT02050376T	146	0	0	0	0	0	0	163	0	0	0	163	0	0
CPCT02080239T	49	0	0	0	57	0	108	103	0	0	0	0	0	0
CPCT02050301T	36	0	0	0	122	0	141	177	0	0	0	0	0	0
CPCT02080242T	66	82	0	0	129	0	265	237	0	0	0	0	0	0
CPCT02020789T	0	0	0	1747	0	0	396	0	0	0	0	0	0	0
CPCT02020796T	0	0	0	0	0	0	0	363	0	0	708	0	0	0
CPCT02220057T	123	69	0	0	180	0	448	291	0	0	0	0	0	0
CPCT02340098T	55	59	0	0	124	0	171	239	0	0	0	0	0	0
CPCT02340097T	111	85	0	0	107	0	284	131	0	0	0	0	0	0
CPCT02170038T	87	47	0	0	91	0	132	184	0	0	0	0	0	0
CPCT02010920T	0	0	64	0	74	0	0	114	0	0	0	0	0	0
CPCT02050399T	94	0	0	0	122	0	0	220	0	0	0	0	0	0
CPCT02050404T	90	39	0	0	63	0	0	117	0	0	0	0	0	0
CPCT02050402T	34	41	0	0	136	0	0	259	0	0	0	0	0	0
CPCT02060256T	115	48	0	0	107	0	125	154	0	0	0	0	0	0
CPCT02080259T	64	58	0	70	133	0	148	134	0	0	0	0	0	0
CPCT02020813T	105	41	0	0	125	0	196	143	0	0	0	0	0	0
CPCT02020785T	676	0	0	0	0	0	2606	923	0	0	0	0	0	0
CPCT02020810T	0	0	0	0	108	0	97	130	0	0	0	0	91	0
CPCT02020821T	99	71	0	0	274	0	206	268	0	0	0	0	0	0
CPCT02340100T	312	685	0	0	416	0	1209	395	0	0	0	0	0	0
CPCT02080266T	76	28	0	0	93	0	0	161	0	0	0	130	0	0
CPCT02010941T	0	0	0	0	396	0	600	292	0	0	0	0	0	0
CPCT02020822T	0	0	0	0	197	0	465	330	0	0	0	0	0	272
CPCT02020819T	133	0	0	0	0	0	247	212	0	0	0	0	0	0
CPCT02050405T	52	29	72	0	110	0	190	159	0	0	0	0	0	0
CPCT02020837T	42	0	0	0	89	0	0	167	0	0	0	0	0	0
CPCT02340102T	63	32	0	0	76	0	97	95	0	0	0	0	0	0
DRUP01060021T	432	186	0	0	355	0	505	427	0	0	0	0	0	0
DRUP01060019T	253	310	0	0	303	0	0	274	0	0	0	0	0	0
DRUP01060018T	198	226	0	0	236	142	0	197	0	0	0	0	0	0
CPCT02070394T	783	482	1129	0	0	0	0	0	0	0	0	0	0	0
CPCT02080269T	86	154	0	277	297	0	523	450	0	0	0	0	0	0
CPCT02030459TII	267	114	0	120	0	0	0	141	0	0	0	234	0	0
CPCT02050411T	100	72	0	0	204	0	392	189	0	0	0	0	0	0
CPCT02030547T	40	0	0	0	101	0	90	151	0	0	0	0	0	0
CPCT02020828T	27	0	0	0	73	0	46	109	0	0	0	0	0	0
CPCT02080270T	132	45	0	0	138	0	170	153	0	0	0	0	0	0
CPCT02060133T	0	12	0	0	61	0	0	72	0	0	0	0	0	0
CPCT02050276TII	51	48	0	0	88	0	113	110	0	0	0	0	0	0
CPCT02080271T	36	45	0	0	105	0	110	216	0	0	0	0	0	0
CPCT02050243T	91	0	0	0	72	0	0	155	0	0	0	135	0	0
CPCT02060126T	93	31	0	0	56	0	132	143	0	0	0	0	0	0
DRUP01010106T	202	0	2703	0	0	0	0	0	0	0	0	0	0	0
CPCT02050245T	332	62	0	0	142	0	145	215	0	0	0	0	0	0
CPCT02030548T	54	0	0	0	137	0	158	146	0	0	0	0	0	0
CPCT02050415T	46	44	0	0	172	0	240	176	0	0	0	0	0	0
CPCT02020853T	35	0	0	0	62	0	181	98	0	0	0	0	0	0
CPCT02020506TII	96	77	0	0	281	0	540	420	0	0	0	0	0	0
DRUP01080021T	337	240	0	0	0	0	358	358	0	0	0	0	0	0
CPCT02020854T	24	0	0	0	85	0	51	180	0	0	0	0	0	0
CPCT02010994T	73	30	0	0	92	0	199	90	0	0	0	0	0	0
DRUP01080022T	0	0	0	0	607	281	654	0	0	0	276	0	322	0
CPCT02020863T	84	94	0	0	259	0	465	300	0	0	0	0	0	0
CPCT02050276T	42	39	0	0	111	0	91	181	0	0	0	0	0	0
CPCT02030552T	41	28	0	0	80	0	212	153	0	0	0	0	0	0
CPCT02080275T	102	74	0	0	262	0	672	190	0	0	0	0	0	0
CPCT02030553T	147	0	0	0	357	0	971	477	0	0	0	0	0	0
CPCT02120062T	0	0	0	0	377	0	825	659	0	0	0	0	0	0
CPCT02020615T	94	147	0	114	212	0	105	323	0	0	0	0	0	0
CPCT02050421T	163	338	195	0	321	0	288	207	0	0	0	0	0	0
CPCT02120053T	65	54	0	0	178	0	246	242	0	0	0	0	0	0
CPCT02020626T	94	0	0	0	148	0	230	215	0	0	0	0	0	0
CPCT02120055T	71	79	0	0	139	0	0	304	0	0	0	0	0	0
CPCT02070422T	265	208	1960	0	0	0	0	0	0	0	0	0	0	0
CPCT02120058T	50	0	0	0	161	0	118	247	0	0	0	0	0	0
CPCT02170017T	136	134	0	103	132	0	149	170	0	0	0	0	0	0
CPCT02020609T	233	185	0	0	514	0	1475	501	0	0	0	0	0	0
CPCT02050249T	241	0	0	0	133	0	98	306	0	0	0	0	0	0
CPCT02060146T	165	151	0	0	186	0	0	255	0	0	0	0	0	0
CPCT02060049T	134	0	0	0	0	0	0	73	0	0	0	0	0	0
CPCT02050159T	180	95	0	0	166	0	649	184	0	0	0	0	0	0
CPCT02010550T	45	51	0	0	178	0	299	106	0	0	0	0	0	0
CPCT02010534T	10	0	0	0	58	0	0	29	31	0	0	0	0	0
CPCT02050079TII	24	0	0	0	40	0	0	137	0	0	0	0	0	0
CPCT02050170T	4279	15484	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02050168T	143	89	0	0	160	0	159	118	0	0	0	0	0	0
CPCT02020509T	47	0	0	0	53	0	32	79	0	0	0	0	0	0
CPCT02050073TII	71	0	0	0	84	0	46	109	0	0	0	151	0	0
CPCT02020511T	124	0	0	0	161	0	717	329	0	0	0	0	0	0
CPCT02010565T	166	0	0	0	234	0	221	183	0	0	0	0	0	0
CPCT02020517T	86	0	0	0	0	0	313	114	0	0	0	0	0	145
CPCT02010393TII	158	90	0	0	0	0	510	328	0	0	0	0	0	0
CPCT02050181T	795	633	0	0	0	0	0	0	0	0	0	0	351	0
CPCT02020519T	152	0	0	0	193	0	485	179	0	0	0	0	0	0
CPCT02020520T	102	0	0	0	169	0	613	277	0	0	0	0	0	0
CPCT02060092T	39	30	0	0	76	0	42	55	0	0	0	0	0	60
CPCT02080116T	224	122	0	0	262	0	826	306	0	0	0	0	0	300
CPCT02080113T	71	0	0	0	117	0	227	81	0	0	0	0	0	0
CPCT02050194T	132	0	0	0	122	0	403	208	0	0	0	0	0	0
CPCT02050193T	142	63	0	0	163	0	325	186	0	0	0	0	0	0
CPCT02030350T	126	34	0	0	56	0	0	92	0	0	0	104	0	0
CPCT02080123T	166	130	0	0	170	0	813	347	0	0	0	0	0	0
CPCT02020542T	132	101	0	0	0	186	0	142	0	0	0	0	0	0
CPCT02010505T	34	0	0	0	75	0	0	204	0	0	0	0	0	0
CPCT02020553T	73	37	0	0	40	0	0	70	0	0	0	63	0	0
CPCT02170006T	33	0	0	0	70	0	136	151	0	0	0	0	0	0
CPCT02050212T	82	46	0	0	129	0	219	293	0	0	0	0	0	0
CPCT02050214T	87	19	0	0	45	0	92	91	0	0	0	0	0	0
CPCT02050217T	28	0	0	0	78	0	57	162	0	0	0	0	0	0
CPCT02020573T	61	22	0	0	77	0	86	132	0	0	0	0	0	0
CPCT02180032T	0	23	0	0	75	0	0	137	0	0	0	0	0	0
CPCT02010503TII	111	148	0	0	271	0	162	499	0	0	0	0	0	0
CPCT02010622T	52	54	0	0	201	0	215	148	0	0	0	0	0	0
CPCT02030370T	66	67	0	0	110	0	0	169	0	0	0	0	0	0
CPCT02030339TII	73	85	0	0	176	0	354	277	0	0	0	0	0	0
CPCT02040142T	75	0	0	0	98	0	0	270	0	0	0	0	0	0
CPCT02120050T	0	0	0	0	59	0	0	125	0	0	42	0	0	0
CPCT02120037T	99	0	0	0	280	0	417	293	0	0	0	0	0	0
CPCT02050235T	389	428	0	0	0	0	759	486	0	0	0	0	0	0
CPCT02050236T	109	0	0	0	245	0	543	480	0	0	0	0	0	0
