Samples	ID83A	ID83B	ID83C
SP101845	483	233	108
SP101682	62	258	103
SP61553	11	90	169
SP101724	146	353	166
SP102103	50	204	44
SP102174	94	272	76
SP101622	815	115	12
SP102161	168	177	53
SP101654	67	400	148
SP102074	73	113	47
SP101694	138	290	67
SP101616	142	259	200
SP101666	338	113	64
SP101558	435	61	37
SP102096	92	162	132
SP102084	162	191	174
SP101580	260	128	86
SP102064	572	92	41
SP101564	63	130	69
SP101921	36	213	112
SP101648	418	63	32
SP101628	61	153	92
SP101708	52	197	84
SP102055	30	99	73
SP101634	535	37	14
SP101588	66	245	92
SP101584	88	279	53
SP101686	24	169	58
SP101532	500	113	29
SP101732	622	228	44
SP101528	66	196	28
SP101536	46	139	63
SP101576	129	263	111
SP102015	713	240	0
SP102168	48	137	77
SP101716	149	354	245
SP101592	67	196	65
SP101658	16	44	43
SP102045	1859	90	48
SP101552	1167	268	0
SP101519	134	70	204
SP101690	202	290	74
SP102123	70	149	118
SP101662	492	60	35
SP101600	27	63	118
SP101544	70	220	124
SP102133	0	0	20099
SP101881	578	153	24
SP102035	952	0	44
SP101642	1142	233	115
SP101596	54	199	142
SP101670	997	140	74
SP101674	379	60	2
SP101572	27	73	66
SP101678	639	187	76
SP101740	2045	42	34
SP101700	497	63	42
SP101891	857	262	7
SP102143	876	0	28
SP102113	415	107	14
SP101521	44	170	135
SP101526	183	289	70
SP101540	61	132	211
SP101604	306	100	40
SP101548	557	23	38
SP101523	619	36	30
SP102090	41	258	77
SP101795	616	79	36
SP102187	349	205	30
SP101515	331	72	11
SP101931	525	285	84
SP101610	478	74	23
SP61703	142	219	201
SP59707	18	71	100
SP68659	423	17	41
SP62616	1349	41	46
SP59761	97	156	112
SP66960	61	116	197
SP61453	61	154	52
SP63796	32	118	35
SP69155	22	65	41
SP59950	537	553	68
SP59938	461	42	23
SP64976	78	213	79
SP64296	832	79	90
SP65807	989	41	90
SP59803	131	314	127
SP66159	1004	193	62
SP63356	99	163	113
SP68348	674	258	168
SP62450	64	84	45
SP67428	648	119	52
SP61713	702	18	28
SP68725	333	42	42
SP67609	1385	90	32
SP62110	90	371	71
SP64546	498	21	49
SP63546	64	306	56
SP60322	306	76	20
SP60243	447	47	18
SP63966	58	254	209
SP60362	31	98	128
SP69077	1302	109	16
SP67346	148	424	82
SP66687	33	194	218
SP63716	42	98	108
SP65376	1213	78	39
SP61343	25	182	66
SP60001	888	97	39
SP59860	156	333	112
SP60610	31	103	80
SP64036	611	77	102
SP60842	336	193	48
CPCT02020307T	42	313	169
CPCT02020333T	917	352	23
CPCT02080024T	105	377	120
CPCT02030259TII	455	307	85
CPCT02040038T	971	137	78
CPCT02030250T	52	519	87
CPCT02050058T	141	739	171
CPCT02020393T	119	374	248
CPCT02030280T	1019	412	342
CPCT02030278T	1356	38	117
CPCT02100030T	213	550	148
CPCT02060056T	355	290	105
CPCT02030296T	875	251	51
CPCT02060046T	21	116	143
CPCT02130056T	97	416	178
CPCT02180051T	55	270	108
CPCT02070434T	207	561	37
DRUP01210006T	1091	259	44
CPCT02020659T	205	174	120
CPCT02080191T	1213	528	61
CPCT02330084T	34	226	146
CPCT02360009T	28	812	551
CPCT02060196T	34	199	36
CPCT02290028T	26	405	148
CPCT02030455T	546	264	211
CPCT02080198T	5	215	45
CPCT02010679T	12	188	16
CPCT02100152T	765	598	16
CPCT02070465T	1605	295	59
CPCT02040224T	421	403	95
DRUP01060007T	5	245	41
CPCT02040223T	40	412	104
CPCT02270023T	570	266	259
CPCT02220079T	99	261	364
CPCT02230082T	243	321	20
CPCT02090043T	31	139	161
CPCT02130051T	324	601	1
CPCT02030259TIII	419	270	75
DRUP01020026T	67	650	299
CPCT02210046T	54	388	53
CPCT02120120T	12	260	61
WIDE01010205T	402	409	132
CPCT02340080T	19	250	59
WIDE01010216T	49	188	416
CPCT02130087T	118	658	102
WIDE01010264T	13	243	93
CPCT02130085T	49	340	641
WIDE01010292T	0	116	32
WIDE01010277T	0	170	284
CPCT02120118T	34	192	52
WIDE01010301T	222	217	52
CPCT02220045T	1885	503	102
CPCT02130093T	50	208	158
CPCT02030482T	105	457	176
CPCT02030477T	12	182	13
CPCT02370026T	24	125	31
WIDE01010385T	141	461	63
WIDE01010397T	36	151	162
WIDE01010414T	431	320	60
WIDE01010420T	2285	1141	138
CPCT02270031T	22	265	54
CPCT02120132T	26	275	92
DRUP01010084T	178	601	120
CPCT02020741T	56	498	69
CPCT02020740T	797	462	142
CPCT02030492T	148	894	389
CPCT02070349T	124	495	225
CPCT02070348T	33	605	87
CPCT02060226T	69	650	185
CPCT02230111T	47	384	55
CPCT02080236T	44	354	210
CPCT02030498T	20	441	28
DRUP01050029T	16	250	130
CPCT02030505T	435	270	23
CPCT02120149T	28	401	89
CPCT02070358T	26	356	84
CPCT02060168T	38	144	166
CPCT02030509T	477	165	23
CPCT02210066T	919	113	29
CPCT02030495T	32	236	66
CPCT02060251T	0	117	8
CPCT02380049T	22	219	84
CPCT02300049T	32	194	51
CPCT02140079T	14	234	34
CPCT02110074T	37	340	223
CPCT02210065T	32	772	320
CPCT02120153T	98	433	109
CPCT02110078T	93	624	140
CPCT02030517T	25	457	280
CPCT02020466T	470	392	85
CPCT02070397T	17	247	44
CPCT02050203T	1155	221	114
CPCT02020572T	611	538	182
CPCT02060142T	606	213	56
CPCT02230050T	1216	628	89
CPCT02070222T	38	241	10
CPCT02010646T	11	473	205
CPCT02070418T	48	207	145
CPCT02080160T	1231	322	185
CPCT02100112T	73	457	35
CPCT02100119T	122	589	230
CPCT02340032T	12	306	361
CPCT02020513T	16	88	221
CPCT02180025T	186	726	97
CPCT02120022T	54	258	80
CPCT02020516T	40	367	386
CPCT02060089T	16	245	251
CPCT02090018T	39	299	170
CPCT02060094T	43	152	110
CPCT02120028T	61	345	185
CPCT02090019T	1224	261	76
CPCT02060105T	469	290	17
CPCT02020544T	732	182	12
CPCT02060110T	12	105	13
CPCT02030355T	51	189	91
CPCT02040127T	63	466	174
CPCT02070190T	14	371	194
CPCT02090020T	0	100	88
DRUP01020004T	9	114	184
CPCT02060120T	340	995	338
CPCT02070210T	7	930	465
CPCT02040144T	845	782	345
CPCT02040143T	32	289	96
CPCT02020593T	82	411	481
CPCT02180005T	29	359	360
CPCT02030299T	742	342	27
CPCT02020420T	42	207	139
CPCT02030303T	741	204	41
CPCT02070058T	789	220	60
CPCT02040050T	348	145	55
CPCT02020434T	80	404	176
CPCT02220006T	41	522	310
DRUP01140003T	32	103	229
CPCT02020459T	484	254	1
CPCT02330021T	23	194	234
CPCT02110016T	30	119	12
CPCT02330023T	53	147	64
CPCT02040095T	50	487	179
CPCT02160017T	1183	540	141
CPCT02080093T	19	138	176
CPCT02060088T	4	93	65
CPCT02290021T	191	435	117
CPCT02340042T	55	419	331
CPCT02040192T	382	256	53
CPCT02300026T	76	564	161
CPCT02450007T	1045	113	183
CPCT02170020T	599	382	7
CPCT02030440T	67	536	111
CPCT02190003T	1381	386	335
WIDE01010536T	16	59	94
WIDE01010554T	36	144	96
