Samples	ID83A	ID83B
SP97749	354	9
SP49235	398	29
SP50177	486	15
SP97775	929	77
SP97685	481	20
SP97747	556	29
SP97771	642	34
SP97681	633	62
SP98082	594	47
SP49334	459	25
SP49124	1243	37
SP115501	521	59
SP98305	1060	101
SP49247	832	71
SP49328	525	43
SP98092	501	50
SP120755	136	3
SP49417	616	58
SP49175	595	47
SP49223	266	19
SP49187	387	30
SP49157	679	31
SP49379	609	42
SP49541	747	87
SP98164	837	45
SP49481	168	14
SP98078	770	15
SP106677	448	50
SP106743	239	28
SP98359	627	75
SP98192	409	33
SP98053	702	59
SP106631	409	16
SP49551	451	31
SP49651	795	3
SP98265	774	74
SP98297	716	38
SP98060	85	5
SP98289	720	38
SP115498	817	105
SP98096	672	63
SP49114	1073	23
SP98090	1712	167
SP49286	575	28
SP49469	595	87
SP49205	325	45
SP98327	578	32
SP49449	357	38
SP49391	317	15
SP49531	973	122
SP49322	561	72
SP49433	347	33
SP109384	316	28
SP98065	550	65
SP49591	333	66
SP49385	610	21
SP98313	570	60
SP49119	565	53
SP109301	684	67
SP115830	518	56
SP49229	836	63
SP98853	878	52
SP98855	455	28
SP98859	404	36
SP98865	243	40
SP98879	512	33
SP98871	375	30
SP98867	760	55
SP98861	713	60
SP98877	506	22
SP98889	750	63
SP98887	861	66
SP98875	766	43
SP98851	106	14
SP98833	335	19
SP98873	716	37
SP98883	675	66
SP98849	299	8
SP98869	433	58
SP98893	810	84
SP98847	439	38
SP98881	757	61
SP98841	354	24
SP98845	0	9214
SP98839	494	43
SP98843	407	23
SP98863	213	15
SP98891	550	54
SP98885	652	61
SP107047	777	30
SP107050	510	25
SP99261	560	41
SP107052	423	39
SP99269	460	24
SP99271	291	0
SP107056	863	63
SP107060	542	50
SP99279	558	28
SP107063	336	22
SP107068	502	50
SP107071	744	32
SP107073	49	0
SP98896	913	67
SP99003	766	76
SP107076	1716	14
SP107078	297	29
SP107080	732	50
SP98898	669	37
SP107084	594	37
SP107088	232	30
SP107091	597	58
SP107094	185	19
SP112224	524	49
SP107097	499	35
SP107101	1147	71
SP98900	523	37
SP107104	386	18
SP107109	266	26
SP107111	612	55
SP107115	11	6
SP98902	830	33
SP107119	675	53
SP98904	297	22
SP98909	825	29
SP107121	931	68
SP107123	566	34
SP98907	862	51
SP107132	90	10
SP107136	818	55
SP107141	234	22
SP98913	660	50
SP107146	546	48
SP107150	466	27
SP98915	386	40
SP107152	644	32
SP107155	409	26
SP112125	388	10
SP98921	368	21
SP112130	463	33
SP112133	620	36
SP98925	311	32
SP112138	375	89
SP112141	806	41
SP98927	646	40
SP112147	502	38
SP112152	380	77
SP112156	325	19
SP98933	450	44
SP112160	523	46
SP98937	150	0
SP112165	459	31
SP112168	838	28
SP98941	877	25
SP112170	888	52
SP112174	334	27
SP98945	310	24
SP112178	1044	41
SP112180	616	59
SP98949	862	62
SP112182	437	27
SP98953	1101	105
SP112186	535	38
SP98955	1466	61
SP112188	311	14
SP112190	1037	36
SP112192	606	77
SP112194	645	54
SP98959	275	17
SP112196	719	71
SP112198	433	26
SP112201	195	17
SP98965	655	61
SP112205	591	46
SP112208	794	86
SP98967	367	37
SP112210	860	62
SP112211	799	77
SP98973	1332	360
SP112213	637	40
SP50097	1357	72
SP112215	646	29
SP112217	869	48
SP98975	358	19
SP112219	918	81
SP112221	223	12
SP112228	611	54
SP50099	678	59
