Samples	ID83A	ID83B
SP97749	3.81E-01	3.81E-01
SP49235	7.59E-01	7.59E-01
SP50177	5.42E-01	5.40E-01
SP97775	9.54E-01	9.56E-01
SP97685	6.05E-01	6.05E-01
SP97747	6.75E-01	6.75E-01
SP97771	6.69E-01	6.69E-01
SP97681	1.04E+00	1.04E+00
SP98082	9.00E-01	9.00E-01
SP49334	5.98E-01	5.98E-01
SP49124	7.10E-01	7.09E-01
SP115501	1.71E+00	1.71E+00
SP98305	1.70E+00	1.70E+00
SP49247	1.29E+00	1.29E+00
SP49328	9.67E-01	9.67E-01
SP98092	8.50E-01	8.50E-01
SP120755	2.68E-01	2.67E-01
SP49417	9.35E-01	9.35E-01
SP49175	1.11E+00	1.11E+00
SP49223	6.38E-01	6.35E-01
SP49187	6.67E-01	6.67E-01
SP49157	7.79E-01	7.79E-01
SP49379	9.73E-01	9.73E-01
SP49541	1.29E+00	1.29E+00
SP98164	9.83E-01	9.83E-01
SP49481	4.22E-01	4.23E-01
SP98078	6.62E-01	6.62E-01
SP106677	8.86E-01	8.86E-01
SP106743	5.88E-01	5.86E-01
SP98359	1.49E+00	1.49E+00
SP98192	1.37E+00	1.37E+00
SP98053	1.02E+00	1.02E+00
SP106631	6.15E-01	6.14E-01
SP49551	7.53E-01	7.55E-01
SP49651	3.90E-01	3.90E-01
SP98265	1.07E+00	1.07E+00
SP98297	8.14E-01	8.14E-01
SP98060	2.24E-01	2.24E-01
SP98289	8.09E-01	8.10E-01
SP115498	1.53E+00	1.53E+00
SP98096	1.20E+00	1.20E+00
SP49114	8.46E-01	8.46E-01
SP98090	2.49E+00	2.49E+00
SP49286	6.65E-01	6.65E-01
SP49469	1.39E+00	1.40E+00
SP49205	9.40E-01	9.39E-01
SP98327	7.47E-01	7.47E-01
SP49449	1.43E+00	1.43E+00
SP49391	5.05E-01	5.05E-01
SP49531	1.81E+00	1.81E+00
SP49322	1.43E+00	1.43E+00
SP49433	8.10E-01	8.10E-01
SP109384	6.50E-01	6.50E-01
SP98065	1.05E+00	1.05E+00
SP49591	8.80E-01	8.80E-01
SP49385	6.41E-01	6.41E-01
SP98313	1.37E+00	1.37E+00
SP49119	1.03E+00	1.03E+00
SP109301	1.07E+00	1.07E+00
SP115830	1.25E+00	1.25E+00
SP49229	2.39E+00	2.39E+00
SP98853	9.26E-01	9.26E-01
SP98855	7.39E-01	7.39E-01
SP98859	7.87E-01	7.87E-01
SP98865	7.07E-01	7.07E-01
SP98879	7.25E-01	7.27E-01
SP98871	6.31E-01	6.31E-01
SP98867	1.14E+00	1.14E+00
SP98861	9.32E-01	9.32E-01
SP98877	8.20E-01	8.20E-01
SP98889	9.12E-01	9.12E-01
SP98887	1.10E+00	1.10E+00
SP98875	8.53E-01	8.53E-01
SP98851	5.07E-01	5.07E-01
SP98833	5.39E-01	5.41E-01
SP98873	7.56E-01	7.55E-01
SP98883	1.06E+00	1.06E+00
SP98849	3.94E-01	3.94E-01
SP98869	1.15E+00	1.15E+00
SP98893	1.29E+00	1.29E+00
SP98847	8.21E-01	8.21E-01
SP98881	9.74E-01	9.74E-01
SP98841	7.51E-01	7.51E-01
SP98845	3.39E+00	3.39E+00
SP98839	6.29E-01	6.29E-01
SP98843	6.51E-01	6.51E-01
SP98863	6.15E-01	6.15E-01
SP98891	9.34E-01	9.34E-01
SP98885	7.88E-01	7.88E-01
SP107047	8.61E-01	8.61E-01
SP107050	6.75E-01	6.75E-01
SP99261	7.12E-01	7.12E-01
SP107052	7.54E-01	7.54E-01
SP99269	6.25E-01	6.25E-01
SP99271	3.48E-01	3.46E-01
SP107056	1.25E+00	1.25E+00
SP107060	1.02E+00	1.02E+00
SP99279	7.84E-01	7.84E-01
SP107063	5.47E-01	5.47E-01
SP107068	1.12E+00	1.12E+00
SP107071	7.64E-01	7.64E-01
SP107073	1.94E-01	1.94E-01
SP98896	1.13E+00	1.13E+00
SP99003	1.38E+00	1.38E+00
SP107076	9.24E-01	9.24E-01
SP107078	6.30E-01	6.30E-01
SP107080	8.63E-01	8.63E-01
SP98898	6.72E-01	6.72E-01
SP107084	7.35E-01	7.35E-01
SP107088	6.97E-01	7.00E-01
SP107091	1.14E+00	1.14E+00
SP107094	5.56E-01	5.56E-01
SP112224	8.12E-01	8.12E-01
SP107097	7.38E-01	7.38E-01
SP107101	1.11E+00	1.11E+00
SP98900	7.76E-01	7.76E-01
SP107104	6.32E-01	6.32E-01
SP107109	7.90E-01	7.90E-01
SP107111	1.10E+00	1.10E+00
SP107115	2.04E-01	2.03E-01
SP98902	9.11E-01	9.11E-01
SP107119	1.21E+00	1.21E+00
SP98904	5.16E-01	5.16E-01
SP98909	7.32E-01	7.33E-01
SP107121	1.01E+00	1.01E+00
SP107123	7.64E-01	7.65E-01
SP98907	9.44E-01	9.44E-01
SP107132	3.67E-01	3.67E-01
SP107136	9.06E-01	9.06E-01
SP107141	6.60E-01	6.59E-01
SP98913	7.68E-01	7.67E-01
SP107146	9.07E-01	9.07E-01
SP107150	6.88E-01	6.88E-01
SP98915	7.46E-01	7.46E-01
SP107152	7.66E-01	7.65E-01
SP107155	7.69E-01	7.69E-01
SP112125	5.08E-01	5.08E-01
SP98921	5.96E-01	5.96E-01
SP112130	7.66E-01	7.65E-01
SP112133	7.40E-01	7.40E-01
SP98925	7.71E-01	7.71E-01
SP112138	1.55E+00	1.55E+00
SP112141	9.15E-01	9.16E-01
SP98927	9.02E-01	9.02E-01
SP112147	7.68E-01	7.67E-01
SP112152	1.23E+00	1.23E+00
SP112156	6.47E-01	6.48E-01
SP98933	8.53E-01	8.53E-01
SP112160	9.26E-01	9.28E-01
SP98937	2.35E-01	2.35E-01
SP112165	6.99E-01	6.99E-01
SP112168	7.07E-01	7.07E-01
SP98941	7.29E-01	7.29E-01
SP112170	1.01E+00	1.01E+00
SP112174	5.75E-01	5.75E-01
SP98945	6.80E-01	6.80E-01
SP112178	9.07E-01	9.07E-01
SP112180	1.01E+00	1.01E+00
SP98949	9.99E-01	1.00E+00
SP112182	6.28E-01	6.28E-01
SP98953	2.35E+00	2.35E+00
SP112186	9.42E-01	9.42E-01
SP98955	1.07E+00	1.06E+00
SP112188	5.58E-01	5.59E-01
SP112190	9.33E-01	9.33E-01
SP112192	9.18E-01	9.18E-01
SP112194	9.36E-01	9.35E-01
SP98959	4.83E-01	4.84E-01
SP112196	1.10E+00	1.10E+00
SP112198	7.31E-01	7.31E-01
SP112201	4.68E-01	4.68E-01
SP98965	1.12E+00	1.12E+00
SP112205	9.74E-01	9.74E-01
SP112208	1.25E+00	1.25E+00
SP98967	9.38E-01	9.39E-01
SP112210	1.06E+00	1.06E+00
SP112211	1.08E+00	1.08E+00
SP98973	1.57E+00	1.57E+00
SP112213	8.05E-01	8.05E-01
SP50097	1.32E+00	1.32E+00
SP112215	7.16E-01	7.16E-01
SP112217	7.87E-01	7.87E-01
SP98975	6.17E-01	6.17E-01
SP112219	1.02E+00	1.02E+00
SP112221	4.45E-01	4.45E-01
SP112228	7.90E-01	7.90E-01
SP50099	1.39E+00	1.39E+00
SP98981	9.84E-01	9.84E-01
SP112234	1.21E+00	1.21E+00
SP98985	8.87E-01	8.87E-01
SP112237	1.06E+00	1.06E+00
SP98989	8.34E-01	8.34E-01
SP112241	8.80E-01	8.80E-01
SP112245	8.16E-01	8.16E-01
SP98991	6.39E-01	6.38E-01
SP112248	8.54E-01	8.54E-01
SP112051	9.23E-01	9.23E-01
SP98997	8.40E-01	8.40E-01
SP112252	1.54E+00	1.54E+00
SP99001	6.01E-01	6.01E-01
SP112257	0.00E+00	0.00E+00
SP99007	9.40E-01	9.38E-01
SP112261	4.15E-01	4.15E-01
SP50101	6.63E-01	6.63E-01
SP112265	8.99E-01	8.99E-01
SP112268	8.65E-01	8.65E-01
SP99011	9.33E-01	9.33E-01
SP112269	8.34E-01	8.34E-01
SP99013	6.33E-01	6.33E-01
SP112273	1.89E+00	1.88E+00
SP112274	4.30E-01	4.30E-01
SP50105	7.02E-01	7.02E-01
SP112276	4.08E-01	4.08E-01
SP99019	1.05E+00	1.05E+00
SP99021	7.49E-01	7.49E-01
SP112283	3.45E-01	3.42E-01
SP112288	8.74E-01	8.74E-01
SP99025	1.06E+00	1.06E+00
SP112290	7.85E-01	7.85E-01
SP99029	6.29E-01	6.29E-01
SP99033	8.89E-01	8.89E-01
SP99037	2.72E-01	2.73E-01
SP99041	7.26E-01	7.28E-01
SP99045	1.11E+00	1.11E+00
SP112300	7.27E-01	7.29E-01
SP99049	6.03E-01	6.04E-01
SP112304	6.79E-01	6.79E-01
SP50107	1.08E+00	1.08E+00
