Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
CPCT02100190T	28	222	74	92	0	63	225	41	65	133	70	28	3	17
CPCT02140094T	21	0	0	260	7	22	13	0	73	277	0	0	13	0
CPCT02130164T	18	139	149	0	66	87	17	9	45	42	46	11	12	25
CPCT02140093T	25	428	268	65	96	154	82	0	0	26	5	6	41	21
CPCT02020592T	10	82	0	26	0	0	15	0	25	165	0	3	19	0
CPCT02180076T	13	51	14	19	80	28	26	8	17	22	40	13	20	36
CPCT02020865T	25	334	377	57	113	233	8	68	117	45	8	32	25	43
CPCT02230059T	16	102	0	138	22	20	47	14	1	109	105	6	46	7
CPCT02180022T	77	48	100	49	0	112	232	89	39	34	17	29	11	30
CPCT02120014T	58	161	249	0	78	128	60	38	121	84	130	5	24	34
CPCT02180033T	12997	0	0	0	0	0	1376	1062	0	91	0	187	146	31
CPCT02140046T	69	32	130	0	77	72	99	0	54	43	0	18	43	17
CPCT02080111T	30	0	0	15	0	0	234	43	96	58	4	518	33	43
CPCT02120027T	84	161	83	43	160	37	144	41	11	57	81	8	29	48
CPCT02140042TII	20	62	6	0	15	49	25	29	26	17	26	7	7	25
CPCT02070169T	14	92	0	13	65	42	10	5	30	42	0	0	0	34
CPCT02160024T	42	199	97	161	132	109	104	35	85	30	36	43	24	9
CPCT02020566T	0	0	0	0	8	0	1	0	0	124	0	16	0	1
CPCT02230033T	15	0	108	59	0	77	79	32	37	51	71	25	11	2
CPCT02030356T	37	200	0	167	133	23	13	42	63	60	15	2	20	8
CPCT02090021T	25	235	184	52	71	141	52	0	73	168	0	13	6	24
CPCT02330047T	15	65	151	72	129	91	43	32	19	206	0	5	34	35
CPCT02100107T	45	144	269	0	66	121	131	0	102	199	121	28	34	30
CPCT02020580T	30	30	0	69	98	24	91	0	25	174	35	11	19	6
CPCT02180003T	7	5	0	0	0	13	6	0	30	171	49	9	5	3
CPCT02020414T	68	84	235	43	71	157	79	4	54	95	10	19	11	43
CPCT02050087T	19	108	12	32	33	33	67	79	29	39	54	26	19	0
CPCT02010458T	15	0	0	0	32	15	51	30	37	60	73	17	19	29
CPCT02020447T	33	22	31	189	19	14	127	101	20	25	49	28	21	19
CPCT02060067T	25	69	123	0	0	70	23	60	261	80	79	15	0	22
CPCT02020480T	34	226	43	140	196	0	25	29	0	43	0	14	12	16
CPCT02140042T	65	166	28	0	158	32	87	27	57	26	108	19	33	17
CPCT02120002T	15	239	107	0	53	83	42	15	14	37	77	25	38	21
CPCT02030332T	26	108	37	0	107	88	77	68	0	53	39	40	66	26
CPCT02230015T	39	173	60	0	114	94	46	5	31	38	27	28	39	10
CPCT02060138T	24	390	20	351	74	80	85	0	122	201	29	46	16	22
CPCT02360007T	35606	0	0	0	0	0	2898	3725	0	251	0	0	0	0
CPCT02040181T	32	406	124	94	37	117	49	64	100	111	0	52	0	27
CPCT02300027T	40	166	86	297	110	71	42	73	33	56	0	36	1	0
CPCT02120090T	15	57	129	109	70	70	41	0	38	80	52	12	7	4
WIDE01010520T	64	382	109	121	40	167	48	0	166	66	0	18	79	44
WIDE01010600T	6	49	3	125	8	0	0	29	0	19	81	14	22	0
WIDE01010710T	252	86	26	0	189	109	294	139	74	65	16	0	24	47
WIDE01010727T	9	61	0	0	7	42	28	24	6	32	117	6	0	11
