Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP124389	192	19	25	24	1	12	3	64	27	8	14	0	15	11	8	0
SP124362	472	7	79	74	19	37	0	36	108	23	68	20	42	36	5	0
SP124394	203	8	31	129	0	50	13	49	0	9	37	49	24	0	3	0
SP124334	201	15	70	71	5	112	0	12	3	11	17	1	8	7	13	2
SP124339	1	2	18	31	2	13	0	0	0	13	13	2	4	17	13	0
SP124454	121	24	69	72	3	49	4	46	10	7	23	5	8	9	10	0
SP124380	304	15	28	46	0	45	4	25	0	7	157	14	63	21	12	5
SP124273	11	21	230	17	6	45	3	42	19	5	23	0	10	44	13	2
SP124357	11	37	45	27	5	41	0	4	35	8	52	5	9	24	10	0
SP124399	319	18	111	165	13	53	0	68	36	6	51	40	71	40	2	1
SP124311	377	9	57	238	0	21	6	53	0	34	113	28	67	10	2	0
SP124355	8	9	59	26	6	42	0	1	0	3	28	3	7	13	18	0
SP124434	239	27	44	56	8	52	4	50	15	13	14	50	38	20	7	5
SP124428	585	26	166	194	39	208	9	85	0	22	0	241	89	45	3	6
SP124449	233	52	136	63	32	48	2	24	53	6	68	0	38	22	2	2
SP124298	663	28	115	487	39	58	11	118	154	29	118	119	156	9	3	0
SP124431	200	8	38	173	2	67	7	28	0	7	81	33	36	0	9	7
SP124396	142	99	118	59	0	41	1	46	11	28	32	22	20	23	25	2
SP124409	432	20	97	78	21	69	0	107	133	19	70	22	70	0	16	0
SP124341	11	30	71	1	0	94	1	60	11	6	35	10	10	19	4	0
SP124353	2	1	23	21	0	46	2	12	0	3	0	1	6	10	12	1
SP124278	5	30	144	14	0	19	3	25	5	11	27	15	0	35	7	0
SP124376	131	24	45	85	0	49	6	33	0	19	29	60	3	21	16	0
SP124346	48	22	196	13	0	104	0	27	13	21	27	6	2	58	7	1
SP124439	605	33	29	124	37	16	13	55	143	9	26	9	96	11	11	5
SP124351	6	7	28	25	4	12	0	10	16	4	12	5	0	4	2	0
SP124406	178	75	4	77	0	82	5	55	0	76	0	34	25	0	117	0
SP124323	10	20	70	18	0	20	1	18	0	2	25	13	0	10	14	0
SP124391	13	8	68	29	0	53	6	8	59	9	20	13	0	30	6	0
SP124423	33	0	10	7	0	4	0	12	0	3	5	1	0	4	0	0
SP124382	1327	22	23	770	6	341	4	234	100	55	0	139	100	2	23	7
SP124415	798	43	75	95	84	72	22	148	456	8	0	15	386	0	10	22
SP124436	856	37	201	335	29	199	1	113	181	58	140	13	79	12	30	0
SP124460	417	53	93	63	21	65	0	51	91	22	23	29	54	31	11	0
SP124425	150	6	16	96	0	11	3	33	13	6	43	20	12	3	3	0
SP124456	95	31	11	169	0	0	6	15	0	2	27	45	15	0	28	0
SP124367	285	23	44	145	14	93	0	37	10	21	15	19	32	0	14	4
SP124281	6	9	69	5	1	5	5	13	19	8	20	5	7	9	1	0
SP124377	158	2	28	149	0	67	6	20	7	16	12	75	0	5	11	2
SP124412	206	7	35	118	3	0	5	23	0	13	38	3	1	1	14	0
SP124333	71	10	38	72	5	64	0	38	12	9	28	15	13	8	3	0
SP124359	1	31	129	23	3	86	1	12	13	12	40	8	15	33	10	0
SP124286	2	18	30	9	0	20	0	0	0	4	19	2	2	0	5	0
SP124329	91	0	3	38	0	10	0	14	15	8	8	22	0	6	3	0
SP124326	85	23	91	100	0	55	2	23	21	16	18	15	12	27	10	0
SP124458	316	30	31	292	0	80	13	55	22	21	96	116	41	0	15	0
SP124401	1207	69	125	359	4	139	25	111	227	32	81	134	147	24	22	15
SP124264	13	17	97	1	13	231	0	80	0	11	66	1	7	0	8	4
SP124384	379	16789	2950	90	0	341	10	268	0	83	276	69	0	79	149	517
SP124403	32	3	0	50	1	5	0	5	23	2	11	12	5	2	4	0
SP124462	270	40	76	192	0	100	12	55	0	30	82	41	37	8	21	0
SP124271	26	47	292	70	14	160	0	54	21	13	137	13	16	12	6	3
SP124336	9	1	179	20	5	55	0	31	42	10	15	2	4	60	21	0
SP124452	204	18	39	208	0	58	10	9	35	11	0	27	9	6	12	3
SP124386	272	21	68	153	23	0	0	47	77	12	0	119	31	22	27	0
SP124441	6	109	90	16	0	139	3	24	21	10	39	18	4	5	55	0
SP124418	274	12	22	106	11	3	2	55	70	10	23	10	19	6	5	0
SP124291	1	18	102	32	1	33	0	23	3	8	20	14	2	10	29	5
SP124319	369	8	18	99	4	0	0	35	19	10	27	31	19	4	14	0
SP124305	72	0	87	55	0	3	4	45	40	18	68	15	0	38	10	0
SP124447	1056	85	68	945	21	336	32	115	437	65	9	498	218	0	0	7
SP124344	0	9	44	9	4	64	3	12	12	7	19	11	9	8	14	0
SP124369	266	26	38	132	7	23	9	58	95	21	126	21	47	26	8	0
SP124348	0	2	49	16	0	35	0	0	65	2	11	0	0	31	2	0
SP124295	25	101	156	7	0	154	2	8	31	9	54	4	0	11	18	0
SP124444	56	29	128	38	2	5	8	5	8	1	29	15	7	42	14	2
SP124365	217	27	51	132	0	79	5	67	41	22	25	12	26	8	24	4
SP124420	132	23	66	101	9	53	3	26	49	13	34	80	0	15	15	0
SP124364	224	66	129	82	0	22	0	18	28	458	21	26	11	0	700	0
SP124307	294	29	50	47	0	15	3	27	79	27	46	89	6	6	26	1
SP82445	863	12	45	42	2	173	10	82	317	15	0	0	177	0	0	0
SP83242	167	23	37	65	0	83	5	36	0	19	28	0	24	8	9	11
SP103894	370	27	22	247	0	96	6	40	0	3494	7	59	27	4	321	12
SP83382	142	17	32	129	2	58	0	19	10	24	44	88	13	9	25	0
SP82451	111	29	109	65	7	93	3	43	8	38	45	22	7	19	37	36
SP104330	8	0	3	44	0	0	2	5	0	4	4	1	2	2	6	0
SP83312	170	28	11	69	1	27	0	27	9	12	46	39	1	12	0	32
