Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP85623	7	0	0	4	0	19	0	10	0	0	24	0	0	4
SP85491	1	0	0	0	0	19	2	12	28	0	36	0	0	0
SP87582	1	0	0	1	0	3	0	3	0	2	5	0	36	12
SP89090	2	0	7	4	10	0	9	8	0	4	28	0	0	0
SP85511	7	0	0	0	3	1	0	0	106	4	6	26	0	4
SP85952	0	0	5	1	0	0	16	0	27	0	0	0	6	0
SP85840	6	0	0	0	0	3	50	0	0	0	9	0	13	11
SP87675	6	0	12	0	0	0	25	7	6	0	3	0	0	8
SP85836	0	4	7	1	0	0	1	28	32	0	74	0	0	8
SP120767	5	1	1	7	0	55	43	2	0	0	23	0	0	1
SP105708	12	0	4	0	0	11	17	19	25	0	0	0	0	8
SP85818	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SP105922	2	0	0	0	0	0	15	21	0	22	1	0	0	0
SP86118	11	0	0	0	0	0	0	37	43	0	0	0	0	3
SP86306	3	0	0	0	86	0	0	46	4	20	0	0	0	0
SP87099	16	0	0	2	17	18	11	31	0	0	0	0	0	8
SP87434	4	0	8	0	0	0	22	0	22	0	9	0	0	5
SP85864	0	3	3	2	4	0	0	0	0	0	0	0	0	12
SP105807	4	0	6	0	0	0	0	4	0	59	7	5	19	0
SP89291	3	0	7	0	0	11	0	21	0	1	0	0	0	9
SP88050	0	0	9	0	3	0	0	21	0	0	0	1	0	8
SP88593	2	0	5	0	0	0	57	0	0	0	0	0	0	8
SP88158	1	0	2	0	0	0	1	22	0	0	0	0	0	3
SP87534	0	2	7	0	57	39	36	0	0	0	8	29	0	7
SP88776	0	0	8	0	0	0	6	0	11	77	0	0	0	1
SP85725	2	0	13	0	0	0	0	0	0	0	68	1	0	0
SP86660	0	2	24	2	10	33	59	0	0	11	11	0	0	10
SP87903	0	0	6	0	0	4	6	0	14	7	11	0	0	0
SP88098	0	0	13	1	0	63	0	0	0	0	0	0	44	0
SP85487	13	0	23	0	100	0	17	0	36	0	10	0	37	5
SP105759	8	2	0	2	0	0	19	0	17	3	0	3	0	6
SP86775	0	0	0	1	0	0	0	0	10	0	7	0	0	2
SP88322	2	0	16	0	5	0	0	31	0	39	0	0	0	0
SP85582	4	0	10	0	0	9	17	0	0	23	6	4	0	14
SP87446	5	0	0	0	89	0	9	26	3	6	0	0	45	18
SP87337	2	0	0	0	0	0	0	0	0	29	5	0	0	4
SP86929	0	1	7	8	35	26	0	28	0	0	19	0	30	3
SP86130	6	0	6	0	0	0	0	0	15	31	0	0	0	15
SP86425	18	0	0	0	21	0	0	87	0	0	0	0	10	0
SP85495	4	0	0	0	0	0	12	0	0	0	0	2	0	11
SP85787	0	0	0	3	0	0	26	0	0	0	0	0	0	12
SP86836	0	0	0	0	0	0	0	0	0	0	0	0	0	16
SP89245	4	0	4	0	0	0	2	0	0	13	9	0	0	0
SP86989	9	0	10	1	0	74	22	8	0	0	19	0	0	8
SP88757	0	0	2	2	0	22	0	0	0	28	5	0	0	0
SP85733	5	0	0	6	0	9	5	40	0	28	0	0	0	6
SP85737	0	0	0	0	0	14	0	0	6	3	0	0	0	2
SP85647	2	0	0	0	9	0	4	18	14	0	6	0	0	14
CPCT02011098T	8	0	0	24	0	0	0	0	0	0	23	133	0	0
WIDE01010618T	73	0	769	67	71	0	8	3	5	16	3	0	0	1
WIDE01010310T	347	0	227	72	0	13	16	0	3	45	14	0	19	1
CPCT02080230T	0	4	83	129	0	0	15	4	17	0	12	125	0	0
CPCT02010914T	0	0	0	145	59	0	0	0	0	2	5	19	0	0
DRUP01010057T	94	0	97	216	0	97	0	0	66	0	0	5	112	14
CPCT02010635T	88	0	56	461	0	141	0	0	0	0	0	0	0	3
WIDE01010556T	1602	2232	0	92	0	0	0	0	0	0	0	0	0	0
WIDE01010540T	34	0	76	31	247	53	0	0	16	0	0	54	0	0
