Sample Names	MutationType	ID1	ID2	ID4	ID6	ID8	ID9	ID19	ID21	ID23	ID25
SP101845	1:Del:C:0	0.0002461677589190112	0.003000924882762023	0.0	0.10911937445575268	0.20006153289253822	0.687572000010028	0.0	0.0	0.0	0.0
SP101845	1:Del:C:1	0.0034394725378576636	3.9704130081186516e-05	0.0	0.05673278637354011	0.3469551683451201	0.5928328686134009	0.0	0.0	0.0	0.0
SP101845	1:Del:C:2	9.993966162372092e-17	3.793980257557716e-05	0.0	0.5635520388928894	0.3280905247300444	0.10831949657449057	0.0	0.0	0.0	0.0
SP101845	1:Del:C:3	0.05119294045280665	0.026804420178000013	0.0	0.06872953015626136	0.4730797900758399	0.380193319137092	0.0	0.0	0.0	0.0
SP101845	1:Del:C:4	0.024474088692338802	0.054023126323059854	0.0	0.1995867547581575	0.14428690813790387	0.5776291220885399	0.0	0.0	0.0	0.0
SP101845	1:Del:C:5	0.21808861494029114	0.3821417510210958	0.0	0.19876336973780925	0.19714077011664885	0.003865494184154959	0.0	0.0	0.0	0.0
SP101845	1:Del:T:0	0.004924849245986829	0.011994153879830095	0.0	0.037372177552520945	0.41950556252995574	0.5262032567917063	0.0	0.0	0.0	0.0
SP101845	1:Del:T:1	3.4939998929909887e-17	1.684677540030444e-17	0.0	0.016619476147599673	0.3599687336643589	0.6234117901880414	0.0	0.0	0.0	0.0
SP101845	1:Del:T:2	0.005360723469094031	0.01627473205915534	0.0	0.15506583913909616	0.1679432272588033	0.6553554780738512	0.0	0.0	0.0	0.0
SP101845	1:Del:T:3	0.009363113721181477	0.03334251321970798	0.0	0.21074144562862146	0.1307307396656118	0.6158221877648774	0.0	0.0	0.0	0.0
SP101845	1:Del:T:4	0.022065697045077867	0.09789168749850244	0.0	0.2114035034910683	0.021368703900576616	0.6472704080647748	0.0	0.0	0.0	0.0
SP101845	1:Del:T:5	8.630121407125798e-18	0.8582423606529007	0.0	0.048182127940302515	0.09034304859165278	0.003232462815143934	0.0	0.0	0.0	0.0
SP101845	1:Ins:C:0	2.3869435207737994e-16	1.150895896372365e-16	0.0	0.34962761229959	0.6503723877004091	5.201758085553376e-16	0.0	0.0	0.0	0.0
SP101845	1:Ins:C:1	2.931428703053595e-16	0.008123659955927193	0.0	0.3648873178317198	0.6267611206052269	0.00022790160712561687	0.0	0.0	0.0	0.0
SP101845	1:Ins:C:2	5.484956361028372e-16	0.001754168350074074	0.0	0.09477006657534208	0.8255655227021803	0.07791024237240313	0.0	0.0	0.0	0.0
