Samples	ID1	ID2	ID4	ID6	ID8	ID9	ID19	ID21	ID23	ID25
SP101845	99	40	0	230	323	132	0	0	0	0
SP101682	76	82	0	0	70	76	0	119	0	0
SP61553	138	65	0	0	0	0	0	0	67	0
SP101724	151	113	0	96	100	205	0	0	0	0
SP102103	46	38	0	0	58	71	0	0	85	0
SP102174	87	68	0	111	0	176	0	0	0	0
SP101622	0	0	0	546	396	0	0	0	0	0
SP102161	52	42	0	128	78	98	0	0	0	0
SP101654	115	133	130	77	0	160	0	0	0	0
SP102074	44	22	0	39	50	0	0	0	78	0
SP101694	73	55	0	96	90	181	0	0	0	0
SP101616	185	58	0	137	0	221	0	0	0	0
SP101666	56	0	0	174	178	0	0	0	107	0
SP101558	34	0	0	236	263	0	0	0	0	0
SP102096	113	31	67	0	97	78	0	0	0	0
SP102084	148	114	0	171	0	94	0	0	0	0
SP101580	77	30	0	147	154	66	0	0	0	0
SP102064	0	0	0	319	312	0	0	0	0	74
SP101564	56	34	38	41	31	62	0	0	0	0
SP101921	108	48	65	0	0	140	0	0	0	0
SP101648	30	0	0	253	151	0	0	0	79	0
SP101628	85	31	0	0	59	51	0	0	80	0
SP101708	71	69	0	57	0	58	0	0	78	0
SP102055	62	31	0	34	0	0	0	0	75	0
SP101634	0	0	0	360	226	0	0	0	0	0
SP101588	72	72	0	0	62	97	0	100	0	0
SP101584	54	50	85	0	90	141	0	0	0	0
SP101686	59	49	0	0	0	51	0	0	92	0
SP101532	0	0	0	297	270	0	0	0	0	75
SP101732	46	0	0	397	306	145	0	0	0	0
SP101528	39	23	0	69	0	159	0	0	0	0
SP101536	49	0	0	0	40	0	0	97	62	0
SP101576	109	64	0	91	82	157	0	0	0	0
SP102015	0	0	0	376	442	135	0	0	0	0
SP102168	68	18	45	0	58	73	0	0	0	0
SP101716	227	169	0	164	0	188	0	0	0	0
SP101592	75	35	0	0	74	144	0	0	0	0
SP101658	42	15	0	0	0	0	0	0	46	0
SP102045	0	0	0	1400	597	0	0	0	0	0
SP101552	0	0	0	703	514	218	0	0	0	0
SP101519	159	28	0	71	64	0	0	0	86	0
SP101690	62	47	0	120	97	127	0	113	0	0
SP102123	116	42	0	0	90	89	0	0	0	0
SP101662	0	0	0	409	95	83	0	0	0	0
SP101600	113	27	0	0	0	0	0	0	68	0
SP101544	124	59	0	81	0	150	0	0	0	0
SP102133	15808	4291	0	0	0	0	0	0	0	0
SP101881	0	0	0	409	346	0	0	0	0	0
SP102035	0	0	0	698	298	0	0	0	0	0
SP101642	87	90	0	734	436	143	0	0	0	0
SP101596	107	36	0	0	42	54	0	74	82	0
SP101670	65	0	0	658	360	128	0	0	0	0
SP101674	0	0	0	276	165	0	0	0	0	0
SP101572	57	17	28	0	30	34	0	0	0	0
SP101678	70	0	0	332	360	0	0	0	140	0
SP101740	0	0	0	1154	967	0	0	0	0	0
SP101700	0	0	0	253	269	0	0	0	0	80
SP101891	0	74	0	513	416	123	0	0	0	0
SP102143	0	0	0	631	273	0	0	0	0	0
SP102113	0	0	0	221	214	52	0	0	0	49
SP101521	129	87	0	0	0	0	0	0	133	0
SP101526	61	67	73	92	130	119	0	0	0	0
SP101540	185	51	0	0	68	0	0	0	100	0
SP101604	32	22	0	188	104	0	0	0	100	0
SP101548	29	0	0	405	90	0	0	0	94	0
SP101523	0	0	0	401	284	0	0	0	0	0
SP102090	66	50	0	0	45	120	0	95	0	0
SP101795	34	0	0	332	365	0	0	0	0	0
SP102187	32	35	0	228	157	132	0	0	0	0
SP101515	0	0	0	182	159	0	0	0	73	0
SP101931	68	92	0	352	232	150	0	0	0	0
SP101610	0	0	0	259	316	0	0	0	0	0
SP61703	200	44	0	0	171	147	0	0	0	0
SP59707	102	0	0	0	0	0	0	0	87	0
SP68659	35	0	0	199	247	0	0	0	0	0
SP62616	0	0	0	1102	334	0	0	0	0	0
SP59761	86	42	0	56	48	72	0	61	0	0
SP66960	167	39	0	0	63	0	0	0	105	0
SP61453	51	36	0	0	64	54	0	0	62	0
