MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	0.07193902131170034	0.0026158564817160366	0.16880909826606513	0.000950218346551992	0.25173830531537533	0.010837781424124842	0.01241569061690825	0.022939668456092476	0.011614065847863913	0.02288333139498718	0.02153964517870918
1:Del:C:1	0.22525645196437835	4.151425091549754e-06	0.08216994870454072	0.0008790136075367628	0.10019758280366658	0.02050257751659956	0.013404757542302833	0.012927462861407548	0.005900290436838987	0.005476432486866543	0.009519467757481834
1:Del:C:2	0.2113814054429531	0.0006873284093308029	0.0691143275797367	0.00018058079316688236	0.024373575634672306	0.002528538794953903	0.0053236543741513745	0.004207764953171136	0.005049449920770712	0.003959760017160079	0.0002514057045229379
1:Del:C:3	0.07468135930597782	0.004776436639949679	0.013540716589195654	0.0005221965967211873	0.022079119354020803	0.01086036246677395	0.019386651022650768	0.0001770959555869922	0.0030718832430466137	0.001375884847884663	0.007706980316361296
1:Del:C:4	0.05701127659529447	0.01174507636576891	0.004923381213719016	2.1025329842814245e-05	0.005502802904092446	0.004774169692245778	0.016496422291966156	0.0004295091189851519	0.0034065634405124	0.0002447895843943115	0.0024022822768165497
1:Del:C:5	0.029798277337104082	0.03545380473136902	0.0018614874764170963	0.002143403606096399	0.0004587147757411003	0.0003780552082025679	0.02022883480298333	0.0008062459978827974	0.005428286422975361	0.00040893428589697576	0.0021837501490153954
1:Del:T:0	0.03876511575654149	0.0007592438881692942	0.021772724648471922	0.00522596557973884	0.0921594187617302	0.06360962731763721	0.043639753048773856	0.013946293294720817	0.007229962514320505	0.007424035533622373	0.02626586573664099
1:Del:T:1	0.029188955128192903	0.0008482712232216728	0.039064618144184354	0.002633126226137392	0.056297220550477506	0.055840381290763616	0.025311009974393527	0.0017010894016129896	0.002467636564761051	0.008423949534771965	0.018119645148981362
1:Del:T:2	0.016474493003915996	0.0027014413732104003	0.016267397068440916	0.002133081998617854	0.07382908971980214	0.04491731301881373	0.04778729111887515	0.004423833950422704	0.011111656258581206	0.005160118006242556	0.022215190771967173
1:Del:T:3	0.02243242203083355	0.013630751669406891	0.015377873247489333	0.005663918970385567	0.10907721487805247	0.018742884297389538	0.027842419394874016	0.007962300498838885	0.010734823599341326	0.0038055153028471976	0.016535459763836115
1:Del:T:4	0.016081619600590784	0.039470732286572455	0.0012099463540653232	0.004626930413069203	0.08060405243188143	0.010803869850933552	0.025772018680581824	0.0005769069042049537	0.010301261562854052	0.0028943542349588822	0.0024741322678892173
1:Del:T:5	0.0010119434314401587	0.7138751274347306	0.03203887736672128	0.03360219644149765	0.01117921680037398	0.023771179931588334	0.009077210071191076	0.0054391343003044315	0.07050489984452725	0.03537110298173502	0.010900962849555072
1:Ins:C:0	0.005587424645200372	0.0004521160640938504	0.0004991695297940169	7.220158310659851e-05	0.004377242338956648	0.0007735817246835097	3.4162987105901265e-09	0.0	0.0029990040451907873	0.000878750425169983	0.2673735409975052
1:Ins:C:1	0.003709442043909803	0.0001639952344157791	0.003746704014047282	3.9213551845023175e-05	0.0025569595693377776	0.011938074356876313	0.01118586193304509	0.002769966969208326	9.875150204607053e-05	0.0015528366381022353	0.04054991452023387
1:Ins:C:2	0.002700310928194085	9.708126638543036e-05	0.006787593481712975	0.0004362876028426399	0.0018995210209777724	0.006293167802505195	0.010757549435365945	0.0013059990535111865	9.063103454536758e-05	0.0010048708443855504	0.0074893179885111745
1:Ins:C:3	0.008247525870101526	0.0005469847389031201	0.005405650607426651	0.0002714131845004886	0.00021238620662188622	0.0014275325504422654	0.013323464860732201	0.0028233799666850246	0.0005503344899761941	2.5669027309049852e-05	0.00742760747380089
1:Ins:C:4	0.007850181690882892	0.002157890647649765	0.0032277999009238554	0.0006455468223339266	0.0002429588316590525	0.0028659972531022504	0.012711812812194695	0.004116098713711836	0.00013321436141268351	0.00010538180824369192	0.003128549092793946
1:Ins:C:5	0.007915202197618782	0.011882724668830634	0.0028229848699993453	0.02497140899300575	0.00047832919692154975	0.00725685027660802	0.025199869356583804	0.006655406996578676	1.7197776323882862e-05	1.2486462510423735e-05	0.025639639412984253
1:Ins:T:0	0.00823418162879534	0.0011461557645816357	0.047145031346008184	0.004078509364044294	0.008818889319663868	0.007825722619018052	0.023828580331755802	0.009356396453695197	0.004457387168076821	0.003150438248849241	0.08038155574351549
1:Ins:T:1	0.015592556302435697	4.194184548396151e-06	0.1221252203756012	0.002735923058935441	0.0038078512021456844	0.021402322873473167	0.06809220442548394	0.007456010995229008	0.0021682014200268894	0.005859057386405766	0.02213805680978112
1:Ins:T:2	0.017885620984027906	0.002731996807269752	0.14668666649609804	0.00019263268598024297	0.004773068213326042	0.00038640792417709235	0.028445560438562865	0.00015497935353778303	0.0005102528879724844	0.0011257820219725545	0.0180279359874037
1:Ins:T:3	0.020883515905588866	0.0016338393185287715	0.053973915185779334	0.0036516353697516025	0.007304450515075587	0.002616707956531173	0.027487450931221246	0.0030731342896433487	0.002112963438848965	0.0046670619497308505	0.0059368386397545695
1:Ins:T:4	0.007870196485891939	0.0022737709639477546	0.011439851575996727	0.015904720658436417	0.004700134656450246	0.004447308482122025	0.010103481395635754	0.0002289475472207414	0.0018102574638396618	0.0011594598933879752	4.236074659274891e-05
1:Ins:T:5	0.021311894971877337	0.08153285485692327	0.04556909041944891	0.806111273765564	0.027710628660957127	0.02458646788674912	0.03147506657987833	0.0018729087454266845	0.019548236732014675	0.01643642190785613	0.04847184731042944
2:Del:R:0	0.0019696021015988665	0.0011561860021902248	0.015587493777275085	0.001118908243297483	0.016477263383567333	0.032310556061565875	0.003479186838376336	0.004296477863172186	0.008861311455257237	0.05246285863220692	0.008746783930109813
2:Del:R:1	0.014015965647995472	0.0010942130984039978	0.01303873797878623	0.002691225058224518	0.0035682034073397516	0.0065328080359904565	0.008054158954728337	5.480096442624927e-05	0.007270471650408581	0.14618215665221215	0.010198768878472037
