MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	1.80E-04	7.28E-05	3.46E-04	6.15E-04
1:Del:C:1	1.12E-04	4.78E-05	2.22E-04	3.76E-04
1:Del:C:2	6.54E-05	3.55E-05	1.54E-04	2.58E-04
1:Del:C:3	4.18E-05	5.72E-05	1.13E-04	1.34E-04
1:Del:C:4	4.57E-05	5.89E-05	1.12E-04	2.07E-04
1:Del:C:5	7.74E-05	8.93E-05	1.22E-04	2.81E-04
1:Del:T:0	1.22E-04	9.65E-05	2.91E-04	5.63E-04
1:Del:T:1	4.84E-05	5.51E-05	2.95E-04	6.84E-04
1:Del:T:2	9.43E-05	7.04E-05	2.23E-04	4.03E-04
1:Del:T:3	1.03E-04	9.62E-05	2.37E-04	3.73E-04
1:Del:T:4	1.50E-04	1.41E-04	2.71E-04	2.89E-05
1:Del:T:5	1.34E-03	3.95E-04	1.65E-03	1.76E-03
1:Ins:C:0	6.49E-05	7.96E-05	1.48E-04	3.08E-04
1:Ins:C:1	3.61E-05	2.97E-05	7.53E-05	2.06E-04
1:Ins:C:2	2.13E-05	1.67E-05	6.46E-05	1.46E-04
1:Ins:C:3	2.49E-05	2.24E-05	5.37E-05	1.89E-04
1:Ins:C:4	2.82E-05	3.72E-05	6.19E-05	1.25E-04
1:Ins:C:5	9.46E-05	1.09E-04	7.98E-05	4.37E-04
1:Ins:T:0	6.47E-05	4.49E-05	1.16E-04	3.39E-04
1:Ins:T:1	5.62E-05	2.62E-05	1.58E-04	2.79E-04
1:Ins:T:2	4.35E-05	3.31E-05	1.08E-04	2.13E-04
1:Ins:T:3	4.89E-05	3.31E-05	9.44E-05	1.44E-04
1:Ins:T:4	9.03E-05	5.40E-05	1.27E-04	2.78E-05
1:Ins:T:5	1.07E-03	3.69E-04	3.19E-04	4.34E-03
2:Del:R:0	7.04E-05	2.03E-05	1.78E-04	3.22E-04
2:Del:R:1	8.72E-05	3.61E-05	2.17E-04	3.27E-04
2:Del:R:2	4.68E-05	2.50E-05	1.07E-04	2.00E-04
2:Del:R:3	2.13E-05	3.23E-05	6.40E-05	1.03E-04
2:Del:R:4	7.69E-06	2.52E-05	3.50E-05	1.16E-04
2:Del:R:5	2.64E-06	4.30E-05	2.65E-06	2.16E-04
3:Del:R:0	2.89E-05	2.08E-05	8.51E-05	1.49E-04
3:Del:R:1	8.84E-05	2.35E-05	1.72E-04	2.91E-04
3:Del:R:2	4.05E-05	2.05E-05	9.26E-05	1.79E-04
3:Del:R:3	2.19E-05	1.93E-05	4.81E-05	8.89E-05
3:Del:R:4	1.14E-05	9.88E-06	2.99E-05	8.35E-05
3:Del:R:5	7.93E-06	9.37E-06	2.30E-05	7.36E-05
4:Del:R:0	2.62E-05	7.74E-06	7.25E-05	1.63E-04
4:Del:R:1	7.06E-05	2.23E-05	1.70E-04	3.71E-04
4:Del:R:2	3.64E-05	2.01E-05	9.07E-05	1.82E-04
4:Del:R:3	1.17E-05	0.00E+00	4.60E-05	1.59E-04
4:Del:R:4	1.09E-06	8.08E-06	2.96E-05	7.71E-05
4:Del:R:5	1.01E-05	1.69E-05	2.00E-05	8.18E-05
5:Del:R:0	7.80E-05	0.00E+00	2.13E-04	7.29E-04
5:Del:R:1	4.61E-05	3.91E-05	1.06E-04	2.29E-04
5:Del:R:2	2.74E-05	1.66E-05	5.80E-05	1.45E-04
5:Del:R:3	1.35E-05	1.11E-05	2.85E-05	9.61E-05
5:Del:R:4	9.59E-07	7.15E-06	1.08E-05	5.37E-05
5:Del:R:5	5.75E-06	7.58E-06	5.50E-06	4.42E-05
2:Ins:R:0	4.76E-05	6.17E-05	9.48E-05	4.72E-04
2:Ins:R:1	3.28E-05	1.99E-05	7.33E-05	2.00E-04
2:Ins:R:2	2.73E-05	2.52E-05	5.48E-05	1.27E-04
2:Ins:R:3	1.80E-05	1.64E-05	1.22E-05	1.08E-04
2:Ins:R:4	2.62E-05	3.58E-05	1.94E-05	2.22E-04
2:Ins:R:5	7.65E-05	9.86E-05	1.12E-04	6.18E-04
3:Ins:R:0	1.48E-05	1.48E-05	3.30E-05	2.38E-04
3:Ins:R:1	2.74E-05	8.30E-06	6.23E-05	1.42E-04
3:Ins:R:2	1.45E-05	7.28E-06	3.03E-05	6.69E-05
3:Ins:R:3	3.61E-06	7.75E-06	5.66E-06	8.39E-06
3:Ins:R:4	4.68E-06	8.68E-06	1.38E-05	1.70E-05
3:Ins:R:5	2.20E-05	2.36E-05	3.39E-05	7.79E-05
4:Ins:R:0	0.00E+00	2.15E-05	1.18E-05	3.55E-04
4:Ins:R:1	3.35E-05	1.96E-05	7.13E-05	1.45E-04
4:Ins:R:2	6.91E-06	0.00E+00	2.42E-05	7.11E-05
4:Ins:R:3	9.43E-06	1.74E-07	2.00E-06	8.72E-05
4:Ins:R:4	1.59E-05	1.92E-05	2.40E-05	9.77E-05
4:Ins:R:5	2.79E-05	3.55E-05	4.06E-05	1.74E-04
5:Ins:R:0	5.75E-09	6.59E-08	2.76E-05	1.98E-03
5:Ins:R:1	6.10E-05	1.82E-05	1.48E-04	3.01E-04
5:Ins:R:2	1.13E-05	5.22E-06	2.93E-05	8.87E-05
5:Ins:R:3	1.07E-05	1.40E-05	1.03E-05	7.48E-05
5:Ins:R:4	9.40E-06	7.96E-06	1.59E-05	3.76E-05
5:Ins:R:5	1.08E-05	1.63E-05	1.51E-05	4.91E-05
2:Del:M:1	7.22E-05	3.40E-05	1.71E-04	2.94E-04
3:Del:M:1	2.63E-05	7.26E-06	8.08E-05	1.55E-04
3:Del:M:2	5.11E-05	2.61E-05	1.26E-04	2.44E-04
4:Del:M:1	3.23E-05	1.45E-05	9.47E-05	1.88E-04
4:Del:M:2	4.64E-05	8.85E-06	1.16E-04	2.09E-04
4:Del:M:3	5.64E-05	1.67E-05	1.56E-04	2.48E-04
5:Del:M:1	8.21E-05	1.71E-05	2.01E-04	4.71E-04
5:Del:M:2	9.27E-05	1.15E-05	2.27E-04	3.54E-04
