Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP85623	3.82E-01	1.58E+00	4.63E-01	2.40E-01	1.58E+00
SP85491	3.80E-01	2.90E+00	0.00E+00	2.87E-01	2.79E+00
SP87582	3.02E-01	1.40E+00	3.48E-01	4.32E-01	1.37E+00
SP89090	2.88E-01	2.13E+00	5.39E-01	5.01E-01	2.00E+00
SP85511	5.84E-01	3.08E+00	1.18E+00	8.54E-01	2.97E+00
SP85952	1.35E-01	1.75E+00	1.69E-01	4.36E-01	1.69E+00
SP85840	3.93E-01	2.21E+00	0.00E+00	3.16E-01	2.17E+00
SP87675	3.93E-01	1.30E+00	0.00E+00	5.68E-01	1.29E+00
SP85836	3.39E-01	4.13E+00	4.37E-01	7.43E-01	4.09E+00
SP120767	4.98E-01	3.33E+00	8.43E-01	4.31E-01	3.29E+00
SP105708	5.42E-01	2.04E+00	2.00E-01	5.46E-01	2.08E+00
SP85818	0.00E+00	2.00E-02	0.00E+00	0.00E+00	2.00E-02
SP105922	2.15E-01	2.19E+00	0.00E+00	5.70E-02	2.18E+00
SP86118	5.68E-01	2.58E+00	1.40E-01	3.43E-01	2.55E+00
SP86306	5.91E-01	3.75E+00	7.00E-02	1.24E+00	3.51E+00
SP87099	7.01E-01	2.50E+00	4.67E-01	6.80E-01	2.40E+00
SP87434	4.84E-01	1.65E+00	6.00E-02	5.09E-01	1.65E+00
SP85864	2.55E-01	3.62E-01	2.93E-01	3.56E-01	4.28E-01
SP105807	4.08E-01	2.77E+00	0.00E+00	6.87E-01	2.72E+00
SP89291	2.86E-01	1.29E+00	4.00E-02	4.76E-01	1.26E+00
SP88050	2.44E-01	1.02E+00	3.31E-01	4.16E-01	1.02E+00
SP88593	3.03E-01	1.59E+00	2.31E-01	4.66E-01	1.64E+00
SP88158	1.64E-01	9.75E-01	1.41E-02	2.66E-01	9.66E-01
SP87534	5.56E-01	3.29E+00	1.52E+00	1.23E+00	2.98E+00
SP88776	1.67E-01	3.22E+00	1.00E-02	5.87E-01	3.03E+00
SP85725	2.40E-01	2.62E+00	1.84E-01	5.82E-01	2.54E+00
SP86660	4.21E-01	3.04E+00	4.31E-01	9.60E-01	3.06E+00
SP87903	0.00E+00	1.54E+00	1.97E-01	4.00E-01	1.45E+00
SP88098	1.56E-01	3.11E+00	1.25E+00	9.34E-01	2.77E+00
SP85487	8.50E-01	3.58E+00	6.42E-01	1.59E+00	3.69E+00
SP105759	4.12E-01	1.39E+00	3.65E-01	3.75E-01	1.34E+00
SP86775	0.00E+00	5.75E-01	2.31E-01	0.00E+00	5.91E-01
SP88322	3.31E-01	2.43E+00	0.00E+00	7.42E-01	2.46E+00
SP85582	3.14E-01	1.63E+00	1.00E-02	6.00E-01	1.65E+00
SP87446	5.96E-01	3.22E+00	3.96E-01	1.36E+00	3.11E+00
SP87337	2.32E-01	1.18E+00	0.00E+00	2.89E-01	1.25E+00
SP86929	4.84E-01	3.30E+00	7.10E-01	1.04E+00	3.09E+00
SP86130	3.89E-01	1.70E+00	2.97E-01	4.76E-01	1.71E+00
SP86425	7.11E-01	3.84E+00	5.37E-01	5.95E-01	3.72E+00
SP85495	2.42E-01	5.29E-01	6.37E-02	1.90E-01	5.91E-01
SP85787	0.00E+00	9.63E-01	3.26E-01	0.00E+00	9.51E-01
SP86836	1.31E-01	2.16E-01	4.00E-02	0.00E+00	2.46E-01
SP89245	3.58E-01	9.98E-01	6.68E-02	3.18E-01	1.01E+00
SP86989	5.63E-01	3.41E+00	5.06E-01	7.36E-01	3.38E+00
SP88757	0.00E+00	2.04E+00	3.75E-01	3.54E-01	1.92E+00
SP85733	3.13E-01	2.75E+00	5.11E-01	2.01E-01	2.67E+00
SP85737	0.00E+00	9.72E-01	2.61E-01	0.00E+00	9.66E-01
SP85647	2.82E-01	1.75E+00	2.00E-02	4.03E-01	1.60E+00
CPCT02011098T	9.35E-01	2.13E+00	2.01E+00	1.75E+00	1.57E+00
WIDE01010618T	3.58E+00	4.38E+00	2.13E+00	5.16E+00	3.08E-01
WIDE01010310T	6.59E+00	1.17E+01	2.43E+00	5.99E+00	3.59E+00
CPCT02080230T	1.30E+00	4.02E+00	4.41E+00	2.84E+00	1.46E+00
CPCT02010914T	6.02E-01	2.94E+00	3.25E+00	2.13E+00	7.70E-01
DRUP01010057T	3.19E+00	4.94E+00	5.58E+00	3.89E+00	3.22E+00
CPCT02010635T	3.80E+00	3.65E+00	4.97E+00	2.29E+00	1.76E+00
WIDE01010556T	1.32E+01	1.10E+01	8.54E+00	1.02E+01	0.00E+00
WIDE01010540T	1.56E+00	4.46E+00	2.32E+00	2.83E+00	3.43E+00
