Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP53460	681	14	2	0	186	146	42	39	0	7	10	50	13
SP50827	757	46	99	314	283	153	58	44	0	3	81	84	4
SP50263	15	34	164	49	1	74	51	23	2	0	26	81	0
SP50317	36	117	54	43	14	122	28	33	0	0	54	25	4
SP54113	2243	60	46	725	204	154	162	113	0	9	2	79	76
SP50406	5	0	1	0	0	0	0	0	1	0	1	5	0
SP51824	299	20	90	217	67	34	76	36	0	0	0	65	6
SP55387	142	0	6	52	38	7	17	0	4	0	0	0	0
SP52779	656	21	61	280	236	136	99	0	0	5	33	54	27
SP55235	1598	50	60	572	506	82	200	78	0	0	39	48	1
SP50713	186	2	10	56	38	15	70	24	0	0	4	33	4
SP50611	1061	15	65	164	311	105	56	16	0	1	76	23	0
SP50485	3	7	27	24	19	18	6	11	0	0	12	28	0
SP51037	1	18	97	32	0	15	29	6	0	1	13	18	1
SP55142	2355	189	297	777	350	896	78	515	66	7	225	53	20
SP53387	476	16	2	228	171	141	85	12	0	4	39	92	37
SP54745	192	65	147	116	98	176	72	19	0	1	34	143	37
SP52284	21	23	160	32	14	30	44	23	0	2	30	52	4
SP53618	1115	5	49	300	456	163	136	34	0	4	49	5	12
SP52232	527	2	0	118	127	52	32	19	0	6	23	15	13
SP50412	10	3	19	13	12	11	13	4	0	1	8	25	0
SP50321	172	0	51	44	99	75	112	4	0	4	14	18	4
SP53548	0	12	76	21	2	41	43	10	0	1	29	9	15
SP55004	0	0	4	0	1	5	7	2	0	0	2	0	0
SP56079	880	4	24	232	169	7	63	12	0	0	41	47	24
SP56168	79	22	108	0	23	96	76	28	8	3	51	93	10
SP54363	588	39	216	142	203	120	89	22	0	4	15	52	21
SP53810	3329	4	9	403	878	464	97	0	0	0	24	202	32
SP50518	0	8	117	45	5	53	57	26	0	9	17	63	2
SP56303	41	28	146	0	7	146	170	148	0	12	37	65	4
SP55711	27	5	113	0	13	78	48	18	0	1	6	117	0
SP55509	1197	8	84	162	375	194	69	12	0	0	34	37	5
SP55309	7	2	3	0	5	6	2	6	0	1	0	37	0
SP52607	4	0	18	17	12	28	8	7	0	0	10	12	8
SP52667	661	14	20	0	122	131	83	37	0	3	56	53	0
SP51446	64	0	135	2	0	57	73	3	0	4	26	39	6
SP50592	0	4	108	27	12	38	40	10	0	4	33	65	0
SP53073	331	22	40	190	39	47	105	13	0	0	18	69	15
SP56638	542	28	156	312	151	71	91	51	0	7	52	0	48
SP56537	600	110	186	386	61	205	102	20	0	0	30	0	33
SP57586	360	70	162	299	76	100	98	31	0	10	76	5	22
SP56541	672	20	0	261	117	69	103	83	0	5	32	81	35
SP56553	1169	142	255	455	140	308	57	54	22	8	24	171	19
SP56771	96	34	247	90	22	92	93	37	12	7	22	36	0
SP57941	1135	60	93	324	387	559	66	44	0	10	135	9	9
SP57818	916	44	68	131	303	196	198	86	0	7	14	63	23
SP56460	198	75	486	122	2	155	130	135	6	13	24	21	20
SP56474	42	139	219	16	35	141	39	59	0	3	41	16	19
SP56704	869	60	62	911	128	0	55	24	0	9	0	43	19
SP56533	272	60	136	247	21	146	78	44	16	4	72	0	9
SP56730	615	94	219	326	47	146	137	23	0	8	28	0	53
SP59245	672	35	146	229	80	117	119	369	40	29	42	115	53
SP57024	290	22	139	176	44	79	47	29	6	3	41	44	19
SP57933	829	118	186	308	74	244	137	1336	0	24	38	101	20
SP56754	301	48	126	187	51	191	82	19	3	1	58	0	25
SP56827	645	27	24	178	114	76	53	11	0	0	4	27	4
SP57084	661	95	375	351	76	181	91	64	0	7	0	52	27
SP57538	405	115	79	555	6	136	156	40	0	1	30	76	32
SP57735	613	94	36	449	7	150	88	22	0	3	0	47	38
SP57669	828	72	107	358	74	185	128	66	16	1	29	56	24
SP56566	210	37	254	0	56	85	72	48	50	0	31	0	6
SP56569	433	67	99	271	55	139	58	33	0	0	21	0	41
SP58342	957	88	374	466	218	92	102	52	0	3	17	60	117
SP58349	522	62	63	298	131	248	124	214	0	15	40	33	84
SP56644	775	100	337	360	73	118	121	98	0	6	18	122	19
SP57629	180	196	837	206	24	268	59	90	60	0	84	23	15
SP56941	11	1	106	33	7	11	24	7	0	0	10	6	4
SP57619	583	31	28	332	120	158	88	101	0	3	11	1	17
SP58245	613	132	36	673	138	242	68	43	0	6	3	19	17
SP57251	379	79	200	590	52	380	83	59	0	16	17	0	25
SP56502	759	112	178	310	31	188	90	39	0	11	50	65	38
SP58668	854	88	159	612	220	123	31	68	0	11	43	37	48
SP58101	516	121	74	385	103	194	99	36	24	0	24	41	55
SP58991	353	109	333	192	92	95	79	40	44	3	59	64	5
