De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID2 (100.00%), 26.63,  8.13, 0.907, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (40.94%) & Signature ID2 (34.42%) & Signature ID18 (24.64%), 32.31,  21.83, 0.237, 0.98, 0.97
Signature 83-ID83C, Signature ID1 (90.30%) & Signature ID2 (9.70%), 19.84,  4.65, 0.459, 1.00, 1.00
Signature 83-ID83D, Signature ID4 (18.94%) & Signature ID8 (16.26%) & Signature ID9 (19.60%) & Signature ID19 (26.40%) & Signature ID23 (18.80%), 41.18,  33.93, 0.180, 0.94, 0.92
Signature 83-ID83E, Signature ID6 (61.34%) & Signature ID8 (38.66%), 33.55,  21.25, 0.130, 0.98, 0.98
