Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP116788	2.71E-01	1.40E-01	4.49E-01	3.14E-01	3.12E-01	2.93E-01	3.83E-01	3.17E-01
SP116789	8.59E-02	3.79E-02	2.22E-01	1.66E-01	1.02E-01	1.87E-01	1.44E-01	1.46E-01
SP116919	0.00E+00	0.00E+00	1.71E-02	2.19E-02	3.02E-02	4.94E-02	4.56E-02	3.27E-02
SP109002	7.22E-01	1.30E+00	5.83E-01	3.18E-01	1.60E+00	3.98E-01	1.15E+00	1.04E+00
SP109001	1.37E-01	2.01E-01	1.95E-01	3.06E-01	2.06E-01	1.67E-01	2.49E-01	2.42E-01
SP109006	1.15E+00	1.20E+00	6.39E-01	5.86E-01	9.88E-01	6.27E-01	1.32E+00	6.27E-01
SP108998	3.01E+00	2.83E+00	8.38E-01	6.52E-01	2.29E+00	6.51E-01	2.13E+00	9.91E-01
SP127706	1.05E+00	1.38E+00	3.03E+00	3.87E+00	1.79E+00	2.85E+00	2.75E+00	2.55E+00
SP108999	1.96E+00	2.25E+00	2.00E+00	1.51E+00	2.18E+00	9.88E-01	1.74E+00	1.60E+00
SP109007	4.16E-01	1.28E+00	1.35E+00	1.26E+00	7.97E-01	8.26E-01	1.07E+00	1.22E+00
SP109003	6.86E-01	4.03E-01	6.51E-01	5.19E-01	1.30E+00	7.54E-01	1.24E+00	1.19E+00
SP116868	4.28E-01	7.01E-01	1.10E+00	6.66E-01	1.02E+00	1.13E+00	9.99E-01	6.88E-01
SP116794	2.83E-01	1.64E-01	3.34E-01	4.24E-01	1.30E-01	3.28E-01	2.94E-01	1.97E-01
SP116791	1.48E-01	1.60E-01	2.46E-01	4.22E-01	1.34E-01	2.87E-01	3.82E-01	2.06E-01
SP116866	4.58E-01	3.83E-01	9.89E-01	7.21E-01	9.35E-01	1.12E+00	8.78E-01	8.14E-01
SP116815	7.51E-01	3.52E-01	5.12E-01	4.47E-01	1.36E+00	6.94E-01	9.69E-01	7.14E-01
SP116853	5.73E-01	2.61E-01	1.30E+00	6.73E-01	8.26E-01	4.65E-01	1.15E+00	9.50E-01
SP116901	3.57E-01	3.13E-01	6.70E-01	6.12E-01	2.39E-01	5.23E-01	4.68E-01	5.72E-01
SP116830	4.41E-01	4.48E-01	2.06E+00	2.08E+00	6.39E-01	1.34E+00	1.28E+00	1.30E+00
SP116802	2.23E-02	6.71E-02	2.36E-01	3.41E-01	4.92E-01	4.08E-01	2.93E-01	3.75E-01
SP116885	1.33E+00	1.46E+00	1.53E+00	8.94E-01	2.31E+00	1.13E+00	1.72E+00	1.85E+00
SP116834	3.43E-01	6.76E-01	2.88E-01	4.42E-01	7.10E-01	9.13E-01	1.12E+00	6.19E-01
SP116913	1.50E-01	2.53E-01	6.86E-01	8.93E-01	3.46E-01	5.71E-01	2.21E-01	5.80E-01
SP116799	1.75E-01	6.77E-02	9.20E-01	1.04E+00	6.78E-01	4.79E-01	5.52E-01	7.79E-01
SP116920	1.23E-01	5.80E-02	2.96E-01	5.29E-01	5.81E-01	1.74E-01	4.01E-01	6.55E-01
SP116835	7.36E-01	9.64E-01	1.74E+00	1.11E+00	1.16E+00	1.85E+00	1.68E+00	1.46E+00
SP116852	5.45E-01	3.35E-01	1.27E+00	5.57E-01	8.32E-01	4.43E-01	1.16E+00	9.64E-01
SP116902	3.72E-01	2.44E-01	9.37E-01	6.47E-01	3.42E-01	5.68E-01	6.39E-01	6.50E-01
SP116871	0.00E+00	5.87E-02	2.91E-01	2.40E-01	1.63E-01	3.71E-01	1.87E-01	2.81E-01
SP116820	7.52E-01	6.95E-01	7.79E-01	7.62E-01	1.08E+00	6.64E-01	1.57E+00	9.59E-01
SP116889	6.37E-01	5.06E-01	1.53E+00	1.24E+00	6.20E-01	1.14E+00	7.68E-01	8.53E-01
SP116923	6.52E-01	6.88E-01	1.37E+00	1.33E+00	7.50E-01	5.31E-01	1.04E+00	1.18E+00
SP116829	5.28E-01	3.37E-01	1.74E+00	1.93E+00	5.10E-01	1.14E+00	1.22E+00	1.08E+00
SP116872	0.00E+00	9.86E-02	1.01E-01	1.87E-01	2.40E-01	3.15E-01	2.44E-01	1.82E-01
SP116904	0.00E+00	1.00E-02	1.10E-01	1.80E-01	1.98E-01	9.71E-02	1.23E-01	1.93E-01
SP116806	8.59E-01	4.45E-01	1.33E+00	7.58E-01	4.94E-01	7.78E-01	4.85E-01	7.31E-01
SP116857	7.73E-01	4.90E-01	2.18E+00	2.07E+00	6.96E-01	1.45E+00	1.03E+00	1.46E+00
SP116888	1.24E-01	1.33E-01	8.14E-01	6.16E-01	2.83E-01	6.44E-01	2.50E-01	4.65E-01
SP116818	2.78E-01	2.61E-01	3.11E-01	3.02E-01	6.23E-01	2.80E-01	6.83E-01	5.25E-01
SP116837	4.46E-01	2.88E-01	1.41E+00	1.65E+00	1.53E+00	8.03E-01	1.46E+00	1.89E+00
SP116905	3.00E-02	6.24E-02	8.54E-02	1.66E-01	1.06E-01	1.09E-01	1.14E-01	1.64E-01
SP116804	1.07E+00	4.55E-01	1.38E+00	8.02E-01	9.60E-01	7.57E-01	1.08E+00	8.21E-01
SP116819	4.64E-01	5.03E-01	4.70E-01	5.10E-01	7.93E-01	3.38E-01	1.01E+00	6.18E-01
SP116856	3.40E-01	2.62E-01	1.29E+00	1.38E+00	5.01E-01	1.01E+00	5.64E-01	1.04E+00
SP116839	8.24E-01	8.35E-01	1.20E+00	1.56E+00	1.34E+00	7.29E-01	1.71E+00	1.63E+00
SP116925	3.99E-01	2.54E-01	3.87E-01	4.04E-01	6.38E-01	7.23E-01	6.86E-01	4.39E-01
SP116878	0.00E+00	2.23E-02	5.57E-01	5.71E-01	3.28E-01	5.46E-01	3.98E-01	8.09E-01
