MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	6.36E-05	1.67E-04	4.11E-04	3.00E-04	2.34E-04
1:Del:C:1	3.07E-05	1.10E-04	2.31E-04	1.74E-04	1.37E-04
1:Del:C:2	1.72E-05	6.41E-05	1.67E-04	1.20E-04	8.69E-05
1:Del:C:3	2.60E-05	4.76E-05	8.50E-05	9.08E-05	7.79E-05
1:Del:C:4	2.51E-05	4.94E-05	9.87E-06	6.90E-05	6.62E-05
1:Del:C:5	5.40E-05	8.20E-05	1.54E-04	9.35E-05	8.69E-05
1:Del:T:0	6.98E-05	1.38E-04	2.67E-04	2.48E-04	3.33E-04
1:Del:T:1	1.17E-04	1.43E-04	2.72E-04	2.53E-04	4.38E-04
1:Del:T:2	6.31E-05	1.08E-04	1.86E-04	1.62E-04	1.82E-04
1:Del:T:3	7.67E-05	1.21E-04	8.28E-05	2.07E-04	2.40E-04
1:Del:T:4	1.18E-04	1.99E-04	0.00E+00	2.21E-04	2.61E-04
1:Del:T:5	7.18E-04	2.78E-03	4.62E-03	8.15E-04	1.90E-03
1:Ins:C:0	6.33E-05	4.11E-06	2.59E-04	4.21E-05	1.35E-03
1:Ins:C:1	1.90E-05	5.33E-05	9.35E-05	7.46E-05	8.98E-05
1:Ins:C:2	1.92E-05	3.25E-05	5.32E-05	5.57E-05	4.58E-05
1:Ins:C:3	1.89E-05	3.35E-05	4.91E-05	4.57E-05	4.53E-05
1:Ins:C:4	2.52E-05	4.40E-05	5.21E-05	4.71E-05	6.45E-05
1:Ins:C:5	6.15E-05	1.33E-04	2.32E-04	1.06E-04	1.92E-04
1:Ins:T:0	2.78E-05	7.54E-05	1.81E-04	9.98E-05	1.24E-04
1:Ins:T:1	6.70E-07	8.93E-05	1.99E-04	1.50E-04	9.33E-05
1:Ins:T:2	1.52E-05	6.08E-05	1.29E-04	1.03E-04	7.65E-05
1:Ins:T:3	1.99E-05	5.37E-05	1.04E-04	8.52E-05	7.85E-05
1:Ins:T:4	3.51E-05	8.40E-05	1.69E-04	1.01E-04	1.05E-04
1:Ins:T:5	5.28E-04	2.34E-03	6.96E-03	7.42E-04	3.52E-03
2:Del:R:0	4.01E-05	7.31E-05	1.47E-04	1.37E-04	8.89E-05
2:Del:R:1	5.49E-05	1.12E-04	1.65E-04	1.63E-04	1.21E-04
2:Del:R:2	2.81E-05	4.80E-05	7.68E-05	8.74E-05	6.48E-05
2:Del:R:3	2.14E-05	7.55E-06	6.60E-05	4.45E-05	2.17E-05
2:Del:R:4	1.66E-05	1.74E-06	4.64E-05	3.05E-05	1.91E-05
2:Del:R:5	3.07E-05	0.00E+00	1.20E-04	3.98E-05	1.09E-10
3:Del:R:0	1.86E-05	2.20E-05	8.10E-05	6.96E-05	3.96E-05
3:Del:R:1	6.21E-05	9.87E-05	1.53E-04	1.54E-04	1.09E-04
3:Del:R:2	3.76E-05	4.66E-05	6.62E-05	7.34E-05	5.36E-05
3:Del:R:3	1.53E-05	2.20E-05	3.50E-05	3.68E-05	3.02E-05
3:Del:R:4	9.81E-06	1.18E-05	2.95E-05	1.92E-05	1.59E-05
3:Del:R:5	6.92E-06	2.86E-06	2.78E-05	1.76E-05	1.46E-05
4:Del:R:0	1.61E-05	1.40E-05	9.03E-05	6.22E-05	4.61E-05
4:Del:R:1	5.66E-05	8.99E-05	1.15E-04	1.28E-04	8.57E-05
4:Del:R:2	2.74E-05	4.20E-05	7.98E-05	6.74E-05	4.57E-05
4:Del:R:3	1.81E-05	2.52E-05	4.65E-05	3.08E-05	3.92E-06
4:Del:R:4	8.19E-06	8.44E-06	2.54E-05	1.91E-05	7.72E-06
4:Del:R:5	7.64E-06	3.00E-06	2.53E-05	3.15E-07	1.27E-07
5:Del:R:0	3.71E-06	8.55E-05	6.03E-04	2.05E-04	1.33E-04
5:Del:R:1	4.47E-05	5.39E-05	1.22E-04	8.20E-05	7.18E-05
5:Del:R:2	1.30E-05	2.07E-05	5.10E-05	4.13E-05	2.50E-05
5:Del:R:3	1.12E-05	6.49E-06	2.78E-05	1.63E-05	8.25E-07
5:Del:R:4	6.23E-06	1.33E-06	1.77E-05	9.05E-06	3.29E-06
5:Del:R:5	2.69E-06	0.00E+00	8.00E-06	4.31E-06	3.66E-06
2:Ins:R:0	3.48E-05	6.70E-05	2.78E-04	9.48E-05	1.20E-04
2:Ins:R:1	1.27E-05	4.42E-05	9.34E-05	8.27E-05	6.25E-05
2:Ins:R:2	1.75E-05	3.84E-05	6.85E-05	5.48E-05	4.08E-05
2:Ins:R:3	1.67E-05	3.19E-05	5.53E-05	3.31E-05	2.99E-05
2:Ins:R:4	3.23E-05	5.09E-05	7.34E-05	2.03E-05	5.14E-05
2:Ins:R:5	9.08E-05	1.45E-04	2.17E-04	7.50E-10	1.56E-04
