hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9
1	0.0253671150805821	0.00284875073663541	0.0257293990774314	0.00237918512879298	0.000254308010889021	0.00883341652219371	0.00413115665090399	0.000453111917039468	0.00378166313564007
2	0.0297045040192025	0.00386089218703686	0.0360103192525356	0.00151338124594201	0.000483843305604066	0.0215039167678224	0.00175447435652626	0.000694044836870799	0.00369320317925083
3	0.0226524586564784	0.00103712920731586	0.00920319039179766	0.00047650487252399	4.61888056475686e-05	0.00854645925567136	0.00344829021926479	0.00120404080538074	0.00180458311034053
4	0.0212238112429029	0.00115187152258293	0.0197430709400885	0.000701612237745556	0.000152724129205269	0.0103342420116543	0.0024547972942492	0.000550542563944506	0.00156131823027011
5	0.0117505118075038	0.000247644231163515	0.00454435604001891	0.000298576833721283	4.39140767500448e-05	0.00263302095670143	0.000898914568203009	0.000382534106964355	0.000544028731793835
6	0.0127974396610357	0.000624858677301554	0.00670387144201605	0.000396243098853515	9.66968526889144e-05	0.00192265700297609	0.00174114323918878	0.000861607726868152	0.000685564662016622
7	0.0105475010553024	0.000321197936132099	0.00453257525305442	0.00285028904357412	0.000177576765062588	0.00175564921275773	0.00328740005816034	0.00136492019063613	0.0121190140253261
8	0.00774905418878652	0.000319605309867224	0.00384246071418809	0.00351548592454758	0.000132089344098682	0.00243293451904533	0.00160691531275928	0.000724046347045826	0.00335263234715225
9	0.0122956928951273	0.00034461137283066	0.00456754975911073	0.00129389618919047	0.000104326200370384	0.00173103712389036	0.00424498682186583	0.00051863996797621	0.0094121393598153
10	0.00370674250508978	0.00129378001459798	0.015827492002883	0.0369343103897781	0.000940560439284384	0.00348932475257467	0.00928647925611296	0.00452211871734217	0.0721479404310654
11	0.0310993364892438	0.0025540416534375	0.0223179982071698	0.00432671736669235	0.00139992446516376	0.0112547341352936	0.00519424641199089	0.00761372978418042	0.00331282536677709
12	0.0231492486133949	0.000888905128388376	0.00644837267716884	0.00115538122843633	0.000705504722263236	0.00425426847457227	0.00115144183673614	0.00461449960510884	0.0022513058901062
13	0.0229249699818816	0.000140627068583539	0.0117854747556222	0.00091087089090202	0.000339644340232358	0.00509151266882662	0.00206918804060498	0.00256685197896496	0.00193727304492439
14	0.0172977469152918	0.00174465800199873	0.0104264586401659	0.000528130186405645	0.000182795401101742	0.00563006455258668	0.00250422556311652	0.000655131987039823	0.000875753568253491
15	0.0280822468151371	0.000513594511348579	0.00937291295435897	0.000606437749370567	0.000185121421736336	0.00978198611681291	0.00305637828836933	0.0021270773669439	0.00293687055212282
16	0.0221860433007821	0.00175595283424502	0.0128651192705171	0.000258784297283285	9.40177540502997e-05	0.00505886719415295	0.00156909924925182	0.000593346698758579	0.00127824636982454
17	0.0154507357692617	0.000432828223065505	0.0074387605170877	0.000345490539267543	0.000310124156301621	0.00398727653453913	0.00206853867385788	0.00251694847689165	0.000694410657655546
