hdp.1	hdp.2	hdp.3
1	0.00147350981966384	0.000585499508270319	0.000944358431822495
2	0.00133565143570081	0.000395936384401946	0.00110195343000916
3	0.000443631859342972	0.000136424922074442	0.000395464080922941
4	0.000429688498533418	0.000324961562777436	0.000582153281433528
5	0.000511470468541474	9.5172884060451e-05	0.000608706578869709
6	0.000360936505292147	0.000150517434727091	0.000610364056561384
7	0.00445924039640264	0.00041226179290572	0.00621837672440256
8	0.00417832505344736	0.000727052913285961	0.00402290869750481
9	0.00156425010831902	0.000368044359080636	0.00254069454793747
10	0.0204583033560486	0.00614364037900897	0.0396443507207651
11	0.00411879969240311	0.00104358630202736	0.0035396992620312
12	0.00167754662273539	0.000366075949792239	0.00107704919667231
13	0.00163347053229948	0.000370488647537657	0.00084147702464581
14	0.00254180916235657	0.00040229881022873	0.00024058667306324
15	0.00272388226542295	0.000371142489783803	0.000585182174677199
16	0.0018625611130925	0.000158438266508974	0.000189995742301595
17	0.00212233558426229	0.000164146850089612	0.00106336869552173
18	0.00171064533506121	0.000127003694401402	0.00041467231224322
19	0.00177095886715828	0.000142140388205039	0.00103379491843422
20	0.0543788746188501	0.0106302409794493	0.0170119640021086
21	0.0240435671443507	0.00808050792416392	0.00988420414925561
22	0.0334823067924296	0.00866039323811019	0.00998593289428124
23	0.0290958509183286	0.00396432026321168	0.00538965470574954
24	0.0254193582871158	0.00560400618366831	0.0114248675248335
25	0.0252253854781116	0.00328517088086479	0.00515022069483737
26	0.0225293105582159	0.00319257305371059	0.00577736986812409
27	0.0161162377228314	0.00440593219880869	0.00647687593556518
28	0.0169038430812475	0.00379890309104384	0.00438783985181308
29	0.0977970401069001	0.0194446912494086	0.0682981098991004
30	0.0606393676001673	0.0221698585367171	0.0419287840731033
31	0.05616824650337	0.0111473348236728	0.0388498383685809
32	0.0644955431079061	0.00927776091913552	0.0591048720210572
33	0.0739669085656792	0.0137966682090854	0.0661390727270501
34	0.0644210369069927	0.0090204115607167	0.0682401823158152
35	0.0452065177810803	0.00765898811834134	0.0318300838006418
36	0.0325959150927808	0.0104734820551304	0.025320790293777
37	0.0314454883263846	0.00706919783178203	0.031228772769442
38	0.0003768642683978	0.000273594142765925	0.00176199133576674
39	7.58242912272587e-05	7.31457745259997e-05	0.000634174522893574
40	0.00137851005340407	0.00516983625102029	0.00204896214341986
41	0.0053730671565282	0.154236451077534	0.00640224737147807
42	0.00503636607263034	0.0302188158686455	0.0139258919848712
43	0.00142643532530785	0.00776372971328825	0.00401132318084777
44	0.000645550103343479	0.0165295704993269	0.00143150542851288
45	0.00107300489157402	0.00311212391045621	0.00148095211071581
46	0.000431231301445315	0.00308586403269671	0.000537005944918146
47	0.00056505380242867	0.00784033249433673	0.00111826738556326
48	0.000836391469625813	0.0026668425925094	0.000679557439994575
49	0.000184849030334675	0.00198639732432729	0.000288981656223225
50	0.000149656354346546	0.00322498888079809	6.66777193224753e-05
51	0.000798385973256283	0.00322118283067052	0.000940976167700396
52	0.00704870316319372	0.0391603897860198	0.0178440346305144
53	0.00509794291435817	0.0255815709979145	0.0144605673647102
54	0.00745313329492388	0.034232608884187	0.0202638847516217
55	0.00288583632413969	0.0233336298925789	0.00600439383032956
56	0.00226906508496872	0.0246123457320917	0.00905638238498335
57	0.00301955708956871	0.0222199782487431	0.0103931255229311
58	0.00284218953538362	0.0123985066982481	0.00875312286255316
59	0.00297916807449762	0.0101704050347812	0.0123704795819151
60	0.00545565742110532	0.0169663292539811	0.0229799858727371
61	0.00643132486461611	0.0311272937820835	0.0226555661655629
62	0.00605309331508697	0.032803777747509	0.0193363619180786
63	0.0045708252939653	0.0267333903141611	0.0204227586158446
64	0.00339598199452856	0.0168333279089007	0.0135499726789623
65	0.00312710275023233	0.0219328972577209	0.0164871409389039
66	0.00357898525123458	0.0232266426199023	0.0195943815544777
67	0.00260480806589884	0.0100513192224974	0.0150700227532985
68	0.00336330699401695	0.0109111296419508	0.0151227591501077
69	0.00337359122878981	0.012361017448619	0.0179975406228221
70	0.0036341169778993	0.000774482531499253	0.00541942199546095
71	0.000537120125938331	0.000137438623361324	0.000807023363999054
72	0.00687295331611986	0.000749444797968262	0.0117290441288291
73	0.0289395090846971	0.00461218157344299	0.00437250187297083
74	0.00289201424362603	0.000166268641919963	0.00660959194119202
75	0.00353194317809921	0.000633184764053533	0.00691308704420783
76	0.00160913784724336	0.0079275068721229	0.00751190765207389
77	0.0018630116562617	0.00755812434868586	0.00935551924716522
78	0.000287541569664564	0.00142993922722151	0.000920522724713274
79	0.000173599984755318	0.000171147386619777	0.000176037592603678
80	0.00274281514028743	0.0204234744106822	0.00591867615153368
81	0.0167232211072968	0.145630217608276	0.0361521798418825
82	0.00262722566299258	0.000697393055846499	0.00564486420230584
83	0.00186592621219744	0.000277326451286783	0.00470180987729659
84	0.000744062541160626	0.000130220794896725	0.000859027778274413
85	0.000864043416888763	0.000135785828149638	0.0017922718546111
86	0.000199644286665146	4.84620007072076e-05	0.000261334591782385
87	0.000284457081813894	4.09777192370365e-05	0.000464859390572376
88	0.000398378543206897	0.000231712843041358	0.000614730710987676
89	0	0	0
