hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9
1	0.000366698578627872	0.00995215262354399	0.0119567025573604	0.000757500021337619	0.00200795303560914	0.00553535665688501	0.00451484029771804	0.00320684064758085	0.0189692396154164
2	0.000192669215111716	0.0299127446295169	0.00877103033624234	0.00042751478929613	0.000937970399083522	0.00580604348032048	0.000922299243403225	0.00719601260802273	0.0303128751952719
3	0.000181505783781774	0.00662981760184998	0.00255932462772325	0.000575563300388071	0.000288754040024857	0.00233893206308992	0.00211104886437174	0.00245508485208483	0.00992400601262435
4	0.000169894106302574	0.0142806043817971	0.00364777558378559	0.000360455546186099	0.000555659900892631	0.00468998268533698	0.0023548896701714	0.00340834479077877	0.0134661270364006
5	0.000373302241262483	0.00681614493077818	0.00278011104463659	0.000428283654305292	0.00158665524033939	0.0018216952430092	0.00260032342307272	0.00192091046713362	0.00574272354369793
6	0.000423827245190842	0.00388926978279848	0.00249235071336929	0.000799845746296011	0.000788660520866186	0.00115148041823036	0.00119847858821312	0.00279658323617592	0.00414291534261454
7	0.00686272449608188	0.0039494058297104	0.00490995920417456	0.00775941797771665	0.014839930429728	0.00293991230575997	0.0268294427941265	0.0038233751409273	0.00669510943511428
8	0.00616160038343939	0.00489531389128158	0.00288886735957756	0.00310788158804325	0.0188326828394666	0.00125376105751662	0.0386669410189754	0.0027580408586524	0.00314514059004693
9	0.00189807153276701	0.00410090799620591	0.00296022481927863	0.00201982776222039	0.00824426074070195	0.00172058467150364	0.0144695606907108	0.00130495016190669	0.00549365847851306
10	0.0309789525552704	0.000667778844603516	0.00592810697093576	0.00458695818995428	0.105532505400174	0.00674423725738519	0.129270808937762	0.00202092686020443	0.00629060243593619
11	0.00281635700299136	0.0124572765343044	0.0126557393204351	0.00595369650687117	0.00265982698368179	0.0101663010650592	0.00265578538775236	0.00857348990677769	0.0216606751687178
12	0.00137983252715529	0.00461159231246341	0.00804974291893737	0.00259278079820761	0.00222212673551519	0.0041074560830938	0.00401402115464582	0.00367254309927799	0.0144183752467417
13	0.00149527184672322	0.00786257024950649	0.0032098649524008	0.00186350264544159	0.00198603025746219	0.00371563381384897	0.00180832040120068	0.00463839928984413	0.0117939903771025
14	0.00207826851916895	0.00696870020437541	0.013342513254121	0.00363233151794828	0.00146753930327043	0.00568995604122209	0.00104999193848867	0.00350175802047497	0.0129979654867506
15	0.00255430525154799	0.00730406034521577	0.00306648417800923	0.00234149762227204	0.00410075309731742	0.00394436534971972	0.0023804624661154	0.00398748528284076	0.0122115770784324
16	0.0018210681337646	0.00935827284625072	0.00758148039761753	0.00248229037365567	0.00165275927023464	0.00420938570204585	0.000857844835407713	0.00359003944385287	0.01404792136685
17	0.00208409232844252	0.00563394142400416	0.00938644681022722	0.00163018118988812	0.00157799243264117	0.00427902145025087	0.00500896221157787	0.0022174786308714	0.0131820909780942
18	0.00241004051735597	0.00648212840934346	0.00698664994038933	0.000936613263219909	0.000884212502011142	0.00170216446158479	0.00382081208683042	0.00148782907797733	0.00950449177624053
19	0.002019648637353	0.0085614339106297	0.00691512601694091	0.00131793154146134	0.00120548237674396	0.00306275270747834	0.00374310024811778	0.00421690932335088	0.0086885478304285
