Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP1086	33	109	248	65	0
SP1003	84	198	277	89	0
SP1677	28	129	405	70	0
SP1305	63	221	425	1117	0
SP963	26	123	276	105	0
SP1144	21	80	220	68	0
SP1132	36	106	637	61	0
SP1712	0	227	66	14	1
SP1114	14	154	410	0	0
SP1431	24	303	42	27	0
SP975	43	228	46	1042	0
SP1059	89	162	745	102	5
SP1419	185	262	217	98	17
SP1009	12	185	233	61	18
SP1724	15	85	167	26	0
SP96136	93	148	408	503	0
SP967	44	194	41	14	0
SP1781	43	527	207	39	0
SP1174	380	519	48	71	0
SP953	121	242	514	15	0
SP1377	0	250	93	38	0
SP1365	31	285	239	203	0
SP1491	67	166	53	370	0
CPCT02060013T	152	78	343	923	174
CPCT02100026T	110	149	116	77	121
CPCT02070020T	275	386	328	184	191
CPCT02030269T	42	159	35	62	134
CPCT02010944TIII	95	170	318	55	81
CPCT02020867T	82	179	197	457	316
CPCT02070272T	426	764	175	1021	290
CPCT02020648T	79	159	385	112	129
CPCT02020362T	93	622	235	66	241
CPCT02440020T	39	1012	93	140	57
CPCT02210077T	192	455	433	33	63
CPCT02070445T	240	338	181	27	88
CPCT02020894T	155	239	209	62	56
CPCT02020896T	185	72	164	28	78
CPCT02140101T	65	688	989	103	148
CPCT02210040T	282	559	163	14	93
DRUP01010020T	62547	11100	516	0	0
CPCT02020902T	198	208	202	577	198
CPCT02070443T	270	279	141	61	112
CPCT02080295T	255	977	221	79	115
CPCT02020916T	155	61	579	65	107
CPCT02020915T	88	292	62	28	90
CPCT02160036T	56	207	0	71	232
CPCT02120184T	138	174	429	359	40
CPCT02050315T	10	135	104	24	198
CPCT02120182T	69	231	173	71	86
CPCT02020940T	9	94	210	95	87
CPCT02010712T	408	1273	0	71	341
CPCT02070294T	88	107	37	60	309
CPCT02070299T	453	373	576	61	234
CPCT02050437T	299	902	211	92	90
CPCT02050436T	116	120	1333	104	89
CPCT02020952T	312	379	244	62	93
CPCT02020642TII	437	318	506	1894	432
CPCT02020958T	68	100	605	19	79
CPCT02020684T	7	0	0	84	208
WIDE01010111T	45	431	553	241	49
CPCT02020958TII	75	114	596	19	88
CPCT02020972T	616	637	402	103	205
CPCT02020971T	39	156	228	29	31
CPCT02330103T	243	334	162	130	201
WIDE01010148T	387	688	372	116	182
CPCT02070480T	110	119	84	95	105
CPCT02360014T	1	416	0	1681	714
CPCT02140107T	104	218	295	1055	106
CPCT02070485T	452	300	389	188	136
WIDE01010202T	267	424	194	65	128
CPCT02020583TII	336	1016	297	86	196
CPCT02020703T	59	129	326	148	470
CPCT02020973T	110	334	440	37	77
CPCT02020940TII	12	247	219	82	133
WIDE01010230T	21	301	66	15	68
CPCT02320002T	140	100	91	168	285
CPCT02050351T	41	148	111	75	139
CPCT02020979T	104	331	49	101	55
CPCT02080315T	96	284	372	486	157
CPCT02120203T	63	207	276	629	121
DRUP01050023T	69	245	113	51	315
CPCT02020983T	61	340	40	43	100
CPCT02140034T	15	20	174	147	316
WIDE01010280T	280	266	94	50	50
CPCT02020984T	26	142	316	75	99
CPCT02070154TII	86	253	0	743	1661
CPCT02020986T	65274	0	906	170	0
CPCT02020988T	255	323	183	119	129
CPCT02050445T	47	347	150	33	26
CPCT02070331T	223	524	14	25	76
CPCT02020989T	85	335	113	48	126
CPCT02050356T	81	83	3	77	348
WIDE01010412T	222	252	143	151	120
CPCT02140110T	51	268	159	22	28
CPCT02020717T	193	0	1039	518	443
CPCT02130095T	45	131	158	57	138
DRUP01030012T	715	1045	307	118	242
CPCT02070336T	6	29	846	3614	0
CPCT02070332T	0	12	0	503	201
CPCT02050371T	40	293	201	70	185
CPCT02100178T	76	380	117	138	303
CPCT02020767T	50	78	30	42	208
CPCT02140072T	337	523	406	105	157
CPCT02060112T	0	342	0	36	128
CPCT02170032T	40	164	56	11	113
DRUP01070046T	87	188	164	71	103
WIDE01010565T	50	110	349	1107	12
CPCT02020787T	2	250	132	102	264
CPCT02020778T	652	247	413	95	155
CPCT02050385T	170	413	382	162	434
CPCT02130142T	106	237	261	73	280
CPCT02020800T	52	177	15	70	238
CPCT02050395T	78	321	102	255	262
DRUP01070048T	58	105	196	93	370
CPCT02020817T	45	284	104	21	85
CPCT02080263T	30	211	9	46	262
CPCT02010944T	87	151	276	60	171
CPCT02020832T	114	362	150	115	237
CPCT02050351TII	70	233	208	89	126
CPCT02120168T	17	111	140	78	96
CPCT02440016T	84	217	142	83	418
CPCT02010935T	107	223	334	106	147
CPCT02010963T	181	381	298	112	193
CPCT02070401T	129	186	161	51	170
CPCT02230056T	2684	2642	511	1271	212
CPCT02040169T	10872	836	433	919	0
CPCT02020859T	73	11	101	71	231
CPCT02020633TII	214	156	473	135	232
CPCT02020621TII	48	208	618	106	213
CPCT02020586T	301	113	519	88	196
CPCT02070237T	685	395	270	159	145
CPCT02080273T	77624	18613	826	0	0
CPCT02070410T	253	797	153	796	338
CPCT02020600T	456	281	728	50	185
CPCT02010963TII	223	434	415	65	319
CPCT02120056T	108	398	179	67	182
CPCT02020840T	32	251	254	73	3
CPCT02040164T	568	777	144	681	217
CPCT02070244T	21	262	660	261	139
CPCT02020619T	139	419	189	274	346
CPCT02020633T	122	137	296	50	129
CPCT02010663T	171	121	298	341	212
CPCT02020614T	379	460	445	94	115
CPCT02290020T	91	339	52	61	194
CPCT02020632T	442	554	96	150	397
CPCT02050103T	33	407	143	66	49
CPCT02100072T	53	307	123	49	52
CPCT02100076T	103	120	893	249	107
CPCT02100077T	87	133	102	84	58
CPCT02070154T	97	378	280	646	174
